word,Halloweentown,Beautiful Creatures,total
know,66,87,153
oh,83,64,147
dont,54,88,142
im,60,74,134
like,64,47,111
go,47,51,98
youre,32,48,80
come,51,26,77
see,39,37,76
right,33,38,71
thats,32,36,68
yeah,23,39,62
gonna,30,26,56
good,23,31,54
want,25,25,50
think,19,30,49
mother,30,19,49
cant,23,26,49
look,27,20,47
thing,30,15,45
late,3,37,40
hey,25,15,40
mom,31,8,39
mean,23,16,39
really,17,21,38
ooh,25,13,38
ill,15,23,38
time,23,14,37
uh,13,23,36
back,22,14,36
sorry,10,25,35
yes,23,11,34
didnt,17,17,34
love,1,32,33
going,19,14,33
way,13,19,32
help,21,11,32
away,5,27,32
um,10,21,31
shes,17,14,31
make,13,17,30
world,20,9,29
theres,11,18,29
ive,12,17,29
little,17,11,28
hes,10,18,28
dark,5,23,28
stop,15,12,27
man,11,16,27
lets,21,6,27
tell,10,16,26
two,13,12,25
sighs,12,13,25
laughs,3,22,25
home,16,9,25
doesnt,16,9,25
kids,17,7,24
youve,14,9,23
witch,19,4,23
take,11,12,23
powers,14,9,23
need,10,13,23
turn,12,10,22
people,4,18,22
mortal,10,12,22
chuckles,1,21,22
wont,6,15,21
thanks,13,8,21
please,12,9,21
give,13,8,21
bet,18,3,21
whats,8,12,20
wait,8,12,20
long,12,8,20
house,10,10,20
true,5,14,19
town,4,15,19
things,8,11,19
put,14,5,19
night,6,13,19
maybe,12,7,19
big,15,4,19
thank,9,9,18
place,8,10,18
life,10,8,18
keep,10,8,18
feel,3,15,18
family,5,13,18
evil,9,9,18
doing,9,9,18
coming,12,6,18
boy,3,15,18
believe,7,11,18
spell,8,9,17
magic,16,1,17
hi,6,11,17
hear,6,11,17
came,10,7,17
witches,15,1,16
sure,5,11,16
stuff,14,2,16
school,4,12,16
old,8,8,16
kind,7,9,16
girl,2,14,16
excuse,9,7,16
call,4,12,16
bye,14,2,16
better,8,8,16
wrong,5,10,15
theyre,6,9,15
normal,9,6,15
mm,6,9,15
mind,1,14,15
great,6,9,15
bad,11,4,15
woman,2,12,14
remember,5,9,14
real,6,8,14
id,5,9,14
find,5,9,14
end,6,8,14
book,7,7,14
thought,8,5,13
stay,5,8,13
powerful,7,6,13
power,2,11,13
live,7,6,13
human,10,3,13
huh,10,3,13
getting,6,7,13
day,5,8,13
children,12,1,13
break,2,11,13
used,5,7,12
understand,5,7,12
trying,8,4,12
talk,6,6,12
read,2,10,12
pretty,5,7,12
made,5,7,12
light,3,9,12
hello,7,5,12
gasps,1,11,12
door,4,8,12
dad,3,9,12
actually,7,5,12
wow,8,3,11
start,5,6,11
nice,6,5,11
nature,2,9,11
lose,2,9,11
isnt,5,6,11
hurt,3,8,11
guess,8,3,11
gotta,9,2,11
cause,2,9,11
books,1,10,11
ya,6,4,10
worry,8,2,10
whoo,9,1,10
whispering,3,7,10
wasnt,4,6,10
special,5,5,10
show,7,3,10
run,3,7,10
mortals,3,7,10
loved,2,8,10
lincoln,1,9,10
leave,5,5,10
laughing,4,6,10
hinges,1,9,10
fine,6,4,10
crowd,3,7,10
cool,5,5,10
care,3,7,10
ah,9,1,10
years,3,6,9
weird,7,2,9
try,5,4,9
trouble,6,3,9
tonight,4,5,9
protect,1,8,9
part,5,4,9
new,2,7,9
lives,1,8,9
knew,5,4,9
hours,8,1,9
heart,2,7,9
happened,1,8,9
happen,2,7,9
course,7,2,9
breaking,1,8,9
youll,1,7,8
year,2,6,8
work,5,3,8
watch,3,5,8
wanted,3,5,8
use,5,3,8
trick,6,2,8
told,2,6,8
three,3,5,8
talking,5,3,8
sweet,2,6,8
soon,5,3,8
screaming,2,6,8
party,5,3,8
mr,1,7,8
minute,5,3,8
hell,1,7,8
feeling,1,7,8
father,4,4,8
engine,1,7,8
done,3,5,8
different,2,6,8
days,6,2,8
chance,7,1,8
bring,4,4,8
bell,4,4,8
ask,3,5,8
aint,2,6,8
working,5,2,7
turns,1,6,7
sweetheart,4,3,7
sir,1,6,7
sick,2,5,7
shut,2,5,7
screams,3,4,7
ones,2,5,7
move,2,5,7
miss,2,5,7
mayor,6,1,7
lot,3,4,7
lived,1,6,7
laughter,4,3,7
later,4,3,7
honey,1,6,7
hold,3,4,7
hm,6,1,7
head,4,3,7
havent,6,1,7
gone,2,5,7
friends,3,4,7
found,3,4,7
dinner,5,2,7
darkness,2,5,7
creatures,6,1,7
crazy,3,4,7
couldnt,2,5,7
cookie,5,2,7
continues,1,6,7
afraid,3,4,7
wouldnt,2,4,6
wish,2,4,6
welcome,1,5,6
trust,3,3,6
tires,2,4,6
thinking,3,3,6
spells,4,2,6
sound,1,5,6
saying,1,5,6
save,5,1,6
reveal,4,2,6
return,4,2,6
quite,4,2,6
probably,3,3,6
playing,1,5,6
perfect,2,4,6
ow,5,1,6
movie,1,5,6
missed,1,5,6
looking,2,4,6
left,1,5,6
job,5,1,6
idea,4,2,6
hope,2,4,6
hang,2,4,6
guy,4,2,6
grunts,1,5,6
forever,5,1,6
