word,Halloweentown,Bell Book and Candle,total
oh,83,111,194
im,60,91,151
dont,54,92,146
know,66,74,140
like,64,57,121
yes,23,57,80
go,47,33,80
come,51,26,77
thats,32,44,76
right,33,40,73
youre,32,38,70
see,39,30,69
want,25,41,66
good,23,41,64
think,19,40,59
ive,12,40,52
yeah,23,28,51
uh,13,38,51
mean,23,27,50
cant,23,27,50
going,19,28,47
thing,30,15,45
ill,15,30,45
tell,10,33,43
look,27,15,42
little,17,25,42
gonna,30,8,38
didnt,17,21,38
really,17,20,37
time,23,12,35
back,22,12,34
shes,17,16,33
hes,10,23,33
hey,25,7,32
course,7,24,31
way,13,17,30
make,13,17,30
witch,19,10,29
continues,1,28,29
take,11,17,28
lets,21,7,28
id,5,23,28
huh,10,18,28
theres,11,16,27
sorry,10,17,27
put,14,13,27
believe,7,20,27
ooh,25,1,26
help,21,5,26
thank,9,16,25
mr,1,24,25
doesnt,16,9,25
maybe,12,12,24
magic,16,8,24
stop,15,8,23
sighs,12,11,23
night,6,17,23
bet,18,5,23
world,20,2,22
thought,8,14,22
man,11,11,22
youve,14,7,21
things,8,13,21
sure,5,16,21
bye,14,7,21
wouldnt,2,18,20
witches,15,5,20
love,1,19,20
home,16,4,20
halloween,19,1,20
thanks,13,6,19
quite,4,15,19
powers,14,5,19
place,8,11,19
life,10,9,19
isnt,5,14,19
give,13,6,19
getting,6,13,19
book,7,12,19
whats,8,10,18
suppose,4,14,18
hello,7,11,18
wait,8,9,17
trying,8,9,17
people,4,13,17
havent,6,11,17
bad,11,6,17
used,5,11,16
turn,12,4,16
stuff,14,2,16
spell,8,8,16
please,12,4,16
old,8,8,16
kind,7,9,16
keep,10,6,16
doing,9,7,16
coming,12,4,16
chuckles,1,15,16
big,15,1,16
um,10,5,15
two,13,2,15
theyre,6,9,15
remember,5,10,15
miss,2,13,15
made,5,10,15
laughing,4,11,15
house,10,5,15
certainly,1,14,15
better,8,7,15
ah,9,6,15
youll,1,13,14
understand,5,9,14
true,5,9,14
long,12,2,14
human,10,4,14
youd,3,10,13
told,2,11,13
open,7,6,13
nice,6,7,13
minute,5,8,13
laughs,3,10,13
came,10,3,13
wont,6,6,12
try,5,7,12
talk,6,6,12
need,10,2,12
mind,1,11,12
humming,3,9,12
hear,6,6,12
guess,8,4,12
find,5,7,12
door,4,8,12
bell,4,8,12
away,5,7,12
afraid,3,9,12
wonderful,2,9,11
tried,4,7,11
fine,6,5,11
excuse,9,2,11
different,2,9,11
day,5,6,11
wow,8,2,10
work,5,5,10
wanted,3,7,10
use,5,5,10
stay,5,5,10
pretty,5,5,10
mm,6,4,10
live,7,3,10
hours,8,2,10
hair,8,2,10
gotta,9,1,10
call,4,6,10
boy,3,7,10
wrong,5,4,9
worry,8,1,9
warlock,3,6,9
trouble,6,3,9
thinking,3,6,9
talking,5,4,9
real,6,3,9
new,2,7,9
march,8,1,9
leave,5,4,9
hope,2,7,9
end,6,3,9
chance,7,2,9
actually,7,2,9
working,5,3,8
wish,2,6,8
went,1,7,8
wasnt,4,4,8
show,7,1,8
read,2,6,8
idea,4,4,8
happen,2,6,8
great,6,2,8
found,3,5,8
feel,3,5,8
crazy,3,5,8
word,1,6,7
weeks,1,6,7
trick,6,1,7
tonight,4,3,7
swear,1,6,7
supposed,3,4,7
start,5,2,7
shell,5,2,7
school,4,3,7
party,5,2,7
mine,3,4,7
looking,2,5,7
later,4,3,7
important,3,4,7
hi,6,1,7
fun,2,5,7
fight,6,1,7
evening,1,6,7
done,3,4,7
crowd,3,4,7
careful,5,2,7
broom,6,1,7
ask,3,4,7
anyway,5,2,7
years,3,3,6
works,4,2,6
watch,3,3,6
totally,5,1,6
