word,Halloweentown,Book of Shadows Blair Witch Project 2,total
know,66,51,117
im,60,49,109
dont,54,50,104
like,64,39,103
oh,83,18,101
yeah,23,59,82
come,51,26,77
see,39,30,69
witch,19,45,64
youre,32,31,63
go,47,15,62
thats,32,26,58
right,33,21,54
gonna,30,22,52
want,25,26,51
back,22,26,48
look,27,20,47
think,19,26,45
little,17,28,45
thing,30,9,39
ok,20,18,38
going,19,19,38
shes,17,19,36
time,23,11,34
really,17,16,33
mom,31,1,32
hey,25,7,32
good,23,9,32
lets,21,10,31
didnt,17,14,31
take,11,18,29
cant,23,6,29
mean,23,5,28
stop,15,11,26
need,10,16,26
help,21,5,26
yes,23,2,25
ill,15,10,25
big,15,10,25
world,20,4,24
two,13,11,24
theres,11,13,24
home,16,8,24
youve,14,9,23
put,14,9,23
make,13,10,23
guys,8,15,23
way,13,9,22
doesnt,16,6,22
theyre,6,15,21
stuff,14,7,21
man,11,10,21
bus,20,1,21
tell,10,10,20
please,12,8,20
kids,17,3,20
found,3,17,20
bet,18,2,20
weve,6,13,19
magic,16,3,19
ive,12,7,19
doing,9,10,19
children,12,7,19
whats,8,10,18
wait,8,10,18
hell,1,17,18
give,13,5,18
evil,9,9,18
witches,15,2,17
turn,12,5,17
sorry,10,7,17
maybe,12,5,17
keep,10,7,17
baby,3,14,17
thought,8,8,16
night,6,10,16
house,10,6,16
coming,12,4,16
believe,7,9,16
understand,5,10,15
thanks,13,2,15
sure,5,10,15
place,8,7,15
people,4,11,15
hours,8,7,15
came,10,5,15
trying,8,6,14
thank,9,5,14
real,6,8,14
open,7,7,14
life,10,4,14
hes,10,4,14
bad,11,3,14
talk,6,7,13
long,12,1,13
happened,1,12,13
wrong,5,7,12
worry,8,4,12
um,10,2,12
things,8,4,12
talking,5,7,12
great,6,6,12
movie,1,10,11
mortal,10,1,11
hurt,3,8,11
huh,10,1,11
excuse,9,2,11
days,6,5,11
whoo,9,1,10
weird,7,3,10
try,5,5,10
normal,9,1,10
lost,3,7,10
kind,7,3,10
hear,6,4,10
ghost,8,2,10
find,5,5,10
feel,3,7,10
crazy,3,7,10
cool,5,5,10
book,7,3,10
better,8,2,10
barking,1,9,10
woods,1,8,9
town,4,5,9
spell,8,1,9
soon,5,4,9
screaming,2,7,9
old,8,1,9
made,5,4,9
leave,5,4,9
havent,6,3,9
guess,8,1,9
girl,2,7,9
end,6,3,9
door,4,5,9
course,7,2,9
call,4,5,9
bed,3,6,9
actually,7,2,9
work,5,3,8
wanted,3,5,8
used,5,3,8
trouble,6,2,8
stay,5,3,8
sleep,2,6,8
show,7,1,8
remember,5,3,8
pretty,5,3,8
powerful,7,1,8
nice,6,2,8
live,7,1,8
isnt,5,3,8
heard,1,7,8
friends,3,5,8
everybody,4,4,8
dude,2,6,8
away,5,3,8
wont,6,1,7
woman,2,5,7
whoa,4,3,7
watch,3,4,7
wanna,1,6,7
true,5,2,7
tired,3,4,7
three,3,4,7
sweat,6,1,7
supposed,3,4,7
story,4,3,7
shh,2,5,7
mm,6,1,7
lot,3,4,7
looks,3,4,7
head,4,3,7
gone,2,5,7
front,1,6,7
face,2,5,7
em,2,5,7
continues,1,6,7
care,3,4,7
broom,6,1,7
boy,3,4,7
arent,1,6,7
anyway,5,2,7
wasnt,4,2,6
truth,2,4,6
totally,5,1,6
times,3,3,6
special,5,1,6
shell,5,1,6
screams,3,3,6
ow,5,1,6
nature,2,4,6
minute,5,1,6
making,1,5,6
looking,2,4,6
laughter,4,2,6
laughing,4,2,6
later,4,2,6
knew,5,1,6
job,5,1,6
idea,4,2,6
id,5,1,6
having,2,4,6
happen,2,4,6
hand,2,4,6
funny,2,4,6
fear,2,4,6
energy,1,5,6
dog,3,3,6
day,5,1,6
dark,5,1,6
brought,1,5,6
afraid,3,3,6
wouldnt,2,3,5
works,4,1,5
word,1,4,5
wiccan,1,4,5
turned,4,1,5
told,2,3,5
today,2,3,5
started,2,3,5
spells,4,1,5
serious,3,2,5
sell,2,3,5
second,1,4,5
saying,1,4,5
run,3,2,5
return,4,1,5
rest,1,4,5
quick,2,3,5
outside,1,4,5
mommy,4,1,5
lives,1,4,5
kid,3,2,5
involved,3,2,5
inside,1,4,5
hold,3,2,5
happening,3,2,5
guy,4,1,5
father,4,1,5
fall,1,4,5
drive,3,2,5
dream,3,2,5
daughter,2,3,5
check,2,3,5
caffeine,3,2,5
bit,2,3,5
asleep,2,3,5
appreciate,3,2,5
ago,3,2,5
admit,2,3,5
youll,1,3,4
years,3,1,4
wheres,2,2,4
whered,3,1,4
video,1,3,4
tv,2,2,4
trust,3,1,4
touch,1,3,4
till,1,3,4
thinks,2,2,4
telling,2,2,4
sweetie,2,2,4
sweet,2,2,4
swear,1,3,4
store,1,3,4
shut,2,2,4
set,1,3,4
seen,1,3,4
seeing,2,2,4
saw,1,3,4
round,2,2,4
reason,3,1,4
punk,2,2,4
problem,1,3,4
pentagram,1,3,4
peace,1,3,4
mine,3,1,4
mind,1,3,4
men,1,3,4
loved,2,2,4
local,2,2,4
light,3,1,4
kitchen,3,1,4
hoping,2,2,4
half,2,2,4
goes,3,1,4
full,1,3,4
freak,1,3,4
eye,3,1,4
explain,1,3,4
eat,2,2,4
done,3,1,4
dogs,1,3,4
documentary,1,3,4
doctor,1,3,4
death,1,3,4
dad,3,1,4
confess,1,3,4
comes,1,3,4
buster,2,2,4
brother,3,1,4
boys,1,3,4
best,2,2,4
alive,1,3,4
aint,2,2,4
year,2,1,3
wish,2,1,3
welcome,1,2,3
wall,2,1,3
visit,1,2,3
teach,2,1,3
sound,1,2,3
sit,2,1,3
sick,2,1,3
shop,2,1,3
shed,1,2,3
sake,1,2,3
running,2,1,3
room,1,2,3
ride,2,1,3
ready,1,2,3
power,2,1,3
possibly,1,2,3
plenty,2,1,3
perfect,2,1,3
past,1,2,3
ones,2,1,3
obsessed,1,2,3
new,2,1,3
needs,2,1,3
name,1,2,3
myth,1,2,3
missing,2,1,3
means,1,2,3
losing,2,1,3
leaving,1,2,3
