word,Halloweentown,Dark Shadows,total
im,60,37,97
know,66,27,93
like,64,28,92
oh,83,8,91
dont,54,19,73
go,47,16,63
come,51,12,63
youre,32,23,55
see,39,11,50
yes,23,24,47
thing,30,11,41
thats,32,8,40
family,5,34,39
right,33,5,38
good,23,15,38
time,23,14,37
think,19,18,37
mother,30,7,37
yeah,23,13,36
mean,23,13,36
look,27,9,36
want,25,10,35
going,19,14,33
mom,31,1,32
back,22,10,32
gonna,30,1,31
please,12,18,30
love,1,28,29
help,21,8,29
cant,23,4,27
really,17,9,26
man,11,15,26
make,13,13,26
little,17,9,26
hey,25,1,26
hes,10,16,26
didnt,17,8,25
world,20,4,24
witch,19,5,24
shes,17,6,23
lets,21,2,23
ill,15,8,23
take,11,11,22
home,16,6,22
tell,10,11,21
keep,10,11,21
doesnt,16,5,21
put,14,6,20
long,12,8,20
halloween,19,1,20
give,13,7,20
bet,18,2,20
way,13,6,19
people,4,15,19
magic,16,3,19
two,13,5,18
place,8,10,18
need,10,8,18
life,10,8,18
big,15,3,18
sorry,10,7,17
house,10,7,17
town,4,12,16
things,8,8,16
theres,11,5,16
stop,15,1,16
children,12,4,16
youve,14,1,15
turn,12,3,15
stuff,14,1,15
name,1,14,15
coming,12,3,15
business,1,14,15
believe,7,8,15
thanks,13,1,14
old,8,6,14
miss,2,12,14
maybe,12,2,14
ive,12,2,14
feel,3,11,14
show,7,6,13
live,7,6,13
kind,7,6,13
human,10,3,13
hello,7,6,13
better,8,5,13
woman,2,10,12
true,5,7,12
nice,6,6,12
new,2,10,12
done,3,9,12
day,5,7,12
came,10,2,12
call,4,8,12
bad,11,1,12
away,5,7,12
ah,9,3,12
work,5,6,11
weird,7,4,11
um,10,1,11
thought,8,3,11
thank,9,2,11
sure,5,6,11
mortal,10,1,11
huh,10,1,11
hours,8,3,11
hair,8,3,11
father,4,7,11
excuse,9,2,11
doing,9,2,11
course,7,4,11
try,5,5,10
talk,6,4,10
real,6,4,10
part,5,5,10
normal,9,1,10
hear,6,4,10
guess,8,2,10
ghost,8,2,10
found,3,7,10
forever,5,5,10
chance,7,3,10
years,3,6,9
wow,8,1,9
worry,8,1,9
word,1,8,9
wont,6,3,9
wait,8,1,9
use,5,4,9
spell,8,1,9
remember,5,4,9
night,6,3,9
knew,5,4,9
isnt,5,4,9
hi,6,3,9
hell,1,8,9
great,6,3,9
getting,6,3,9
find,5,4,9
fight,6,3,9
doctor,1,8,9
actually,7,2,9
werewolf,6,2,8
vampire,2,6,8
understand,5,3,8
told,2,6,8
theyre,6,2,8
stay,5,3,8
open,7,1,8
leave,5,3,8
having,2,6,8
fine,6,2,8
fear,2,6,8
everybody,4,4,8
days,6,2,8
dark,5,3,8
boy,3,5,8
anyway,5,3,8
afraid,3,5,8
wanted,3,4,7
vampires,6,1,7
talking,5,2,7
sweet,2,5,7
suppose,4,3,7
start,5,2,7
save,5,2,7
run,3,4,7
pretty,5,2,7
made,5,2,7
loved,2,5,7
lost,3,4,7
looking,2,5,7
idea,4,3,7
heart,2,5,7
havent,6,1,7
different,2,5,7
creatures,6,1,7
creature,3,4,7
young,3,3,6
year,2,4,6
wrong,5,1,6
working,5,1,6
watch,3,3,6
started,2,4,6
speak,1,5,6
soon,5,1,6
secret,1,5,6
quite,4,2,6
monsters,5,1,6
monster,1,5,6
minute,5,1,6
mind,1,5,6
lot,3,3,6
line,2,4,6
job,5,1,6
hold,3,3,6
happening,3,3,6
ghosts,5,1,6
death,1,5,6
crazy,3,3,6
box,1,5,6
attendant,5,1,6
anymore,2,4,6
age,2,4,6
youll,1,4,5
wonderful,2,3,5
welcome,1,4,5
wasnt,4,1,5
turned,4,1,5
trust,3,2,5
times,3,2,5
story,4,1,5
spells,4,1,5
shadow,3,2,5
sell,2,3,5
seen,1,4,5
school,4,1,5
room,1,4,5
reveal,4,1,5
return,4,1,5
reason,3,2,5
probably,3,2,5
pretend,4,1,5
offer,1,4,5
mr,1,4,5
mommy,4,1,5
master,1,4,5
luck,3,2,5
looks,3,2,5
later,4,1,5
fish,1,4,5
face,2,3,5
door,4,1,5
destroy,2,3,5
decided,3,2,5
deal,2,3,5
daughter,2,3,5
care,3,2,5
brother,3,2,5
bring,4,1,5
best,2,3,5
youth,1,3,4
wouldnt,2,2,4
using,1,3,4
tired,3,1,4
teach,2,2,4
taken,1,3,4
strange,1,3,4
smart,3,1,4
saw,1,3,4
roots,3,1,4
pumpkin,2,2,4
promise,1,3,4
power,2,2,4
peace,1,3,4
ones,2,2,4
mine,3,1,4
met,2,2,4
men,1,3,4
meet,1,3,4
means,1,3,4
light,3,1,4
late,3,1,4
kid,3,1,4
iron,2,2,4
important,3,1,4
hurt,3,1,4
hard,2,2,4
happy,2,2,4
happen,2,2,4
half,2,2,4
grow,1,3,4
gone,2,2,4
goes,3,1,4
fun,2,2,4
finally,3,1,4
fellow,3,1,4
fact,2,2,4
especially,3,1,4
dream,3,1,4
dog,3,1,4
dead,2,2,4
darkness,2,2,4
dad,3,1,4
class,2,2,4
child,2,2,4
changed,2,2,4
catch,2,2,4
baby,3,1,4
asleep,2,2,4
ago,3,1,4
win,1,2,3
wheres,2,1,3
went,1,2,3
truth,2,1,3
today,2,1,3
third,1,2,3
thinks,2,1,3
suffer,1,2,3
stupid,1,2,3
stand,1,2,3
spook,1,2,3
sit,2,1,3
