word,Halloweentown,Death Becomes Her,total
oh,83,82,165
im,60,58,118
know,66,47,113
dont,54,48,102
like,64,20,84
youre,32,43,75
come,51,19,70
see,39,29,68
go,47,17,64
right,33,25,58
think,19,37,56
look,27,29,56
thats,32,22,54
shes,17,31,48
gonna,30,18,48
yes,23,21,44
thing,30,11,41
yeah,23,16,39
cant,23,15,38
good,23,13,36
time,23,12,35
want,25,9,34
help,21,13,34
hey,25,7,32
going,19,13,32
mother,30,1,31
little,17,14,31
didnt,17,13,30
uh,13,16,29
really,17,12,29
back,22,7,29
mean,23,5,28
please,12,15,27
lets,21,6,27
ill,15,12,27
ooh,25,1,26
take,11,14,25
world,20,4,24
thank,9,15,24
need,10,14,24
long,12,12,24
ive,12,12,24
put,14,9,23
youve,14,8,22
stop,15,7,22
make,13,9,22
life,10,12,22
way,13,8,21
tell,10,11,21
witch,19,1,20
man,11,9,20
give,13,7,20
doesnt,16,4,20
dead,2,18,20
two,13,6,19
sorry,10,9,19
bet,18,1,19
hes,10,8,18
forever,5,13,18
big,15,3,18
thought,8,9,17
magic,16,1,17
home,16,1,17
gotta,9,8,17
believe,7,10,17
talk,6,10,16
stuff,14,2,16
old,8,8,16
doing,9,7,16
came,10,6,16
whats,8,7,15
wait,8,7,15
huh,10,5,15
coming,12,3,15
call,4,11,15
bye,14,1,15
ah,9,6,15
years,3,11,14
theres,11,3,14
maybe,12,2,14
excuse,9,5,14
done,3,11,14
children,12,2,14
bad,11,3,14
work,5,8,13
whoo,9,4,13
turn,12,1,13
trying,8,5,13
house,10,3,13
ha,9,4,13
course,7,6,13
better,8,5,13
away,5,8,13
wont,6,6,12
understand,5,7,12
um,10,2,12
talking,5,7,12
miss,2,10,12
live,7,5,12
keep,10,2,12
hurt,3,9,12
day,5,7,12
people,4,7,11
party,5,6,11
made,5,6,11
kind,7,4,11
id,5,6,11
human,10,1,11
boy,3,8,11
ago,3,8,11
wow,8,2,10
woman,2,8,10
wasnt,4,6,10
things,8,2,10
sure,5,5,10
open,7,3,10
knew,5,5,10
havent,6,4,10
guess,8,2,10
fine,6,4,10
find,5,5,10
dinner,5,5,10
book,7,3,10
wrong,5,4,9
worry,8,1,9
weve,6,3,9
three,3,6,9
powerful,7,2,9
place,8,1,9
night,6,3,9
minute,5,4,9
leave,5,4,9
hours,8,1,9
hear,6,3,9
hair,8,1,9
door,4,5,9
completely,1,8,9
chance,7,2,9
ask,3,6,9
actually,7,2,9
youll,1,7,8
youd,3,5,8
ya,6,2,8
watch,3,5,8
wanted,3,5,8
use,5,3,8
true,5,3,8
trouble,6,2,8
told,2,6,8
sweet,2,6,8
stay,5,3,8
start,5,3,8
soon,5,3,8
show,7,1,8
shh,2,6,8
shell,5,3,8
real,6,2,8
quite,4,4,8
part,5,3,8
lost,3,5,8
job,5,3,8
hi,6,2,8
hell,1,7,8
heard,1,7,8
end,6,2,8
death,1,7,8
darling,1,7,8
turned,4,3,7
tonight,4,3,7
theyre,6,1,7
sit,2,5,7
secret,1,6,7
remember,5,2,7
