word,Halloweentown,Drag Me To Hell,total
im,60,51,111
oh,83,27,110
know,66,38,104
dont,54,33,87
like,64,13,77
come,51,26,77
go,47,22,69
right,33,30,63
see,39,23,62
youre,32,28,60
grandma,56,2,58
thats,32,25,57
gonna,30,27,57
hey,25,29,54
yeah,23,26,49
yes,23,23,46
good,23,23,46
think,19,24,43
mom,31,11,42
thing,30,11,41
want,25,15,40
look,27,13,40
really,17,21,38
help,21,16,37
thank,9,27,36
ill,15,21,36
please,12,23,35
mother,30,5,35
mean,23,12,35
cant,23,10,33
back,22,10,32
time,23,8,31
shes,17,12,29
lets,21,8,29
didnt,17,11,28
take,11,16,27
make,13,14,27
little,17,9,26
going,19,7,26
man,11,13,24
give,13,11,24
world,20,3,23
way,13,10,23
wait,8,15,23
home,16,7,23
woman,2,20,22
welcome,1,21,22
house,10,12,22
dead,2,20,22
bus,20,2,22
theres,11,10,21
tell,10,11,21
sorry,10,11,21
screaming,2,19,21
maybe,12,9,21
youve,14,6,20
thanks,13,7,20
sure,5,15,20
stop,15,5,20
need,10,10,20
doesnt,16,4,20
thought,8,11,19
put,14,4,18
coming,12,6,18
bye,14,4,18
whats,8,9,17
stuff,14,3,17
big,15,2,17
two,13,3,16
things,8,8,16
ive,12,4,16
hes,10,6,16
gotta,9,7,16
came,10,6,16
understand,5,10,15
uh,13,2,15
old,8,7,15
night,6,9,15
long,12,3,15
great,6,9,15
believe,7,8,15
screeching,3,11,14
kind,7,7,14
better,8,6,14
mr,1,12,13
love,1,12,13
huh,10,3,13
hi,6,7,13
doing,9,4,13
course,7,6,13
baby,3,10,13
spirit,1,11,12
life,10,2,12
bad,11,1,12
wow,8,3,11
work,5,6,11
nice,6,5,11
leave,5,6,11
keep,10,1,11
hello,7,4,11
ha,9,2,11
gasps,1,10,11
find,5,6,11
day,5,6,11
creaking,1,10,11
chance,7,4,11
call,4,7,11
button,3,8,11
wrong,5,5,10
tried,4,6,10
people,4,6,10
open,7,3,10
laughing,4,6,10
hear,6,4,10
hair,8,2,10
guess,8,2,10
fine,6,4,10
door,4,6,10
wont,6,3,9
weird,7,2,9
wasnt,4,5,9
try,5,4,9
true,5,4,9
talk,6,3,9
soon,5,4,9
show,7,2,9
screams,3,6,9
place,8,1,9
mouth,2,7,9
met,2,7,9
live,7,2,9
guys,8,1,9
girl,2,7,9
getting,6,3,9
dinner,5,4,9
days,6,3,9
dad,3,6,9
years,3,5,8
used,5,3,8
tonight,4,4,8
theyre,6,2,8
speaking,1,7,8
remember,5,3,8
real,6,2,8
powerful,7,1,8
new,2,6,8
mind,1,7,8
meet,1,7,8
made,5,3,8
lost,3,5,8
id,5,3,8
hell,1,7,8
havent,6,2,8
groaning,1,7,8
found,3,5,8
afraid,3,5,8
actually,7,1,8
weve,6,1,7
told,2,5,7
sweat,6,1,7
quite,4,3,7
panting,1,6,7
lot,3,4,7
looks,3,4,7
job,5,2,7
family,5,2,7
end,6,1,7
dark,5,2,7
couldnt,2,5,7
care,3,4,7
bring,4,3,7
away,5,2,7
working,5,1,6
use,5,1,6
tomorrow,2,4,6
thinking,3,3,6
talking,5,1,6
taking,1,5,6
supposed,3,3,6
stay,5,1,6
start,5,1,6
special,5,1,6
round,2,4,6
party,5,1,6
later,4,2,6
late,3,3,6
knew,5,1,6
itll,2,4,6
isnt,5,1,6
head,4,2,6
happened,1,5,6
guy,4,2,6
father,4,2,6
cookie,5,1,6
careful,5,1,6
anymore,2,4,6
ago,3,3,6
youd,3,2,5
wouldnt,2,3,5
wanted,3,2,5
wanna,1,4,5
trust,3,2,5
train,3,2,5
town,4,1,5
today,2,3,5
suppose,4,1,5
story,4,1,5
sounds,1,4,5
serious,3,2,5
ringing,3,2,5
read,2,3,5
looking,2,3,5
important,3,2,5
hold,3,2,5
hand,2,3,5
force,4,1,5
follow,4,1,5
fact,2,3,5
drive,3,2,5
deal,2,3,5
calling,2,3,5
called,2,3,5
bell,4,1,5
absolutely,1,4,5
young,3,1,4
youll,1,3,4
wish,2,2,4
tired,3,1,4
three,3,1,4
sweet,2,2,4
strange,1,3,4
standing,1,3,4
sick,2,2,4
saw,1,3,4
problem,1,3,4
probably,3,1,4
pitched,1,3,4
panic,3,1,4
mothers,2,2,4
miss,2,2,4
mine,3,1,4
loud,1,3,4
lift,2,2,4
laughs,3,1,4
kitchen,3,1,4
join,3,1,4
humming,3,1,4
hope,2,2,4
high,1,3,4
happening,3,1,4
happen,2,2,4
grunts,1,3,4
goes,3,1,4
forces,1,3,4
finally,3,1,4
fell,1,3,4
feel,3,1,4
face,2,2,4
eye,3,1,4
especially,3,1,4
dream,3,1,4
done,3,1,4
creature,3,1,4
couple,2,2,4
continues,1,3,4
comes,1,3,4
certain,1,3,4
cause,2,2,4
boy,3,1,4
bar,1,3,4
appreciate,3,1,4
admit,2,2,4
year,2,1,3
wondering,1,2,3
wonderful,2,1,3
wheres,2,1,3
wall,2,1,3
waiting,2,1,3
unless,1,2,3
telling,2,1,3
teach,2,1,3
taken,1,2,3
street,1,2,3
stand,1,2,3
sit,2,1,3
shut,2,1,3
shelter,2,1,3
seriously,1,2,3
seeing,2,1,3
recipe,2,1,3
quarter,1,2,3
proud,1,2,3
proper,1,2,3
problems,1,2,3
playing,1,2,3
ones,2,1,3
nose,1,2,3
needs,2,1,3
missing,2,1,3
making,1,2,3
lunch,1,2,3
lose,2,1,3
keeps,2,1,3
hour,1,2,3
honey,1,2,3
heart,2,1,3
having,2,1,3
hard,2,1,3
half,2,1,3
giving,1,2,3
gave,1,2,3
future,2,1,3
funny,2,1,3
full,1,2,3
forget,1,2,3
far,2,1,3
energies,1,2,3
drinking,1,2,3
doctor,1,2,3
destroy,2,1,3
destiny,1,2,3
decide,1,2,3
date,2,1,3
darkness,2,1,3
class,2,1,3
chuckles,1,2,3
chicken,2,1,3
chattering,1,2,3
changed,2,1,3
business,1,2,3
brought,1,2,3
broken,1,2,3
break,2,1,3
best,2,1,3
animal,1,2,3
write,1,1,2
word,1,1,2
went,1,1,2
volunteer,1,1,2
turns,1,1,2
trees,1,1,2
top,1,1,2
till,1,1,2
ticket,1,1,2
third,1,1,2
thatd,1,1,2
talked,1,1,2
success,1,1,2
store,1,1,2
starts,1,1,2
spirits,1,1,2
speak,1,1,2
sound,1,1,2
somethings,1,1,2
slams,1,1,2
sir,1,1,2
signs,1,1,2
showing,1,1,2
set,1,1,2
send,1,1,2
second,1,1,2
saying,1,1,2
sake,1,1,2
room,1,1,2
