word,Halloweentown,Evil Dead,total
like,64,27,91
oh,83,7,90
know,66,19,85
back,22,53,75
door,4,69,73
see,39,22,61
im,60,1,61
come,51,10,61
right,33,22,55
go,47,8,55
gonna,30,24,54
ha,9,44,53
turns,1,38,39
thing,30,9,39
room,1,34,35
hey,25,10,35
yeah,23,11,34
woods,1,33,34
look,27,7,34
good,23,11,34
looks,3,30,33
hand,2,31,33
want,25,7,32
mom,31,1,32
time,23,8,31
mean,23,6,29
going,19,10,29
help,21,7,28
cellar,1,27,28
book,7,20,27
dead,2,24,26
away,5,21,26
yes,23,2,25
think,19,6,25
uh,13,11,24
old,8,16,24
way,13,10,23
really,17,6,23
please,12,11,23
open,7,16,23
lets,21,2,23
outside,1,21,22
little,17,5,22
head,4,17,21
front,1,20,21
two,13,7,20
turn,12,8,20
trap,1,19,20
heard,1,19,20
force,4,16,20
place,8,11,19
make,13,6,19
body,1,18,19
bet,18,1,19
ya,6,12,18
take,11,7,18
put,14,4,18
home,16,2,18
evil,9,9,18
big,15,2,17
bad,11,6,17
stop,15,1,16
long,12,4,16
give,13,3,16
find,5,11,16
face,2,14,16
seen,1,14,15
screams,3,12,15
man,11,4,15
keep,10,5,15
things,8,6,14
leave,5,9,14
wait,8,5,13
trees,1,12,13
tell,10,3,13
sighs,12,1,13
maybe,12,1,13
inside,1,12,13
house,10,3,13
coming,12,1,13
better,8,5,13
life,10,2,12
hear,6,6,12
doing,9,3,12
dark,5,7,12
clock,1,11,12
came,10,2,12
box,1,11,12
work,5,6,11
um,10,1,11
trying,8,3,11
thought,8,3,11
thank,9,2,11
sorry,10,1,11
shut,2,9,11
past,1,10,11
laughter,4,7,11
human,10,1,11
hours,8,3,11
guess,8,3,11
ah,9,2,11
sure,5,5,10
stay,5,5,10
screaming,2,8,10
normal,9,1,10
moment,2,8,10
light,3,7,10
knew,5,5,10
hair,8,2,10
finally,3,7,10
believe,7,3,10
wrong,5,4,9
town,4,5,9
sound,1,8,9
real,6,3,9
march,8,1,9
guys,8,1,9
getting,6,3,9
end,6,3,9
darkness,2,7,9
continues,1,8,9
try,5,3,8
talking,5,3,8
start,5,3,8
sounds,1,7,8
slams,1,7,8
sister,4,4,8
show,7,1,8
runs,1,7,8
probably,3,5,8
powerful,7,1,8
part,5,3,8
night,6,2,8
mouth,2,6,8
minute,5,3,8
made,5,3,8
looking,2,6,8
live,7,1,8
kitchen,3,5,8
kind,7,1,8
hell,1,7,8
fine,6,2,8
eye,3,5,8
chance,7,1,8
ancient,1,7,8
actually,7,1,8
wall,2,5,7
tomorrow,2,5,7
sweat,6,1,7
soon,5,2,7
shed,1,6,7
shadow,3,4,7
saw,1,6,7
return,4,3,7
pretty,5,2,7
nice,6,1,7
move,2,5,7
laughing,4,3,7
great,6,1,7
glass,2,5,7
evening,1,6,7
drive,3,4,7
done,3,4,7
dinner,5,2,7
days,6,1,7
comes,1,6,7
baby,3,4,7
alive,1,6,7
works,4,2,6
watch,3,3,6
used,5,1,6
understand,5,1,6
totally,5,1,6
speak,1,5,6
shell,5,1,6
reveal,4,2,6
removes,1,5,6
quite,4,2,6
queen,1,5,6
point,1,5,6
people,4,2,6
party,5,1,6
number,4,2,6
moving,2,4,6
handle,2,4,6
gone,2,4,6
forever,5,1,6
fear,2,4,6
family,5,1,6
drawing,1,5,6
deal,2,4,6
check,2,4,6
call,4,2,6
attention,1,5,6
anyway,5,1,6
animal,1,5,6
years,3,2,5
waiting,2,3,5
tried,4,1,5
tonight,4,1,5
three,3,2,5
stand,1,4,5
school,4,1,5
run,3,2,5
reason,3,2,5
lost,3,2,5
leaves,1,4,5
laughs,3,2,5
later,4,1,5
late,3,2,5
joins,1,4,5
horrible,1,4,5
guy,4,1,5
friends,3,2,5
found,3,2,5
finds,1,4,5
feel,3,2,5
earlier,1,4,5
distance,1,4,5
crazy,3,2,5
care,3,2,5
bring,4,1,5
bed,3,2,5
asleep,2,3,5
arms,1,4,5
whispering,3,1,4
turning,1,3,4
supposed,3,1,4
strange,1,3,4
sit,2,2,4
set,1,3,4
radio,1,3,4
quiet,1,3,4
passed,1,3,4
mine,3,1,4
lose,2,2,4
lock,2,2,4
listening,1,3,4
left,1,3,4
leaving,1,3,4
join,3,1,4
important,3,1,4
hold,3,1,4
hide,1,3,4
helps,1,3,4
heads,1,3,4
happened,1,3,4
grip,1,3,4
goes,3,1,4
gives,1,3,4
engine,1,3,4
em,2,2,4
eh,3,1,4
ear,1,3,4
dream,3,1,4
dad,3,1,4
calling,2,2,4
bury,1,3,4
break,2,2,4
bone,2,2,4
blade,1,3,4
best,2,2,4
begin,1,3,4
ago,3,1,4
worried,1,2,3
wonderful,2,1,3
whistle,2,1,3
top,1,2,3
th,2,1,3
sweet,2,1,3
stopping,2,1,3
stomach,1,2,3
step,1,2,3
starts,1,2,3
started,2,1,3
standing,1,2,3
sleep,2,1,3
sake,1,2,3
rest,1,2,3
ran,2,1,3
raise,2,1,3
precious,2,1,3
power,2,1,3
pouring,1,2,3
polite,2,1,3
pick,1,2,3
perfect,2,1,3
passage,1,2,3
pain,1,2,3
new,2,1,3
men,1,2,3
love,1,2,3
loud,1,2,3
locked,1,2,3
local,2,1,3
lights,1,2,3
keeps,2,1,3
instant,1,2,3
hot,1,2,3
hoping,2,1,3
hope,2,1,3
hit,1,2,3
high,1,2,3
happen,2,1,3
hanging,1,2,3
hang,2,1,3
girl,2,1,3
gets,1,2,3
follows,1,2,3
figure,1,2,3
fast,1,2,3
far,2,1,3
fact,2,1,3
eat,2,1,3
dangerous,2,1,3
continue,2,1,3
completely,1,2,3
closing,1,2,3
cause,2,1,3
catch,2,1,3
burning,1,2,3
brought,1,2,3
broken,1,2,3
blowing,2,1,3
bit,2,1,3
aw,1,2,3
yells,1,1,2
wrap,1,1,2
worked,1,1,2
wild,1,1,2
weeks,1,1,2
washed,1,1,2
wanna,1,1,2
upstairs,1,1,2
upsetting,1,1,2
upset,1,1,2
touch,1,1,2
taking,1,1,2
suit,1,1,2
song,1,1,2
six,1,1,2
showed,1,1,2
shot,1,1,2
short,1,1,2
second,1,1,2
saying,1,1,2
rooms,1,1,2
properly,1,1,2
promise,1,1,2
possibly,1,1,2
playing,1,1,2
original,1,1,2
obvious,1,1,2
nose,1,1,2
nights,1,1,2
name,1,1,2
muffled,1,1,2
mind,1,1,2
means,1,1,2
mark,1,1,2
making,1,1,2
kiss,1,1,2
jerk,1,1,2
hour,1,1,2
growing,1,1,2
goodbye,1,1,2
gasps,1,1,2
frozen,1,1,2
freezes,1,1,2
forces,1,1,2
food,1,1,2
fly,1,1,2
finish,1,1,2
fall,1,1,2
extra,1,1,2
expected,1,1,2
exist,1,1,2
escape,1,1,2
egyptian,1,1,2
dying,1,1,2
drop,1,1,2
drinking,1,1,2
demon,1,1,2
create,1,1,2
controlled,1,1,2
closed,1,1,2
cast,1,1,2
breaking,1,1,2
brave,1,1,2
books,1,1,2
blue,1,1,2
bite,1,1,2
awake,1,1,2
amazing,1,1,2
grandma,56,0,56
dont,54,0,54
marnie,36,0,36
youre,32,0,32
thats,32,0,32
mother,30,0,30
ooh,25,0,25
cant,23,0,23
world,20,0,20
sophie,20,0,20
ok,20,0,20
bus,20,0,20
witch,19,0,19
halloween,19,0,19
shes,17,0,17
kids,17,0,17
halloweentown,17,0,17
didnt,17,0,17
magic,16,0,16
doesnt,16,0,16
witches,15,0,15
ill,15,0,15
youve,14,0,14
talisman,14,0,14
stuff,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
bye,14,0,14
thanks,13,0,13
ive,12,0,12
gwen,12,0,12
children,12,0,12
theres,11,0,11
calabar,11,0,11
need,10,0,10
mortal,10,0,10
huh,10,0,10
hes,10,0,10
whoo,9,0,9
gotta,9,0,9
excuse,9,0,9
wow,8,0,8
worry,8,0,8
whats,8,0,8
training,8,0,8
stroke,8,0,8
spell,8,0,8
luke,8,0,8
ghost,8,0,8
cromwells,8,0,8
weird,7,0,7
hello,7,0,7
course,7,0,7
aggie,7,0,7
wont,6,0,6
weve,6,0,6
werewolf,6,0,6
vampires,6,0,6
trouble,6,0,6
trick,6,0,6
theyre,6,0,6
talk,6,0,6
moaning,6,0,6
mm,6,0,6
mayor,6,0,6
hm,6,0,6
hi,6,0,6
havent,6,0,6
guythur,6,0,6
grandmas,6,0,6
fight,6,0,6
creatures,6,0,6
broom,6,0,6
working,5,0,5
use,5,0,5
true,5,0,5
special,5,0,5
somebodys,5,0,5
save,5,0,5
remember,5,0,5
presents,5,0,5
ow,5,0,5
monsters,5,0,5
job,5,0,5
isnt,5,0,5
id,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
day,5,0,5
cool,5,0,5
cookie,5,0,5
careful,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
whoa,4,0,4
wasnt,4,0,4
vu,4,0,4
turned,4,0,4
sweetheart,4,0,4
suppose,4,0,4
story,4,0,4
spells,4,0,4
pretend,4,0,4
mommy,4,0,4
idea,4,0,4
hoo,4,0,4
follow,4,0,4
father,4,0,4
everybody,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
bell,4,0,4
awesome,4,0,4
anoeth,4,0,4
young,3,0,3
youd,3,0,3
witchs,3,0,3
whered,3,0,3
warlock,3,0,3
wanted,3,0,3
trust,3,0,3
train,3,0,3
tired,3,0,3
times,3,0,3
thinking,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
smart,3,0,3
simple,3,0,3
serious,3,0,3
screeching,3,0,3
roots,3,0,3
ringing,3,0,3
plus,3,0,3
panic,3,0,3
neat,3,0,3
movies,3,0,3
mortals,3,0,3
midnight,3,0,3
marnies,3,0,3
luck,3,0,3
lot,3,0,3
lit,3,0,3
kid,3,0,3
involved,3,0,3
installing,3,0,3
hurt,3,0,3
humming,3,0,3
humans,3,0,3
happening,3,0,3
grammy,3,0,3
fellow,3,0,3
fang,3,0,3
especially,3,0,3
dumb,3,0,3
dog,3,0,3
decorations,3,0,3
decided,3,0,3
crowd,3,0,3
creature,3,0,3
couldve,3,0,3
costume,3,0,3
caffeine,3,0,3
button,3,0,3
brother,3,0,3
brew,3,0,3
boy,3,0,3
betty,3,0,3
ask,3,0,3
appreciate,3,0,3
afraid,3,0,3
aboard,3,0,3
year,2,0,2
yay,2,0,2
wouldnt,2,0,2
worst,2,0,2
worlds,2,0,2
wondered,2,0,2
woman,2,0,2
wish,2,0,2
wiener,2,0,2
whistles,2,0,2
wheres,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
truth,2,0,2
treating,2,0,2
treat,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
told,2,0,2
today,2,0,2
tires,2,0,2
thinks,2,0,2
telling,2,0,2
teach,2,0,2
sweetie,2,0,2
stronger,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
skeletons,2,0,2
sick,2,0,2
shopping,2,0,2
shop,2,0,2
shoe,2,0,2
shh,2,0,2
shelter,2,0,2
sell,2,0,2
seeing,2,0,2
schedule,2,0,2
running,2,0,2
rumbling,2,0,2
round,2,0,2
river,2,0,2
ride,2,0,2
recipe,2,0,2
read,2,0,2
quick,2,0,2
punk,2,0,2
pumpkin,2,0,2
poor,2,0,2
plenty,2,0,2
pins,2,0,2
overlapping,2,0,2
ornament,2,0,2
ones,2,0,2
nutcase,2,0,2
needs,2,0,2
needles,2,0,2
nature,2,0,2
mothers,2,0,2
moms,2,0,2
mistake,2,0,2
missing,2,0,2
miss,2,0,2
met,2,0,2
merlins,2,0,2
lucky,2,0,2
loved,2,0,2
losing,2,0,2
line,2,0,2
lift,2,0,2
leftovers,2,0,2
king,2,0,2
jobs,2,0,2
itll,2,0,2
iron,2,0,2
install,2,0,2
ingredients,2,0,2
hung,2,0,2
hoped,2,0,2
heart,2,0,2
having,2,0,2
hard,2,0,2
happy,2,0,2
handsome,2,0,2
half,2,0,2
grunting,2,0,2
grownup,2,0,2
goodness,2,0,2
goblins,2,0,2
future,2,0,2
funny,2,0,2
fun,2,0,2
fill,2,0,2
fighting,2,0,2
ew,2,0,2
duh,2,0,2
dude,2,0,2
dressed,2,0,2
drat,2,0,2
downer,2,0,2
distract,2,0,2
disappeared,2,0,2
disappear,2,0,2
different,2,0,2
destroy,2,0,2
daughter,2,0,2
date,2,0,2
dare,2,0,2
cute,2,0,2
couple,2,0,2
couldnt,2,0,2
costumes,2,0,2
class,2,0,2
chowder,2,0,2
child,2,0,2
chicken,2,0,2
cheese,2,0,2
chatter,2,0,2
changed,2,0,2
celebrate,2,0,2
called,2,0,2
buying,2,0,2
buster,2,0,2
bunch,2,0,2
bubble,2,0,2
brooms,2,0,2
born,2,0,2
boring,2,0,2
benny,2,0,2
bag,2,0,2
anymore,2,0,2
altogether,2,0,2
aint,2,0,2
age,2,0,2
agatha,2,0,2
admit,2,0,2
zip,1,0,1
zero,1,0,1
youth,1,0,1
youll,1,0,1
yee,1,0,1
write,1,0,1
word,1,0,1
wor,1,0,1
wondering,1,0,1
wonderfully,1,0,1
wolfies,1,0,1
wolf,1,0,1
wished,1,0,1
winning,1,0,1
winner,1,0,1
windsweeper,1,0,1
win,1,0,1
williams,1,0,1
wiccan,1,0,1
went,1,0,1
welsh,1,0,1
welcome,1,0,1
weirdo,1,0,1
wears,1,0,1
wastrel,1,0,1
waste,1,0,1
warts,1,0,1
warlocks,1,0,1
volunteer,1,0,1
vivida,1,0,1
visits,1,0,1
visit,1,0,1
video,1,0,1
vi,1,0,1
verge,1,0,1
vastly,1,0,1
vanquished,1,0,1
vacation,1,0,1
using,1,0,1
urgent,1,0,1
urban,1,0,1
upitidas,1,0,1
unless,1,0,1
unibody,1,0,1
unfair,1,0,1
underworld,1,0,1
underestimate,1,0,1
uncovered,1,0,1
unchecked,1,0,1
ugly,1,0,1
ugliest,1,0,1
ugh,1,0,1
twice,1,0,1
twerp,1,0,1
troubles,1,0,1
troublemakers,1,0,1
trimmings,1,0,1
tricks,1,0,1
treatment,1,0,1
transparent,1,0,1
toxic,1,0,1
tooth,1,0,1
tolling,1,0,1
toil,1,0,1
title,1,0,1
till,1,0,1
tight,1,0,1
tie,1,0,1
tickets,1,0,1
ticket,1,0,1
thursday,1,0,1
threatens,1,0,1
third,1,0,1
thinning,1,0,1
thermostat,1,0,1
theirs,1,0,1
thee,1,0,1
theater,1,0,1
thatll,1,0,1
thatd,1,0,1
terrible,1,0,1
tend,1,0,1
technician,1,0,1
taste,1,0,1
tantrum,1,0,1
taller,1,0,1
talked,1,0,1
taken,1,0,1
tackle,1,0,1
system,1,0,1
swimming,1,0,1
sweeping,1,0,1
swear,1,0,1
sundae,1,0,1
sulfuric,1,0,1
suitcase,1,0,1
suffice,1,0,1
suffer,1,0,1
success,1,0,1
styx,1,0,1
stupid,1,0,1
stuffs,1,0,1
studies,1,0,1
streets,1,0,1
street,1,0,1
store,1,0,1
stolen,1,0,1
stir,1,0,1
stinky,1,0,1
sticky,1,0,1
stereotypes,1,0,1
static,1,0,1
stars,1,0,1
stare,1,0,1
squishing,1,0,1
squawking,1,0,1
square,1,0,1
springer,1,0,1
spread,1,0,1
spook,1,0,1
