word,Halloweentown,Halloweentown High,total
oh,83,111,194
know,66,79,145
im,60,82,142
dont,54,56,110
like,64,40,104
go,47,45,92
come,51,33,84
grandma,56,17,73
see,39,31,70
marnie,36,34,70
youre,32,36,68
right,33,34,67
ok,20,46,66
yeah,23,41,64
thats,32,27,59
mean,23,32,55
gonna,30,23,53
yes,23,27,50
think,19,31,50
really,17,33,50
good,23,26,49
magic,16,31,47
cant,23,24,47
lets,21,25,46
little,17,28,45
hey,25,20,45
going,19,24,43
want,25,16,41
time,23,18,41
thing,30,11,41
mom,31,8,39
mother,30,8,38
look,27,11,38
back,22,16,38
uh,13,24,37
help,21,16,37
ooh,25,11,36
halloweentown,17,19,36
sorry,10,25,35
halloween,19,14,33
world,20,11,31
shes,17,13,30
didnt,17,11,28
way,13,14,27
theres,11,15,26
ill,15,11,26
um,10,15,25
witch,19,5,24
wait,8,16,24
two,13,11,24
stop,15,9,24
kids,17,7,24
home,16,8,24
whats,8,15,23
school,4,19,23
human,10,13,23
hm,6,17,23
hi,6,17,23
hes,10,13,23
guys,8,15,23
bus,20,3,23
bet,18,5,23
thought,8,14,22
take,11,11,22
sophie,20,2,22
people,4,18,22
make,13,9,22
house,10,12,22
fine,6,16,22
cromwell,14,8,22
big,15,7,22
aggie,7,15,22
doesnt,16,5,21
witches,15,5,20
things,8,12,20
put,14,6,20
maybe,12,8,20
keep,10,10,20
youve,14,5,19
worry,8,11,19
ive,12,7,19
dylan,14,5,19
thanks,13,5,18
sure,5,13,18
please,12,6,18
kind,7,11,18
give,13,5,18
doing,9,9,18
ah,9,9,18
trying,8,9,17
theyre,6,11,17
bye,14,3,17
better,8,9,17
tell,10,6,16
stuff,14,2,16
show,7,9,16
need,10,6,16
excuse,9,7,16
everybody,4,12,16
believe,7,9,16
wont,6,9,15
turn,12,3,15
try,5,10,15
thank,9,6,15
talking,5,10,15
spell,8,7,15
powers,14,1,15
place,8,7,15
man,11,4,15
life,10,5,15
humans,3,12,15
ha,9,6,15
find,5,10,15
whoo,9,5,14
open,7,7,14
long,12,2,14
idea,4,10,14
huh,10,4,14
day,5,9,14
coming,12,2,14
came,10,4,14
whoa,4,9,13
talk,6,7,13
mm,6,7,13
gwen,12,1,13
children,12,1,13
bad,11,2,13
weve,6,6,12
old,8,4,12
hello,7,5,12
guess,8,4,12
course,7,5,12
actually,7,5,12
wow,8,3,11
wouldnt,2,9,11
night,6,5,11
id,5,6,11
great,6,5,11
gotta,9,2,11
evil,9,2,11
wrong,5,5,10
stay,5,5,10
pretty,5,5,10
later,4,6,10
isnt,5,5,10
important,3,7,10
friends,3,7,10
done,3,7,10
cromwells,8,2,10
chance,7,3,10
away,5,5,10
youd,3,6,9
use,5,4,9
told,2,7,9
start,5,4,9
remember,5,4,9
part,5,4,9
midnight,3,6,9
live,7,2,9
hours,8,1,9
hair,8,1,9
getting,6,3,9
end,6,3,9
different,2,7,9
creatures,6,3,9
ya,6,2,8
worlds,2,6,8
work,5,3,8
werewolf,6,2,8
welcome,1,7,8
wasnt,4,4,8
