word,Halloweentown,Halloweentown II,total
oh,83,99,182
like,64,46,110
im,60,49,109
grandma,56,52,108
know,66,40,106
spell,8,94,102
dont,54,42,96
go,47,35,82
right,33,47,80
come,51,26,77
thats,32,42,74
marnie,36,33,69
back,22,37,59
ok,20,38,58
mom,31,27,58
see,39,18,57
youre,32,22,54
cant,23,28,51
think,19,31,50
yeah,23,26,49
gonna,30,18,48
time,23,24,47
look,27,19,46
yes,23,22,45
world,20,24,44
mean,23,21,44
halloweentown,17,27,44
sophie,20,23,43
good,23,19,42
thing,30,11,41
want,25,15,40
mother,30,9,39
hey,25,13,38
lets,21,15,36
going,19,17,36
book,7,29,36
hes,10,25,35
really,17,17,34
dylan,14,20,34
magic,16,17,33
little,17,16,33
uh,13,18,31
mortal,10,21,31
ooh,25,5,30
ill,15,15,30
help,21,9,30
halloween,19,11,30
didnt,17,13,30
maybe,12,16,28
way,13,14,27
witch,19,7,26
stop,15,11,26
house,10,16,26
big,15,11,26
doesnt,16,9,25
theres,11,13,24
shes,17,7,24
put,14,10,24
witches,15,8,23
sure,5,18,23
party,5,18,23
make,13,10,23
give,13,10,23
take,11,11,22
home,16,6,22
bus,20,2,22
um,10,11,21
two,13,8,21
youve,14,6,20
whats,8,12,20
stuff,14,6,20
need,10,10,20
kids,17,3,20
cromwell,14,6,20
coming,12,8,20
wait,8,11,19
powers,14,5,19
luke,8,11,19
ive,12,7,19
ha,9,10,19
bye,14,5,19
bet,18,1,19
thanks,13,5,18
tell,10,8,18
guess,8,10,18
find,5,13,18
things,8,9,17
sorry,10,7,17
please,12,5,17
huh,10,7,17
gotta,9,8,17
costume,3,14,17
aggie,7,10,17
long,12,4,16
keep,10,6,16
gwen,12,4,16
guys,8,8,16
doing,9,7,16
dad,3,13,16
creatures,6,10,16
children,12,4,16
wow,8,7,15
weve,6,9,15
turn,12,3,15
trying,8,7,15
place,8,7,15
open,7,8,15
lost,3,12,15
excuse,9,6,15
came,10,5,15
believe,7,8,15
wont,6,8,14
theyre,6,8,14
talk,6,8,14
normal,9,5,14
man,11,3,14
human,10,4,14
great,6,8,14
creature,3,11,14
better,8,6,14
years,3,10,13
use,5,8,13
thank,9,4,13
spells,4,9,13
sighs,12,1,13
show,7,6,13
kind,7,6,13
head,4,9,13
bad,11,2,13
year,2,10,12
work,5,7,12
try,5,7,12
thought,8,4,12
remember,5,7,12
night,6,6,12
nice,6,6,12
midnight,3,9,12
id,5,7,12
hear,6,6,12
cromwells,8,4,12
old,8,3,11
made,5,6,11
live,7,4,11
life,10,1,11
leave,5,6,11
knew,5,6,11
humans,3,8,11
feel,3,8,11
evil,9,2,11
actually,7,4,11
worry,8,2,10
whoo,9,1,10
whoa,4,6,10
supposed,3,7,10
minute,5,5,10
hours,8,2,10
getting,6,4,10
fight,6,4,10
family,5,5,10
end,6,4,10
course,7,3,10
call,4,6,10
benny,2,8,10
youd,3,6,9
weird,7,2,9
training,8,1,9
talking,5,4,9
school,4,5,9
real,6,3,9
mask,1,8,9
later,4,5,9
isnt,5,4,9
hi,6,3,9
hello,7,2,9
havent,6,3,9
hair,8,1,9
grandmas,6,3,9
door,4,5,9
date,2,7,9
ya,6,2,8
wheres,2,6,8
warlock,3,5,8
used,5,3,8
turning,1,7,8
trap,1,7,8
stay,5,3,8
people,4,4,8
part,5,3,8
mm,6,2,8
high,1,7,8
happening,3,5,8
fun,2,6,8
fine,6,2,8
everybody,4,4,8
day,5,3,8
careful,5,3,8
away,5,3,8
afraid,3,5,8
wrong,5,2,7
worlds,2,5,7
working,5,2,7
werewolf,6,1,7
watch,3,4,7
turned,4,3,7
trouble,6,1,7
tried,4,3,7
teach,2,5,7
sweetheart,4,3,7
sweet,2,5,7
suppose,4,3,7
soon,5,2,7
somebodys,5,2,7
room,1,6,7
reading,1,6,7
read,2,5,7
pretend,4,3,7
mommy,4,3,7
moaning,6,1,7
laughs,3,4,7
job,5,2,7
hope,2,5,7
hasnt,1,6,7
gone,2,5,7
found,3,4,7
forever,5,2,7
em,2,5,7
days,6,1,7
cool,5,2,7
called,2,5,7
broom,6,1,7
bed,3,4,7
anyway,5,2,7
witchs,3,3,6
wasnt,4,2,6
wanna,1,5,6
tonight,4,2,6
thinking,3,3,6
start,5,1,6
screams,3,3,6
pretty,5,1,6
power,2,4,6
monsters,5,1,6
looking,2,4,6
idea,4,2,6
girl,2,4,6
friends,3,3,6
forget,1,5,6
father,4,2,6
eye,3,3,6
dinner,5,1,6
dark,5,1,6
changed,2,4,6
busy,1,5,6
bring,4,2,6
break,2,4,6
boy,3,3,6
books,1,5,6
anymore,2,4,6
ago,3,3,6
aggies,1,5,6
young,3,2,5
write,1,4,5
word,1,4,5
wanted,3,2,5
told,2,3,5
till,1,4,5
stronger,2,3,5
story,4,1,5
sister,4,1,5
simple,3,2,5
run,3,2,5
ready,1,4,5
quite,4,1,5
problem,1,4,5
probably,3,2,5
number,4,1,5
match,1,4,5
marnies,3,2,5
luck,3,2,5
looks,3,2,5
join,3,2,5
itll,2,3,5
inside,1,4,5
hour,1,4,5
happy,2,3,5
happened,1,4,5
guy,4,1,5
goes,3,2,5
future,2,3,5
follow,4,1,5
fly,1,4,5
finally,3,2,5
