word,Halloweentown,Harry Potter and the Sorcerer s Stone,total
oh,83,39,122
know,66,22,88
im,60,27,87
go,47,36,83
like,64,18,82
come,51,29,80
dont,54,21,75
see,39,31,70
back,22,41,63
right,33,23,56
thats,32,21,53
youre,32,19,51
looks,3,43,46
good,23,22,45
look,27,17,44
going,19,17,36
yes,23,12,35
want,25,10,35
thing,30,5,35
hey,25,10,35
think,19,15,34
mother,30,4,34
head,4,30,34
gonna,30,4,34
cant,23,10,33
time,23,9,32
two,13,18,31
help,21,10,31
mean,23,7,30
man,11,19,30
way,13,16,29
make,13,15,28
broom,6,22,28
ooh,25,2,27
lets,21,6,27
door,4,23,27
didnt,17,10,27
stop,15,11,26
boy,3,23,26
witch,19,6,25
really,17,8,25
please,12,13,25
house,10,15,25
yeah,23,1,24
little,17,7,24
world,20,3,23
take,11,12,23
put,14,9,23
magic,16,7,23
later,4,19,23
hes,10,13,23
comes,1,22,23
tell,10,12,22
mr,1,21,22
great,6,16,22
day,5,17,22
give,13,8,21
youve,14,6,20
turn,12,8,20
theres,11,9,20
ive,12,8,20
halloween,19,1,20
goes,3,17,20
doesnt,16,4,20
bit,2,18,20
away,5,15,20
ahh,1,18,19
ah,9,10,19
uh,13,5,18
thanks,13,5,18
sorry,10,8,18
shes,17,1,18
maybe,12,6,18
ill,15,3,18
family,5,13,18
bad,11,7,18
whoa,4,13,17
whats,8,9,17
need,10,7,17
long,12,5,17
keep,10,7,17
hand,2,15,17
hair,8,9,17
excuse,9,8,17
witches,15,1,16
wall,2,14,16
name,1,15,16
doing,9,7,16
class,2,14,16
bye,14,2,16
big,15,1,16
sighs,12,3,15
people,4,11,15
leave,5,10,15
gets,1,14,15
course,7,8,15
called,2,13,15
better,8,7,15
turns,1,13,14
outside,1,13,14
open,7,7,14
old,8,6,14
normal,9,5,14
hello,7,7,14
find,5,9,14
coming,12,2,14
wait,8,5,13
three,3,10,13
thank,9,4,13
spell,8,5,13
sir,1,12,13
run,3,10,13
life,10,3,13
dark,5,8,13
years,3,9,12
things,8,4,12
theyre,6,6,12
room,1,11,12
place,8,4,12
night,6,6,12
glass,2,10,12
girl,2,10,12
follow,4,8,12
wow,8,3,11
work,5,6,11
wont,6,5,11
whoo,9,2,11
welcome,1,10,11
um,10,1,11
trying,8,3,11
try,5,6,11
train,3,8,11
thought,8,3,11
start,5,6,11
reveal,4,7,11
nice,6,5,11
looking,2,9,11
knew,5,6,11
isnt,5,6,11
evil,9,2,11
came,10,1,11
begin,1,10,11
year,2,8,10
worry,8,2,10
talking,5,5,10
sure,5,5,10
school,4,6,10
remember,5,5,10
real,6,4,10
leaves,1,9,10
id,5,5,10
ha,9,1,10
ghost,8,2,10
face,2,8,10
end,6,4,10
crowd,3,7,10
believe,7,3,10
wrong,5,4,9
woman,2,7,9
understand,5,4,9
runs,1,8,9
running,2,7,9
fine,6,3,9
father,4,5,9
done,3,6,9
boys,1,8,9
attention,1,8,9
ya,6,2,8
whistle,2,6,8
watch,3,5,8
true,5,3,8
trouble,6,2,8
street,1,7,8
stay,5,3,8
starts,1,7,8
soon,5,3,8
powerful,7,1,8
nose,1,7,8
new,2,6,8
move,2,6,8
mind,1,7,8
luck,3,5,8
live,7,1,8
light,3,5,8
laughs,3,5,8
job,5,3,8
