word,Halloweentown,Hocus Pocus,total
oh,83,73,156
come,51,83,134
im,60,44,104
dont,54,50,104
go,47,47,94
know,66,25,91
like,64,18,82
right,33,29,62
hey,25,37,62
yeah,23,36,59
see,39,20,59
youre,32,25,57
yes,23,30,53
little,17,34,51
look,27,23,50
bye,14,35,49
good,23,24,47
mom,31,13,44
book,7,37,44
lets,21,21,42
gonna,30,12,42
thats,32,9,41
children,12,28,40
time,23,16,39
thing,30,8,38
mother,30,7,37
sisters,1,35,36
ooh,25,11,36
cant,23,13,36
want,25,10,35
put,14,21,35
back,22,13,35
witches,15,18,33
uh,13,20,33
halloween,19,14,33
way,13,19,32
take,11,21,32
think,19,12,31
help,21,10,31
really,17,12,29
ill,15,14,29
dead,2,27,29
spell,8,20,28
mean,23,5,28
ive,12,16,28
home,16,12,28
going,19,9,28
witch,19,7,26
life,10,16,26
ah,9,17,26
ha,9,16,25
trick,6,18,24
theyre,6,18,24
make,13,11,24
huh,10,14,24
bus,20,4,24
world,20,3,23
sorry,10,13,23
shes,17,6,23
man,11,12,23
theres,11,11,22
stop,15,7,22
magic,16,6,22
remember,5,16,21
please,12,9,21
maybe,12,9,21
kids,17,4,21
hes,10,11,21
give,13,8,21
wait,8,12,20
old,8,12,20
house,10,10,20
didnt,17,3,20
thanks,13,6,19
doesnt,16,3,19
big,15,4,19
bet,18,1,19
whoo,9,9,18
whoa,4,14,18
tell,10,8,18
stuff,14,4,18
open,7,11,18
long,12,6,18
hi,6,12,18
hello,7,11,18
thank,9,8,17
youve,14,2,16
um,10,6,16
two,13,3,16
night,6,10,16
guys,8,8,16
great,6,10,16
gone,2,14,16
coming,12,4,16
wow,8,7,15
whats,8,7,15
turn,12,3,15
treat,2,13,15
powers,14,1,15
need,10,5,15
find,5,10,15
child,2,13,15
bad,11,4,15
watch,3,11,14
sister,4,10,14
believe,7,7,14
ahh,1,13,14
ya,6,7,13
place,8,5,13
dad,3,10,13
candy,5,8,13
away,5,8,13
wanna,1,11,12
thought,8,4,12
mine,3,9,12
master,1,11,12
keep,10,2,12
havent,6,6,12
guess,8,4,12
evil,9,3,12
candle,1,11,12
broom,6,6,12
better,8,4,12
weird,7,4,11
shh,2,9,11
nice,6,5,11
mortal,10,1,11
human,10,1,11
hair,8,3,11
gotta,9,2,11
forever,5,6,11
fine,6,5,11
excuse,9,2,11
call,4,7,11
boy,3,8,11
years,3,7,10
worry,8,2,10
weve,6,4,10
trying,8,2,10
things,8,2,10
thee,1,9,10
stay,5,5,10
show,7,3,10
normal,9,1,10
lost,3,7,10
live,7,3,10
knew,5,5,10
kind,7,3,10
hold,3,7,10
doing,9,1,10
young,3,6,9
used,5,4,9
three,3,6,9
school,4,5,9
run,3,6,9
real,6,3,9
powerful,7,2,9
party,5,4,9
move,2,7,9
mm,6,3,9
lives,1,8,9
lit,3,6,9
isnt,5,4,9
id,5,4,9
friends,3,6,9
end,6,3,9
em,2,7,9
death,1,8,9
day,5,4,9
chance,7,2,9
careful,5,4,9
aint,2,7,9
wrong,5,3,8
times,3,5,8
talk,6,2,8
sure,5,3,8
smell,1,7,8
save,5,3,8
mouth,2,6,8
minute,5,3,8
made,5,3,8
love,1,7,8
leave,5,3,8
done,3,5,8
course,7,1,8
cool,5,3,8
care,3,5,8
brother,3,5,8
year,2,5,7
working,5,2,7
wont,6,1,7
use,5,2,7
try,5,2,7
trouble,6,1,7
treating,2,5,7
town,4,3,7
tonight,4,3,7
supposed,3,4,7
start,5,2,7
soon,5,2,7
pretty,5,2,7
people,4,3,7
lot,3,4,7
light,3,4,7
idea,4,3,7
ice,1,6,7
hoo,4,3,7
hear,6,1,7
head,4,3,7
girl,2,5,7
getting,6,1,7
fun,2,5,7
feel,3,4,7
father,4,3,7
everybody,4,3,7
days,6,1,7
creatures,6,1,7
cause,2,5,7
burning,1,6,7
bunch,2,5,7
bring,4,3,7
youll,1,5,6
works,4,2,6
work,5,1,6
true,5,1,6
told,2,4,6
talking,5,1,6
sweetheart,4,2,6
spells,4,2,6
shut,2,4,6
ready,1,5,6
part,5,1,6
number,4,2,6
new,2,4,6
mommy,4,2,6
miss,2,4,6
later,4,2,6
kid,3,3,6
hot,1,5,6
high,1,5,6
found,3,3,6
follow,4,2,6
family,5,1,6
face,2,4,6
darling,1,5,6
bit,2,4,6
baby,3,3,6
ask,3,3,6
ago,3,3,6
youd,3,2,5
worst,2,3,5
wish,2,3,5
wasnt,4,1,5
wanted,3,2,5
sounds,1,4,5
serious,3,2,5
round,2,3,5
return,4,1,5
quite,4,1,5
power,2,3,5
poor,2,3,5
perfect,2,3,5
meet,1,4,5
looking,2,3,5
left,1,4,5
honey,1,4,5
hell,1,4,5
happened,1,4,5
hand,2,3,5
guy,4,1,5
force,4,1,5
far,2,3,5
dude,2,3,5
dream,3,2,5
door,4,1,5
deal,2,3,5
couldnt,2,3,5
costume,3,2,5
check,2,3,5
called,2,3,5
bubble,2,3,5
brought,1,4,5
brew,3,2,5
alive,1,4,5
wouldnt,2,2,4
woman,2,2,4
wheres,2,2,4
ugly,1,3,4
tired,3,1,4
teach,2,2,4
taking,1,3,4
sweet,2,2,4
stolen,1,3,4
step,1,3,4
sick,2,2,4
reason,3,1,4
protect,1,3,4
probably,3,1,4
prepare,1,3,4
neat,3,1,4
museum,1,3,4
movies,3,1,4
moved,1,3,4
lucky,2,2,4
luck,3,1,4
late,3,1,4
hurt,3,1,4
hang,2,2,4
half,2,2,4
full,1,3,4
forget,1,3,4
finally,3,1,4
eye,3,1,4
especially,3,1,4
dumb,3,1,4
dawn,1,3,4
crazy,3,1,4
costumes,2,2,4
concentrate,1,3,4
cauldron,1,3,4
bed,3,1,4
ancient,1,3,4
yay,2,1,3
worked,1,2,3
welcome,1,2,3
waiting,2,1,3
touch,1,2,3
tomorrow,2,1,3
today,2,1,3
telling,2,1,3
started,2,1,3
spirits,1,2,3
speak,1,2,3
somethings,1,2,3
sleep,2,1,3
sky,1,2,3
shoe,2,1,3
shelter,2,1,3
seen,1,2,3
schedule,2,1,3
scary,1,2,3
running,2,1,3
river,2,1,3
recipe,2,1,3
read,2,1,3
raise,2,1,3
problem,1,2,3
precious,2,1,3
plenty,2,1,3
nose,1,2,3
needs,2,1,3
name,1,2,3
moving,2,1,3
lovely,1,2,3
lose,2,1,3
line,2,1,3
itll,2,1,3
ingredients,2,1,3
hung,2,1,3
hope,2,1,3
hit,1,2,3
heres,1,2,3
having,2,1,3
happy,2,1,3
goodness,2,1,3
goin,1,2,3
funny,2,1,3
fly,1,2,3
fill,2,1,3
fell,1,2,3
failed,1,2,3
fact,2,1,3
evening,1,2,3
eat,2,1,3
drop,1,2,3
darkness,2,1,3
dangerous,2,1,3
cute,2,1,3
couple,2,1,3
cook,1,2,3
continue,2,1,3
comes,1,2,3
class,2,1,3
chocolate,1,2,3
cheese,2,1,3
changed,2,1,3
catch,2,1,3
brooms,2,1,3
break,2,1,3
boys,1,2,3
boring,2,1,3
bones,1,2,3
asleep,2,1,3
yee,1,1,2
woods,1,1,2
went,1,1,2
upstairs,1,1,2
unless,1,1,2
ugliest,1,1,2
ugh,1,1,2
twerp,1,1,2
tight,1,1,2
tie,1,1,2
theirs,1,1,2
thatd,1,1,2
terrible,1,1,2
suffer,1,1,2
stupid,1,1,2
street,1,1,2
spread,1,1,2
song,1,1,2
smelled,1,1,2
sir,1,1,2
shows,1,1,2
set,1,1,2
safe,1,1,2
room,1,1,2
quiet,1,1,2
purpose,1,1,2
pumpkins,1,1,2
point,1,1,2
person,1,1,2
outside,1,1,2
original,1,1,2
odds,1,1,2
obviously,1,1,2
mr,1,1,2
mix,1,1,2
missed,1,1,2
lived,1,1,2
likes,1,1,2
leaving,1,1,2
leaves,1,1,2
learn,1,1,2
knows,1,1,2
kiss,1,1,2
kept,1,1,2
jerk,1,1,2
instant,1,1,2
hungry,1,1,2
hows,1,1,2
hour,1,1,2
honor,1,1,2
hide,1,1,2
herb,1,1,2
guts,1,1,2
giving,1,1,2
gets,1,1,2
front,1,1,2
fooled,1,1,2
fit,1,1,2
fish,1,1,2
feelings,1,1,2
exist,1,1,2
emergency,1,1,2
ear,1,1,2
degrees,1,1,2
cross,1,1,2
consequences,1,1,2
clear,1,1,2
century,1,1,2
carpet,1,1,2
brothers,1,1,2
brave,1,1,2
brat,1,1,2
boo,1,1,2
bend,1,1,2
begin,1,1,2
arrived,1,1,2
grandma,56,0,56
marnie,36,0,36
sophie,20,0,20
ok,20,0,20
halloweentown,17,0,17
talisman,14,0,14
dylan,14,0,14
cromwell,14,0,14
sighs,12,0,12
gwen,12,0,12
calabar,11,0,11
came,10,0,10
training,8,0,8
stroke,8,0,8
march,8,0,8
luke,8,0,8
hours,8,0,8
ghost,8,0,8
cromwells,8,0,8
aggie,7,0,7
actually,7,0,7
werewolf,6,0,6
vampires,6,0,6
sweat,6,0,6
moaning,6,0,6
mayor,6,0,6
hm,6,0,6
guythur,6,0,6
grandmas,6,0,6
fight,6,0,6
understand,5,0,5
totally,5,0,5
special,5,0,5
somebodys,5,0,5
shell,5,0,5
presents,5,0,5
ow,5,0,5
monsters,5,0,5
job,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
dinner,5,0,5
dark,5,0,5
cookie,5,0,5
bid,5,0,5
attendant,5,0,5
anyway,5,0,5
vu,4,0,4
turned,4,0,4
tried,4,0,4
suppose,4,0,4
story,4,0,4
reveal,4,0,4
pretend,4,0,4
laughter,4,0,4
laughing,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
bell,4,0,4
awesome,4,0,4
anoeth,4,0,4
witchs,3,0,3
whispering,3,0,3
whered,3,0,3
warlock,3,0,3
trust,3,0,3
train,3,0,3
thinking,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
smart,3,0,3
simple,3,0,3
shadow,3,0,3
screeching,3,0,3
screams,3,0,3
roots,3,0,3
ringing,3,0,3
plus,3,0,3
panic,3,0,3
mortals,3,0,3
midnight,3,0,3
marnies,3,0,3
looks,3,0,3
laughs,3,0,3
kitchen,3,0,3
join,3,0,3
involved,3,0,3
installing,3,0,3
important,3,0,3
humming,3,0,3
humans,3,0,3
happening,3,0,3
grammy,3,0,3
goes,3,0,3
fellow,3,0,3
fang,3,0,3
eh,3,0,3
drive,3,0,3
dog,3,0,3
decorations,3,0,3
decided,3,0,3
crowd,3,0,3
creature,3,0,3
couldve,3,0,3
caffeine,3,0,3
button,3,0,3
betty,3,0,3
appreciate,3,0,3
afraid,3,0,3
aboard,3,0,3
worlds,2,0,2
wonderful,2,0,2
wondered,2,0,2
wiener,2,0,2
whistles,2,0,2
whistle,2,0,2
wall,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
truth,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
tires,2,0,2
thinks,2,0,2
th,2,0,2
sweetie,2,0,2
stronger,2,0,2
stopping,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
skeletons,2,0,2
sit,2,0,2
shopping,2,0,2
