word,Halloweentown,I Married a Witch,total
oh,83,51,134
like,64,45,109
im,60,48,108
know,66,33,99
dont,54,44,98
see,39,44,83
go,47,30,77
come,51,21,72
ill,15,56,71
youre,32,37,69
want,25,44,69
good,23,42,65
thats,32,31,63
yes,23,37,60
right,33,26,59
going,19,31,50
look,27,20,47
father,4,39,43
cant,23,20,43
witch,19,20,39
ive,12,27,39
think,19,19,38
back,22,16,38
love,1,36,37
time,23,13,36
thing,30,5,35
mother,30,5,35
make,13,22,35
man,11,23,34
little,17,17,34
gonna,30,3,33
didnt,17,16,33
way,13,18,31
lets,21,10,31
hey,25,5,30
help,21,8,29
yeah,23,5,28
whats,8,20,28
take,11,17,28
ooh,25,3,28
mean,23,5,28
tell,10,17,27
shes,17,10,27
people,4,23,27
youve,14,12,26
theres,11,15,26
better,8,18,26
two,13,11,24
thought,8,16,24
world,20,3,23
really,17,6,23
night,6,17,23
give,13,10,23
doesnt,16,7,23
uh,13,9,22
please,12,10,22
hes,10,12,22
bye,14,8,22
stop,15,6,21
home,16,5,21
big,15,6,21
sorry,10,10,20
remember,5,14,19
put,14,5,19
bet,18,1,19
witches,15,3,18
mr,1,17,18
house,10,8,18
girl,2,16,18
thanks,13,4,17
thank,9,8,17
maybe,12,5,17
master,1,16,17
magic,16,1,17
long,12,5,17
chuckles,1,16,17
id,5,11,16
door,4,12,16
darling,1,15,16
course,7,9,16
bad,11,5,16
turn,12,3,15
tomorrow,2,13,15
things,8,7,15
powers,14,1,15
need,10,5,15
keep,10,5,15
huh,10,5,15
coming,12,3,15
children,12,3,15
came,10,5,15
away,5,10,15
ah,9,6,15
youll,1,13,14
woman,2,12,14
wait,8,6,14
life,10,4,14
years,3,10,13
tonight,4,9,13
theyre,6,7,13
sighs,12,1,13
old,8,5,13
isnt,5,8,13
hear,6,7,13
guess,8,5,13
getting,6,7,13
day,5,8,13
believe,7,6,13
sure,5,7,12
stay,5,7,12
nice,6,6,12
mortal,10,2,12
mm,6,6,12
march,8,4,12
human,10,2,12
ha,9,3,12
fine,6,6,12
excuse,9,3,12
evil,9,3,12
doing,9,3,12
youd,3,8,11
wrong,5,6,11
wouldnt,2,9,11
trying,8,3,11
try,5,6,11
told,2,9,11
talking,5,6,11
quick,2,9,11
hand,2,9,11
hair,8,3,11
great,6,5,11
gotta,9,2,11
young,3,7,10
wont,6,4,10
trouble,6,4,10
thee,1,9,10
talk,6,4,10
