word,Halloweentown,Maleficent,total
im,60,29,89
oh,83,1,84
know,66,13,79
like,64,9,73
dont,54,19,73
come,51,19,70
go,47,19,66
see,39,10,49
youre,32,12,44
thats,32,10,42
look,27,12,39
right,33,5,38
back,22,16,38
time,23,13,36
yes,23,9,32
thing,30,2,32
good,23,9,32
want,25,6,31
mother,30,1,31
cant,23,4,27
shes,17,9,26
mean,23,3,26
going,19,7,26
world,20,5,25
yeah,23,1,24
little,17,7,24
ill,15,9,24
stop,15,8,23
think,19,3,22
tell,10,12,22
need,10,12,22
help,21,1,22
take,11,9,20
magic,16,4,20
really,17,2,19
king,2,17,19
didnt,17,2,19
big,15,4,19
aurora,1,18,19
ive,12,6,18
home,16,2,18
youve,14,3,17
way,13,4,17
two,13,4,17
sorry,10,7,17
life,10,7,17
doesnt,16,1,17
long,12,4,16
give,13,3,16
theres,11,4,15
please,12,3,15
human,10,5,15
hello,7,8,15
doing,9,6,15
coming,12,3,15
bye,14,1,15
away,5,10,15
turn,12,2,14
true,5,9,14
make,13,1,14
children,12,2,14
man,11,2,13
day,5,8,13
came,10,3,13
whats,8,4,12
live,7,5,12
keep,10,2,12
hes,10,2,12
evil,9,3,12
wait,8,3,11
theyre,6,5,11
thank,9,2,11
old,8,3,11
kiss,1,10,11
girl,2,9,11
work,5,5,10
thought,8,2,10
hours,8,2,10
bring,4,6,10
wont,6,3,9
told,2,7,9
things,8,1,9
spell,8,1,9
sleep,2,7,9
love,1,8,9
great,6,3,9
find,5,4,9
father,4,5,9
end,6,3,9
done,3,6,9
creatures,6,3,9
chance,7,2,9
better,8,1,9
years,3,5,8
weve,6,2,8
tomorrow,2,6,8
soon,5,3,8
show,7,1,8
remember,5,3,8
people,4,4,8
night,6,2,8
nice,6,2,8
forever,5,3,8
fine,6,2,8
death,1,7,8
days,6,2,8
course,7,1,8
child,2,6,8
believe,7,1,8
baby,3,5,8
wish,2,5,7
three,3,4,7
talk,6,1,7
stay,5,2,7
quite,4,3,7
pretty,5,2,7
made,5,2,7
hold,3,4,7
hear,6,1,7
havent,6,1,7
fight,6,1,7
feel,3,4,7
fairy,1,6,7
dark,5,2,7
afraid,3,4,7
wrong,5,1,6
wall,2,4,6
used,5,1,6
understand,5,1,6
story,4,2,6
start,5,1,6
power,2,4,6
lost,3,3,6
line,2,4,6
leave,5,1,6
knew,5,1,6
isnt,5,1,6
id,5,1,6
creature,3,3,6
care,3,3,6
boy,3,3,6
beauty,1,5,6
anyway,5,1,6
young,3,2,5
waiting,2,3,5
turned,4,1,5
trust,3,2,5
th,2,3,5
sweet,2,3,5
shadow,3,2,5
run,3,2,5
return,4,1,5
queen,1,4,5
