word,Halloweentown,Oz The Great and Powerful,total
girl,2,168,170
oh,83,59,142
im,60,65,125
like,64,37,101
know,66,33,99
see,39,52,91
dont,54,37,91
youre,32,55,87
come,51,31,82
looks,3,78,81
go,47,27,74
back,22,44,66
look,27,36,63
turns,1,59,60
gonna,30,29,59
good,23,35,58
yes,23,34,57
thats,32,21,53
witch,19,32,51
right,33,16,49
hand,2,44,46
think,19,26,45
thing,30,13,43
want,25,17,42
time,23,18,41
starts,1,40,41
going,19,22,41
make,13,27,40
cant,23,14,37
yeah,23,13,36
need,10,26,36
man,11,25,36
shes,17,18,35
lets,21,14,35
little,17,17,34
help,21,13,34
uh,13,19,32
mean,23,9,32
master,1,31,32
mother,30,1,31
magic,16,15,31
ive,12,19,31
stop,15,15,30
people,4,26,30
ill,15,15,30
hey,25,5,30
great,6,24,30
away,5,25,30
really,17,12,29
ooh,25,4,29
please,12,16,28
way,13,14,27
thank,9,18,27
show,7,20,27
give,13,14,27
put,14,12,26
long,12,14,26
head,4,22,26
tell,10,15,25
take,11,14,25
sister,4,21,25
didnt,17,8,25
world,20,4,24
hes,10,14,24
two,13,10,23
youve,14,8,22
turn,12,10,22
theres,11,11,22
hear,6,15,21
face,2,19,21
door,4,17,21
audience,1,20,21
powerful,7,13,20
big,15,5,20
witches,15,4,19
home,16,3,19
crowd,3,16,19
coming,12,7,19
watch,3,15,18
things,8,10,18
run,3,15,18
maybe,12,6,18
kind,7,11,18
kids,17,1,18
dark,5,13,18
course,7,11,18
box,1,17,18
believe,7,11,18
start,5,12,17
nice,6,11,17
life,10,7,17
doesnt,16,1,17
broom,6,11,17
um,10,6,16
thought,8,8,16
powers,14,2,16
leave,5,11,16
king,2,14,16
inside,1,15,16
hello,7,9,16
finally,3,13,16
whats,8,7,15
stuff,14,1,15
sorry,10,5,15
save,5,10,15
real,6,9,15
pretty,5,10,15
hold,3,12,15
gotta,9,6,15
doing,9,6,15
children,12,3,15
bag,2,13,15
theyre,6,8,14
thanks,13,1,14
isnt,5,9,14
id,5,9,14
ah,9,5,14
wait,8,5,13
try,5,8,13
laughs,3,10,13
huh,10,3,13
gone,2,11,13
evil,9,4,13
day,5,8,13
bad,11,2,13
youd,3,9,12
worry,8,4,12
work,5,7,12
woman,2,10,12
wanted,3,9,12
trying,8,4,12
sir,1,11,12
room,1,11,12
night,6,6,12
mortal,10,2,12
keep,10,2,12
havent,6,6,12
figure,1,11,12
father,4,8,12
comes,1,11,12
better,8,4,12
wow,8,3,11
wont,6,5,11
weve,6,5,11
trick,6,5,11
town,4,7,11
runs,1,10,11
remember,5,6,11
old,8,3,11
moment,2,9,11
march,8,3,11
made,5,6,11
live,7,4,11
house,10,1,11
heart,2,9,11
guys,8,3,11
getting,6,5,11
gets,1,10,11
flying,1,10,11
fine,6,5,11
feel,3,8,11
came,10,1,11
wanna,1,9,10
true,5,5,10
told,2,8,10
spell,8,2,10
shell,5,5,10
running,2,8,10
place,8,2,10
open,7,3,10
mm,6,4,10
looking,2,8,10
knew,5,5,10
hours,8,2,10
guess,8,2,10
gives,1,9,10
front,1,9,10
finds,1,9,10
find,5,5,10
done,3,7,10
break,2,8,10
actually,7,3,10
youll,1,8,9
wonderful,2,7,9
use,5,4,9
sure,5,4,9
quite,4,5,9
poor,2,7,9
ow,5,4,9
name,1,8,9
making,1,8,9
later,4,5,9
hard,2,7,9
hair,8,1,9
goes,3,6,9
forever,5,4,9
fight,6,3,9
faces,1,8,9
end,6,3,9
dead,2,7,9
continues,1,8,9
continue,2,7,9
chance,7,2,9
broken,1,8,9
book,7,2,9
body,1,8,9
battle,1,8,9
woods,1,7,8
witchs,3,5,8
weird,7,1,8
wasnt,4,4,8
talking,5,3,8
talk,6,2,8
river,2,6,8
playing,1,7,8
move,2,6,8
mine,3,5,8
light,3,5,8
hope,2,6,8
hm,6,2,8
hi,6,2,8
follow,4,4,8
fear,2,6,8
young,3,4,7
ya,6,1,7
wrong,5,2,7
working,5,2,7
used,5,2,7
thinking,3,4,7
soon,5,2,7
sky,1,6,7
shows,1,6,7
screams,3,4,7
return,4,3,7
raise,2,5,7
queen,1,6,7
part,5,2,7
outside,1,6,7
moving,2,5,7
men,1,6,7
mayor,6,1,7
love,1,6,7
job,5,2,7
half,2,5,7
goodness,2,5,7
fly,1,6,7
family,5,2,7
