word,Halloweentown,Practical Magic,total
oh,83,16,99
know,66,29,95
im,60,29,89
dont,54,35,89
like,64,11,75
come,51,22,73
go,47,15,62
grandma,56,1,57
see,39,15,54
want,25,27,52
right,33,17,50
youre,32,12,44
thats,32,9,41
back,22,17,39
good,23,15,38
mom,31,6,37
time,23,11,34
cant,23,11,34
witch,19,14,33
mother,30,3,33
look,27,6,33
thing,30,2,32
going,19,13,32
hey,25,6,31
really,17,13,30
think,19,10,29
little,17,12,29
yes,23,5,28
lets,21,7,28
yeah,23,4,27
mean,23,3,26
ill,15,11,26
hes,10,16,26
night,6,19,25
love,1,24,25
didnt,17,8,25
house,10,14,24
help,21,2,23
woman,2,20,22
doesnt,16,6,22
please,12,9,21
magic,16,5,21
life,10,11,21
stop,15,5,20
shes,17,3,20
man,11,9,20
halloween,19,1,20
two,13,6,19
take,11,8,19
ive,12,7,19
home,16,3,19
came,10,9,19
big,15,4,19
bet,18,1,19
kids,17,1,18
give,13,5,18
children,12,6,18
stuff,14,3,17
put,14,3,17
make,13,4,17
young,3,13,16
witches,15,1,16
way,13,3,16
theres,11,5,16
tell,10,6,16
stay,5,11,16
spell,8,8,16
youve,14,1,15
talisman,14,1,15
spells,4,11,15
normal,9,6,15
need,10,5,15
long,12,3,15
coming,12,3,15
whats,8,6,14
sorry,10,4,14
maybe,12,2,14
keep,10,4,14
doing,9,5,14
bad,11,3,14
turn,12,1,13
old,8,5,13
huh,10,3,13
day,5,8,13
things,8,4,12
kitchen,3,9,12
hear,6,6,12
believe,7,5,12
wow,8,3,11
wait,8,3,11
thank,9,2,11
guys,8,3,11
better,8,3,11
worry,8,2,10
wont,6,4,10
people,4,6,10
leave,5,5,10
kind,7,3,10
hello,7,3,10
guy,4,6,10
guess,8,2,10
fine,6,4,10
eye,3,7,10
end,6,4,10
bring,4,6,10
wouldnt,2,7,9
weve,6,3,9
watch,3,6,9
trying,8,1,9
thought,8,1,9
theyre,6,3,9
open,7,2,9
mommy,4,5,9
hair,8,1,9
great,6,3,9
find,5,4,9
course,7,2,9
comes,1,8,9
away,5,4,9
