word,Halloweentown,Return to Halloweentown,total
im,60,63,123
oh,83,37,120
know,66,42,108
marnie,36,69,105
like,64,34,98
dont,54,40,94
magic,16,61,77
come,51,20,71
grandma,56,11,67
youre,32,33,65
go,47,18,65
thats,32,27,59
mom,31,27,58
dylan,14,42,56
right,33,22,55
want,25,28,53
hey,25,26,51
cant,23,28,51
yeah,23,27,50
see,39,11,50
ok,20,29,49
halloweentown,17,31,48
cromwell,14,34,48
witch,19,28,47
good,23,19,42
gonna,30,12,42
use,5,36,41
time,23,18,41
thing,30,10,40
look,27,12,39
yes,23,15,38
think,19,19,38
help,21,17,38
going,19,19,38
mother,30,7,37
really,17,19,36
mean,23,13,36
power,2,30,32
back,22,10,32
world,20,11,31
shes,17,14,31
halloween,19,12,31
make,13,17,30
need,10,19,29
man,11,18,29
little,17,12,29
witches,15,13,28
ooh,25,3,28
didnt,17,11,28
sorry,10,17,27
ill,15,12,27
whats,8,17,25
uh,13,12,25
stop,15,10,25
powers,14,10,24
lets,21,3,24
two,13,10,23
kids,17,6,23
home,16,7,23
great,6,17,23
box,1,22,23
sophie,20,2,22
maybe,12,10,22
ive,12,10,22
way,13,8,21
tell,10,11,21
open,7,14,21
keep,10,11,21
give,13,8,21
theres,11,9,20
fine,6,14,20
doesnt,16,4,20
big,15,5,20
talk,6,13,19
find,5,14,19
bet,18,1,19
youve,14,4,18
thank,9,9,18
take,11,7,18
hes,10,8,18
doing,9,9,18
bye,14,4,18
thanks,13,4,17
mortal,10,7,17
wait,8,8,16
um,10,6,16
three,3,13,16
spell,8,8,16
queen,1,15,16
put,14,2,16
please,12,4,16
long,12,4,16
kind,7,9,16
gwen,12,4,16
gotta,9,7,16
believe,7,9,16
bad,11,5,16
away,5,11,16
wont,6,9,15
woman,2,13,15
turn,12,3,15
thought,8,7,15
things,8,7,15
theyre,6,9,15
stuff,14,1,15
hello,7,8,15
family,5,10,15
wow,8,6,14
room,1,13,14
night,6,8,14
knew,5,9,14
isnt,5,9,14
hi,6,8,14
guys,8,6,14
came,10,4,14
call,4,10,14
years,3,10,13
using,1,12,13
screaming,2,11,13
school,4,9,13
coming,12,1,13
brother,3,10,13
benny,2,11,13
bell,4,9,13
work,5,7,12
tonight,4,8,12
stay,5,7,12
rule,1,11,12
place,8,4,12
old,8,4,12
life,10,2,12
id,5,7,12
huh,10,2,12
cromwells,8,4,12
boy,3,9,12
actually,7,5,12
wrong,5,6,11
whoo,9,2,11
sure,5,6,11
soon,5,6,11
people,4,7,11
forever,5,6,11
excuse,9,2,11
door,4,7,11
broom,6,5,11
book,7,4,11
ah,9,2,11
aggie,7,4,11
whoa,4,6,10
weve,6,4,10
wanted,3,7,10
try,5,5,10
trust,3,7,10
special,5,5,10
show,7,3,10
remember,5,5,10
real,6,4,10
powerful,7,3,10
normal,9,1,10
nice,6,4,10
miss,2,8,10
love,1,9,10
laughing,4,6,10
hours,8,2,10
hair,8,2,10
ha,9,1,10
creatures,6,4,10
course,7,3,10
class,2,8,10
worry,8,1,9
wish,2,7,9
weird,7,2,9
used,5,4,9
understand,5,4,9
trying,8,1,9
trouble,6,3,9
training,8,1,9
totally,5,4,9
stroke,8,1,9
save,5,4,9
read,2,7,9
part,5,4,9
midnight,3,6,9
leave,5,4,9
havent,6,3,9
guess,8,1,9
future,2,7,9
days,6,3,9
dark,5,4,9
bring,4,5,9
better,8,1,9
tolling,1,7,8
talking,5,3,8
sisters,1,7,8
ringing,3,5,8
ready,1,7,8
minute,5,3,8
magical,1,7,8
made,5,3,8
live,7,1,8
girl,2,6,8
getting,6,2,8
found,3,5,8
father,4,4,8
anyway,5,3,8
youll,1,6,7
youd,3,4,7
ya,6,1,7
trick,6,1,7
start,5,2,7
spells,4,3,7
pretty,5,2,7
plus,3,4,7
needs,2,5,7
needed,1,6,7
name,1,6,7
moaning,6,1,7
laughter,4,3,7
job,5,2,7
grandmother,1,6,7
grandmas,6,1,7
everybody,4,3,7
done,3,4,7
dad,3,4,7
cool,5,2,7
careful,5,2,7
blowing,2,5,7
young,3,3,6
wouldnt,2,4,6
works,4,2,6
working,5,1,6
witchs,3,3,6
welcome,1,5,6
wasnt,4,2,6
true,5,1,6
tried,4,2,6
supposed,3,3,6
somebodys,5,1,6
simple,3,3,6
shell,5,1,6
run,3,3,6
quite,4,2,6
promise,1,5,6
perfect,2,4,6
peace,1,5,6
party,5,1,6
ow,5,1,6
monsters,5,1,6
mine,3,3,6
looking,2,4,6
learn,1,5,6
idea,4,2,6
hoo,4,2,6
high,1,5,6
having,2,4,6
grunting,2,4,6
gone,2,4,6
fun,2,4,6
friends,3,3,6
dream,3,3,6
dinner,5,1,6
crowd,3,3,6
chattering,1,5,6
ancient,1,5,6
ago,3,3,6
absolutely,1,5,6
year,2,3,5
wonderful,2,3,5
whispering,3,2,5
wheres,2,3,5
watch,3,2,5
warlock,3,2,5
truth,2,3,5
train,3,2,5
times,3,2,5
sweetie,2,3,5
stupid,1,4,5
speak,1,4,5
sit,2,3,5
sister,4,1,5
secret,1,4,5
probably,3,2,5
number,4,1,5
lose,2,3,5
lock,2,3,5
late,3,2,5
kid,3,2,5
inside,1,4,5
important,3,2,5
hold,3,2,5
heard,1,4,5
head,4,1,5
hang,2,3,5
handsome,2,3,5
guy,4,1,5
funny,2,3,5
force,4,1,5
food,1,4,5
destroy,2,3,5
couldnt,2,3,5
child,2,3,5
cheering,1,4,5
check,2,3,5
cause,2,3,5
cast,1,4,5
barking,1,4,5
baby,3,2,5
ask,3,2,5
anymore,2,3,5
agatha,2,3,5
worlds,2,2,4
told,2,2,4
thinking,3,1,4
teach,2,2,4
sweet,2,2,4
sounded,1,3,4
snot,2,2,4
smart,3,1,4
serious,3,1,4
seen,1,3,4
seeing,2,2,4
screeching,3,1,4
saying,1,3,4
rumbling,2,2,4
round,2,2,4
reason,3,1,4
reading,1,3,4
proud,1,3,4
poor,2,2,4
pitched,1,3,4
new,2,2,4
mothers,2,2,4
mortals,3,1,4
moment,2,2,4
missing,2,2,4
met,2,2,4
means,1,3,4
luck,3,1,4
lovely,1,3,4
lot,3,1,4
losing,2,2,4
looks,3,1,4
locked,1,3,4
light,3,1,4
king,2,2,4
join,3,1,4
happy,2,2,4
happening,3,1,4
glass,2,2,4
gave,1,3,4
full,1,3,4
forces,1,3,4
finally,3,1,4
feel,3,1,4
fast,1,3,4
eye,3,1,4
em,2,2,4
dude,2,2,4
dog,3,1,4
disappear,2,2,4
different,2,2,4
deal,2,2,4
dead,2,2,4
date,2,2,4
cute,2,2,4
creature,3,1,4
called,2,2,4
buy,1,3,4
break,2,2,4
boys,1,3,4
bone,2,2,4
worked,1,2,3
word,1,2,3
wondered,2,1,3
went,1,2,3
waiting,2,1,3
visit,1,2,3
unfair,1,2,3
today,2,1,3
thinks,2,1,3
telling,2,1,3
swear,1,2,3
stronger,2,1,3
strange,1,2,3
someplace,2,1,3
sir,1,2,3
shut,2,1,3
shh,2,1,3
seriously,1,2,3
send,1,2,3
second,1,2,3
scary,1,2,3
safe,1,2,3
running,2,1,3
ride,2,1,3
rest,1,2,3
quick,2,1,3
pumpkin,2,1,3
problem,1,2,3
prepare,1,2,3
