word,Halloweentown,Something Wicked This Way Comes,total
oh,83,25,108
know,66,22,88
like,64,23,87
come,51,33,84
dont,54,29,83
im,60,12,72
go,47,20,67
see,39,23,62
thats,32,18,50
right,33,15,48
look,27,21,48
youre,32,8,40
want,25,15,40
mom,31,9,40
time,23,16,39
yes,23,15,38
back,22,16,38
good,23,12,35
cant,23,12,35
mother,30,4,34
yeah,23,10,33
thing,30,3,33
hey,25,8,33
gonna,30,3,33
mr,1,31,32
two,13,18,31
think,19,9,28
old,8,20,28
mean,23,5,28
help,21,7,28
little,17,10,27
ooh,25,1,26
tell,10,15,25
lets,21,4,25
ill,15,10,25
going,19,6,25
ok,20,4,24
boys,1,23,24
uh,13,10,23
make,13,10,23
dad,3,20,23
way,13,9,22
man,11,11,22
home,16,6,22
didnt,17,5,22
father,4,17,21
youve,14,6,20
stop,15,5,20
please,12,8,20
hes,10,10,20
really,17,2,19
doesnt,16,3,19
coming,12,7,19
bet,18,1,19
shes,17,1,18
kids,17,1,18
big,15,3,18
sir,1,16,17
long,12,5,17
town,4,12,16
take,11,5,16
night,6,10,16
house,10,6,16
guess,8,8,16
dark,5,11,16
theres,11,4,15
stuff,14,1,15
put,14,1,15
need,10,5,15
huh,10,5,15
hear,6,9,15
give,13,2,15
young,3,11,14
turn,12,2,14
theyre,6,8,14
thanks,13,1,14
thank,9,5,14
miss,2,12,14
maybe,12,2,14
years,3,10,13
ive,12,1,13
children,12,1,13
believe,7,6,13
bad,11,2,13
sorry,10,2,12
lucky,2,10,12
keep,10,2,12
human,10,2,12
gotta,9,3,12
find,5,7,12
excuse,9,3,12
evil,9,3,12
day,5,7,12
came,10,2,12
ya,6,5,11
wont,6,5,11
wait,8,3,11
thought,8,3,11
run,3,8,11
remember,5,6,11
people,4,7,11
number,4,7,11
life,10,1,11
knew,5,6,11
hello,7,4,11
doing,9,2,11
work,5,5,10
whats,8,2,10
things,8,2,10
talk,6,4,10
place,8,2,10
name,1,9,10
live,7,3,10
late,3,7,10
fine,6,4,10
days,6,4,10
course,7,3,10
better,8,2,10
wrong,5,4,9
wow,8,1,9
stay,5,4,9
special,5,4,9
quite,4,5,9
minute,5,4,9
march,8,1,9
made,5,4,9
heart,2,7,9
hair,8,1,9
forever,5,4,9
boy,3,6,9
away,5,4,9
wish,2,6,8
trouble,6,2,8
tonight,4,4,8
sure,5,3,8
show,7,1,8
real,6,2,8
open,7,1,8
kind,7,1,8
isnt,5,3,8
hi,6,2,8
great,6,2,8
done,3,5,8
chance,7,1,8
call,4,4,8
weve,6,1,7
talking,5,2,7
soon,5,2,7
smell,1,6,7
river,2,5,7
nice,6,1,7
looking,2,5,7
leave,5,2,7
getting,6,1,7
folks,1,6,7
feel,3,4,7
end,6,1,7
doc,1,6,7
couldnt,2,5,7
careful,5,2,7
bring,4,3,7
youd,3,3,6
wouldnt,2,4,6
wasnt,4,2,6
used,5,1,6
understand,5,1,6
tired,3,3,6
sweet,2,4,6
start,5,1,6
seen,1,5,6
save,5,1,6
quick,2,4,6
pretty,5,1,6
presents,5,1,6
ones,2,4,6
monsters,5,1,6
midnight,3,3,6
lot,3,3,6
lost,3,3,6
later,4,2,6
id,5,1,6
hell,1,5,6
head,4,2,6
family,5,1,6
em,2,4,6
born,2,4,6
anyway,5,1,6
afraid,3,3,6
year,2,3,5
waiting,2,3,5
truth,2,3,5
tomorrow,2,3,5
told,2,3,5
times,3,2,5
suppose,4,1,5
story,4,1,5
sleep,2,3,5
sit,2,3,5
shh,2,3,5
school,4,1,5
saw,1,4,5
round,2,3,5
return,4,1,5
poor,2,3,5
mine,3,2,5
love,1,4,5
kid,3,2,5
idea,4,1,5
hurt,3,2,5
happy,2,3,5
gone,2,3,5
goes,3,2,5
full,1,4,5
follow,4,1,5
eh,3,2,5
death,1,4,5
dead,2,3,5
couple,2,3,5
comes,1,4,5
youll,1,3,4
woman,2,2,4
whispering,3,1,4
went,1,3,4
wanted,3,1,4
train,3,1,4
three,3,1,4
th,2,2,4
teach,2,2,4
strange,1,3,4
step,1,3,4
shadow,3,1,4
new,2,2,4
mothers,2,2,4
mind,1,3,4
men,1,3,4
meet,1,3,4
lose,2,2,4
lived,1,3,4
lit,3,1,4
light,3,1,4
king,2,2,4
join,3,1,4
hold,3,1,4
hand,2,2,4
half,2,2,4
glass,2,2,4
girl,2,2,4
friends,3,1,4
especially,3,1,4
eat,2,2,4
darling,1,3,4
creature,3,1,4
brother,3,1,4
best,2,2,4
bed,3,1,4
baby,3,1,4
aint,2,2,4
ago,3,1,4
welcome,1,2,3
visit,1,2,3
trained,2,1,3
today,2,1,3
tie,1,2,3
taste,1,2,3
taking,1,2,3
tackle,1,2,3
speak,1,2,3
sick,2,1,3
shut,2,1,3
ride,2,1,3
ready,1,2,3
ran,2,1,3
quiet,1,2,3
person,1,2,3
nights,1,2,3
needs,2,1,3
mistake,2,1,3
missing,2,1,3
loved,2,1,3
lock,2,1,3
learn,1,2,3
knows,1,2,3
kept,1,2,3
hungry,1,2,3
hiding,1,2,3
hide,1,2,3
heard,1,2,3
goodness,2,1,3
goin,1,2,3
glad,1,2,3
fun,2,1,3
field,1,2,3
far,2,1,3
face,2,1,3
exotic,1,2,3
destroy,2,1,3
darkness,2,1,3
dare,2,1,3
count,1,2,3
child,2,1,3
cause,2,1,3
catch,2,1,3
buying,2,1,3
bringing,1,2,3
books,1,2,3
bit,2,1,3
awake,1,2,3
asleep,2,1,3
arrived,1,2,3
anymore,2,1,3
zero,1,1,2
youth,1,1,2
write,1,1,2
worried,1,1,2
win,1,1,2
wild,1,1,2
waste,1,1,2
urgent,1,1,2
upstairs,1,1,2
turning,1,1,2
troubles,1,1,2
touch,1,1,2
till,1,1,2
ticket,1,1,2
thatll,1,1,2
terrible,1,1,2
taller,1,1,2
talked,1,1,2
taken,1,1,2
streets,1,1,2
street,1,1,2
store,1,1,2
sounds,1,1,2
sound,1,1,2
somethings,1,1,2
six,1,1,2
silly,1,1,2
shows,1,1,2
short,1,1,2
shed,1,1,2
secret,1,1,2
sake,1,1,2
runs,1,1,2
ruler,1,1,2
risks,1,1,2
respect,1,1,2
reading,1,1,2
pumpkins,1,1,2
proper,1,1,2
problem,1,1,2
peace,1,1,2
past,1,1,2
panting,1,1,2
pain,1,1,2
offer,1,1,2
obsessed,1,1,2
neighbors,1,1,2
missed,1,1,2
message,1,1,2
merely,1,1,2
making,1,1,2
lunch,1,1,2
loud,1,1,2
loss,1,1,2
locked,1,1,2
lives,1,1,2
inside,1,1,2
influence,1,1,2
horrible,1,1,2
honor,1,1,2
honey,1,1,2
homes,1,1,2
holiday,1,1,2
high,1,1,2
heres,1,1,2
hed,1,1,2
grown,1,1,2
groaning,1,1,2
gave,1,1,2
fit,1,1,2
finish,1,1,2
feared,1,1,2
fare,1,1,2
fabulous,1,1,2
excuses,1,1,2
enjoy,1,1,2
egyptian,1,1,2
dogs,1,1,2
cheering,1,1,2
certain,1,1,2
buy,1,1,2
brothers,1,1,2
bride,1,1,2
breakfast,1,1,2
brave,1,1,2
blue,1,1,2
beds,1,1,2
beauty,1,1,2
beating,1,1,2
bar,1,1,2
baked,1,1,2
alive,1,1,2
grandma,56,0,56
marnie,36,0,36
world,20,0,20
sophie,20,0,20
bus,20,0,20
witch,19,0,19
halloween,19,0,19
halloweentown,17,0,17
magic,16,0,16
witches,15,0,15
talisman,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
bye,14,0,14
sighs,12,0,12
gwen,12,0,12
calabar,11,0,11
um,10,0,10
mortal,10,0,10
whoo,9,0,9
normal,9,0,9
ha,9,0,9
ah,9,0,9
worry,8,0,8
trying,8,0,8
training,8,0,8
stroke,8,0,8
spell,8,0,8
luke,8,0,8
hours,8,0,8
guys,8,0,8
ghost,8,0,8
cromwells,8,0,8
weird,7,0,7
powerful,7,0,7
book,7,0,7
aggie,7,0,7
actually,7,0,7
werewolf,6,0,6
vampires,6,0,6
trick,6,0,6
sweat,6,0,6
moaning,6,0,6
mm,6,0,6
mayor,6,0,6
hm,6,0,6
havent,6,0,6
guythur,6,0,6
grandmas,6,0,6
fight,6,0,6
creatures,6,0,6
broom,6,0,6
working,5,0,5
use,5,0,5
try,5,0,5
true,5,0,5
totally,5,0,5
somebodys,5,0,5
shell,5,0,5
party,5,0,5
part,5,0,5
ow,5,0,5
job,5,0,5
harriet,5,0,5
gugaun,5,0,5
ghosts,5,0,5
dinner,5,0,5
cool,5,0,5
cookie,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
works,4,0,4
whoa,4,0,4
vu,4,0,4
turned,4,0,4
tried,4,0,4
sweetheart,4,0,4
spells,4,0,4
sister,4,0,4
reveal,4,0,4
pretend,4,0,4
mommy,4,0,4
laughter,4,0,4
laughing,4,0,4
hoo,4,0,4
guy,4,0,4
force,4,0,4
everybody,4,0,4
door,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
bell,4,0,4
awesome,4,0,4
anoeth,4,0,4
witchs,3,0,3
whered,3,0,3
watch,3,0,3
warlock,3,0,3
trust,3,0,3
thinking,3,0,3
supposed,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
smart,3,0,3
simple,3,0,3
serious,3,0,3
screeching,3,0,3
screams,3,0,3
roots,3,0,3
ringing,3,0,3
reason,3,0,3
probably,3,0,3
plus,3,0,3
panic,3,0,3
neat,3,0,3
movies,3,0,3
mortals,3,0,3
marnies,3,0,3
luck,3,0,3
looks,3,0,3
laughs,3,0,3
kitchen,3,0,3
involved,3,0,3
installing,3,0,3
important,3,0,3
humming,3,0,3
humans,3,0,3
happening,3,0,3
grammy,3,0,3
found,3,0,3
finally,3,0,3
fellow,3,0,3
fang,3,0,3
eye,3,0,3
dumb,3,0,3
drive,3,0,3
dream,3,0,3
dog,3,0,3
decorations,3,0,3
decided,3,0,3
crowd,3,0,3
crazy,3,0,3
couldve,3,0,3
costume,3,0,3
care,3,0,3
caffeine,3,0,3
button,3,0,3
brew,3,0,3
betty,3,0,3
ask,3,0,3
appreciate,3,0,3
aboard,3,0,3
yay,2,0,2
worst,2,0,2
worlds,2,0,2
wonderful,2,0,2
wondered,2,0,2
wiener,2,0,2
whistles,2,0,2
whistle,2,0,2
wheres,2,0,2
wall,2,0,2
vegetables,2,0,2
vampire,2,0,2
tv,2,0,2
treating,2,0,2
treat,2,0,2
traditions,2,0,2
tradition,2,0,2
tires,2,0,2
thinks,2,0,2
telling,2,0,2
sweetie,2,0,2
stronger,2,0,2
stopping,2,0,2
started,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
skeletons,2,0,2
shopping,2,0,2
shop,2,0,2
shoe,2,0,2
shelter,2,0,2
sell,2,0,2
seeing,2,0,2
screaming,2,0,2
schedule,2,0,2
