word,Halloweentown,The Black Cauldron,total
oh,83,88,171
im,60,29,89
dont,54,31,85
like,64,20,84
know,66,14,80
see,39,39,78
come,51,25,76
cauldron,1,73,74
king,2,67,69
go,47,22,69
yes,23,43,66
look,27,39,66
back,22,33,55
youre,32,20,52
ha,9,39,48
right,33,14,47
away,5,40,45
thats,32,12,44
looks,3,40,43
going,19,20,39
thing,30,8,38
good,23,15,38
little,17,19,36
want,25,10,35
mean,23,11,34
hes,10,24,34
uh,13,20,33
magic,16,15,31
hey,25,6,31
cant,23,8,31
way,13,16,29
time,23,5,28
help,21,7,28
stop,15,12,27
ill,15,12,27
think,19,7,26
make,13,13,26
lets,21,5,26
give,13,13,26
boy,3,23,26
apple,1,24,25
didnt,17,6,23
world,20,2,22
witches,15,7,22
take,11,11,22
ive,12,10,22
great,6,15,21
evil,9,12,21
youve,14,6,20
witch,19,1,20
shes,17,3,20
really,17,3,20
please,12,8,20
hand,2,18,20
trying,8,11,19
place,8,11,19
life,10,9,19
keep,10,9,19
coming,12,7,19
big,15,4,19
whats,8,10,18
kids,17,1,18
home,16,2,18
find,5,13,18
doesnt,16,2,18
tell,10,7,17
put,14,3,17
powers,14,3,17
door,4,13,17
wait,8,8,16
thank,9,7,16
old,8,8,16
better,8,8,16
two,13,2,15
turns,1,14,15
theres,11,4,15
runs,1,14,15
maybe,12,3,15
doing,9,6,15
ah,9,6,15
turn,12,2,14
trouble,6,8,14
thought,8,6,14
sorry,10,4,14
long,12,2,14
worry,8,5,13
sure,5,8,13
show,7,6,13
seen,1,12,13
run,3,10,13
open,7,6,13
man,11,2,13
made,5,8,13
gone,2,11,13
girl,2,11,13
wont,6,6,12
soon,5,7,12
master,1,11,12
light,3,9,12
dog,3,9,12
chance,7,5,12
bad,11,1,12
things,8,3,11
theyre,6,5,11
nice,6,5,11
need,10,1,11
mortal,10,1,11
hello,7,4,11
hear,6,5,11
hair,8,3,11
end,6,5,11
course,7,4,11
comes,1,10,11
believe,7,4,11
alive,1,10,11
youll,1,9,10
weve,6,4,10
wall,2,8,10
use,5,5,10
poor,2,8,10
hold,3,7,10
excuse,9,1,10
born,2,8,10
afraid,3,7,10
ya,6,3,9
wrong,5,4,9
wow,8,1,9
work,5,4,9
wasnt,4,5,9
room,1,8,9
remember,5,4,9
quite,4,5,9
lost,3,6,9
live,7,2,9
isnt,5,4,9
id,5,4,9
head,4,5,9
friends,3,6,9
follow,4,5,9
face,2,7,9
broom,6,3,9
bring,4,5,9
watch,3,5,8
turned,4,4,8
three,3,5,8
quick,2,6,8
power,2,6,8
people,4,4,8
looking,2,6,8
leave,5,3,8
laughing,4,4,8
job,5,3,8
havent,6,2,8
gets,1,7,8
day,5,3,8
careful,5,3,8
young,3,4,7
wanted,3,4,7
waiting,2,5,7
understand,5,2,7
try,5,2,7
true,5,2,7
trick,6,1,7
talk,6,1,7
stay,5,2,7
starts,1,6,7
start,5,2,7
special,5,2,7
skeletons,2,5,7
sir,1,6,7
seeing,2,5,7
running,2,5,7
real,6,1,7
pretty,5,2,7
part,5,2,7
night,6,1,7
mind,1,6,7
laughs,3,4,7
knew,5,2,7
idea,4,3,7
hurt,3,4,7
hope,2,5,7
goodbye,1,6,7
getting,6,1,7
forever,5,2,7
fight,6,1,7
escape,1,6,7
body,1,6,7
anyway,5,2,7
youd,3,3,6
working,5,1,6
thinking,3,3,6
talking,5,1,6
screams,3,3,6
save,5,1,6
safe,1,5,6
ow,5,1,6
move,2,4,6
missing,2,4,6
minute,5,1,6
huge,1,5,6
hell,1,5,6
front,1,5,6
fly,1,5,6
fear,2,4,6
eat,2,4,6
disappear,2,4,6
dark,5,1,6
arent,1,5,6
years,3,2,5
whoa,4,1,5
top,1,4,5
supposed,3,2,5
suppose,4,1,5
sister,4,1,5
saw,1,4,5
reveal,4,1,5
return,4,1,5
ready,1,4,5
perfect,2,3,5
mine,3,2,5
luck,3,2,5
lives,1,4,5
left,1,4,5
leaving,1,4,5
laughter,4,1,5
itll,2,3,5
iron,2,3,5
inside,1,4,5
important,3,2,5
hoping,2,3,5
hoo,4,1,5
heart,2,3,5
hard,2,3,5
handsome,2,3,5
handle,2,3,5
gives,1,4,5
found,3,2,5
finds,1,4,5
fall,1,4,5
everybody,4,1,5
dream,3,2,5
done,3,2,5
destroy,2,3,5
dead,2,3,5
care,3,2,5
call,4,1,5
break,2,3,5
awesome,4,1,5
ask,3,2,5
