word,Halloweentown,The Good Witch,total
oh,83,58,141
im,60,66,126
dont,54,68,122
know,66,47,113
like,64,38,102
come,51,36,87
go,47,34,81
youre,32,34,66
right,33,33,66
see,39,23,62
thats,32,29,61
want,25,35,60
think,19,40,59
yeah,23,33,56
good,23,32,55
going,19,32,51
ill,15,29,44
little,17,26,43
hey,25,18,43
cant,23,20,43
time,23,19,42
mean,23,18,41
look,27,13,40
help,21,17,38
thing,30,7,37
need,10,25,35
mom,31,4,35
gonna,30,4,34
didnt,17,16,33
back,22,11,33
witch,19,13,32
really,17,15,32
youve,14,17,31
mother,30,1,31
thank,9,21,30
home,16,14,30
yes,23,6,29
shes,17,12,29
thanks,13,15,28
house,10,18,28
magic,16,11,27
take,11,15,26
stop,15,11,26
dream,3,23,26
two,13,12,25
lets,21,4,25
doesnt,16,9,25
make,13,11,24
kids,17,7,24
hes,10,14,24
ive,12,11,23
way,13,9,22
theres,11,11,22
put,14,8,22
long,12,10,22
world,20,1,21
tell,10,11,21
maybe,12,9,21
children,12,9,21
sure,5,15,20
monsters,5,15,20
miss,2,18,20
halloween,19,1,20
please,12,7,19
give,13,6,19
dad,3,16,19
big,15,4,19
talk,6,12,18
place,8,10,18
old,8,10,18
hello,7,11,18
doing,9,9,18
better,8,10,18
witches,15,2,17
uh,13,4,17
things,8,9,17
sorry,10,7,17
people,4,13,17
keep,10,7,17
hi,6,11,17
dog,3,14,17
bye,14,3,17
shop,2,14,16
night,6,10,16
lady,1,15,16
dylan,14,2,16
bad,11,5,16
turn,12,3,15
powers,14,1,15
find,5,10,15
book,7,8,15
believe,7,8,15
whats,8,6,14
wait,8,6,14
theyre,6,8,14
mayor,6,8,14
hear,6,8,14
excuse,9,5,14
coming,12,2,14
call,4,10,14
trick,6,7,13
stay,5,8,13
man,11,2,13
live,7,6,13
huh,10,3,13
guess,8,5,13
away,5,8,13
worry,8,4,12
work,5,7,12
wont,6,6,12
thought,8,4,12
school,4,8,12
nice,6,6,12
new,2,10,12
life,10,2,12
great,6,6,12
getting,6,6,12
dinner,5,7,12
bell,4,8,12
ah,9,3,12
um,10,1,11
trying,8,3,11
town,4,7,11
real,6,5,11
open,7,4,11
lot,3,8,11
leave,5,6,11
day,5,6,11
course,7,4,11
came,10,1,11
boys,1,10,11
wrong,5,5,10
trouble,6,4,10
tonight,4,6,10
spell,8,2,10
special,5,5,10
show,7,3,10
meet,1,9,10
love,1,9,10
kind,7,3,10
gotta,9,1,10
ghost,8,2,10
fight,6,4,10
used,5,4,9
try,5,4,9
today,2,7,9
made,5,4,9
job,5,4,9
hm,6,3,9
havent,6,3,9
guys,8,1,9
fine,6,3,9
done,3,6,9
chance,7,2,9
working,5,3,8
weve,6,2,8
wanted,3,5,8
use,5,3,8
true,5,3,8
tomorrow,2,6,8
tired,3,5,8
saw,1,7,8
pretty,5,3,8
party,5,3,8
name,1,7,8
minute,5,3,8
looks,3,5,8
hope,2,6,8
head,4,4,8
happy,2,6,8
family,5,3,8
end,6,2,8
check,2,6,8
care,3,5,8
candle,1,7,8
broom,6,2,8
bed,3,5,8
anyway,5,3,8
actually,7,1,8
years,3,4,7
understand,5,2,7
turned,4,3,7
treat,2,5,7
told,2,5,7
running,2,5,7
ready,1,6,7
probably,3,4,7
isnt,5,2,7
important,3,4,7
idea,4,3,7
id,5,2,7
hows,1,6,7
honey,1,6,7
hard,2,5,7
grandmas,6,1,7
father,4,3,7
everybody,4,3,7
decided,3,4,7
dark,5,2,7
cool,5,2,7
citizens,1,6,7
business,1,6,7
bring,4,3,7
ago,3,4,7
youd,3,3,6
works,4,2,6
wonderful,2,4,6
woman,2,4,6
wasnt,4,2,6
tried,4,2,6
supposed,3,3,6
serious,3,3,6
return,4,2,6
remember,5,1,6
reason,3,3,6
quite,4,2,6
mr,1,5,6
mind,1,5,6
late,3,3,6
inside,1,5,6
full,1,5,6
friends,3,3,6
door,4,2,6
different,2,4,6
couldnt,2,4,6
cookie,5,1,6
arent,1,5,6
afraid,3,3,6
youll,1,4,5
whoa,4,1,5
watch,3,2,5
touch,1,4,5
three,3,2,5
thinking,3,2,5
story,4,1,5
sit,2,3,5
sister,4,1,5
run,3,2,5
ran,2,3,5
promise,1,4,5
pretend,4,1,5
plans,1,4,5
number,4,1,5
looking,2,3,5
light,3,2,5
later,4,1,5
knows,1,4,5
hurt,3,2,5
hold,3,2,5
hide,1,4,5
happened,1,4,5
hang,2,3,5
gave,1,4,5
found,3,2,5
force,4,1,5
finally,3,2,5
dead,2,3,5
daughter,2,3,5
crazy,3,2,5
called,2,3,5
boy,3,2,5
awesome,4,1,5
ask,3,2,5
appreciate,3,2,5
wouldnt,2,2,4
witchs,3,1,4
wheres,2,2,4
went,1,3,4
times,3,1,4
till,1,3,4
tight,1,3,4
telling,2,2,4
sleep,2,2,4
sell,2,2,4
schedule,2,2,4
saying,1,3,4
recipe,2,2,4
poor,2,2,4
plenty,2,2,4
ones,2,2,4
moving,2,2,4
moved,1,3,4
move,2,2,4
moment,2,2,4
mine,3,1,4
midnight,3,1,4
met,2,2,4
means,1,3,4
lucky,2,2,4
luck,3,1,4
lost,3,1,4
local,2,2,4
left,1,3,4
league,1,3,4
itll,2,2,4
instead,1,3,4
hoping,2,2,4
heart,2,2,4
hand,2,2,4
half,2,2,4
girl,2,2,4
future,2,2,4
frog,1,3,4
feel,3,1,4
face,2,2,4
exist,1,3,4
eat,2,2,4
couple,2,2,4
costume,3,1,4
child,2,2,4
changed,2,2,4
brother,3,1,4
break,2,2,4
bit,2,2,4
best,2,2,4
anymore,2,2,4
year,2,1,3
worried,1,2,3
word,1,2,3
weeks,1,2,3
waiting,2,1,3
video,1,2,3
traditions,2,1,3
top,1,2,3
th,2,1,3
teach,2,1,3
