word,Halloweentown,The Last WItch Hunter,total
know,66,45,111
oh,83,16,99
im,60,29,89
like,64,15,79
dont,54,21,75
come,51,11,62
youre,32,26,58
go,47,11,58
see,39,13,52
right,33,15,48
witch,19,27,46
thats,32,11,43
look,27,11,38
back,22,16,38
magic,16,21,37
gonna,30,7,37
want,25,10,35
time,23,11,34
help,21,13,34
cant,23,11,34
thing,30,3,33
good,23,10,33
mother,30,2,32
hey,25,7,32
world,20,11,31
think,19,12,31
witches,15,15,30
ive,12,18,30
yes,23,5,28
mean,23,5,28
yeah,23,4,27
didnt,17,10,27
going,19,7,26
need,10,14,24
lets,21,3,24
ill,15,9,24
youve,14,9,23
little,17,6,23
life,10,13,23
stop,15,7,22
shes,17,4,21
really,17,4,21
long,12,9,21
queen,1,19,20
way,13,6,19
put,14,5,19
make,13,6,19
doesnt,16,3,19
theres,11,7,18
old,8,10,18
father,4,14,18
death,1,17,18
uh,13,4,17
please,12,5,17
home,16,1,17
hes,10,7,17
used,5,11,16
take,11,5,16
sorry,10,6,16
remember,5,11,16
man,11,5,16
keep,10,6,16
ah,9,7,16
two,13,2,15
thank,9,6,15
tell,10,5,15
stuff,14,1,15
coming,12,3,15
turn,12,2,14
thanks,13,1,14
spell,8,6,14
huh,10,4,14
bad,11,3,14
away,5,9,14
things,8,5,13
theyre,6,7,13
place,8,5,13
night,6,7,13
maybe,12,1,13
havent,6,7,13
evil,9,4,13
children,12,1,13
came,10,3,13
years,3,9,12
human,10,2,12
done,3,9,12
course,7,5,12
worry,8,3,11
um,10,1,11
thought,8,3,11
stay,5,6,11
kind,7,4,11
house,10,1,11
hello,7,4,11
getting,6,5,11
excuse,9,2,11
doing,9,2,11
cross,1,10,11
youll,1,9,10
whoo,9,1,10
whats,8,2,10
trying,8,2,10
powerful,7,3,10
normal,9,1,10
live,7,3,10
isnt,5,5,10
hurt,3,7,10
ha,9,1,10
guys,8,2,10
find,5,5,10
actually,7,3,10
wrong,5,4,9
wont,6,3,9
wait,8,1,9
trust,3,6,9
th,2,7,9
show,7,2,9
real,6,3,9
people,4,5,9
part,5,4,9
mind,1,8,9
kid,3,6,9
hours,8,1,9
heart,2,7,9
hair,8,1,9
guess,8,1,9
fight,6,3,9
destroy,2,7,9
dark,5,4,9
chance,7,2,9
anyway,5,4,9
afraid,3,6,9
weve,6,2,8
understand,5,3,8
turned,4,4,8
start,5,3,8
nice,6,2,8
made,5,3,8
knew,5,3,8
end,6,2,8
days,6,2,8
day,5,3,8
call,4,4,8
working,5,2,7
work,5,2,7
word,1,6,7
wasnt,4,3,7
wanted,3,4,7
waiting,2,5,7
try,5,2,7
trouble,6,1,7
talk,6,1,7
save,5,2,7
return,4,3,7
promise,1,6,7
power,2,5,7
new,2,5,7
love,1,6,7
leave,5,2,7
iron,2,5,7
id,5,2,7
hear,6,1,7
head,4,3,7
great,6,1,7
found,3,4,7
fine,6,1,7
different,2,5,7
dead,2,5,7
cool,5,2,7
careful,5,2,7
care,3,4,7
brother,3,4,7
youd,3,3,6
works,4,2,6
whoa,4,2,6
watch,3,3,6
use,5,1,6
true,5,1,6
totally,5,1,6
sure,5,1,6
story,4,2,6
seen,1,5,6
pretty,5,1,6
name,1,5,6
met,2,4,6
kept,1,5,6
job,5,1,6
humans,3,3,6
guy,4,2,6
candy,5,1,6
bring,4,2,6
wouldnt,2,3,5
wish,2,3,5
tonight,4,1,5
told,2,3,5
three,3,2,5
taken,1,4,5
smart,3,2,5
secret,1,4,5
safe,1,4,5
run,3,2,5
reveal,4,1,5
quite,4,1,5
pretend,4,1,5
peace,1,4,5
looking,2,3,5
later,4,1,5
late,3,2,5
important,3,2,5
idea,4,1,5
hold,3,2,5
gone,2,3,5
goes,3,2,5
finally,3,2,5
deal,2,3,5
cast,1,4,5
born,2,3,5
bar,1,4,5
ago,3,2,5
witchs,3,1,4
whered,3,1,4
warlock,3,1,4
trap,1,3,4
tomorrow,2,2,4
times,3,1,4
thinking,3,1,4
simple,3,1,4
reason,3,1,4
ready,1,3,4
ran,2,2,4
proud,1,3,4
probably,3,1,4
past,1,3,4
mortals,3,1,4
miss,2,2,4
mine,3,1,4
means,1,3,4
lot,3,1,4
lost,3,1,4
lived,1,3,4
leaving,1,3,4
knows,1,3,4
hand,2,2,4
fly,1,3,4
feel,3,1,4
fear,2,2,4
far,2,2,4
face,2,2,4
eye,3,1,4
enjoy,1,3,4
em,2,2,4
daughter,2,2,4
brought,1,3,4
break,2,2,4
bit,2,2,4
best,2,2,4
baby,3,1,4
ask,3,1,4
anymore,2,2,4
worst,2,1,3
worked,1,2,3
unless,1,2,3
twice,1,2,3
truth,2,1,3
today,2,1,3
teach,2,1,3
swear,1,2,3
started,2,1,3
sir,1,2,3
shop,2,1,3
shh,2,1,3
set,1,2,3
sell,2,1,3
screaming,2,1,3
scare,1,2,3
raise,2,1,3
protect,1,2,3
precious,2,1,3
perfect,2,1,3
passed,1,2,3
ones,2,1,3
mix,1,2,3
missing,2,1,3
missed,1,2,3
men,1,2,3
lose,2,1,3
inside,1,2,3
impossible,1,2,3
hope,2,1,3
heres,1,2,3
hell,1,2,3
having,2,1,3
hasnt,1,2,3
hang,2,1,3
handle,2,1,3
girl,2,1,3
future,2,1,3
forgotten,1,2,3
fall,1,2,3
ends,1,2,3
eat,2,1,3
dollars,1,2,3
discovered,1,2,3
date,2,1,3
darkness,2,1,3
dangerous,2,1,3
comes,1,2,3
changed,2,1,3
cause,2,1,3
buying,2,1,3
boring,2,1,3
body,1,2,3
begin,1,2,3
bag,2,1,3
arent,1,2,3
ancient,1,2,3
alive,1,2,3
write,1,1,2
worried,1,1,2
went,1,1,2
wanna,1,1,2
using,1,1,2
ugly,1,1,2
trees,1,1,2
top,1,1,2
terrible,1,1,2
taking,1,1,2
success,1,1,2
standing,1,1,2
stand,1,1,2
speaking,1,1,2
signs,1,1,2
shows,1,1,2
shot,1,1,2
second,1,1,2
saying,1,1,2
saw,1,1,2
rule,1,1,2
rest,1,1,2
pushed,1,1,2
protecting,1,1,2
plans,1,1,2
pick,1,1,2
person,1,1,2
odor,1,1,2
mr,1,1,2
mood,1,1,2
monster,1,1,2
message,1,1,2
meet,1,1,2
math,1,1,2
making,1,1,2
loud,1,1,2
loss,1,1,2
left,1,1,2
kinds,1,1,2
killing,1,1,2
judge,1,1,2
hiding,1,1,2
hide,1,1,2
herb,1,1,2
helps,1,1,2
heard,1,1,2
happened,1,1,2
growing,1,1,2
glad,1,1,2
giving,1,1,2
gets,1,1,2
gave,1,1,2
front,1,1,2
followed,1,1,2
flying,1,1,2
emergency,1,1,2
eggs,1,1,2
discussion,1,1,2
destiny,1,1,2
daddy,1,1,2
coven,1,1,2
construction,1,1,2
confess,1,1,2
closed,1,1,2
clear,1,1,2
cab,1,1,2
busy,1,1,2
business,1,1,2
brothers,1,1,2
bringing,1,1,2
breaking,1,1,2
brave,1,1,2
assume,1,1,2
grandma,56,0,56
marnie,36,0,36
mom,31,0,31
ooh,25,0,25
sophie,20,0,20
ok,20,0,20
bus,20,0,20
halloween,19,0,19
bet,18,0,18
kids,17,0,17
halloweentown,17,0,17
big,15,0,15
talisman,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
bye,14,0,14
give,13,0,13
sighs,12,0,12
gwen,12,0,12
calabar,11,0,11
mortal,10,0,10
gotta,9,0,9
wow,8,0,8
training,8,0,8
stroke,8,0,8
march,8,0,8
luke,8,0,8
ghost,8,0,8
cromwells,8,0,8
better,8,0,8
weird,7,0,7
open,7,0,7
book,7,0,7
believe,7,0,7
aggie,7,0,7
ya,6,0,6
werewolf,6,0,6
vampires,6,0,6
trick,6,0,6
sweat,6,0,6
moaning,6,0,6
mm,6,0,6
mayor,6,0,6
hm,6,0,6
hi,6,0,6
guythur,6,0,6
grandmas,6,0,6
creatures,6,0,6
broom,6,0,6
talking,5,0,5
