word,Halloweentown,The Love Witch,total
oh,83,43,126
like,64,54,118
know,66,48,114
im,60,53,113
witch,19,71,90
love,1,87,88
dont,54,31,85
come,51,12,63
go,47,14,61
youre,32,27,59
right,33,22,55
see,39,15,54
thats,32,18,50
yes,23,24,47
really,17,28,45
want,25,14,39
yeah,23,14,37
thing,30,7,37
think,19,17,36
going,19,16,35
way,13,21,34
mother,30,4,34
man,11,23,34
look,27,7,34
good,23,10,33
cant,23,10,33
time,23,9,32
ive,12,20,32
gonna,30,2,32
back,22,10,32
hey,25,6,31
mean,23,7,30
didnt,17,12,29
witches,15,13,28
take,11,17,28
little,17,11,28
ill,15,12,27
make,13,13,26
magic,16,10,26
life,10,16,26
lets,21,5,26
help,21,5,26
need,10,15,25
give,13,12,25
maybe,12,12,24
world,20,3,23
doesnt,16,7,23
thought,8,14,22
two,13,8,21
hes,10,11,21
used,5,15,20
shes,17,3,20
please,12,8,20
halloween,19,1,20
youve,14,5,19
thank,9,10,19
sorry,10,9,19
home,16,3,19
bet,18,1,19
stop,15,3,18
men,1,17,18
kids,17,1,18
hi,6,12,18
uh,13,4,17
things,8,9,17
stuff,14,3,17
found,3,14,17
bye,14,3,17
thanks,13,3,16
powers,14,2,16
long,12,4,16
big,15,1,16
woman,2,13,15
whats,8,7,15
theres,11,4,15
tell,10,5,15
put,14,1,15
made,5,10,15
id,5,10,15
house,10,5,15
feel,3,12,15
course,7,8,15
coming,12,3,15
bad,11,4,15
work,5,9,14
sure,5,9,14
old,8,6,14
girl,2,12,14
day,5,9,14
came,10,4,14
baby,3,11,14
wanted,3,10,13
theyre,6,7,13
people,4,9,13
human,10,3,13
find,5,8,13
children,12,1,13
wait,8,4,12
um,10,2,12
seen,1,11,12
place,8,4,12
nice,6,6,12
huh,10,2,12
hair,8,4,12
guess,8,4,12
crazy,3,9,12
keep,10,1,11
isnt,5,6,11
gotta,9,2,11
evil,9,2,11
doing,9,2,11
better,8,3,11
away,5,6,11
wow,8,2,10
wont,6,4,10
wanna,1,9,10
trying,8,2,10
town,4,6,10
tonight,4,6,10
soon,5,5,10
powerful,7,3,10
power,2,8,10
poor,2,8,10
guys,8,2,10
great,6,4,10
excuse,9,1,10
dinner,5,5,10
ah,9,1,10
worry,8,1,9
weird,7,2,9
use,5,4,9
understand,5,4,9
start,5,4,9
spells,4,5,9
show,7,2,9
quite,4,5,9
open,7,2,9
night,6,3,9
nature,2,7,9
lot,3,6,9
live,7,2,9
heart,2,7,9
havent,6,3,9
fine,6,3,9
end,6,3,9
call,4,5,9
believe,7,2,9
actually,7,2,9
try,5,3,8
real,6,2,8
pretty,5,3,8
new,2,6,8
mind,1,7,8
loved,2,6,8
kind,7,1,8
hello,7,1,8
getting,6,2,8
fight,6,2,8
days,6,2,8
careful,5,3,8
years,3,4,7
ya,6,1,7
weve,6,1,7
true,5,2,7
trouble,6,1,7
tried,4,3,7
today,2,5,7
thinking,3,4,7
talk,6,1,7
stay,5,2,7
sick,2,5,7
remember,5,2,7
perfect,2,5,7
mm,6,1,7
minute,5,2,7
meet,1,6,7
left,1,6,7
leave,5,2,7
later,4,3,7
late,3,4,7
jerry,1,6,7
hear,6,1,7
em,2,5,7
done,3,4,7
couldnt,2,5,7
care,3,4,7
ask,3,4,7
wrong,5,1,6
working,5,1,6
wasnt,4,2,6
teach,2,4,6
read,2,4,6
part,5,1,6
ones,2,4,6
met,2,4,6
king,2,4,6
job,5,1,6
idea,4,2,6
hope,2,4,6
hard,2,4,6
guy,4,2,6
fact,2,4,6
dark,5,1,6
calling,2,4,6
body,1,5,6
bed,3,3,6
anyway,5,1,6
youll,1,4,5
whoa,4,1,5
watch,3,2,5
trust,3,2,5
told,2,3,5
times,3,2,5
sweetheart,4,1,5
sweet,2,3,5
supposed,3,2,5
suppose,4,1,5
story,4,1,5
started,2,3,5
sleep,2,3,5
