word,Halloweentown,The Wicker Man,total
oh,83,25,108
know,66,28,94
im,60,26,86
like,64,18,82
dont,54,20,74
come,51,21,72
see,39,16,55
go,47,7,54
thats,32,21,53
good,23,27,50
right,33,15,48
youre,32,9,41
yes,23,14,37
think,19,16,35
back,22,13,35
want,25,8,33
thing,30,3,33
please,12,21,33
mother,30,3,33
time,23,9,32
gonna,30,2,32
shes,17,14,31
cant,23,8,31
ill,15,14,29
mean,23,5,28
man,11,17,28
look,27,1,28
take,11,15,26
hey,25,1,26
going,19,7,26
way,13,11,24
make,13,11,24
little,17,7,24
help,21,3,24
old,8,13,21
theres,11,9,20
thank,9,11,20
really,17,3,20
home,16,4,20
didnt,17,3,20
course,7,13,20
girl,2,17,19
doesnt,16,3,19
bet,18,1,19
youve,14,4,18
put,14,4,18
ive,12,6,18
hes,10,8,18
day,5,13,18
children,12,6,18
uh,13,4,17
tell,10,7,17
sir,1,16,17
give,13,4,17
stop,15,1,16
bye,14,2,16
big,15,1,16
whats,8,7,15
two,13,2,15
thanks,13,2,15
stuff,14,1,15
show,7,8,15
long,12,3,15
wont,6,8,14
sorry,10,4,14
need,10,4,14
life,10,4,14
human,10,4,14
house,10,4,14
hello,7,7,14
coming,12,2,14
ah,9,5,14
turn,12,1,13
things,8,5,13
sure,5,8,13
place,8,5,13
maybe,12,1,13
id,5,8,13
find,5,8,13
daughter,2,11,13
better,8,5,13
believe,7,6,13
um,10,2,12
night,6,6,12
isnt,5,7,12
excuse,9,3,12
death,1,11,12
dead,2,10,12
came,10,2,12
bad,11,1,12
theyre,6,5,11
stroke,8,3,11
missing,2,9,11
kind,7,4,11
keep,10,1,11
child,2,9,11
year,2,8,10
understand,5,5,10
told,2,8,10
thought,8,2,10
quite,4,6,10
people,4,6,10
name,1,9,10
march,8,2,10
great,6,4,10
doing,9,1,10
afraid,3,7,10
young,3,6,9
youll,1,8,9
worry,8,1,9
work,5,4,9
tonight,4,5,9
poor,2,7,9
open,7,2,9
mm,6,3,9
miss,2,7,9
live,7,2,9
hours,8,1,9
hair,8,1,9
ghost,8,1,9
chance,7,2,9
bed,3,6,9
away,5,4,9
youd,3,5,8
years,3,5,8
use,5,3,8
try,5,3,8
stay,5,3,8
start,5,3,8
made,5,3,8
hear,6,2,8
hand,2,6,8
fine,6,2,8
evening,1,7,8
end,6,2,8
baby,3,5,8
weve,6,1,7
true,5,2,7
trouble,6,1,7
tomorrow,2,5,7
shell,5,2,7
remember,5,2,7
nice,6,1,7
love,1,6,7
late,3,4,7
inside,1,6,7
head,4,3,7
havent,6,1,7
getting,6,1,7
days,6,1,7
call,4,3,7
boy,3,4,7
body,1,6,7
wrong,5,1,6
used,5,1,6
town,4,2,6
talking,5,1,6
suppose,4,2,6
serious,3,3,6
seen,1,5,6
school,4,2,6
return,4,2,6
pretty,5,1,6
part,5,1,6
new,2,4,6
nature,2,4,6
job,5,1,6
happy,2,4,6
friends,3,3,6
found,3,3,6
father,4,2,6
dark,5,1,6
bring,4,2,6
arent,1,5,6
woman,2,3,5
trust,3,2,5
times,3,2,5
silly,1,4,5
round,2,3,5
room,1,4,5
mr,1,4,5
lost,3,2,5
light,3,2,5
later,4,1,5
king,2,3,5
idea,4,1,5
hope,2,3,5
goes,3,2,5
full,1,4,5
force,4,1,5
follow,4,1,5
everybody,4,1,5
eh,3,2,5
door,4,1,5
done,3,2,5
costume,3,2,5
bit,2,3,5
ago,3,2,5
word,1,3,4
wanted,3,1,4
trees,1,3,4
today,2,2,4
till,1,3,4
three,3,1,4
supposed,3,1,4
sleep,2,2,4
six,1,3,4
simple,3,1,4
send,1,3,4
sea,1,3,4
saying,1,3,4
saw,1,3,4
queen,1,3,4
ones,2,2,4
mine,3,1,4
midnight,3,1,4
lovely,1,3,4
loved,2,2,4
looks,3,1,4
lived,1,3,4
kid,3,1,4
keeps,2,2,4
important,3,1,4
hurt,3,1,4
hold,3,1,4
happened,1,3,4
glass,2,2,4
forget,1,3,4
fill,2,2,4
fear,2,2,4
far,2,2,4
face,2,2,4
eat,2,2,4
creature,3,1,4
comes,1,3,4
business,1,3,4
brought,1,3,4
broken,1,3,4
best,2,2,4
belong,1,3,4
attention,1,3,4
ask,3,1,4
wouldnt,2,1,3
wondered,2,1,3
wish,2,1,3
wheres,2,1,3
th,2,1,3
telling,2,1,3
teach,2,1,3
sweet,2,1,3
streets,1,2,3
started,2,1,3
stand,1,2,3
speaking,1,2,3
sky,1,2,3
sit,2,1,3
sick,2,1,3
shh,2,1,3
set,1,2,3
seeing,2,1,3
ready,1,2,3
read,2,1,3
quiet,1,2,3
power,2,1,3
outside,1,2,3
ought,1,2,3
mothers,2,1,3
mind,1,2,3
message,1,2,3
master,1,2,3
looking,2,1,3
lock,2,1,3
local,2,1,3
left,1,2,3
kept,1,2,3
itll,2,1,3
interested,1,2,3
hung,2,1,3
hoped,2,1,3
heart,2,1,3
hasnt,1,2,3
half,2,1,3
gone,2,1,3
