word,Halloweentown,The Wizard of Oz,total
im,60,64,124
oh,83,31,114
come,51,63,114
witch,19,92,111
dont,54,54,108
man,11,89,100
like,64,33,97
go,47,50,97
know,66,23,89
thats,32,54,86
see,39,43,82
back,22,55,77
right,33,37,70
youre,32,34,66
em,2,58,60
home,16,36,52
yes,23,28,51
ill,15,36,51
ha,9,42,51
cant,23,26,49
want,25,23,48
look,27,21,48
help,21,26,47
little,17,25,42
good,23,19,42
think,19,22,41
time,23,15,38
thing,30,8,38
theres,11,27,38
going,19,19,38
way,13,23,36
shes,17,19,36
place,8,28,36
away,5,31,36
take,11,24,35
didnt,17,18,35
please,12,21,33
give,13,20,33
old,8,24,32
gonna,30,2,32
mean,23,8,31
lets,21,10,31
really,17,13,30
ive,12,18,30
yeah,23,6,29
heart,2,26,28
id,5,22,27
youve,14,11,25
miss,2,23,25
long,12,13,25
put,14,10,24
great,6,17,23
follow,4,19,23
world,20,2,22
wonderful,2,20,22
things,8,14,22
stop,15,7,22
make,13,9,22
doesnt,16,6,22
dead,2,20,22
bad,11,11,22
whats,8,13,21
house,10,11,21
two,13,7,20
tell,10,10,20
hes,10,10,20
big,15,5,20
weve,6,13,19
magic,16,3,19
kids,17,2,19
believe,7,12,19
wont,6,12,18
witches,15,3,18
thought,8,10,18
keep,10,8,18
havent,6,12,18
dog,3,15,18
thank,9,8,17
run,3,14,17
day,5,12,17
course,7,10,17
afraid,3,14,17
try,5,11,16
trouble,6,10,16
stuff,14,2,16
mayor,6,10,16
doing,9,7,16
wait,8,7,15
turn,12,3,15
open,7,8,15
find,5,10,15
coming,12,3,15
better,8,7,15
youll,1,13,14
thanks,13,1,14
powerful,7,7,14
maybe,12,2,14
kind,7,7,14
huh,10,4,14
hear,6,8,14
came,10,4,14
three,3,10,13
show,7,6,13
march,8,5,13
isnt,5,8,13
head,4,9,13
fight,6,7,13
trying,8,4,12
true,5,7,12
stay,5,7,12
live,7,5,12
life,10,2,12
king,2,10,12
guess,8,4,12
gotta,9,3,12
door,4,8,12
youd,3,8,11
theyre,6,5,11
sure,5,6,11
sorry,10,1,11
pretty,5,6,11
need,10,1,11
minute,5,6,11
hurt,3,8,11
human,10,1,11
hand,2,9,11
goodbye,1,10,11
fly,1,10,11
done,3,8,11
bed,3,8,11
worry,8,2,10
use,5,5,10
talk,6,4,10
start,5,5,10
spell,8,2,10
remember,5,5,10
nice,6,4,10
made,5,5,10
leave,5,5,10
fine,6,4,10
face,2,8,10
dark,5,5,10
bring,4,6,10
wouldnt,2,7,9
work,5,4,9
witchs,3,6,9
wasnt,4,5,9
suppose,4,5,9
soon,5,4,9
people,4,5,9
knew,5,4,9
hours,8,1,9
hair,8,1,9
gone,2,7,9
getting,6,3,9
days,6,3,9
anyway,5,4,9
aint,2,7,9
wrong,5,3,8
talking,5,3,8
room,1,7,8
night,6,2,8
hello,7,1,8
girl,2,6,8
feel,3,5,8
father,4,4,8
eh,3,5,8
dream,3,5,8
couldnt,2,6,8
chance,7,1,8
broom,6,2,8
ask,3,5,8
working,5,2,7
woman,2,5,7
wish,2,5,7
used,5,2,7
tried,4,3,7
save,5,2,7
return,4,3,7
real,6,1,7
read,2,5,7
quite,4,3,7
name,1,6,7
job,5,2,7
hope,2,5,7
end,6,1,7
creatures,6,1,7
comes,1,6,7
bid,5,2,7
bell,4,3,7
young,3,3,6
welcome,1,5,6
understand,5,1,6
town,4,2,6
tomorrow,2,4,6
step,1,5,6
special,5,1,6
sleep,2,4,6
sister,4,2,6
sir,1,5,6
seen,1,5,6
runs,1,5,6
running,2,4,6
quick,2,4,6
presents,5,1,6
power,2,4,6
poor,2,4,6
part,5,1,6
mouth,2,4,6
monkeys,1,5,6
love,1,5,6
lot,3,3,6
idea,4,2,6
hold,3,3,6
heard,1,5,6
happened,1,5,6
gets,1,5,6
friends,3,3,6
forever,5,1,6
fell,1,5,6
far,2,4,6
everybody,4,2,6
couple,2,4,6
care,3,3,6
bag,2,4,6
years,3,2,5
works,4,1,5
wheres,2,3,5
told,2,3,5
times,3,2,5
thinking,3,2,5
spells,4,1,5
sky,1,4,5
scare,1,4,5
reason,3,2,5
perfect,2,3,5
pat,1,4,5
new,2,3,5
lucky,2,3,5
looks,3,2,5
lollypop,1,4,5
light,3,2,5
league,1,4,5
laughing,4,1,5
later,4,1,5
kitchen,3,2,5
kid,3,2,5
itll,2,3,5
inside,1,4,5
heres,1,4,5
happy,2,3,5
half,2,3,5
goodness,2,3,5
full,1,4,5
found,3,2,5
force,4,1,5
eye,3,2,5
eat,2,3,5
different,2,3,5
called,2,3,5
call,4,1,5
burning,1,4,5
bite,1,4,5
bit,2,3,5
