word,Halloweentown,Twitches Too,total
oh,83,93,176
know,66,84,150
dont,54,76,130
im,60,63,123
like,64,33,97
right,33,63,96
go,47,47,94
yeah,23,56,79
youre,32,42,74
come,51,23,74
thats,32,36,68
think,19,44,63
uh,13,49,62
gonna,30,30,60
look,27,31,58
see,39,18,57
really,17,36,53
good,23,26,49
time,23,25,48
yes,23,24,47
sorry,10,35,45
cant,23,22,45
back,22,21,43
hes,10,32,42
help,21,21,42
mom,31,10,41
want,25,15,40
mother,30,10,40
hey,25,14,39
little,17,21,38
thing,30,7,37
spell,8,29,37
ooh,25,11,36
mean,23,12,35
didnt,17,18,35
going,19,15,34
two,13,18,31
shes,17,14,31
magic,16,15,31
ill,15,16,31
stop,15,15,30
lets,21,9,30
wait,8,21,29
sure,5,24,29
please,12,17,29
whispering,3,25,28
way,13,15,28
um,10,18,28
give,13,13,26
doesnt,16,10,26
theres,11,14,25
ive,12,13,25
home,16,9,25
thought,8,16,24
make,13,11,24
doing,9,15,24
world,20,3,23
tell,10,13,23
hi,6,17,23
thanks,13,9,22
shadow,3,19,22
kind,7,15,22
take,11,10,21
need,10,11,21
bye,14,7,21
bad,11,10,21
actually,7,14,21
talk,6,14,20
screaming,2,18,20
big,15,5,20
huh,10,9,19
guys,8,11,19
whats,8,10,18
thank,9,9,18
put,14,4,18
part,5,13,18
long,12,6,18
kids,17,1,18
father,4,14,18
dad,3,15,18
youve,14,3,17
trying,8,9,17
isnt,5,12,17
witches,15,1,16
sister,4,12,16
man,11,5,16
gotta,9,7,16
coming,12,4,16
wasnt,4,11,15
theyre,6,9,15
stuff,14,1,15
place,8,7,15
night,6,9,15
maybe,12,3,15
getting,6,9,15
course,7,8,15
away,5,10,15
ah,9,6,15
wouldnt,2,12,14
turn,12,2,14
things,8,6,14
love,1,13,14
life,10,4,14
late,3,11,14
keep,10,4,14
fine,6,8,14
believe,7,7,14
worry,8,5,13
stay,5,8,13
sighs,12,1,13
light,3,10,13
later,4,9,13
house,10,3,13
grunting,2,11,13
great,6,7,13
door,4,9,13
darkness,2,11,13
children,12,1,13
alive,1,12,13
work,5,7,12
wont,6,6,12
leave,5,7,12
human,10,2,12
hair,8,4,12
ha,9,3,12
find,5,7,12
excuse,9,3,12
evil,9,3,12
chance,7,5,12
came,10,2,12
wrong,5,6,11
weve,6,5,11
weird,7,4,11
wanted,3,8,11
wanna,1,10,11
used,5,6,11
use,5,6,11
true,5,6,11
safe,1,10,11
probably,3,8,11
power,2,9,11
normal,9,2,11
mortal,10,1,11
lot,3,8,11
knew,5,6,11
hello,7,4,11
better,8,3,11
best,2,9,11
years,3,7,10
understand,5,5,10
talking,5,5,10
start,5,5,10
show,7,3,10
pretty,5,5,10
open,7,3,10
old,8,2,10
laughs,3,7,10
laughing,4,6,10
idea,4,6,10
hear,6,4,10
havent,6,4,10
guess,8,2,10
day,5,5,10
care,3,7,10
book,7,3,10
wow,8,1,9
try,5,4,9
school,4,5,9
remember,5,4,9
powerful,7,2,9
nice,6,3,9
minute,5,4,9
looks,3,6,9
days,6,3,9
youll,1,7,8
ya,6,2,8
wall,2,6,8
trust,3,5,8
totally,5,3,8
suppose,4,4,8
save,5,3,8
important,3,5,8
id,5,3,8
honey,1,7,8
head,4,4,8
fun,2,6,8
found,3,5,8
family,5,3,8
dead,2,6,8
cool,5,3,8
ask,3,5,8
arent,1,7,8
afraid,3,5,8
working,5,2,7
trouble,6,1,7
tried,4,3,7
trick,6,1,7
told,2,5,7
telling,2,5,7
supposed,3,4,7
story,4,3,7
spells,4,3,7
special,5,2,7
soon,5,2,7
shell,5,2,7
seen,1,6,7
screams,3,4,7
saw,1,6,7
run,3,4,7
reason,3,4,7
real,6,1,7
ready,1,6,7
prince,1,6,7
people,4,3,7
left,1,6,7
girl,2,5,7
forever,5,2,7
fight,6,1,7
done,3,4,7
dark,5,2,7
call,4,3,7
bring,4,3,7
youd,3,3,6
works,4,2,6
whoa,4,2,6
wheres,2,4,6
town,4,2,6
rumbling,2,4,6
return,4,2,6
problem,1,5,6
panting,1,5,6
new,2,4,6
miss,2,4,6
met,2,4,6
made,5,1,6
lost,3,3,6
job,5,1,6
hold,3,3,6
having,2,4,6
happy,2,4,6
happened,1,5,6
gave,1,5,6
friends,3,3,6
forces,1,5,6
finally,3,3,6
eh,3,3,6
destroy,2,4,6
chuckles,1,5,6
