word,Halloweentown,Witches of Eastwick,total
dont,54,69,123
know,66,50,116
oh,83,19,102
im,60,40,100
like,64,32,96
come,51,29,80
go,47,26,73
thats,32,36,68
see,39,29,68
want,25,31,56
youre,32,23,55
right,33,22,55
yes,23,29,52
cant,23,29,52
think,19,28,47
look,27,19,46
little,17,28,45
good,23,21,44
time,23,16,39
lets,21,17,38
going,19,18,37
thing,30,6,36
make,13,21,34
yeah,23,10,33
back,22,11,33
mom,31,1,32
mother,30,1,31
stop,15,14,29
shes,17,12,29
really,17,11,28
mean,23,5,28
world,20,6,26
take,11,15,26
ooh,25,1,26
help,21,3,24
whats,8,15,23
doesnt,16,7,23
kids,17,5,22
doing,9,13,22
didnt,17,5,22
two,13,8,21
man,11,10,21
hes,10,11,21
big,15,6,21
way,13,7,20
things,8,12,20
sorry,10,10,20
ill,15,5,20
home,16,4,20
thank,9,10,19
youve,14,4,18
theyre,6,12,18
maybe,12,6,18
life,10,8,18
house,10,8,18
give,13,5,18
woman,2,15,17
witches,15,2,17
put,14,3,17
please,12,5,17
ive,12,5,17
feel,3,14,17
love,1,15,16
keep,10,6,16
children,12,4,16
theres,11,4,15
nice,6,9,15
need,10,5,15
isnt,5,10,15
huh,10,5,15
coming,12,3,15
um,10,4,14
uh,13,1,14
trying,8,6,14
thanks,13,1,14
tell,10,4,14
talk,6,8,14
long,12,2,14
human,10,4,14
day,5,9,14
call,4,10,14
better,8,6,14
bad,11,3,14
wait,8,5,13
true,5,8,13
sure,5,8,13
open,7,6,13
kind,7,6,13
evil,9,4,13
came,10,3,13
away,5,8,13
wrong,5,7,12
understand,5,7,12
town,4,8,12
thought,8,4,12
talking,5,7,12
place,8,4,12
mm,6,6,12
hi,6,6,12
happen,2,10,12
ha,9,3,12
fine,6,6,12
excuse,9,3,12
course,7,5,12
believe,7,5,12
normal,9,2,11
name,1,10,11
hello,7,4,11
great,6,5,11
family,5,6,11
ah,9,2,11
whoo,9,1,10
use,5,5,10
try,5,5,10
three,3,7,10
people,4,6,10
men,1,9,10
made,5,5,10
hear,6,4,10
wont,6,3,9
powerful,7,2,9
pain,1,8,9
old,8,1,9
looking,2,7,9
hair,8,1,9
guys,8,1,9
guess,8,1,9
days,6,3,9
actually,7,2,9
work,5,3,8
weird,7,1,8
trouble,6,2,8
today,2,6,8
terrible,1,7,8
sweetheart,4,4,8
shell,5,3,8
remember,5,3,8
night,6,2,8
id,5,3,8
getting,6,2,8
chance,7,1,8
care,3,5,8
afraid,3,5,8
weve,6,1,7
used,5,2,7
trick,6,1,7
told,2,5,7
thinking,3,4,7
sweet,2,5,7
sick,2,5,7
poor,2,5,7
number,4,3,7
new,2,5,7
minute,5,2,7
mind,1,6,7
knew,5,2,7
hurt,3,4,7
head,4,3,7
having,2,5,7
havent,6,1,7
hard,2,5,7
friends,3,4,7
forever,5,2,7
fight,6,1,7
end,6,1,7
eat,2,5,7
done,3,4,7
dead,2,5,7
dark,5,2,7
creatures,6,1,7
cream,1,6,7
bed,3,4,7
arent,1,6,7
appreciate,3,4,7
trust,3,3,6
times,3,3,6
stay,5,1,6
start,5,1,6
short,1,5,6
party,5,1,6
ow,5,1,6
meet,1,5,6
lunch,1,5,6
leave,5,1,6
late,3,3,6
kid,3,3,6
ice,1,5,6
hell,1,5,6
happening,3,3,6
guy,4,2,6
find,5,1,6
doctor,1,5,6
dinner,5,1,6
crazy,3,3,6
couldnt,2,4,6
called,2,4,6
ask,3,3,6
wouldnt,2,3,5
works,4,1,5
wanted,3,2,5
tomorrow,2,3,5
supposed,3,2,5
suppose,4,1,5
strange,1,4,5
starts,1,4,5
sit,2,3,5
shut,2,3,5
shh,2,3,5
school,4,1,5
pretend,4,1,5
nature,2,3,5
lot,3,2,5
lost,3,2,5
looks,3,2,5
local,2,3,5
later,4,1,5
knows,1,4,5
inside,1,4,5
idea,4,1,5
hoo,4,1,5
honey,1,4,5
hold,3,2,5
happy,2,3,5
handsome,2,3,5
force,4,1,5
feeling,1,4,5
especially,3,2,5
dumb,3,2,5
disappear,2,3,5
couple,2,3,5
chocolate,1,4,5
bring,4,1,5
bone,2,3,5
bit,2,3,5
anymore,2,3,5
admit,2,3,5
young,3,1,4
youd,3,1,4
wish,2,2,4
win,1,3,4
watch,3,1,4
waiting,2,2,4
upset,1,3,4
truth,2,2,4
