word,Harry Potter and the Sorcerers Stone,Harry Potter and the Chamber of Secrets,total
harry,376,383,759
ron,111,180,291
hagrid,103,86,189
hermione,84,92,176
professor,23,111,134
hogwarts,24,87,111
dumbledore,28,70,98
oh,39,55,94
go,36,58,94
potter,34,56,90
come,29,58,87
vernon,53,25,78
mcgonagall,44,29,73
night,6,62,68
back,41,27,68
see,31,35,66
weasley,11,54,65
know,22,41,63
think,15,46,61
sir,12,46,58
right,23,33,56
dudley,46,9,55
draco,26,29,55
ha,1,51,52
tom,3,47,50
snape,31,19,50
malfoy,6,44,50
gryffindor,29,20,49
good,22,26,48
slytherin,21,26,47
looks,43,2,45
yes,12,29,41
scene,3,37,40
mrs,10,30,40
like,18,22,40
mr,21,18,39
tell,12,26,38
petunia,31,7,38
wand,30,7,37
going,17,20,37
neville,28,8,36
look,17,19,36
time,9,26,35
head,30,4,34
ah,10,24,34
students,25,8,33
school,6,27,33
ahh,18,15,33
way,16,16,32
room,11,19,30
great,16,13,29
boy,23,6,29
two,18,10,28
stop,11,17,28
make,15,13,28
house,15,13,28
uncle,3,24,27
day,17,10,27
take,12,14,26
please,13,13,26
kill,3,23,26
door,23,3,26
want,10,15,25
name,15,10,25
girl,10,15,25
bit,18,7,25
three,10,14,24
percy,15,9,24
hat,16,8,24
goyle,1,23,24
ginny,1,23,24
away,15,9,24
course,8,15,23
comes,22,1,23
years,9,13,22
uh,5,17,22
points,19,3,22
mean,7,15,22
fred,13,9,22
doing,7,15,22
crabbe,1,21,22
corridor,11,11,22
train,8,13,21
quidditch,13,8,21
hello,7,14,21
find,9,12,21
family,13,8,21
snake,14,6,20
really,8,12,20
need,7,13,20
man,19,1,20
little,7,13,20
later,19,1,20
hands,16,4,20
wood,9,10,19
voldemort,5,14,19
hand,15,4,19
hall,11,8,19
called,13,6,19
welcome,10,8,18
sorting,13,5,18
people,11,7,18
outside,13,5,18
goes,17,1,18
four,3,15,18
car,5,13,18
bad,7,11,18
put,9,8,17
leave,10,7,17
done,6,11,17
wall,14,2,16
sorry,8,8,16
seeker,14,2,16
seamus,12,4,16
help,10,6,16
heard,6,10,16
gets,14,2,16
george,9,7,16
drive,2,14,16
class,14,2,16
cat,9,7,16
wizard,8,7,15
snitch,13,2,15
privet,2,13,15
magic,7,8,15
follow,8,7,15
filch,5,10,15
common,4,11,15
wait,5,9,14
um,1,13,14
turns,13,1,14
thank,4,10,14
stops,12,2,14
new,6,8,14
morning,3,11,14
looking,9,5,14
gone,6,8,14
give,8,6,14
exactly,3,11,14
dark,8,6,14
dad,4,10,14
better,7,7,14
bathroom,5,9,14
alley,5,9,14
year,8,5,13
voice,1,12,13
seen,5,8,13
place,4,9,13
okay,3,10,13
mind,7,6,13
hair,9,4,13
friends,3,10,13
flying,4,9,13
boys,8,5,13
turn,8,4,12
tower,10,2,12
told,4,8,12
thing,5,7,12
thanks,5,7,12
sure,5,7,12
sitting,11,1,12
norris,5,7,12
nicholas,3,9,12
muggle,3,9,12
maybe,6,6,12
letters,11,1,12
lee,10,2,12
hey,10,2,12
hear,1,11,12
game,11,1,12
father,5,7,12
excuse,8,4,12
camera,10,2,12
blood,3,9,12
begin,10,2,12
air,10,2,12
wrong,4,7,11
wake,5,6,11
true,3,8,11
today,4,7,11
things,4,7,11
talking,5,6,11
staircase,8,3,11
remember,5,6,11
potion,2,9,11
platform,7,4,11
open,7,4,11
nick,8,3,11
mum,4,7,11
knew,6,5,11
immediately,8,3,11
diagon,5,6,11
castle,5,6,11
attention,8,3,11
ask,2,9,11
yeah,1,9,10
world,3,7,10
work,6,4,10
window,8,2,10
understand,4,6,10
table,9,1,10
scar,6,4,10
robes,8,2,10
quickly,8,2,10
parents,5,5,10
old,6,4,10
office,1,9,10
nearly,5,5,10
lost,2,8,10
left,6,4,10
leaves,9,1,10
keep,7,3,10
hospital,3,7,10
heh,5,5,10
granger,5,5,10
front,7,3,10
found,3,7,10
flint,5,5,10
dead,3,7,10
broomstick,9,1,10
ago,1,9,10
afraid,1,9,10
wizards,3,6,9
try,6,3,9
station,4,5,9
stand,3,6,9
speak,2,7,9
red,8,1,9
owl,6,3,9
muggles,3,6,9
meet,2,7,9
longbottom,8,1,9
killed,3,6,9
hell,5,4,9
face,8,1,9
eyes,7,2,9
eye,5,4,9
business,4,5,9
bludger,4,5,9
bloody,3,6,9
best,6,3,9
believe,3,6,9
albus,6,3,9
writing,5,3,8
words,4,4,8
witch,6,2,8
wish,3,5,8
wing,3,5,8
watch,5,3,8
thought,3,5,8
talk,1,7,8
start,6,2,8
running,7,1,8
round,2,6,8
past,6,2,8
move,6,2,8
moment,4,4,8
miss,2,6,8
making,4,4,8
long,5,3,8
listen,2,6,8
inside,6,2,8
happened,4,4,8
gonna,4,4,8
gave,6,2,8
floor,5,3,8
flies,7,1,8
fear,2,6,8
end,4,4,8
died,3,5,8
club,5,3,8
cloak,6,2,8
books,3,5,8
ya,2,5,7
water,3,4,7
trying,3,4,7
times,3,4,7
throws,6,1,7
taken,4,3,7
spell,5,2,7
sit,1,6,7
second,1,6,7
saw,1,6,7
save,2,5,7
reading,4,3,7
quite,2,5,7
pitch,2,5,7
ooh,2,5,7
nice,5,2,7
near,5,2,7
mention,1,6,7
means,2,5,7
luck,5,2,7
living,3,4,7
light,5,2,7
laugh,6,1,7
known,4,3,7
kitchen,4,3,7
hurry,4,3,7
hedwig,5,2,7
grounds,4,3,7
funny,4,3,7
full,4,3,7
fly,6,1,7
fire,6,1,7
far,3,4,7
famous,5,2,7
expect,4,3,7
close,2,5,7
birthday,6,1,7
aunt,2,5,7
ahhhh,2,5,7
worry,2,4,6
wonder,3,3,6
went,5,1,6
team,3,3,6
teacher,3,3,6
stay,3,3,6
sleeping,5,1,6
set,1,5,6
seeing,3,3,6
saying,3,3,6
real,4,2,6
quiet,3,3,6
matter,2,4,6
mark,2,4,6
mail,4,2,6
made,1,5,6
madam,4,2,6
london,4,2,6
late,3,3,6
knowing,5,1,6
knock,2,4,6
job,3,3,6
idea,1,5,6
hmm,4,2,6
headless,4,2,6
happen,1,5,6
half,3,3,6
glasses,3,3,6
fine,3,3,6
fast,4,2,6
expelled,1,5,6
evening,1,5,6
em,3,3,6
death,3,3,6
clearly,2,4,6
classroom,3,3,6
bye,2,4,6
broken,2,4,6
box,5,1,6
bones,1,5,6
bedroom,2,4,6
baby,4,2,6
ahem,1,5,6
young,3,2,5
wizardry,3,2,5
wingardium,4,1,5
wicked,4,1,5
week,4,1,5
waiting,2,3,5
trust,4,1,5
trouble,2,3,5
top,3,2,5
taking,4,1,5
swear,1,4,5
strange,1,4,5
straight,2,3,5
