word,Harry Potter and the Sorcerers Stone,Harry Potter and the Half-Blood Prince,total
harry,376,71,447
ron,111,23,134
hagrid,103,2,105
know,22,76,98
hermione,84,11,95
im,27,61,88
dont,21,62,83
oh,39,35,74
sir,12,57,69
go,36,30,66
think,15,43,58
professor,23,35,58
see,31,26,57
back,41,16,57
like,18,37,55
potter,34,20,54
draco,26,23,49
come,29,19,48
youre,19,28,47
hes,13,33,46
yes,12,33,45
looks,43,2,45
dumbledore,28,15,43
snape,31,10,41
good,22,19,41
thats,21,19,40
right,23,15,38
boy,23,15,38
hogwarts,24,13,37
make,15,20,35
going,17,17,34
wand,30,3,33
look,17,15,32
mr,21,10,31
head,30,1,31
cant,10,21,31
gryffindor,29,1,30
way,16,13,29
really,8,21,29
neville,28,1,29
bit,18,11,29
want,10,17,27
two,18,9,27
students,25,2,27
didnt,10,17,27
day,17,10,27
dark,8,19,27
time,9,16,25
tell,12,13,25
ive,8,17,25
take,12,12,24
door,23,1,24
comes,22,2,24
whats,9,14,23
tom,3,20,23
need,7,16,23
man,19,4,23
find,9,14,23
weasley,11,11,22
people,11,11,22
mean,7,15,22
magic,7,15,22
sorry,8,13,21
please,13,8,21
name,15,6,21
hands,16,5,21
years,9,11,20
later,19,1,20
away,15,5,20
isnt,6,13,19
great,16,3,19
course,8,11,19
stop,11,7,18
old,6,12,18
id,5,13,18
house,15,3,18
help,10,8,18
hat,16,2,18
hand,15,3,18
goes,17,1,18
doing,7,11,18
letter,16,1,17
ill,3,14,17
give,8,9,17
family,13,4,17
class,14,3,17
called,13,4,17
ah,10,7,17
yeah,1,15,16
understand,4,12,16
three,10,6,16
takes,12,4,16
suddenly,14,2,16
put,9,7,16
mind,7,9,16
leave,10,6,16
best,6,10,16
thought,3,12,15
room,11,4,15
quidditch,13,2,15
okay,3,12,15
harrys,13,2,15
fred,13,2,15
blood,3,12,15
alright,1,14,15
youve,6,8,14
theres,9,5,14
sure,5,9,14
sorting,13,1,14
remember,5,9,14
potion,2,12,14
place,4,10,14
outside,13,1,14
malfoy,6,8,14
luck,5,9,14
love,1,13,14
little,7,7,14
game,11,3,14
eyes,7,7,14
youll,6,7,13
year,8,5,13
walking,12,1,13
