word,Harry Potter and the Sorcerers Stone,Sleeping Beauty,total
harry,376,1,377
oh,39,63,102
come,29,28,57
back,41,15,56
see,31,19,50
know,22,27,49
looks,43,4,47
go,36,10,46
im,27,14,41
door,23,15,38
dont,21,17,38
head,30,6,36
good,22,13,35
yes,12,21,33
wand,30,3,33
right,23,10,33
way,16,16,32
thats,21,11,32
youre,19,11,30
think,15,15,30
like,18,12,30
going,17,13,30
boy,23,6,29
turns,13,15,28
day,17,10,27
make,15,11,26
cant,10,16,26
two,18,7,25
years,9,15,24
broom,22,2,24
course,8,15,23
comes,22,1,23
castle,5,18,23
starts,7,15,22
room,11,11,22
outside,13,9,22
dress,1,21,22
stop,11,10,21
notices,17,4,21
man,19,2,21
house,15,6,21
away,15,6,21
wall,14,6,20
love,1,19,20
look,17,3,20
inside,6,14,20
tell,12,7,19
take,12,7,19
pink,1,18,19
hes,13,6,19
great,16,3,19
goes,17,2,19
girl,10,9,19
gets,14,5,19
bit,18,1,19
appears,12,7,19
magic,7,11,18
hat,16,2,18
hands,16,2,18
cake,8,10,18
blue,1,17,18
time,9,8,17
sees,9,8,17
name,15,2,17
hand,15,2,17
camera,10,7,17
youll,6,10,16
walks,13,3,16
walking,12,4,16
three,10,6,16
takes,12,4,16
find,9,7,16
called,13,3,16
window,8,7,15
whats,9,6,15
want,10,5,15
tower,10,5,15
stops,12,3,15
red,8,7,15
jumps,14,1,15
gift,1,14,15
ball,14,1,15
start,6,8,14
really,8,6,14
put,9,5,14
open,7,7,14
leave,10,4,14
grabs,12,2,14
walk,11,2,13
true,3,10,13
theres,9,4,13
sir,12,1,13
mean,7,6,13
looking,9,4,13
long,5,8,13
ill,3,10,13
face,8,5,13
child,1,12,13
ah,10,3,13
welcome,10,2,12
turn,8,4,12
shall,1,11,12
runs,8,4,12
puts,10,2,12
people,11,1,12
nods,11,1,12
little,7,5,12
light,5,7,12
help,10,2,12
hall,11,1,12
hair,9,3,12
glass,10,2,12
follow,8,4,12
flies,7,5,12
father,5,7,12
didnt,10,2,12
birthday,6,6,12
begins,9,3,12
wont,5,6,11
wake,5,6,11
sure,5,6,11
stairs,8,3,11
sorry,8,3,11
shes,1,10,11
run,10,1,11
isnt,6,5,11
ha,1,10,11
give,8,3,11
eyes,7,4,11
air,10,1,11
wood,9,1,10
table,9,1,10
sits,9,1,10
quickly,8,2,10
owl,6,4,10
opens,6,4,10
old,6,4,10
need,7,3,10
met,1,9,10
ive,8,2,10
immediately,8,2,10
id,5,5,10
hurry,4,6,10
happy,4,6,10
fire,6,4,10
falls,7,3,10
disappears,7,3,10
crowd,7,3,10
work,6,3,9
wonder,3,6,9
watch,5,4,9
throws,6,3,9
theyre,6,3,9
staircase,8,1,9
spell,5,4,9
running,7,2,9
past,6,3,9
new,6,3,9
meet,2,7,9
maybe,6,3,9
laughs,5,4,9
keep,7,2,9
front,7,2,9
fly,6,3,9
dungeon,3,6,9
done,6,3,9
doesnt,4,5,9
bad,7,2,9
baby,4,5,9
youve,6,2,8
weve,1,7,8
thing,5,3,8
talking,5,3,8
nice,5,3,8
makes,1,7,8
lets,6,2,8
left,6,2,8
knew,6,2,8
holds,3,5,8
heard,6,2,8
hear,1,7,8
floor,5,3,8
far,3,5,8
book,1,7,8
better,7,1,8
best,6,2,8
approach,4,4,8
yeah,1,6,7
wait,5,2,7
try,6,1,7
tall,5,2,7
taking,4,3,7
stone,5,2,7
slowly,4,3,7
shakes,5,2,7
seen,5,2,7
scene,3,4,7
real,4,3,7
night,6,1,7
move,6,1,7
lifts,6,1,7
life,3,4,7
houses,6,1,7
hmm,4,3,7
forest,2,5,7
fireplace,3,4,7
finally,4,3,7
fat,6,1,7
evil,2,5,7
dragon,4,3,7
wands,2,4,6
understand,4,2,6
surprised,3,3,6
standing,4,2,6
sleeping,5,1,6
shh,1,5,6
remember,5,1,6
normal,5,1,6
near,5,1,6
moment,4,2,6
listen,2,4,6
lightning,3,3,6
knows,4,2,6
knowing,5,1,6
hell,5,1,6
expect,4,2,6
eh,3,3,6
doors,5,1,6
cup,5,1,6
continues,4,2,6
blows,5,1,6
arm,1,5,6
angry,2,4,6
yesterday,2,3,5
wrong,4,1,5
wicked,4,1,5
water,3,2,5
wasnt,3,2,5
told,4,1,5
today,4,1,5
thought,3,2,5
things,4,1,5
sweet,1,4,5
sunshine,1,4,5
stick,4,1,5
stand,3,2,5
son,1,4,5
sky,4,1,5
sighs,3,2,5
screaming,4,1,5
saying,3,2,5
reads,3,2,5
quite,2,3,5
place,4,1,5
picks,4,1,5
named,4,1,5
mother,4,1,5
making,4,1,5
lovely,2,3,5
living,3,2,5
lived,3,2,5
lips,1,4,5
join,4,1,5
itll,3,2,5
hold,1,4,5
heads,3,2,5
gold,3,2,5
full,4,1,5
flying,4,1,5
flash,3,2,5
finger,1,4,5
feet,4,1,5
explain,2,3,5
exactly,3,2,5
end,4,1,5
eating,4,1,5
deep,1,4,5
daughter,1,4,5
crying,2,3,5
cheers,4,1,5
cheering,4,1,5
cheer,4,1,5
care,1,4,5
candles,3,2,5
bowl,3,2,5
arent,3,2,5
approaches,2,3,5
appear,2,3,5
young,3,1,4
wish,3,1,4
wing,3,1,4
trying,3,1,4
touch,1,3,4
top,3,1,4
toast,1,3,4
times,3,1,4
telling,2,2,4
sun,1,3,4
stands,3,1,4
speaking,2,2,4
speak,2,2,4
soon,3,1,4
smile,3,1,4
size,1,3,4
sit,1,3,4
sink,3,1,4
sign,3,1,4
shoulder,3,1,4
short,3,1,4
shock,1,3,4
shadow,3,1,4
set,1,3,4
seeing,3,1,4
reach,2,2,4
places,3,1,4
pay,3,1,4
ought,2,2,4
note,2,2,4
mouth,3,1,4
matter,2,2,4
lots,1,3,4
lock,2,2,4
live,1,3,4
lighting,2,2,4
lies,1,3,4
joy,2,2,4
important,3,1,4
huge,2,2,4
hit,1,3,4
heres,3,1,4
having,3,1,4
half,3,1,4
glasses,3,1,4
girls,3,1,4
forbidden,2,2,4
fair,1,3,4
em,3,1,4
death,3,1,4
cut,3,1,4
curse,2,2,4
close,2,2,4
clean,1,3,4
change,3,1,4
causing,3,1,4
catch,3,1,4
brought,2,2,4
bring,2,2,4
born,1,3,4
believe,3,1,4
bed,1,3,4
woods,1,2,3
wonderful,1,2,3
wings,1,2,3
voice,1,2,3
vanished,2,1,3
upwards,2,1,3
tries,1,2,3
tiny,1,2,3
theyve,2,1,3
tea,1,2,3
supposed,2,1,3
suppose,1,2,3
straight,2,1,3
spells,2,1,3
simple,1,2,3
silly,2,1,3
silence,2,1,3
shows,2,1,3
shot,1,2,3
shed,1,2,3
round,2,1,3
reason,1,2,3
ready,2,1,3
rabbit,2,1,3
pity,2,1,3
pitch,2,1,3
pets,1,2,3
part,2,1,3
moves,2,1,3
mountain,2,1,3
means,2,1,3
lot,2,1,3
lifted,2,1,3
knocks,2,1,3
keeps,1,2,3
jump,2,1,3
hope,1,2,3
hole,1,2,3
hide,1,2,3
helping,2,1,3
havent,2,1,3
hasnt,2,1,3
follows,2,1,3
followed,2,1,3
fit,2,1,3
finished,2,1,3
filled,2,1,3
enters,2,1,3
enter,2,1,3
die,1,2,3
decided,1,2,3
cutting,1,2,3
coming,2,1,3
clothes,1,2,3
climbs,2,1,3
claps,1,2,3
cheek,2,1,3
century,1,2,3
carrying,2,1,3
bringing,1,2,3
break,1,2,3
bout,2,1,3
black,2,1,3
asleep,2,1,3
arrives,1,2,3
answer,1,2,3
ago,1,2,3
works,1,1,2
witches,1,1,2
wishes,1,1,2
wipes,1,1,2
windows,1,1,2
wear,1,1,2
walls,1,1,2
use,1,1,2
turned,1,1,2
trapped,1,1,2
trap,1,1,2
transforms,1,1,2
touches,1,1,2
thunder,1,1,2
thrown,1,1,2
theyll,1,1,2
terrible,1,1,2
tears,1,1,2
talked,1,1,2
tale,1,1,2
strange,1,1,2
started,1,1,2
splendid,1,1,2
special,1,1,2
sound,1,1,2
single,1,1,2
sets,1,1,2
senses,1,1,2
saving,1,1,2
safe,1,1,2
rock,1,1,2
pushing,1,1,2
prove,1,1,2
proud,1,1,2
point,1,1,2
placed,1,1,2
pieces,1,1,2
pair,1,1,2
moments,1,1,2
mighty,1,1,2
middle,1,1,2
made,1,1,2
lose,1,1,2
looked,1,1,2
line,1,1,2
lake,1,1,2
knee,1,1,2
kisses,1,1,2
joking,1,1,2
joins,1,1,2
instead,1,1,2
infant,1,1,2
impossible,1,1,2
hurriedly,1,1,2
hidden,1,1,2
happily,1,1,2
hanging,1,1,2
grown,1,1,2
grow,1,1,2
gate,1,1,2
gap,1,1,2
forget,1,1,2
felt,1,1,2
feast,1,1,2
fallen,1,1,2
fall,1,1,2
fades,1,1,2
exact,1,1,2
everybody,1,1,2
evening,1,1,2
entire,1,1,2
enjoy,1,1,2
emptied,1,1,2
due,1,1,2
distressed,1,1,2
destined,1,1,2
decide,1,1,2
dears,1,1,2
darling,1,1,2
cracking,1,1,2
couple,1,1,2
couldnt,1,1,2
cook,1,1,2
cloud,1,1,2
closes,1,1,2
closed,1,1,2
circle,1,1,2
chair,1,1,2
chained,1,1,2
carefully,1,1,2
careful,1,1,2
building,1,1,2
breaks,1,1,2
