word,Harry Potter and the Sorcerers Stone,The Devils,total
father,5,62,67
oh,39,22,61
see,31,25,56
man,19,34,53
go,36,17,53
back,41,6,47
come,29,16,45
looks,43,1,44
good,22,22,44
dont,21,22,43
yes,12,28,40
know,22,18,40
im,27,11,38
love,1,35,36
head,30,2,32
thats,21,9,30
take,12,18,30
like,18,12,30
way,16,13,29
think,15,14,29
right,23,6,29
tell,12,16,28
name,15,13,28
youre,19,8,27
mr,21,6,27
look,17,9,26
away,15,11,26
comes,22,3,25
two,18,6,24
sister,1,23,24
day,17,7,24
boy,23,1,24
make,15,8,23
going,17,6,23
want,10,12,22
please,13,9,22
house,15,7,22
hes,13,9,22
give,8,14,22
dead,3,18,21
shall,1,19,20
need,7,13,20
mother,4,16,20
help,10,10,20
devil,1,19,20
time,9,10,19
stop,11,8,19
people,11,8,19
great,16,3,19
bit,18,1,19
letter,16,2,18
course,8,10,18
hands,16,1,17
hand,15,2,17
done,6,11,17
thing,5,11,16
put,9,7,16
new,6,10,16
find,9,7,16
called,13,3,16
walking,12,3,15
theres,9,6,15
sir,12,3,15
gets,14,1,15
family,13,2,15
face,8,7,15
outside,13,1,14
mean,7,7,14
little,7,7,14
letters,11,3,14
leave,10,4,14
ive,8,6,14
cant,10,4,14
appears,12,2,14
woman,7,6,13
takes,12,1,13
room,11,2,13
youve,6,6,12
years,9,3,12
walk,11,1,12
turn,8,4,12
three,10,2,12
pain,2,10,12
night,6,6,12
morning,3,9,12
holy,1,11,12
gone,6,6,12
eyes,7,5,12
evil,2,10,12
didnt,10,2,12
child,1,11,12
begin,10,2,12
youll,6,5,11
wish,3,8,11
whats,9,2,11
welcome,10,1,11
mind,7,4,11
life,3,8,11
left,6,5,11
ground,9,2,11
found,3,8,11
fire,6,5,11
body,1,10,11
year,8,2,10
work,6,4,10
wood,9,1,10
try,6,4,10
theyre,6,4,10
speak,2,8,10
sorry,8,2,10
sees,9,1,10
seen,5,5,10
really,8,2,10
quickly,8,2,10
long,5,5,10
leaves,9,1,10
hell,5,5,10
heard,6,4,10
hair,9,1,10
end,4,6,10
bring,2,8,10
blood,3,7,10
world,3,6,9
walls,1,8,9
understand,4,5,9
true,3,6,9
things,4,5,9
thank,4,5,9
remember,5,4,9
place,4,5,9
move,6,3,9
keep,7,2,9
inside,6,3,9
immediately,8,1,9
front,7,2,9
follow,8,1,9
excuse,8,1,9
