word,Snow White and the Seven Dwarves,Bell Book and Candle,total
oh,47,111,158
dont,35,92,127
im,25,91,116
know,17,74,91
white,86,3,89
snow,87,2,89
ah,80,6,86
yes,28,57,85
uh,38,38,76
like,16,57,73
go,39,33,72
good,18,41,59
thats,10,44,54
youre,12,38,50
right,10,40,50
ive,4,40,44
come,18,26,44
want,2,41,43
see,13,30,43
ill,13,30,43
think,2,40,42
continues,14,28,42
tell,6,33,39
little,13,25,38
cant,11,27,38
love,18,19,37
happy,32,3,35
mean,6,27,33
look,18,15,33
yeah,4,28,32
laughing,21,11,32
going,3,28,31
singing,26,4,30
shes,13,16,29
make,12,17,29
take,11,17,28
theres,9,16,25
id,2,23,25
hes,2,23,25
didnt,2,21,23
away,16,7,23
work,17,5,22
sure,6,16,22
really,2,20,22
night,5,17,22
youll,8,13,21
true,12,9,21
humming,12,9,21
huh,3,18,21
believe,1,20,21
whistling,16,4,20
way,3,17,20
old,12,8,20
door,12,8,20
sorry,2,17,19
day,13,6,19
cat,1,18,19
thought,4,14,18
thing,3,15,18
quite,3,15,18
throat,1,16,17
maybe,5,12,17
find,10,7,17
bye,10,7,17
wait,7,9,16
things,3,13,16
isnt,2,14,16
heart,14,2,16
end,13,3,16
whats,5,10,15
time,3,12,15
place,4,11,15
men,14,1,15
hmm,2,13,15
hey,8,7,15
wonder,1,13,14
stop,6,8,14
put,1,13,14
magic,6,8,14
home,10,4,14
hello,3,11,14
drink,2,12,14
chuckling,9,5,14
back,2,12,14
wish,7,6,13
theyre,4,9,13
merry,1,12,13
matter,2,11,13
wont,6,6,12
sort,1,11,12
remember,2,10,12
made,2,10,12
lets,5,7,12
fool,3,9,12
bad,6,6,12
youd,1,10,11
witch,1,10,11
shh,9,2,11
please,7,4,11
life,2,9,11
house,6,5,11
doesnt,2,9,11
afraid,2,9,11
water,6,4,10
watch,7,3,10
understand,1,9,10
thanks,4,6,10
listen,1,9,10
kind,1,9,10
fine,5,5,10
words,3,6,9
try,2,7,9
talk,3,6,9
spell,1,8,9
shell,7,2,9
nice,2,7,9
minute,1,8,9
mine,5,4,9
gonna,1,8,9
chattering,6,3,9
youve,1,7,8
voice,3,5,8
tried,1,7,8
today,5,3,8
stay,3,5,8
sniffing,5,3,8
sing,7,1,8
run,7,1,8
room,5,3,8
new,1,7,8
keep,2,6,8
hear,2,6,8
give,2,6,8
feel,3,5,8
call,2,6,8
better,1,7,8
whos,2,5,7
use,2,5,7
shoes,4,3,7
open,1,6,7
meet,2,5,7
help,2,5,7
happen,1,6,7
guess,3,4,7
gotta,6,1,7
giggling,3,4,7
fun,2,5,7
em,5,2,7
crazy,2,5,7
close,2,5,7
wrong,2,4,6
wind,5,1,6
tune,5,1,6
story,4,2,6
spring,4,2,6
sleep,4,2,6
silly,3,3,6
pretty,1,5,6
pleasant,2,4,6
hands,4,2,6
groaning,2,4,6
gone,3,3,6
full,4,2,6
found,1,5,6
fall,1,5,6
change,1,5,6
anybody,1,5,6
year,2,3,5
upstairs,3,2,5
turn,1,4,5
thousand,1,4,5
theyve,3,2,5
th,2,3,5
ringing,4,1,5
ordinary,1,4,5
note,3,2,5
nervous,3,2,5
mm,1,4,5
lost,2,3,5
lights,1,4,5
kiss,3,2,5
hurry,3,2,5
howling,3,2,5
hell,3,2,5
hard,4,1,5
happened,1,4,5
girl,1,4,5
done,1,4,5
dead,3,2,5
dancing,1,4,5
cold,3,2,5
careful,3,2,5
called,1,4,5
best,1,4,5
ask,1,4,5
world,2,2,4
woman,2,2,4
witchcraft,1,3,4
wheres,1,3,4
vocalizing,2,2,4
trouble,1,3,4
tonight,1,3,4
thee,2,2,4
taste,3,1,4
started,1,3,4
squeaking,3,1,4
sound,1,3,4
sick,1,3,4
ring,3,1,4
recently,3,1,4
ready,1,3,4
poor,3,1,4
poison,2,2,4
pay,1,3,4
music,1,3,4
live,1,3,4
high,1,3,4
hair,2,2,4
gee,1,3,4
fly,3,1,4
fish,1,3,4
fire,1,3,4
far,2,2,4
easy,1,3,4
cry,1,3,4
couldnt,1,3,4
cook,3,1,4
chance,2,2,4
care,2,2,4
broom,3,1,4
blood,2,2,4
big,3,1,4
young,2,1,3
worry,2,1,3
trick,2,1,3
touch,1,2,3
thrilling,2,1,3
surprise,1,2,3
stuff,1,2,3
strange,1,2,3
straight,1,2,3
sneak,2,1,3
sinister,2,1,3
sign,1,2,3
shall,2,1,3
set,1,2,3
send,1,2,3
quiet,2,1,3
promise,1,2,3
picked,1,2,3
organ,2,1,3
nose,1,2,3
need,1,2,3
name,1,2,3
makes,1,2,3
maam,1,2,3
lovely,1,2,3
long,1,2,3
lives,1,2,3
itll,2,1,3
imagine,1,2,3
hand,2,1,3
goodness,2,1,3
glad,1,2,3
funny,1,2,3
forgive,2,1,3
fair,2,1,3
early,1,2,3
complete,1,2,3
comes,2,1,3
clearing,1,2,3
cheering,2,1,3
cause,1,2,3
carry,1,2,3
brought,1,2,3
breath,2,1,3
break,1,2,3
bedroom,1,2,3
awful,1,2,3
astonished,2,1,3
turned,1,1,2
tight,1,1,2
tapping,1,1,2
tall,1,1,2
sweet,1,1,2
suspect,1,1,2
strangers,1,1,2
step,1,1,2
stand,1,1,2
stairs,1,1,2
special,1,1,2
speak,1,1,2
show,1,1,2
shame,1,1,2
romantic,1,1,2
rattling,1,1,2
pull,1,1,2
pile,1,1,2
past,1,1,2
outside,1,1,2
ooh,1,1,2
mush,1,1,2
mumbling,1,1,2
million,1,1,2
march,1,1,2
makin,1,1,2
light,1,1,2
leaves,1,1,2
kettle,1,1,2
jealous,1,1,2
invisible,1,1,2
hissing,1,1,2
hay,1,1,2
hang,1,1,2
gurgling,1,1,2
grow,1,1,2
girls,1,1,2
forget,1,1,2
food,1,1,2
follow,1,1,2
fix,1,1,2
fill,1,1,2
female,1,1,2
eyes,1,1,2
everythings,1,1,2
eat,1,1,2
dance,1,1,2
clothes,1,1,2
chase,1,1,2
charming,1,1,2
catch,1,1,2
bring,1,1,2
bless,1,1,2
belong,1,1,2
begin,1,1,2
arent,1,1,2
admit,1,1,2
ho,78,0,78
heigh,71,0,71
doc,57,0,57
dwarfs,54,0,54
grumpy,51,0,51
queen,39,0,39
dig,38,0,38
sneezy,30,0,30
twittering,22,0,22
ya,21,0,21
song,21,0,21
cackling,19,0,19
bashful,18,0,18
la,14,0,14
unison,13,0,13
hah,13,0,13
tsk,12,0,12
sung,11,0,11
echoing,11,0,11
apple,11,0,11
ahh,11,0,11
tub,10,0,10
spoken,10,0,10
gasping,10,0,10
ee,10,0,10
ay,10,0,10
wash,9,0,9
sleepy,9,0,9
creaking,9,0,9
ch,9,0,9
various,8,0,8
screaming,8,0,8
princess,8,0,8
yodelling,7,0,7
wishing,7,0,7
sputtering,7,0,7
snoring,7,0,7
seven,7,0,7
prince,7,0,7
mirror,7,0,7
kill,7,0,7
hold,7,0,7
gosh,7,0,7
dreams,7,0,7
bite,7,0,7
sobbing,6,0,6
sleeping,6,0,6
sighing,6,0,6
huntsman,6,0,6
fairest,6,0,6
dopey,6,0,6
chirping,6,0,6
aint,6,0,6
whistle,5,0,5
smile,5,0,5
mighty,5,0,5
hide,5,0,5
death,5,0,5
comfortable,5,0,5
buzzing,5,0,5
washed,4,0,4
taint,4,0,4
soon,4,0,4
sneezing,4,0,4
shouting,4,0,4
nothin,4,0,4
majesty,4,0,4
lee,4,0,4
hum,4,0,4
forever,4,0,4
clean,4,0,4
clattering,4,0,4
chooooo,4,0,4
children,4,0,4
castle,4,0,4
birds,4,0,4
beds,4,0,4
anew,4,0,4
wiles,3,0,3
wicked,3,0,3
whatll,3,0,3
wedding,3,0,3
warnin,3,0,3
wa,3,0,3
tree,3,0,3
thy,3,0,3
squirrel,3,0,3
sloshing,3,0,3
share,3,0,3
scrub,3,0,3
pig,3,0,3
pies,3,0,3
pie,3,0,3
pick,3,0,3
mad,3,0,3
land,3,0,3
keeps,3,0,3
hurt,3,0,3
hurray,3,0,3
guard,3,0,3
granny,3,0,3
gooseberry,3,0,3
forest,3,0,3
fools,3,0,3
excited,3,0,3
entreating,3,0,3
doin,3,0,3
dishes,3,0,3
cute,3,0,3
crickets,3,0,3
chorus,3,0,3
black,3,0,3
bells,3,0,3
yawning,2,0,2
woods,2,0,2
women,2,0,2
wet,2,0,2
wall,2,0,2
wake,2,0,2
tongue,2,0,2
til,2,0,2
tidy,2,0,2
thunderclap,2,0,2
theyll,2,0,2
tenderly,2,0,2
table,2,0,2
swept,2,0,2
sweep,2,0,2
supper,2,0,2
stole,2,0,2
splash,2,0,2
spitting,2,0,2
somethings,2,0,2
soap,2,0,2
smells,2,0,2
slamming,2,0,2
skin,2,0,2
shut,2,0,2
shrill,2,0,2
secret,2,0,2
search,2,0,2
save,2,0,2
rub,2,0,2
red,2,0,2
quick,2,0,2
queens,2,0,2
possessed,2,0,2
poisoned,2,0,2
pigs,2,0,2
peddler,2,0,2
papa,2,0,2
nanny,2,0,2
names,2,0,2
mother,2,0,2
monster,2,0,2
mama,2,0,2
loves,2,0,2
loud,2,0,2
loose,2,0,2
lies,2,0,2
knows,2,0,2
jiminy,2,0,2
hornets,2,0,2
hoping,2,0,2
hmph,2,0,2
harmless,2,0,2
git,2,0,2
frighten,2,0,2
fireplace,2,0,2
fan,2,0,2
fail,2,0,2
face,2,0,2
eye,2,0,2
echo,2,0,2
dumplings,2,0,2
dumb,2,0,2
dragon,2,0,2
disguise,2,0,2
dirty,2,0,2
diamonds,2,0,2
dearie,2,0,2
croaking,2,0,2
courage,2,0,2
cottage,2,0,2
constant,2,0,2
congeal,2,0,2
comin,2,0,2
cobwebs,2,0,2
chairs,2,0,2
buried,2,0,2
bunch,2,0,2
bugle,2,0,2
brew,2,0,2
bones,2,0,2
beauty,2,0,2
beating,2,0,2
beards,2,0,2
aw,2,0,2
angel,2,0,2
alive,2,0,2
alas,2,0,2
ahhh,2,0,2
ahem,2,0,2
adorable,2,0,2
yodel,1,0,1
wreak,1,0,1
wouldst,1,0,1
worst,1,0,1
worse,1,0,1
witchs,1,0,1
windows,1,0,1
wildflowers,1,0,1
whites,1,0,1
whiten,1,0,1
whispering,1,0,1
whimpering,1,0,1
wha,1,0,1
week,1,0,1
warthog,1,0,1
wanna,1,0,1
walk,1,0,1
wakin,1,0,1
wakes,1,0,1
waken,1,0,1
victims,1,0,1
victim,1,0,1
vengeance,1,0,1
untidy,1,0,1
ugliness,1,0,1
tyin,1,0,1
tumbling,1,0,1
tricked,1,0,1
trapped,1,0,1
transform,1,0,1
tie,1,0,1
ticking,1,0,1
thunderbolt,1,0,1
thunder,1,0,1
three,1,0,1
thou,1,0,1
thirsty,1,0,1
theressomeone,1,0,1
thatll,1,0,1
tender,1,0,1
tempt,1,0,1
tap,1,0,1
symbol,1,0,1
swoop,1,0,1
surprised,1,0,1
suppers,1,0,1
sunshine,1,0,1
sunny,1,0,1
summon,1,0,1
sugars,1,0,1
sty,1,0,1
strong,1,0,1
stocking,1,0,1
sticks,1,0,1
stepmother,1,0,1
steam,1,0,1
steal,1,0,1
steady,1,0,1
stays,1,0,1
standing,1,0,1
standin,1,0,1
stable,1,0,1
squeak,1,0,1
sputterin,1,0,1
sputter,1,0,1
spoodledug,1,0,1
space,1,0,1
souse,1,0,1
soup,1,0,1
sounding,1,0,1
sounded,1,0,1
soul,1,0,1
somethin,1,0,1
snuff,1,0,1
snort,1,0,1
snickering,1,0,1
sneeze,1,0,1
smokin,1,0,1
smellin,1,0,1
sly,1,0,1
slick,1,0,1
sleeves,1,0,1
slave,1,0,1
sinks,1,0,1
silence,1,0,1
sight,1,0,1
shroud,1,0,1
shrieking,1,0,1
shovel,1,0,1
shoo,1,0,1
shoe,1,0,1
shocking,1,0,1
shine,1,0,1
shattering,1,0,1
sew,1,0,1
seventh,1,0,1
seep,1,0,1
secluded,1,0,1
screeching,1,0,1
scream,1,0,1
score,1,0,1
scoop,1,0,1
sayin,1,0,1
rustling,1,0,1
running,1,0,1
rumbling,1,0,1
rug,1,0,1
rubies,1,0,1
rose,1,0,1
rip,1,0,1
rich,1,0,1
ribbons,1,0,1
rhythm,1,0,1
revived,1,0,1
reveal,1,0,1
rest,1,0,1
resist,1,0,1
rejoicing,1,0,1
raindrops,1,0,1
raiment,1,0,1
rags,1,0,1
quincess,1,0,1
queenly,1,0,1
pudding,1,0,1
psst,1,0,1
proof,1,0,1
pot,1,0,1
possibly,1,0,1
polecat,1,0,1
plumb,1,0,1
plum,1,0,1
pink,1,0,1
pieces,1,0,1
pickax,1,0,1
pfft,1,0,1
petunia,1,0,1
pet,1,0,1
pesky,1,0,1
perk,1,0,1
perfoom,1,0,1
perfect,1,0,1
penalty,1,0,1
peel,1,0,1
peddlers,1,0,1
panting,1,0,1
pace,1,0,1
overlooked,1,0,1
outta,1,0,1
orphans,1,0,1
opening,1,0,1
nows,1,0,1
noise,1,0,1
nohow,1,0,1
nest,1,0,1
natural,1,0,1
muttering,1,0,1
mummy,1,0,1
movin,1,0,1
mouths,1,0,1
morn,1,0,1
month,1,0,1
mmh,1,0,1
mix,1,0,1
missin,1,0,1
mimicking,1,0,1
menfolks,1,0,1
meddling,1,0,1
mark,1,0,1
maid,1,0,1
lumple,1,0,1
lumpkins,1,0,1
loved,1,0,1
lits,1,0,1
lit,1,0,1
lips,1,0,1
limb,1,0,1
lilies,1,0,1
lid,1,0,1
lather,1,0,1
latch,1,0,1
lady,1,0,1
knot,1,0,1
knew,1,0,1
killed,1,0,1
jump,1,0,1
jewelled,1,0,1
insist,1,0,1
inside,1,0,1
inch,1,0,1
hunger,1,0,1
howd,1,0,1
horns,1,0,1
hook,1,0,1
honored,1,0,1
hollow,1,0,1
hills,1,0,1
highness,1,0,1
hid,1,0,1
hiccuping,1,0,1
hen,1,0,1
hearts,1,0,1
head,1,0,1
hate,1,0,1
happily,1,0,1
handsome,1,0,1
hags,1,0,1
gulping,1,0,1
grumbling,1,0,1
ground,1,0,1
grace,1,0,1
goldenrod,1,0,1
goin,1,0,1
goes,1,0,1
goblin,1,0,1
goats,1,0,1
