word,Snow White and the Seven Dwarves,Harry Potter and the Prisoner of Azkaban,total
come,18,69,87
dont,35,49,84
ah,80,1,81
go,39,37,76
oh,47,28,75
know,17,44,61
yes,28,27,55
im,25,30,55
good,18,35,53
thats,10,42,52
see,13,37,50
like,16,30,46
right,10,28,38
look,18,20,38
think,2,35,37
happy,32,4,36
youre,12,23,35
black,3,29,32
time,3,27,30
away,16,14,30
little,13,16,29
hes,2,27,29
take,11,17,28
ill,13,15,28
back,2,25,27
cant,11,13,24
yeah,4,19,23
wait,7,16,23
kill,7,16,23
day,13,10,23
way,3,19,22
old,12,10,22
didnt,2,20,22
done,1,20,21
really,2,18,20
make,12,8,20
youll,8,11,19
work,17,2,19
tell,6,13,19
sorry,2,17,19
please,7,12,19
love,18,1,19
lets,5,14,19
want,2,16,18
theyre,4,14,18
find,10,8,18
castle,4,14,18
wont,6,11,17
true,12,5,17
run,7,10,17
night,5,12,17
mean,6,11,17
ive,4,13,17
heart,14,3,17
whats,5,11,16
theres,9,7,16
sure,6,10,16
shall,2,14,16
keep,2,14,16
hey,8,8,16
shes,13,2,15
going,3,12,15
end,13,2,15
door,12,3,15
give,2,12,14
turn,1,12,13
thing,3,10,13
room,5,8,13
magic,6,7,13
home,10,3,13
youve,1,11,12
thought,4,8,12
nice,2,10,12
dead,3,9,12
spoken,10,1,11
screaming,8,3,11
fine,5,6,11
better,1,10,11
need,1,9,10
made,2,8,10
itll,2,8,10
hell,3,7,10
gonna,1,9,10
gone,3,7,10
feel,3,7,10
watch,7,2,9
today,5,4,9
stop,6,3,9
stay,3,6,9
seven,7,2,9
isnt,2,7,9
id,2,7,9
hold,7,2,9
hear,2,7,9
bad,6,3,9
worse,1,7,8
try,2,6,8
three,1,7,8
things,3,5,8
sing,7,1,8
quite,3,5,8
quiet,2,6,8
put,1,7,8
place,4,4,8
maybe,5,3,8
lost,2,6,8
listen,1,7,8
hello,3,5,8
dreams,7,1,8
death,5,3,8
bite,7,1,8
year,2,5,7
wrong,2,5,7
worry,2,5,7
thanks,4,3,7
talk,3,4,7
sleep,4,3,7
shut,2,5,7
quick,2,5,7
open,1,6,7
name,1,6,7
mother,2,5,7
live,1,6,7
life,2,5,7
killed,1,6,7
hurry,3,4,7
house,6,1,7
happened,1,6,7
hands,4,3,7
gotta,6,1,7
funny,1,6,7
full,4,3,7
dark,1,6,7
chattering,6,1,7
broom,3,4,7
best,1,6,7
arent,1,6,7
alive,2,5,7
world,2,4,6
witch,1,5,6
wind,5,1,6
whos,2,4,6
upstairs,3,3,6
understand,1,5,6
tonight,1,5,6
show,1,5,6
set,1,5,6
remember,2,4,6
ready,1,5,6
minute,1,5,6
long,1,5,6
kiss,3,3,6
help,2,4,6
fear,1,5,6
eyes,1,5,6
eye,2,4,6
eat,1,5,6
doesnt,2,4,6
children,4,2,6
catch,1,5,6
care,2,4,6
big,3,3,6
worst,1,4,5
words,3,2,5
woman,2,3,5
walk,1,4,5
voice,3,2,5
use,2,3,5
theyve,3,2,5
theyll,2,3,5
soul,1,4,5
soon,4,1,5
silly,3,2,5
sign,1,4,5
search,2,3,5
poor,3,2,5
mad,3,2,5
loose,2,3,5
lady,1,4,5
knows,2,3,5
knew,1,4,5
imagine,1,4,5
hurt,3,2,5
head,1,4,5
hand,2,3,5
forget,1,4,5
forever,4,1,5
fool,3,2,5
felt,1,4,5
fell,1,4,5
clothes,1,4,5
clean,4,1,5
cat,1,4,5
call,2,3,5
blood,2,3,5
believe,1,4,5
young,2,2,4
wicked,3,1,4
wanna,1,3,4
trouble,1,3,4
tree,3,1,4
tap,1,3,4
sweet,1,3,4
step,1,3,4
sort,1,3,4
somethings,2,2,4
sight,1,3,4
shrieking,1,3,4
send,1,3,4
secret,2,2,4
save,2,2,4
red,2,2,4
recently,3,1,4
pig,3,1,4
petunia,1,3,4
pet,1,3,4
past,1,3,4
note,3,1,4
new,1,3,4
light,1,3,4
lies,2,2,4
hang,1,3,4
hair,2,2,4
guess,3,1,4
goodness,2,2,4
follow,1,3,4
fly,3,1,4
face,2,2,4
cook,3,1,4
bring,1,3,4
bless,1,3,4
beautiful,1,3,4
ask,1,3,4
youd,1,2,3
wheres,1,2,3
stuff,1,2,3
straight,1,2,3
stand,1,2,3
speak,1,2,3
soup,1,2,3
rich,1,2,3
reveal,1,2,3
rest,1,2,3
pieces,1,2,3
outside,1,2,3
meet,2,1,3
matter,2,1,3
maid,1,2,3
loves,2,1,3
kind,1,2,3
inside,1,2,3
goes,1,2,3
found,1,2,3
finds,1,2,3
fill,1,2,3
far,2,1,3
fair,2,1,3
drink,2,1,3
dirty,2,1,3
dance,1,2,3
comes,2,1,3
close,2,1,3
change,1,2,3
chance,2,1,3
called,1,2,3
buried,2,1,3
break,1,2,3
beauty,2,1,3
beating,2,1,3
awful,1,2,3
age,1,2,3
wonder,1,1,2
vengeance,1,1,2
turned,1,1,2
tried,1,1,2
touch,1,1,2
tempt,1,1,2
suspect,1,1,2
strong,1,1,2
steal,1,1,2
steady,1,1,2
spell,1,1,2
shoe,1,1,2
running,1,1,2
pull,1,1,2
proof,1,1,2
possibly,1,1,2
ordinary,1,1,2
nose,1,1,2
merry,1,1,2
mark,1,1,2
makes,1,1,2
lovely,1,1,2
lives,1,1,2
limb,1,1,2
leaves,1,1,2
hid,1,1,2
happen,1,1,2
grow,1,1,2
girl,1,1,2
fuss,1,1,2
fix,1,1,2
feet,1,1,2
fall,1,1,2
faithful,1,1,2
everythings,1,1,2
easy,1,1,2
delicious,1,1,2
count,1,1,2
cloak,1,1,2
clearing,1,1,2
chop,1,1,2
brought,1,1,2
begin,1,1,2
beg,1,1,2
bed,1,1,2
asleep,1,1,2
ashamed,1,1,2
anybody,1,1,2
antidote,1,1,2
snow,87,0,87
white,86,0,86
ho,78,0,78
heigh,71,0,71
doc,57,0,57
dwarfs,54,0,54
grumpy,51,0,51
queen,39,0,39
uh,38,0,38
dig,38,0,38
sneezy,30,0,30
singing,26,0,26
twittering,22,0,22
