word,Snow White and the Seven Dwarves,Macbeth,total
white,86,1,87
ho,78,2,80
thou,1,54,55
go,39,14,53
oh,47,2,49
good,18,26,44
come,18,26,44
queen,39,1,40
like,16,21,37
shall,2,31,33
look,18,15,33
happy,32,1,33
thee,2,30,32
thy,3,27,30
make,12,18,30
know,17,13,30
yes,28,1,29
night,5,24,29
time,3,25,28
done,1,26,27
ill,13,13,26
heart,14,12,26
love,18,6,24
day,13,11,24
men,14,9,23
blood,2,21,23
see,13,9,22
fear,1,21,22
sleep,4,17,21
take,11,9,20
work,17,2,19
away,16,3,19
ay,10,8,18
theres,9,8,17
thats,10,6,16
mine,5,11,16
little,13,3,16
find,10,6,16
end,13,2,15
death,5,10,15
true,12,2,14
old,12,2,14
hands,4,10,14
hand,2,12,14
give,2,12,14
bed,1,13,14
life,2,11,13
door,12,1,13
dead,3,10,13
wash,9,3,12
speak,1,11,12
home,10,2,12
hold,7,5,12
fly,3,9,12
face,2,10,12
woman,2,9,11
whats,5,6,11
way,3,8,11
thought,4,7,11
tell,6,5,11
sleepy,9,2,11
right,10,1,11
children,4,7,11
water,6,4,10
watch,7,3,10
poor,3,7,10
new,1,9,10
made,2,8,10
hell,3,7,10
youll,8,1,9
things,3,6,9
sure,6,3,9
strange,1,8,9
put,1,8,9
please,7,2,9
kill,7,2,9
house,6,3,9
dreams,7,2,9
wish,7,1,8
wait,7,1,8
think,2,6,8
thanks,4,4,8
shell,7,1,8
seven,7,1,8
prince,7,1,8
place,4,4,8
mean,6,2,8
lets,5,3,8
keep,2,6,8
hear,2,6,8
full,4,4,8
fail,2,6,8
em,5,3,8
comes,2,6,8
black,3,5,8
amen,1,7,8
world,2,5,7
words,3,4,7
wind,5,2,7
tongue,2,5,7
thing,3,4,7
stop,6,1,7
stand,1,6,7
smile,5,2,7
sleeping,6,1,7
hide,5,2,7
hang,1,6,7
feel,3,4,7
far,2,5,7
eye,2,5,7
cry,1,6,7
call,2,5,7
bad,6,1,7
women,2,4,6
tune,5,1,6
supper,2,4,6
set,1,5,6
send,1,5,6
meet,2,4,6
majesty,4,2,6
live,1,5,6
light,1,5,6
lies,2,4,6
highness,1,5,6
hes,2,4,6
head,1,5,6
hard,4,2,6
goes,1,5,6
forest,3,3,6
clean,4,2,6
castle,4,2,6
bring,1,5,6
afraid,2,4,6
worst,1,4,5
wicked,3,2,5
whos,2,3,5
voice,3,2,5
tree,3,2,5
taint,4,1,5
stay,3,2,5
spring,4,1,5
sight,1,4,5
shame,1,4,5
ring,3,2,5
mother,2,3,5
mad,3,2,5
lives,1,4,5
land,3,2,5
kiss,3,2,5
keeps,3,2,5
help,2,3,5
going,3,2,5
fools,3,2,5
fell,1,4,5
eyes,1,4,5
chance,2,3,5
care,2,3,5
breath,2,3,5
beware,1,4,5
best,1,4,5
back,2,3,5
young,2,2,4
worse,1,3,4
