word,Snow White and the Seven Dwarves,Oz The Great and Powerful,total
girl,1,168,169
oh,47,59,106
im,25,65,90
white,86,2,88
ah,80,5,85
dont,35,37,72
youre,12,55,67
go,39,27,66
see,13,52,65
yes,28,34,62
uh,38,19,57
look,18,36,54
like,16,37,53
good,18,35,53
know,17,33,50
come,18,31,49
hand,2,44,46
back,2,44,46
queen,39,6,45
away,16,25,41
make,12,27,39
happy,32,3,35
witch,1,32,33
wicked,3,30,33
thats,10,21,31
shes,13,18,31
little,13,17,30
gonna,1,29,30
door,12,17,29
think,2,26,28
ill,13,15,28
singing,26,1,27
need,1,26,27
right,10,16,26
take,11,14,25
going,3,22,25
cant,11,14,25
work,17,7,24
love,18,6,24
please,7,16,23
kill,7,16,23
ive,4,19,23
heart,14,9,23
head,1,22,23
ya,21,1,22
watch,7,15,22
song,21,1,22
run,7,15,22
continues,14,8,22
time,3,18,21
tell,6,15,21
stop,6,15,21
show,1,20,21
magic,6,15,21
face,2,19,21
day,13,8,21
theres,9,11,20
music,1,19,20
men,14,6,20
forest,3,17,20
want,2,17,19
walk,1,18,19
lets,5,14,19
hold,7,12,19
box,1,17,18
yeah,4,13,17
way,3,14,17
true,12,5,17
hear,2,15,17
youll,8,8,16
thing,3,13,16
room,5,11,16
makes,1,15,16
inside,1,15,16
hes,2,14,16
ground,1,15,16
give,2,14,16
end,13,3,16
old,12,3,15
mean,6,9,15
long,1,14,15
help,2,13,15
find,10,5,15
apple,11,4,15
water,6,8,14
really,2,12,14
hands,4,10,14
gone,3,11,14
dark,1,13,14
broom,3,11,14
things,3,10,13
put,1,12,13
nice,2,11,13
land,3,10,13
humming,12,1,13
home,10,3,13
hey,8,5,13
comes,2,11,13
black,3,10,13
woman,2,10,12
whats,5,7,12
wait,7,5,12
thought,4,8,12
theyre,4,8,12
table,2,10,12
shell,7,5,12
save,2,10,12
kind,1,11,12
hello,3,9,12
gotta,6,6,12
bite,7,5,12
believe,1,11,12
wont,6,5,11
wish,7,4,11
turn,1,10,11
pretty,1,10,11
night,5,6,11
mirror,7,4,11
maybe,5,6,11
isnt,2,9,11
id,2,9,11
hard,4,7,11
feel,3,8,11
youd,1,9,10
wash,9,1,10
wanna,1,9,10
try,2,8,10
sure,6,4,10
sleepy,9,1,10
shall,2,8,10
screaming,8,2,10
poor,3,7,10
mine,5,5,10
hurry,3,7,10
fine,5,5,10
finds,1,9,10
didnt,2,8,10
dead,3,7,10
youve,1,8,9
woods,2,7,9
smile,5,4,9
sing,7,2,9
running,1,8,9
name,1,8,9
life,2,7,9
fly,3,6,9
eyes,1,8,9
dreams,7,2,9
close,2,7,9
break,1,8,9
whos,2,6,8
sleep,4,4,8
remember,2,6,8
quite,3,5,8
made,2,6,8
kiss,3,5,8
hide,5,3,8
guard,3,5,8
gosh,7,1,8
forever,4,4,8
em,5,3,8
done,1,7,8
death,5,3,8
dance,1,7,8
castle,4,4,8
big,3,5,8
beautiful,1,7,8
bad,6,2,8
attack,1,7,8
voice,3,4,7
tune,5,2,7
trick,2,5,7
sorry,2,5,7
red,2,5,7
outside,1,6,7
listen,1,6,7
house,6,1,7
goodness,2,5,7
goes,1,6,7
girls,1,6,7
fear,1,6,7
children,4,3,7
young,2,4,6
worry,2,4,6
world,2,4,6
witchs,1,5,6
wind,5,1,6
wall,2,4,6
use,2,4,6
today,5,1,6
standing,1,5,6
stand,1,5,6
soon,4,2,6
ready,1,5,6
place,4,2,6
noise,1,5,6
mighty,5,1,6
light,1,5,6
knew,1,5,6
huh,3,3,6
full,4,2,6
cry,1,5,6
clean,4,2,6
arent,1,5,6
wheres,1,4,5
thanks,4,1,5
talk,3,2,5
strong,1,4,5
step,1,4,5
somethings,2,3,5
set,1,4,5
scream,1,4,5
pie,3,2,5
opening,1,4,5
ooh,1,4,5
mm,1,4,5
meet,2,3,5
loud,2,3,5
live,1,4,5
knows,2,3,5
killed,1,4,5
itll,2,3,5
hurt,3,2,5
guess,3,2,5
follow,1,4,5
fire,1,4,5
eat,1,4,5
easy,1,4,5
cute,3,2,5
cold,3,2,5
care,2,3,5
breaks,1,4,5
better,1,4,5
best,1,4,5
afraid,2,3,5
wrong,2,2,4
wonder,1,3,4
tree,3,1,4
three,1,3,4
theyve,3,1,4
theyll,2,2,4
share,3,1,4
rest,1,3,4
promise,1,3,4
poisoned,2,2,4
pile,1,3,4
open,1,3,4
note,3,1,4
new,1,3,4
matter,2,2,4
march,1,3,4
mad,3,1,4
lost,2,2,4
leaves,1,3,4
lady,1,3,4
keep,2,2,4
howling,3,1,4
hmm,2,2,4
hell,3,1,4
hate,1,3,4
happened,1,3,4
fool,3,1,4
far,2,2,4
fall,1,3,4
covers,1,3,4
courage,2,2,4
couldnt,1,3,4
change,1,3,4
chance,2,2,4
catch,1,3,4
bring,1,3,4
year,2,1,3
worse,1,2,3
turned,1,2,3
tonight,1,2,3
tongue,2,1,3
throat,1,2,3
tall,1,2,3
sticks,1,2,3
spell,1,2,3
speak,1,2,3
skin,2,1,3
silence,1,2,3
shut,2,1,3
send,1,2,3
secret,2,1,3
rip,1,2,3
quick,2,1,3
papa,2,1,3
organ,2,1,3
mother,2,1,3
merry,1,2,3
lovely,1,2,3
loose,2,1,3
lies,2,1,3
jump,1,2,3
imagine,1,2,3
hoping,2,1,3
happen,1,2,3
hair,2,1,3
glass,1,2,3
forgive,2,1,3
feet,1,2,3
fail,2,1,3
doesnt,2,1,3
disguise,2,1,3
dirty,2,1,3
darkness,1,2,3
crush,1,2,3
clothes,1,2,3
cheering,2,1,3
cause,1,2,3
bunch,2,1,3
blood,2,1,3
belong,1,2,3
behold,1,2,3
bed,1,2,3
beauty,2,1,3
ask,1,2,3
angel,2,1,3
windows,1,1,2
whispering,1,1,2
wakes,1,1,2
understand,1,1,2
tried,1,1,2
trapped,1,1,2
tight,1,1,2
thousand,1,1,2
thatll,1,1,2
sweet,1,1,2
surprise,1,1,2
stuff,1,1,2
strange,1,1,2
straight,1,1,2
steam,1,1,2
steal,1,1,2
stays,1,1,2
space,1,1,2
sound,1,1,2
sinks,1,1,2
sight,1,1,2
sew,1,1,2
rubies,1,1,2
reveal,1,1,2
resist,1,1,2
pull,1,1,2
proof,1,1,2
pieces,1,1,2
perfect,1,1,2
nows,1,1,2
nose,1,1,2
mush,1,1,2
minute,1,1,2
maam,1,1,2
lights,1,1,2
howd,1,1,2
highness,1,1,2
high,1,1,2
hearts,1,1,2
hay,1,1,2
handsome,1,1,2
grow,1,1,2
found,1,1,2
forget,1,1,2
flowers,1,1,2
floor,1,1,2
fix,1,1,2
female,1,1,2
fell,1,1,2
faithful,1,1,2
everythings,1,1,2
empty,1,1,2
dust,1,1,2
dolls,1,1,2
dancing,1,1,2
cuts,1,1,2
crashing,1,1,2
closing,1,1,2
cloak,1,1,2
child,1,1,2
chased,1,1,2
chase,1,1,2
carry,1,1,2
cares,1,1,2
called,1,1,2
bless,1,1,2
begins,1,1,2
begin,1,1,2
awful,1,1,2
asleep,1,1,2
anybody,1,1,2
admit,1,1,2
aaah,1,1,2
snow,87,0,87
ho,78,0,78
heigh,71,0,71
doc,57,0,57
dwarfs,54,0,54
grumpy,51,0,51
dig,38,0,38
sneezy,30,0,30
twittering,22,0,22
laughing,21,0,21
cackling,19,0,19
bashful,18,0,18
whistling,16,0,16
la,14,0,14
unison,13,0,13
hah,13,0,13
tsk,12,0,12
sung,11,0,11
echoing,11,0,11
ahh,11,0,11
tub,10,0,10
spoken,10,0,10
gasping,10,0,10
ee,10,0,10
bye,10,0,10
ay,10,0,10
shh,9,0,9
creaking,9,0,9
chuckling,9,0,9
ch,9,0,9
various,8,0,8
princess,8,0,8
yodelling,7,0,7
wishing,7,0,7
sputtering,7,0,7
snoring,7,0,7
seven,7,0,7
prince,7,0,7
sobbing,6,0,6
sleeping,6,0,6
sighing,6,0,6
huntsman,6,0,6
fairest,6,0,6
dopey,6,0,6
chirping,6,0,6
chattering,6,0,6
aint,6,0,6
whistle,5,0,5
sniffing,5,0,5
comfortable,5,0,5
buzzing,5,0,5
washed,4,0,4
taint,4,0,4
story,4,0,4
