word,The Blair Witch Project,Chronicles of Narnia,total
im,109,44,153
witch,19,118,137
cuts,113,2,115
dont,68,36,104
back,59,45,104
know,71,32,103
like,66,27,93
going,71,20,91
go,45,34,79
white,2,76,78
come,33,42,75
oh,41,27,68
man,64,4,68
camera,62,1,63
think,31,27,58
look,23,33,56
looks,7,46,53
thats,35,17,52
see,20,31,51
map,44,2,46
youre,10,35,45
tent,33,12,45
scene,4,41,45
right,30,14,44
way,32,11,43
lets,40,3,43
please,33,9,42
really,27,11,38
yeah,33,2,35
want,24,10,34
little,14,19,33
away,18,15,33
hes,14,18,32
stop,17,13,30
night,24,6,30
house,10,20,30
cant,15,15,30
walks,5,24,29
sorry,15,14,29
time,10,18,28
hear,16,12,28
theres,18,9,27
help,15,12,27
good,17,10,27
yes,11,15,26
inside,15,11,26
looking,18,7,25
woods,19,5,24
ive,15,9,24
stone,1,22,23
long,9,14,23
day,17,6,23
two,13,9,22
run,3,19,22
need,10,12,22
didnt,14,8,22
woman,20,1,21
turns,5,16,21
turn,16,5,21
begins,18,3,21
take,7,13,20
shes,7,13,20
runs,2,18,20
alright,4,16,20
walk,7,12,19
hands,7,12,19
gonna,15,4,19
cut,18,1,19
weve,15,3,18
lost,16,2,18
light,14,4,18
king,2,16,18
keep,12,6,18
find,13,5,18
wait,7,10,17
thank,6,11,17
home,10,7,17
happened,12,5,17
found,10,7,17
doing,7,10,17
camp,9,8,17
youve,5,11,16
whats,10,6,16
ready,8,8,16
old,14,2,16
heard,12,4,16
give,12,4,16
fire,6,10,16
distance,15,1,16
children,1,15,16
believe,8,8,16
tree,7,8,15
tell,12,3,15
sure,7,8,15
starts,2,13,15
rocks,11,4,15
put,13,2,15
mean,7,8,15
leave,7,8,15
laughs,13,2,15
guys,14,1,15
girl,7,8,15
door,1,14,15
done,5,10,15
whispers,13,1,14
walking,8,6,14
shot,12,2,14
point,12,2,14
maybe,5,9,14
laughing,13,1,14
three,10,3,13
river,5,8,13
points,8,5,13
people,11,2,13
make,6,7,13
ill,8,5,13
hope,5,8,13
hand,4,9,13
gets,2,11,13
steps,6,6,12
start,2,10,12
sound,10,2,12
sir,3,9,12
place,7,5,12
outside,7,5,12
knew,8,4,12
isnt,2,10,12
ice,2,10,12
hiking,11,1,12
getting,9,3,12
cool,11,1,12
comes,1,11,12
trees,5,6,11
