word,The Blair Witch Project,Dark Shadows,total
im,109,37,146
cuts,113,1,114
know,71,27,98
fucking,95,1,96
like,66,28,94
dont,68,19,87
going,71,14,85
okay,77,3,80
man,64,15,79
back,59,10,69
go,45,16,61
shit,52,1,53
please,33,18,51
think,31,18,49
oh,41,8,49
yeah,33,13,46
come,33,12,45
thats,35,8,43
lets,40,2,42
way,32,6,38
really,27,9,36
yes,11,24,35
right,30,5,35
want,24,10,34
youre,10,23,33
look,23,9,32
good,17,15,32
see,20,11,31
love,3,28,31
woman,20,10,30
hes,14,16,30
god,22,8,30
night,24,3,27
thing,15,11,26
people,11,15,26
away,18,7,25
witch,19,5,24
time,10,14,24
day,17,7,24
theres,18,5,23
tell,12,11,23
looking,18,5,23
little,14,9,23
keep,12,11,23
help,15,8,23
sorry,15,7,22
didnt,14,8,22
old,14,6,20
mean,7,13,20
lost,16,4,20
hear,16,4,20
turn,16,3,19
put,13,6,19
make,6,13,19
give,12,7,19
cant,15,4,19
begins,18,1,19
two,13,5,18
take,7,11,18
stop,17,1,18
need,10,8,18
place,7,10,17
long,9,8,17
ive,15,2,17
inside,15,2,17
house,10,7,17
found,10,7,17
find,13,4,17
distance,15,2,17
blood,2,15,17
town,4,12,16
name,2,14,16
ill,8,8,16
home,10,6,16
gonna,15,1,16
feel,5,11,16
business,2,14,16
believe,8,8,16
voice,14,1,15
today,14,1,15
rock,13,2,15
light,14,1,15
scared,13,1,14
point,12,2,14
hell,6,8,14
done,5,9,14
sure,7,6,13
shes,7,6,13
morning,9,4,13
miss,1,12,13
heard,12,1,13
happened,12,1,13
call,5,8,13
ass,12,1,13
knew,8,4,12
jesus,11,1,12
hello,6,6,12
getting,9,3,12
face,9,3,12
exactly,8,4,12
baby,11,1,12
work,5,6,11
try,6,5,11
things,3,8,11
stream,10,1,11
life,3,8,11
happy,9,2,11
went,8,2,10
ready,8,2,10
men,7,3,10
leave,7,3,10
kill,2,8,10
hours,7,3,10
hair,7,3,10
years,3,6,9
true,2,7,9
story,8,1,9
stay,6,3,9
remember,5,4,9
pretty,7,2,9
nice,3,6,9
looks,7,2,9
kinda,8,1,9
having,3,6,9
guess,7,2,9
fire,6,3,9
fear,3,6,9
doing,7,2,9
doesnt,4,5,9
die,5,4,9
darkness,7,2,9
damn,4,5,9
coming,6,3,9
check,8,1,9
captain,6,3,9
anymore,5,4,9
alright,4,5,9
wasnt,7,1,8
wanted,4,4,8
walk,7,1,8
wait,7,1,8
understand,5,3,8
tree,7,1,8
told,2,6,8
thank,6,2,8
stuff,7,1,8
show,2,6,8
possible,7,1,8
outside,7,1,8
minutes,6,2,8
mind,3,5,8
lot,5,3,8
kind,2,6,8
girl,7,1,8
five,6,2,8
fine,6,2,8
days,6,2,8
crazy,5,3,8
ah,5,3,8
water,4,3,7
watch,4,3,7
tired,6,1,7
throw,3,4,7
sleeping,5,2,7
sitting,6,1,7
side,4,3,7
seen,3,4,7
saying,5,2,7
run,3,4,7
mom,6,1,7
maybe,5,2,7
killed,1,6,7
hard,5,2,7
gave,6,1,7
eyes,3,4,7
different,2,5,7
death,2,5,7
dark,4,3,7
cold,4,3,7
big,4,3,7
better,2,5,7
youve,5,1,6
worth,3,3,6
wheres,5,1,6
welcome,2,4,6
use,2,4,6
trees,5,1,6
took,3,3,6
thought,3,3,6
strange,3,3,6
set,5,1,6
room,2,4,6
rest,5,1,6
real,2,4,6
part,1,5,6
open,5,1,6
ones,4,2,6
meet,3,3,6
making,4,2,6
later,5,1,6
knows,4,2,6
isnt,2,4,6
hope,5,1,6
hold,3,3,6
hit,5,1,6
forever,1,5,6
equipment,4,2,6
east,5,1,6
earth,1,5,6
