word,The Blair Witch Project,Evil Dead,total
back,59,53,112
im,109,1,110
okay,77,16,93
like,66,27,93
know,71,19,90
going,71,10,81
door,1,69,70
man,64,4,68
camera,62,4,66
shit,52,2,54
go,45,8,53
woods,19,33,52
right,30,22,52
oh,41,7,48
map,44,3,47
begins,18,29,47
yeah,33,11,44
please,33,11,44
turns,5,38,43
come,33,10,43
way,32,10,42
see,20,22,42
lets,40,2,42
ahead,41,1,42
gonna,15,24,39
away,18,21,39
think,31,6,37
looks,7,30,37
car,21,16,37
room,2,34,36
hand,4,31,35
really,27,6,33
moves,1,32,33
eyes,3,30,33
voice,14,18,32
want,24,7,31
heard,12,19,31
cellar,4,27,31
old,14,16,30
look,23,7,30
outside,7,21,28
good,17,11,28
dead,4,24,28
inside,15,12,27
god,22,5,27
night,24,2,26
floor,1,25,26
head,8,17,25
cabin,2,23,25
turn,16,8,24
thing,15,9,24
small,6,18,24
looking,18,6,24
find,13,11,24
book,4,20,24
face,9,14,23
cut,18,5,23
help,15,7,22
hear,16,6,22
front,2,20,22
open,5,16,21
light,14,7,21
two,13,7,20
walks,5,14,19
stops,3,16,19
sounds,12,7,19
log,11,8,19
little,14,5,19
distance,15,4,19
die,5,14,19
body,1,18,19
time,10,8,18
stop,17,1,18
steps,6,12,18
sound,10,8,18
place,7,11,18
picks,3,15,18
lost,16,2,18
jesus,11,7,18
wanna,16,1,17
uh,6,11,17
trees,5,12,17
seen,3,14,17
scared,13,4,17
put,13,4,17
point,12,5,17
near,7,10,17
keep,12,5,17
sorry,15,1,16
leave,7,9,16
laughing,13,3,16
whispers,13,2,15
view,5,10,15
tell,12,3,15
stands,1,14,15
laughs,13,2,15
happened,12,3,15
hands,7,8,15
guys,14,1,15
give,12,3,15
baby,11,4,15
white,2,12,14
take,7,7,14
slowly,1,13,14
screams,2,12,14
morning,9,5,14
hey,4,10,14
darkness,7,7,14
yes,11,2,13
shot,12,1,13
reaches,1,12,13
people,11,2,13
mean,7,6,13
long,9,4,13
knew,8,5,13
house,10,3,13
hell,6,7,13
feet,5,8,13
close,7,6,13
water,4,8,12
wait,7,5,12
three,10,2,12
sure,7,5,12
shut,3,9,12
make,6,6,12
listen,2,10,12
home,10,2,12
hiking,11,1,12
ground,4,8,12
getting,9,3,12
found,10,2,12
crying,8,4,12
continues,4,8,12
christ,7,5,12
check,8,4,12
box,1,11,12
arm,1,11,12
work,5,6,11
useless,7,4,11
tries,3,8,11
tree,7,4,11
tomorrow,6,5,11
stay,6,5,11
south,10,1,11
sleeping,5,6,11
laugh,6,5,11
dark,4,7,11
believe,8,3,11
tape,1,9,10
pack,9,1,10
mouth,4,6,10
moment,2,8,10
hours,7,3,10
holding,7,3,10
guess,7,3,10
forest,1,9,10
fire,6,4,10
doing,7,3,10
cause,9,1,10
whisper,2,7,9
walking,8,1,9
try,6,3,9
trail,7,2,9
town,4,5,9
things,3,6,9
table,2,7,9
swings,1,8,9
side,4,5,9
screaming,1,8,9
runs,2,7,9
pulls,1,8,9
pretty,7,2,9
places,1,8,9
mumbles,7,2,9
men,7,2,9
laughter,2,7,9
kidding,7,2,9
hair,7,2,9
finger,6,3,9
finally,2,7,9
exactly,8,1,9
done,5,4,9
bottle,3,6,9
bodies,4,5,9
area,5,4,9
alive,3,6,9
watching,1,7,8
thank,6,2,8
sitting,6,2,8
silence,3,5,8
set,5,3,8
saw,2,6,8
quickly,2,6,8
puts,1,7,8
possible,7,1,8
move,3,5,8
leaving,5,3,8
holds,1,7,8
girl,7,1,8
five,6,2,8
fine,6,2,8
corner,1,7,8
breaks,3,5,8
black,1,7,8
bad,2,6,8
ancient,1,7,8
yesterday,6,1,7
watch,4,3,7
wall,2,5,7
trying,4,3,7
thick,2,5,7
stick,6,1,7
shirt,3,4,7
scotch,3,4,7
rest,5,2,7
quiet,4,3,7
probably,2,5,7
pocket,4,3,7
muffled,6,1,7
mom,6,1,7
louder,3,4,7
left,4,3,7
hit,5,2,7
grab,2,5,7
flashlight,2,5,7
feel,5,2,7
fear,3,4,7
end,4,3,7
drink,2,5,7
deep,1,6,7
days,6,1,7
damn,4,3,7
crazy,5,2,7
crack,1,6,7
coming,6,1,7
comes,1,6,7
call,5,2,7
bound,6,1,7
better,2,5,7
ah,5,2,7
understand,5,1,6
twigs,5,1,6
top,4,2,6
tightly,1,5,6
throws,2,4,6
thought,3,3,6
takes,1,5,6
supposed,5,1,6
strange,3,3,6
sticks,5,1,6
sobs,4,2,6
slightly,1,5,6
seven,3,3,6
scream,3,3,6
saying,5,1,6
rain,5,1,6
pushes,3,3,6
playing,5,1,6
pain,4,2,6
maybe,5,1,6
made,3,3,6
lights,4,2,6
lifts,1,5,6
leaves,2,4,6
later,5,1,6
hope,5,1,6
gone,2,4,6
glass,1,5,6
forth,5,1,6
fingers,2,4,6
edge,1,5,6
east,5,1,6
deal,2,4,6
cry,4,2,6
cries,4,2,6
closer,2,4,6
blood,2,4,6
bit,5,1,6
big,4,2,6
beer,5,1,6
backs,1,5,6
arms,2,4,6
years,3,2,5
wrong,1,4,5
writing,3,2,5
um,4,1,5
totally,4,1,5
start,2,3,5
standing,3,2,5
stand,1,4,5
sketch,1,4,5
sister,1,4,5
sighs,4,1,5
shhh,4,1,5
rustling,3,2,5
run,3,2,5
relax,4,1,5
real,2,3,5
pull,1,4,5
pants,4,1,5
opening,3,2,5
noises,2,3,5
moving,1,4,5
moans,3,2,5
mirror,2,3,5
making,4,1,5
love,3,2,5
life,3,2,5
legs,1,4,5
knock,4,1,5
kill,2,3,5
important,4,1,5
high,3,2,5
gives,2,3,5
far,4,1,5
drops,1,4,5
drive,1,4,5
cracking,4,1,5
control,1,4,5
cold,4,1,5
care,3,2,5
came,3,2,5
begin,2,3,5
asleep,2,3,5
arrives,2,3,5
appears,2,3,5
weight,1,3,4
weekend,1,3,4
walls,2,2,4
used,3,1,4
turning,1,3,4
torn,1,3,4
took,3,1,4
toast,1,3,4
throw,3,1,4
tears,1,3,4
talking,1,3,4
taking,3,1,4
stone,1,3,4
starts,2,2,4
soon,2,2,4
sit,2,2,4
sets,2,2,4
second,3,1,4
rising,2,2,4
return,1,3,4
rear,2,2,4
quite,2,2,4
putting,3,1,4
play,2,2,4
passed,1,3,4
part,1,3,4
noise,1,3,4
nice,3,1,4
mind,3,1,4
makes,3,1,4
listening,1,3,4
large,1,3,4
kiss,3,1,4
hot,2,2,4
hold,3,1,4
helps,1,3,4
heads,1,3,4
grows,2,2,4
gets,2,2,4
gasps,3,1,4
four,2,2,4
fires,1,3,4
fall,3,1,4
ear,1,3,4
driving,2,2,4
clothes,1,3,4
climbs,1,3,4
brought,2,2,4
break,2,2,4
branches,2,2,4
bloody,2,2,4
bites,1,3,4
bible,2,2,4
best,2,2,4
anybody,3,1,4
actually,3,1,4
yelling,2,1,3
yell,2,1,3
yards,1,2,3
twenty,2,1,3
touch,2,1,3
tonight,2,1,3
step,1,2,3
speed,1,2,3
smiles,1,2,3
sleep,2,1,3
sign,1,2,3
show,2,1,3
short,2,1,3
shifts,2,1,3
shake,1,2,3
row,2,1,3
road,2,1,3
reply,1,2,3
record,2,1,3
reason,1,2,3
reaching,2,1,3
ran,2,1,3
protruding,1,2,3
possibly,2,1,3
piece,2,1,3
pick,1,2,3
opened,2,1,3
obvious,2,1,3
number,1,2,3
nights,2,1,3
nearby,1,2,3
natural,1,2,3
name,2,1,3
mouse,2,1,3
mountain,2,1,3
means,2,1,3
lying,2,1,3
loud,1,2,3
logs,1,2,3
lemme,1,2,3
legend,1,2,3
late,1,2,3
kind,2,1,3
killed,1,2,3
joke,1,2,3
hurry,1,2,3
hunting,1,2,3
human,2,1,3
horror,1,2,3
hole,1,2,3
hate,2,1,3
hanging,1,2,3
hang,2,1,3
friend,1,2,3
following,2,1,3
flesh,1,2,3
final,1,2,3
figure,1,2,3
fast,1,2,3
fact,2,1,3
examines,2,1,3
drop,2,1,3
doubles,2,1,3
disgust,2,1,3
directly,1,2,3
direct,2,1,3
descends,1,2,3
dad,2,1,3
climb,2,1,3
clearing,1,2,3
chair,1,2,3
carries,1,2,3
