word,The Blair Witch Project,Harry Potter and the Chamber of Secrets,total
harry,2,383,385
know,71,41,112
go,45,58,103
oh,41,55,96
going,71,20,91
come,33,58,91
like,66,22,88
okay,77,10,87
night,24,62,86
back,59,27,86
think,31,46,77
man,64,1,65
camera,62,2,64
right,30,33,63
see,20,35,55
sir,3,46,49
way,32,16,48
please,33,13,46
good,17,26,43
yeah,33,9,42
look,23,19,42
scene,4,37,41
yes,11,29,40
want,24,15,39
really,27,12,39
tell,12,26,38
time,10,26,36
tent,33,1,34
stop,17,17,34
car,21,13,34
ah,5,24,29
school,1,27,28
little,14,13,27
hear,16,11,27
day,17,10,27
away,18,9,27
voice,14,12,26
kill,2,23,25
find,13,12,25
three,10,14,24
lost,16,8,24
uh,6,17,23
two,13,10,23
sorry,15,8,23
need,10,13,23
looking,18,5,23
house,10,13,23
home,10,13,23
thing,15,7,22
mean,7,15,22
heard,12,10,22
girl,7,15,22
doing,7,15,22
witch,19,2,21
today,14,7,21
take,7,14,21
room,2,19,21
put,13,8,21
help,15,6,21
turn,16,4,20
morning,9,11,20
hello,6,14,20
make,6,13,19
huh,1,18,19
gonna,15,4,19
exactly,8,11,19
people,11,7,18
old,14,4,18
give,12,6,18
wanna,16,1,17
um,4,13,17
inside,15,2,17
four,2,15,17
found,10,7,17
ahh,2,15,17
years,3,13,16
wait,7,9,16
thank,6,10,16
place,7,9,16
opened,2,14,16
light,14,2,16
happened,12,4,16
done,5,11,16
course,1,15,16
scared,13,2,15
point,12,3,15
keep,12,3,15
drive,1,14,15
sure,7,7,14
rock,13,1,14
leave,7,7,14
believe,8,6,14
sounds,12,1,13
sound,10,3,13
knew,8,5,13
bad,2,11,13
baby,11,2,13
outside,7,5,12
name,2,10,12
long,9,3,12
head,8,4,12
getting,9,3,12
dad,2,10,12
cool,11,1,12
close,7,5,12
bit,5,7,12
understand,5,6,11
stuff,7,4,11
seen,3,8,11
remember,5,6,11
ready,8,3,11
points,8,3,11
maybe,5,6,11
hours,7,4,11
hands,7,4,11
hair,7,4,11
dead,4,7,11
blood,2,9,11
ago,2,9,11
welcome,2,8,10
true,2,8,10
told,2,8,10
things,3,7,10
set,5,5,10
meet,3,7,10
hell,6,4,10
happy,9,1,10
gone,2,8,10
fudge,1,9,10
face,9,1,10
dark,4,6,10
bathroom,1,9,10
work,5,4,9
went,8,1,9
try,6,3,9
tree,7,2,9
story,8,1,9
stay,6,3,9
second,3,6,9
pretty,7,2,9
open,5,4,9
near,7,2,9
mind,3,6,9
looks,7,2,9
leaving,5,4,9
ill,8,1,9
hope,5,4,9
fine,6,3,9
fear,3,6,9
die,5,4,9
crying,8,1,9
check,8,1,9
called,3,6,9
better,2,7,9
wrong,1,7,8
water,4,4,8
useless,7,1,8
trying,4,4,8
thought,3,5,8
thanks,1,7,8
sit,2,6,8
saying,5,3,8
saw,2,6,8
