word,The Blair Witch Project,Harry Potter and the Deathly Hallows Part One,total
im,109,15,124
know,71,39,110
dont,68,37,105
okay,77,5,82
going,71,11,82
like,66,15,81
back,59,13,72
man,64,2,66
go,45,21,66
think,31,28,59
harry,2,55,57
come,33,20,53
oh,41,7,48
right,30,16,46
lets,40,6,46
way,32,10,42
thats,35,6,41
please,33,7,40
yeah,33,5,38
tent,33,3,36
really,27,8,35
see,20,14,34
want,24,9,33
tell,12,21,33
look,23,8,31
yes,11,18,29
night,24,5,29
take,7,20,27
find,13,12,25
away,18,7,25
good,17,7,24
god,22,2,24
didnt,14,9,23
witch,19,3,22
two,13,9,22
stop,17,5,22
looking,18,4,22
hear,16,6,22
gonna,15,7,22
day,17,5,22
cant,15,7,22
woman,20,1,21
three,10,11,21
help,15,6,21
ive,15,5,20
sorry,15,4,19
little,14,5,19
inside,15,4,19
happened,12,7,19
doing,7,12,19
death,2,17,19
thing,15,3,18
old,14,4,18
knew,8,10,18
keep,12,6,18
youre,10,7,17
turn,16,1,17
time,10,7,17
lost,16,1,17
light,14,3,17
hes,14,3,17
found,10,7,17
whats,10,6,16
voice,14,2,16
took,3,13,16
today,14,2,16
ill,8,8,16
give,12,4,16
sure,7,8,15
put,13,2,15
mary,10,5,15
leave,7,8,15
house,10,5,15
heard,12,3,15
point,12,2,14
need,10,4,14
long,9,5,14
place,7,6,13
home,10,3,13
head,8,5,13
exactly,8,5,13
people,11,1,12
morning,9,3,12
make,6,6,12
face,9,3,12
close,7,5,12
believe,8,4,12
alright,4,8,12
went,8,3,11
thank,6,5,11
story,8,3,11
sound,10,1,11
mom,6,5,11
mean,7,4,11
hope,5,6,11
hello,6,5,11
happy,9,2,11
girl,7,4,11
getting,9,2,11
fine,6,5,11
doesnt,4,7,11
dark,4,7,11
boy,1,10,11
wait,7,3,10
understand,5,5,10
try,6,4,10
thought,3,7,10
stay,6,4,10
sir,3,7,10
shes,7,3,10
river,5,5,10
ready,8,2,10
kill,2,8,10
gave,6,4,10
coming,6,4,10
bit,5,5,10
wheres,5,4,9
wanted,4,5,9
told,2,7,9
seriously,8,1,9
possible,7,2,9
near,7,2,9
means,2,7,9
left,4,5,9
kids,7,2,9
hold,3,6,9
hey,4,5,9
hell,6,3,9
havent,4,5,9
check,8,1,9
call,5,4,9
work,5,3,8
werent,4,4,8
wasnt,7,1,8
trying,4,4,8
trust,2,6,8
tree,7,1,8
trail,7,1,8
stairs,7,1,8
second,3,5,8
saw,2,6,8
remember,5,3,8
outside,7,1,8
open,5,3,8
hands,7,1,8
hand,4,4,8
days,6,2,8
better,2,6,8
bag,5,3,8
years,3,4,7
turns,5,2,7
trees,5,2,7
stick,6,1,7
name,2,5,7
meet,3,4,7
maybe,5,2,7
lot,5,2,7
knows,4,3,7
id,4,3,7
finger,6,1,7
done,5,2,7
dead,4,3,7
came,3,4,7
book,4,3,7
ah,5,2,7
actually,3,4,7
youve,5,1,6
water,4,2,6
used,3,3,6
true,2,4,6
touch,2,4,6
things,3,3,6
supposed,5,1,6
sleeping,5,1,6
seven,3,3,6
safe,1,5,6
rest,5,1,6
playing,5,1,6
ones,4,2,6
nice,3,3,6
makes,3,3,6
made,3,3,6
lying,2,4,6
life,3,3,6
leaving,5,1,6
isnt,2,4,6
important,4,2,6
hard,5,1,6
forth,5,1,6
eyes,3,3,6
die,5,1,6
dad,2,4,6
crazy,5,1,6
cold,4,2,6
blood,2,4,6
anymore,5,1,6
ago,2,4,6
absolutely,2,4,6
wont,1,4,5
use,2,3,5
top,4,1,5
taking,3,2,5
takes,1,4,5
start,2,3,5
side,4,1,5
show,2,3,5
real,2,3,5
quite,2,3,5
quiet,4,1,5
miss,1,4,5
matter,3,2,5
making,4,1,5
listen,2,3,5
lights,4,1,5
hi,2,3,5
hang,2,3,5
gets,2,3,5
friend,1,4,5
fear,3,2,5
end,4,1,5
different,2,3,5
destroyed,1,4,5
course,1,4,5
compared,2,3,5
calm,3,2,5
bloody,2,3,5
asked,2,3,5
wrong,1,3,4
writing,3,1,4
wouldnt,2,2,4
worth,3,1,4
tonight,2,2,4
thinking,1,3,4
talking,1,3,4
taken,1,3,4
strange,3,1,4
straight,2,2,4
stopped,3,1,4
stone,1,3,4
standing,3,1,4
soon,2,2,4
son,1,3,4
somebody,3,1,4
seen,3,1,4
road,2,2,4
quickly,2,2,4
mark,1,3,4
lie,1,3,4
learned,3,1,4
killed,1,3,4
hurt,3,1,4
gone,2,2,4
fight,2,2,4
felt,2,2,4
feels,2,2,4
feeling,2,2,4
fall,3,1,4
drop,2,2,4
clear,1,3,4
chest,3,1,4
care,3,1,4
called,3,1,4
bought,3,1,4
bottle,3,1,4
best,2,2,4
anybody,3,1,4
wow,2,1,3
witches,2,1,3
witchcraft,2,1,3
whos,2,1,3
whisper,2,1,3
truth,1,2,3
swear,2,1,3
smell,1,2,3
sit,2,1,3
shoes,2,1,3
sets,2,1,3
seconds,2,1,3
searched,1,2,3
save,2,1,3
room,2,1,3
return,1,2,3
reason,1,2,3
realize,2,1,3
raining,1,2,3
plan,2,1,3
