word,The Blair Witch Project,Harry Potter and the Sorcerer s Stone,total
harry,2,376,378
im,109,27,136
back,59,41,100
know,71,22,93
dont,68,21,89
going,71,17,88
like,66,18,84
man,64,19,83
go,45,36,81
okay,77,3,80
oh,41,39,80
camera,62,10,72
come,33,29,62
thats,35,21,56
right,30,23,53
see,20,31,51
looks,7,43,50
way,32,16,48
think,31,15,46
please,33,13,46
lets,40,6,46
map,44,1,45
ahead,41,2,43
look,23,17,40
good,17,22,39
head,8,30,38
really,27,8,35
yeah,33,1,34
want,24,10,34
day,17,17,34
away,18,15,33
two,13,18,31
night,24,6,30
youre,10,19,29
stop,17,11,28
woman,20,7,27
theres,18,9,27
points,8,19,27
looking,18,9,27
hes,14,13,27
begins,18,9,27
car,21,5,26
witch,19,6,25
house,10,15,25
help,15,10,25
cant,15,10,25
turn,16,8,24
tell,12,12,24
later,5,19,24
door,1,23,24
didnt,14,10,24
boy,1,23,24
yes,11,12,23
sorry,15,8,23
ive,15,8,23
hands,7,16,23
comes,1,22,23
bit,5,18,23
put,13,9,22
people,11,11,22
find,13,9,22
make,6,15,21
little,14,7,21
inside,15,6,21
cut,18,3,21
woods,19,1,20
walking,8,12,20
three,10,10,20
thing,15,5,20
outside,7,13,20
old,14,6,20
give,12,8,20
ahh,2,18,20
whats,10,9,19
time,10,9,19
take,7,12,19
light,14,5,19
keep,12,7,19
hand,4,15,19
gonna,15,4,19
walks,5,13,18
walk,7,11,18
turns,5,13,18
today,14,4,18
lost,16,2,18
laughs,13,5,18
heard,12,6,18
goes,1,17,18
sitting,6,11,17
need,10,7,17
name,2,15,17
leave,7,10,17
hear,16,1,17
girl,7,10,17
face,9,8,17
weve,15,1,16
wall,2,14,16
scared,13,3,16
happened,12,4,16
hair,7,9,16
gets,2,14,16
distance,15,1,16
called,3,13,16
voice,14,1,15
stops,3,12,15
stairs,7,8,15
sir,3,12,15
jumps,1,14,15
baby,11,4,15
ah,5,10,15
whispers,13,1,14
rock,13,1,14
mean,7,7,14
long,9,5,14
knew,8,6,14
hey,4,10,14
doing,7,7,14
appears,2,12,14
went,8,5,13
takes,1,12,13
shot,12,1,13
run,3,10,13
room,2,11,13
point,12,1,13
hello,6,7,13
happy,9,4,13
ground,4,9,13
found,10,3,13
years,3,9,12
welcome,2,10,12
wait,7,5,12
try,6,6,12
sure,7,5,12
open,5,7,12
nods,1,11,12
near,7,5,12
morning,9,3,12
laugh,6,6,12
large,1,11,12
gave,6,6,12
fire,6,6,12
dark,4,8,12
cool,11,1,12
begin,2,10,12
youve,5,6,11
work,5,6,11
uh,6,5,11
table,2,9,11
sound,10,1,11
side,4,7,11
shooting,9,2,11
running,4,7,11
puts,1,10,11
pulls,1,10,11
place,7,4,11
maybe,5,6,11
leaves,2,9,11
ill,8,3,11
hell,6,5,11
glass,1,10,11
exactly,8,3,11
done,5,6,11
believe,8,3,11
zooms,2,8,10
wasnt,7,3,10
thank,6,4,10
stick,6,4,10
small,6,4,10
sleeping,5,5,10
runs,2,8,10
remember,5,5,10
ready,8,2,10
quickly,2,8,10
mind,3,7,10
left,4,6,10
holding,7,3,10
eyes,3,7,10
crying,8,2,10
cause,9,1,10
year,1,8,9
watch,4,5,9
understand,5,4,9
stay,6,3,9
starts,2,7,9
red,1,8,9
move,3,6,9
id,4,5,9
gasps,3,6,9
front,2,7,9
forward,1,8,9
follow,1,8,9
fine,6,3,9
feet,5,4,9
course,1,8,9
close,7,2,9
cake,1,8,9
brown,7,2,9
better,2,7,9
bad,2,7,9
yesterday,6,2,8
writing,3,5,8
wicked,4,4,8
view,5,3,8
throws,2,6,8
theyre,2,6,8
street,1,7,8
steps,6,2,8
start,2,6,8
shes,7,1,8
seen,3,5,8
saying,5,3,8
reading,4,4,8
nice,3,5,8
minutes,6,2,8
making,4,4,8
knows,4,4,8
isnt,2,6,8
gone,2,6,8
full,4,4,8
fat,2,6,8
end,4,4,8
doesnt,4,4,8
crossing,7,1,8
continues,4,4,8
coming,6,2,8
best,2,6,8
youll,1,6,7
water,4,3,7
trying,4,3,7
top,4,3,7
tired,6,1,7
things,3,4,7
taking,3,4,7
supposed,5,2,7
store,3,4,7
standing,3,4,7
smiles,1,6,7
sighs,4,3,7
school,1,6,7
scene,4,3,7
