word,The Blair Witch Project,Macbeth,total
like,66,21,87
know,71,13,84
man,64,16,80
going,71,2,73
back,59,3,62
go,45,14,59
come,33,26,59
night,24,24,48
oh,41,2,43
lets,40,3,43
good,17,26,43
thats,35,6,41
way,32,8,40
look,23,15,38
think,31,6,37
time,10,25,35
please,33,2,35
thee,1,30,31
right,30,1,31
done,5,26,31
woman,20,9,29
see,20,9,29
god,22,7,29
day,17,11,28
theres,18,8,26
make,6,18,24
give,12,12,24
fear,3,21,24
blood,2,21,23
hear,16,6,22
put,13,8,21
ill,8,13,21
cut,18,3,21
away,18,3,21
king,2,18,20
heard,12,8,20
thing,15,4,19
sleep,2,17,19
light,14,5,19
find,13,6,19
face,9,10,19
turn,16,2,18
stop,17,1,18
lost,16,2,18
keep,12,6,18
hes,14,4,18
help,15,3,18
two,13,4,17
tell,12,5,17
sorry,15,2,17
little,14,3,17
hands,7,10,17
whats,10,6,16
voice,14,2,16
take,7,9,16
sir,3,13,16
old,14,2,16
men,7,9,16
hand,4,12,16
distance,15,1,16
leave,7,8,15
whispers,13,1,14
rock,13,1,14
life,3,11,14
dead,4,10,14
sound,10,3,13
house,10,3,13
hell,6,7,13
head,8,5,13
yes,11,1,12
till,1,11,12
three,10,2,12
need,10,2,12
knock,4,8,12
home,10,2,12
found,10,2,12
death,2,10,12
cool,11,1,12
baby,11,1,12
strange,3,8,11
place,7,4,11
made,3,8,11
long,9,2,11
cause,9,2,11
thought,3,7,10
sure,7,3,10
set,5,5,10
morning,9,1,10
mind,3,7,10
laugh,6,4,10
hope,5,
tho
happy,9,1,10
forth,5,5,10
days,6,4,10
cry,4,6,10
coming,6,4,10
call,5,5,10
went,8,1,9
walking,8,1,9
tree,7,2,9
things,3,6,9
ready,8,1,9
pretty,7,2,9
near,7,2,9
mean,7,2,9
love,3,6,9
hair,7,2,9
feel,5,4,9
far,4,5,9
darkness,7,2,9
bloody,2,7,9
water,4,4,8
walk,7,1,8
wait,7,1,8
stuff,7,1,8
stay,6,2,8
seen,3,5,8
rest,5,3,8
poor,1,7,8
looks,7,1,8
hours,7,1,8
hold,3,5,8
hang,2,6,8
guess,7,1,8
girl,7,1,8
full,4,4,8
fire,6,2,8
doing,7,1,8
close,7,1,8
children,1,7,8
bound,6,2,8
yesterday,6,1,7
work,5,2,7
watch,4,3,7
try,6,1,7
trees,5,2,7
throw,3,4,7
thick,2,5,7
stick,6,1,7
steps,6,1,7
stand,1,6,7
rain,5,2,7
open,5,2,7
nights,2,5,7
meet,3,4,7
hard,5,2,7
gave,6,1,7
finger,6,1,7
eyes,3,4,7
earth,1,6,7
die,5,2,7
dark,4,3,7
comes,1,6,7
wicked,4,2,6
truth,1,5,6
sleeping,5,1,6
shake,1,5,6
saying,5,1,6
remember,5,1,6
ones,4,2,6
move,3,3,6
makes,3,3,6
lie,1,5,6
leaving,5,1,6
goes,1,5,6
gate,4,2,6
feet,5,1,6
end,4,2,6
care,3,3,6
came,3,3,6
bring,1,5,6
black,1,5,6
best,2,4,6
worst,1,4,5
whos,2,3,5
welcome,2,3,5
weird,1,4,5
twenty,2,3,5
top,4,1,5
thanks,1,4,5
taking,3,2,5
son,1,4,5
sighs,4,1,5
show,2,3,5
serious,4,1,5
second,3,2,5
quiet,4,1,5
name,2,3,5
mouth,4,1,5
mans,3,2
deep,1,3,4
cou
left,4,1,5
knows,4,1,5
kiss,3,2,5
high,3,2,5
heavy,2,3,5
ground,4,1,5
fight,2,3,5
ditch,3,2,5
devil,1,4,5
deep,1,4,5
damn,4,1,5
cries,4,1,5
country,2,3,5
cold,4,1,5
business,2,3,5
breath,2,3,5
break,2,3,5
book,4,1,5
bless,2,3,5
better,2,3,5
alive,3,2,5
young,2,2,4
worse,1,3,4
washing,3,1,4
used,3,1,4
use,2,2,4
true,2,2,4
times,2,2,4
terrible,1,3,4
stands,1,3,4
sit,2,2,4
shut,3,1,4
seven,3,1,4
scream,3,1,4
quickly,2,2,4
purpose,1,3,4
person,1,3,4
noise,1,3,4
michael,3,1,4
means,2,2,4
matter,3,1,4
loose,3,1,4
leaf,3,1,4
kind,2,2,4
kill,2,2,4
hurt,3,1,4
horse,3,1,4
horror,1,3,4
hill,2,2,4
heres,1,3,4
hate,2,2,4
gives,2,2,4
ghosts,3,1,4
front,2,2,4
friend,1,3,4
forest,1,3,4
flight,1,3,4
danger,2,2,4
chance,1,3,4
boy,1,3,4
begin,2,2,4
asleep,2,2,4
witchcraft,2,1,3
wine,1,2,3
white,2,1,3
west,2,1,3
wake,1,2,3
trust,2,1,3
touch,2,1,3
told,2,1,3
swear,2,1,3
sun,1,2,3
stirring,1,2,3
stir,1,2,3
start,2,1,3
spite,1,2,3
short,2,1,3
screams,2,1,3
saw,2,1,3
safe,1,2,3
rubs,1,2,3
return,1,2,3
remove,1,2,3
red,1,2,3
play,2,1,3
piece,2,1,3
part,1,2,3
owl,1,2,3
naked,1,2,3
moves,1,2,3
moment,2,1,3
miss,1,2,3
mark,1,2,3
lived,1,2,3
line,1,2,3
late,1,2,3
laid,2,1,3
keeps,1,2,3
human,2,1,3
heads,1,2,3
haunt,1,2,3
grows,2,1,3
grace,1,2,3
gone,2,1,3
general,1,2,3
fool,2,1,3
felt,2,1,3
feeling,2,1,3
fast,1,2,3
edge,1,2,3
eat,1,2,3
ear,1,2,3
drink,2,1,3
cream,2,1,3
comfort,1,2,3
clean,1,2,3
child,1,2,3
brought,2,1,3
blows,2,1,3
bad,2,1,3
arms,2,1,3
arm,1,2,3
act,1,2,3
youll,1,1,2
wrong,1,1,2
write,1,1,2
womans,1,1,2
wish,1,1,2
weeps,1,1,2
ways,1,1,2
waves,1,1,2
unusual,1,1,2
untie,1,1,2
trembling,1,1,2
torture,1,1,2
toe,1,1,2
tells,1,1,2
tears,1,1,2
tale,1,1,2
surprised,1,1,2
stuck,1,1,2
starting,1,1,2
smiles,1,1,2
smell,1,1,2
sign,1,1,2
shaking,1,1,2
season,1,1,2
safety,1,1,2
recorded,1,1,2
quit,1,1,2
pull,1,1,2
patch,1,1,2
older,1,1,2
occasion,1,1,2
nine,1,1,2
natural,1,1,2
market,1,1,2
loud,1,1,2
listening,1,1,2
laced,1,1,2
joy,1,1,2
image,1,1,2
hearing,1,1,2
grow,1,1,2
graves,1,1,2
gory,1,1,2
gore,1,1,2
ghost,1,1,2
free,1,1,2
fires,1,1,2
filling,1,1,2
familiar,1,1,2
entrance,1,1,2
dry,1,1,2
doors,1,1,2
door,1,1,2
discovery,1,1,2
deny,1,1,2
deeply,1,1,2
damned,1,1,2
course,1,1,2
confusion,1,1,2
clear,1,1,2
certain,1,1,2
brief,1,1,2
body,1,1,2
bleed,1,1,2
believed,1,1,2
bath,1,1,2
apart,1,1,2
anger,1,1,2
absolute,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
cuts,113,0,113
im,109,0,109
fucking,95,0,95
okay,77,0,77
dont,68,0,68
camera,62,0,62
shit,52,0,52
map,44,0,44
ahead,41,0,41
fuck,39,0,39
yeah,33,0,33
tent,33,0,33
really,27,0,27
want,24,0,24
fisherman,23,0,23
car,21,0,21
woods,19,0,19
witch,19,0,19
looking,18,0,18
begins,18,0,18
wanna,16,0,16
weve,15,0,15
video,15,0,15
joshs,15,0,15
ive,15,0,15
inside,15,0,15
gonna,15,0,15
cant,15,0,15
blair,15,0,15
today,14,0,14
guys,14,0,14
gotta,14,0,14
didnt,14,0,14
scared,13,0,13
laughs,13,0,13
laughing,13,0,13
sounds,12,0,12
shot,12,0,12
point,12,0,12
happened,12,0,12
ass,12,0,12
rocks,11,0,11
people,11,0,11
mm,11,0,11
log,11,0,11
jesus,11,0,11
hiking,11,0,11
compass,11,0,11
youre,10,0,10
stream,10,0,10
