word,The Blair Witch Project,Return to Halloweentown,total
im,109,63,172
know,71,42,113
dont,68,40,108
like,66,34,100
going,71,19,90
man,64,18,82
oh,41,37,78
back,59,10,69
go,45,18,63
thats,35,27,62
yeah,33,27,60
come,33,20,53
want,24,28,52
right,30,22,52
think,31,19,50
witch,19,28,47
really,27,19,46
youre,10,33,43
lets,40,3,43
cant,15,28,43
way,32,8,40
use,2,36,38
please,33,4,37
good,17,19,36
look,23,12,35
woman,20,13,33
mom,6,27,33
sorry,15,17,32
night,24,8,32
help,15,17,32
see,20,11,31
hey,4,26,30
need,10,19,29
away,18,11,29
time,10,18,28
whats,10,17,27
theres,18,9,27
stop,17,10,27
gonna,15,12,27
find,13,14,27
yes,11,15,26
little,14,12,26
thing,15,10,25
ive,15,10,25
didnt,14,11,25
two,13,10,23
three,10,13,23
tell,12,11,23
make,6,17,23
keep,12,11,23
box,1,22,23
looking,18,4,22
hes,14,8,22
shes,7,14,21
gotta,14,7,21
cut,18,3,21
mean,7,13,20
ill,8,12,20
guys,14,6,20
give,12,8,20
fine,6,14,20
weve,15,4,19
turn,16,3,19
open,5,14,19
laughing,13,6,19
inside,15,4,19
begins,18,1,19
uh,6,12,18
people,11,7,18
old,14,4,18
knew,8,9,17
home,10,7,17
believe,8,9,17
voice,14,2,16
heard,12,4,16
doing,7,9,16
witches,2,13,15
wait,7,8,15
today,14,1,15
thank,6,9,15
room,2,13,15
ready,8,7,15
put,13,2,15
maybe,5,10,15
light,14,1,15
found,10,5,15
call,5,10,15
using,2,12,14
take,7,7,14
hello,6,8,14
years,3,10,13
sure,7,6,13
stay,6,7,13
sounds,12,1,13
long,9,4,13
kids,7,6,13
happened,12,1,13
halloween,1,12,13
girl,7,6,13
cool,11,2,13
baby,11,2,13
work,5,7,12
screaming,1,11,12
love,3,9,12
cause,9,3,12
wanted,4,7,11
try,6,5,11
theyre,2,9,11
stream,10,1,11
sound,10,1,11
place,7,4,11
leave,7,4,11
kind,2,9,11
isnt,2,9,11
id,4,7,11
happy,9,2,11
getting,9,2,11
exactly,8,3,11
check,8,3,11
wont,1,9,10
went,8,2,10
um,4,6,10
tree,7,3,10
tonight,2,8,10
thought,3,7,10
things,3,7,10
seriously,8,2,10
school,1,9,10
remember,5,5,10
kidding,7,3,10
hi,2,8,10
face,9,1,10
close,7,3,10
boy,1,9,10
youve,5,4,9
wasnt,7,2,9
walking,8,1,9
understand,5,4,9
trust,2,7,9
small,6,3,9
pretty,7,2,9
miss,1,8,9
hours,7,2,9
head,8,1,9
hands,7,2,9
hair,7,2,9
gave,6,3,9
done,5,4,9
days,6,3,9
big,4,5,9
wow,2,6,8
wish,1,7,8
wheres,5,3,8
walk,7,1,8
totally,4,4,8
supposed,5,3,8
stuff,7,1,8
soon,2,6,8
saying,5,3,8
outside,7,1,8
near,7,1,8
name,2,6,8
middle,6,2,8
looks,7,1,8
high,3,5,8
guess,7,1,8
door,1,7,8
doesnt,4,4,8
dark,4,4,8
control,1,7,8
book,4,4,8
anymore,5,3,8
actually,3,5,8
youll,1,6,7
wrong,1,6,7
welcome,2,5,7
used,3,4,7
stick,6,1,7
somebody,3,4,7
seven,3,4,7
rest,5,2,7
relax,4,3,7
reading,4,3,7
playing,5,2,7
nice,3,4,7
muffled,6,1,7
minutes,6,1,7
learn,2,5,7
having,3,4,7
havent,4,3,7
full,4,3,7
forever,1,6,7
dude,5,2,7
coming,6,1,7
came,3,4,7
bad,2,5,7
ah,5,2,7
absolutely,2,5,7
wouldnt,2,4,6
watch,4,2,6
took,3,3,6
set,5,1,6
seen,3,3,6
save,2,4,6
run,3,3,6
real,2,4,6
rain,5,1,6
made,3,3,6
lot,5,1,6
knows,4,2,6
important,4,2,6
hope,5,1,6
history,1,5,6
hard,5,1,6
gone,2,4,6
gear,5,1,6
funny,3,3,6
forth,5,1,6
feet,5,1,6
feel,5,1,6
dead,4,2,6
dad,2,4,6
bring,1,5,6
bit,5,1,6
area,5,1,6
ancient,1,5,6
young,2,3,5
water,4,1,5
trying,4,1,5
thanks,1,4,5
stupid,1,4,5
strange,3,2,5
sounded,2,3,5
sit,2,3,5
sir,3,2,5
silence,3,2,5
side,4,1,5
show,2,3,5
shoot,4,1,5
serious,4,1,5
second,3,2,5
scary,3,2,5
running,4,1,5
realize,2,3,5
part,1,4,5
ones,4,1,5
mess,1,4,5
means,2,3,5
making,4,1,5
life,3,2,5
laughter,2,3,5
hold,3,2,5
hang,2,3,5
hand,4,1,5
fun,1,4,5
four,2,3,5
far,4,1,5
cry,4,1,5
continues,4,1,5
change,1,4,5
called,3,2,5
cackling,2,3,5
appears,2,3,5
ago,2,3,5
year,1,3,4
whos,2,2,4
washing,3,1,4
truth,1,3,4
told,2,2,4
times,2,2,4
telling,3,1,4
talking,1,3,4
taking,3,1,4
swear,2,2,4
stops,3,1,4
start,2,2,4
smart,3,1,4
shut,3,1,4
shh,3,1,4
quite,2,2,4
proud,1,3,4
probably,2,2,4
prepare,2,2,4
opened,2,2,4
nope,3,1,4
move,3,1,4
moment,2,2,4
mind,3,1,4
meet,3,1,4
losing,2,2,4
listen,2,2,4
learned,3,1,4
leaf,3,1,4
king,2,2,4
horse,3,1,4
holy,3,1,4
gasps,3,1,4
friend,1,3,4
field,2,2,4
fast,1,3,4
fall,3,1,4
different,2,2,4
deal,2,2,4
course,1,3,4
couldnt,1,3,4
clean,1,3,4
child,1,3,4
caught,1,3,4
calm,3,1,4
breaks,3,1,4
break,2,2,4
bought,3,1,4
begin,2,2,4
babies,3,1,4
anyway,1,3,4
aint,3,1,4
yep,1,2,3
whispering,1,2,3
weird,1,2,3
wed,1,2,3
watching,1,2,3
true,2,1,3
touch,2,1,3
student,1,2,3
smokes,2,1,3
site,1,2,3
short,2,1,3
share,1,2,3
seeing,1,2,3
saw,2,1,3
salad,2,1,3
safe,1,2,3
quickly,2,1,3
pumpkin,2,1,3
problem,1,2,3
poor,1,2,3
pass,1,2,3
nights,2,1,3
missing,1,2,3
loud,1,2,3
late,1,2,3
kill,2,1,3
job,1,2,3
ice,2,1,3
huh,1,2,3
hows,1,2,3
hmm,1,2,3
helping,1,2,3
hasnt,1,2,3
glass,1,2,3
gets,2,1,3
front,2,1,3
footsteps,2,1,3
following,2,1,3
fingers,2,1,3
finally,2,1,3
feeling,2,1,3
favorite,1,2,3
fact,2,1,3
death,2,1,3
cream,2,1,3
community,2,1,3
careful,1,2,3
better,2,1,3
best,2,1,3
asked,2,1,3
arent,1,2,3
yup,1,1,2
worry,1,1,2
working,1,1,2
wondered,1,1,2
weekend,1,1,2
wake,1,1,2
usually,1,1,2
twice,1,1,2
trick,1,1,2
tore,1,1,2
till,1,1,2
throwing,1,1,2
thinks,1,1,2
thinking,1,1,2
theme,1,1,2
terrible,1,1,2
takes,1,1,2
street,1,1,2
state,1,1,2
stands,1,1,2
stand,1,1,2
speed,1,1,2
smallest,1,1,2
sister,1,1,2
sign,1,1,2
shaking,1,1,2
shake,1,1,2
selfish,1,1,2
roll,1,1,2
responsible,1,1,2
reason,1,1,2
quick,1,1,2
prepared,1,1,2
pick,1,1,2
personally,1,1,2
person,1,1,2
party,1,1,2
opportunity,1,1,2
obviously,1,1,2
number,1,1,2
necessary,1,1,2
nah,1,1,2
misty,1,1,2
mark,1,1,2
loudly,1,1,2
looked,1,1,2
level,1,1,2
legs,1,1,2
large,1,1,2
interesting,1,1,2
hurry,1,1,2
hole,1,1,2
heres,1,1,2
hardly,1,1,2
harder,1,1,2
happening,1,1,2
happen,1,1,2
guy,1,1,2
grow,1,1,2
grace,1,1,2
goat,1,1,2
giving,1,1,2
free,1,1,2
forward,1,1,2
final,1,1,2
families,1,1,2
expect,1,1,2
easier,1,1,2
earth,1,1,2
destroyed,1,1,2
continue,1,1,2
complete,1,1,2
comes,1,1,2
clothes,1,1,2
clearing,1,1,2
checked,1,1,2
cart,1,1,2
bust,1,1,2
books,1,1,2
black,1,1,2
beginning,1,1,2
asking,1,1,2
apparently,1,1,2
apologize,1,1,2
anytime,1,1,2
amazing,1,1,2
alrighty,1,1,2
agreed,1,1,2
act,1,1,2
absolute,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
cuts,113,0,113
fucking,95,0,95
okay,77,0,77
camera,62,0,62
shit,52,0,52
map,44,0,44
ahead,41,0,41
fuck,39,0,39
tent,33,0,33
fisherman,23,0,23
god,22,0,22
car,21,0,21
woods,19,0,19
day,17,0,17
wanna,16,0,16
lost,16,0,16
hear,16,0,16
video,15,0,15
joshs,15,0,15
distance,15,0,15
blair,15,0,15
whispers,13,0,13
scared,13,0,13
rock,13,0,13
laughs,13,0,13
shot,12,0,12
point,12,0,12
ass,12,0,12
rocks,11,0,11
mm,11,0,11
log,11,0,11
jesus,11,0,11
hiking,11,0,11
compass,11,0,11
south,10,0,10
slate,10,0,10
mary,10,0,10
house,10,0,10
