word,The Blair Witch Project,Rosemary s Baby,total
im,109,77,186
dont,68,84,152
oh,41,105,146
know,71,56,127
like,66,35,101
going,71,30,101
thats,35,51,86
back,59,22,81
right,30,49,79
go,45,34,79
come,33,42,75
yeah,33,38,71
man,64,3,67
see,20,46,66
please,33,26,59
yes,11,45,56
youre,10,45,55
want,24,31,55
shit,52,1,53
lets,40,13,53
good,17,36,53
really,27,25,52
hes,14,35,49
think,31,17,48
look,23,25,48
ive,15,31,46
way,32,13,45
ill,8,37,45
ahead,41,3,44
thank,6,31,37
didnt,14,23,37
night,24,12,36
baby,11,24,35
tell,12,22,34
god,22,12,34
theres,18,15,33
guy,1,32,33
day,17,16,33
mean,7,25,32
two,13,18,31
hear,16,14,30
whats,10,19,29
take,7,22,29
away,18,10,28
sorry,15,12,27
people,11,16,27
old,14,13,27
cant,15,12,27
time,10,16,26
put,13,13,26
uh,6,19,25
gonna,15,10,25
thing,15,9,24
sure,7,17,24
help,15,9,24
woman,20,3,23
stop,17,6,23
name,2,21,23
little,14,9,23
fine,6,17,23
hill,2,20,22
make,6,15,21
looking,18,3,21
wont,1,19,20
witch,19,1,20
lost,16,4,20
long,9,11,20
inside,15,5,20
happy,9,11,20
give,12,8,20
turn,16,3,19
three,10,9,19
nice,3,16,19
isnt,2,17,19
house,10,9,19
home,10,9,19
guys,14,5,19
wanna,16,2,18
wait,7,11,18
today,14,4,18
hell,6,12,18
heard,12,6,18
havent,4,14,18
sounds,12,5,17
shes,7,10,17
morning,9,8,17
hello,6,11,17
find,13,4,17
drink,2,15,17
thought,3,13,16
pain,4,12,16
light,14,2,16
knew,8,8,16
call,5,11,16
wouldnt,2,13,15
told,2,13,15
theyre,2,13,15
stay,6,9,15
rock,13,2,15
need,10,5,15
feel,5,10,15
um,4,10,14
tomorrow,6,8,14
sit,2,12,14
scared,13,1,14
mm,11,3,14
keep,12,2,14
happened,12,2,14
girl,7,7,14
believe,8,6,14
wasnt,7,6,13
seen,3,10,13
point,12,1,13
maybe,5,8,13
love,3,10,13
later,5,8,13
kidding,7,6,13
jesus,11,2,13
getting,9,4,13
gave,6,7,13
found,10,3,13
things,3,9,12
thanks,1,11,12
open,5,7,12
made,3,9,12
lot,5,7,12
looks,7,5,12
done,5,7,12
check,8,4,12
yesterday,6,5,11
went,8,3,11
room,2,9,11
part,1,10,11
lying,2,9,11
leave,7,4,11
hope,5,6,11
guess,7,4,11
exactly,8,3,11
dead,4,7,11
crying,8,3,11
boy,1,10,11
book,4,7,11
better,2,9,11
youll,1,9,10
watch,4,6,10
wanted,4,6,10
walk,7,3,10
try,6,4,10
stuff,7,3,10
sleep,2,8,10
rest,5,5,10
ready,8,2,10
probably,2,8,10
pretty,7,3,10
place,7,3,10
outside,7,3,10
mind,3,7,10
left,4,6,10
kind,2,8,10
hey,4,6,10
friend,1,9,10
five,6,4,10
face,9,1,10
doesnt,4,6,10
days,6,4,10
coming,6,4,10
came,3,7,10
called,3,7,10
year,1,8,9
witches,2,7,9
wheres,5,4,9
used,3,6,9
supposed,5,4,9
possible,7,2,9
move,3,6,9
matter,3,6,9
hi,2,7,9
head,8,1,9
having,3,6,9
hands,7,2,9
end,4,5,9
doing,7,2,9
crazy,5,4,9
blood,2,7,9
youve,5,3,8
work,5,3,8
understand,5,3,8
tv,1,7,8
trying,4,4,8
took,3,5,8
tired,6,2,8
saying,5,3,8
remember,5,3,8
near,7,1,8
minutes,6,2,8
meet,3,5,8
kids,7,1,8
interesting,1,7,8
hair,7,1,8
far,4,4,8
eyes,3,5,8
die,5,3,8
close,7,1,8
christ,7,1,8
bound,6,2,8
arent,1,7,8
years,3,4,7
werent,4,3,7
view,5,2,7
top,4,3,7
tonight,2,5,7
taking,3,4,7
stopped,3,4,7
stick,6,1,7
soon,2,5,7
small,6,1,7
shut,3,4,7
seven,3,4,7
second,3,4,7
makes,3,4,7
life,3,4,7
leaving,5,2,7
hand,4,3,7
fire,6,1,7
cry,4,3,7
couldnt,1,6,7
children,1,6,7
bit,5,2,7
ah,5,2,7
wrong,1,5,6
use,2,4,6
town,4,2,6
suppose,1,5,6
stories,1,5,6
start,2,4,6
son,1,5,6
sleeping,5,1,6
show,2,4,6
shoulder,1,5,6
set,5,1,6
saw,2,4,6
real,2,4,6
poor,1,5,6
playing,5,1,6
play,2,4,6
party,1,5,6
ones,4,2,6
movies,3,3,6
mouse,2,4,6
listen,2,4,6
important,4,2,6
hurt,3,3,6
huh,1,5,6
hold,3,3,6
high,3,3,6
hard,5,1,6
giving,1,5,6
feet,5,1,6
eat,1,5,6
due,1,5,6
course,1,5,6
couple,3,3,6
clean,1,5,6
care,3,3,6
business,2,4,6
big,4,2,6
best,2,4,6
beer,5,1,6
bad,2,4,6
area,5,1,6
alive,3,3,6
young,2,3,5
totally,4,1,5
throw,3,2,5
talking,1,4,5
somebody,3,2,5
six,1,4,5
sir,3,2,5
shouldnt,2,3,5
shirt,3,2,5
serious,4,1,5
scene,4,1,5
quite,2,3,5
miss,1,4,5
making,4,1,5
lots,1,4,5
knows,4,1,5
kill,2,3,5
hot,2,3,5
gets,2,3,5
gate,4,1,5
funny,3,2,5
full,4,1,5
four,2,3,5
fault,4,1,5
dark,4,1,5
coincidence,1,4,5
books,1,4,5
bless,2,3,5
babies,3,2,5
anybody,3,2,5
america,4,1,5
absolutely,2,3,5
writing,3,1,4
worst,1,3,4
worry,1,3,4
witchcraft,2,2,4
wine,1,3,4
weight,1,3,4
true,2,2,4
till,1,3,4
thinking,1,3,4
terrible,1,3,4
telling,3,1,4
swear,2,2,4
strange,3,1,4
straight,2,2,4
stand,1,3,4
smell,1,3,4
smart,3,1,4
short,2,2,4
shopping,1,3,4
shoes,2,2,4
run,3,1,4
rocking,2,2,4
plan,2,2,4
period,2,2,4
moving,1,3,4
moment,2,2,4
lived,1,3,4
lie,1,3,4
killed,1,3,4
holy,3,1,4
hate,2,2,4
grows,2,2,4
grace,1,3,4
gone,2,2,4
goes,1,3,4
gives,2,2,4
fun,1,3,4
feeling,2,2,4
cream,2,2,4
country,2,2,4
change,1,3,4
brought,2,2,4
breaks,3,1,4
bite,2,2,4
bathroom,1,3,4
asked,2,2,4
arms,2,2,4
ago,2,2,4
actually,3,1,4
yell,2,1,3
wish,1,2,3
winter,2,1,3
windows,1,2,3
white,2,1,3
welcome,2,1,3
walls,2,1,3
wall,2,1,3
touch,2,1,3
times,2,1,3
thick,2,1,3
taken,1,2,3
table,2,1,3
sunday,1,2,3
stupid,1,2,3
stuck,1,2,3
sorts,2,1,3
sister,1,2,3
sing,2,1,3
seeing,1,2,3
save,2,1,3
record,2,1,3
reason,1,2,3
quickly,2,1,3
problem,1,2,3
piece,2,1,3
passed,1,2,3
notice,2,1,3
nine,1,2,3
nights,2,1,3
natural,1,2,3
means,2,1,3
looked,1,2,3
late,1,2,3
ice,2,1,3
heres,1,2,3
happen,1,2,3
hang,2,1,3
front,2,1,3
felt,2,1,3
fat,2,1,3
fast,1,2,3
fact,2,1,3
europe,1,2,3
drop,2,1,3
deal,2,1,3
chance,1,2,3
broke,2,1,3
bring,1,2,3
break,2,1,3
beginning,1,2,3
basement,1,2,3
asleep,2,1,3
asking,1,2,3
anyway,1,2,3
ahh,2,1,3
write,1,1,2
woke,1,1,2
weekend,1,1,2
ways,1,1,2
usually,1,1,2
unusual,1,1,2
uncomfortable,1,1,2
twice,1,1,2
truth,1,1,2
thrown,1,1,2
thin,1,1,2
thee,1,1,2
takes,1,1,2
stone,1,1,2
slightly,1,1,2
shaking,1,1,2
school,1,1,2
rushed,1,1,2
return,1,1,2
religious,1,1,2
proud,1,1,2
preparing,1,1,2
prepared,1,1,2
pool,1,1,2
planning,1,1,2
places,1,1,2
person,1,1,2
parts,1,1,2
older,1,1,2
number,1,1,2
necessary,1,1,2
mess,1,1,2
mark,1,1,2
makeup,1,1,2
loaded,1,1,2
listening,1,1,2
legs,1,1,2
laying,1,1,2
large,1,1,2
job,1,1,2
interested,1,1,2
imagine,1,1,2
helping,1,1,2
hearing,1,1,2
happening,1,1,2
grow,1,1,2
gotten,1,1,2
glass,1,1,2
general,1,1,2
follow,1,1,2
flesh,1,1,2
filled,1,1,2
evidence,1,1,2
eh,1,1,2
drinking,1,1,2
door,1,1,2
dirty,1,1,2
devil,1,1,2
deeply,1,1,2
deep,1,1,2
damned,1,1,2
concerned,1,1,2
comes,1,1,2
clearing,1,1,2
