word,The Blair Witch Project,Stardust,total
im,109,71,180
know,71,44,115
dont,68,37,105
like,66,34,100
oh,41,52,93
going,71,17,88
okay,77,7,84
back,59,24,83
man,64,11,75
go,45,29,74
right,30,33,63
yeah,33,29,62
come,33,29,62
lets,40,17,57
think,31,25,56
thats,35,21,56
youre,10,41,51
way,32,19,51
see,20,31,51
really,27,24,51
please,33,16,49
look,23,25,48
good,17,25,42
ahead,41,1,42
want,24,17,41
sorry,15,23,38
yes,11,25,36
night,24,12,36
ive,15,20,35
wall,2,32,34
time,10,22,32
hes,14,16,30
home,10,19,29
theres,18,10,28
ill,8,20,28
god,22,6,28
day,17,11,28
little,14,13,27
cant,15,12,27
woman,20,6,26
away,18,8,26
give,12,13,25
cut,18,7,25
tell,12,12,24
id,4,20,24
two,13,10,23
thing,15,8,23
lost,16,7,23
find,13,10,23
stop,17,5,22
looking,18,4,22
help,15,7,22
hear,16,6,22
witch,19,2,21
whats,10,11,21
take,7,14,21
people,11,10,21
need,10,11,21
gonna,15,6,21
girl,7,14,21
didnt,14,7,21
boy,1,20,21
weve,15,5,20
captain,6,14,20
turn,16,3,19
shes,7,12,19
mean,7,12,19
heard,12,7,19
begins,18,1,19
years,3,15,18
wait,7,11,18
put,13,5,18
old,14,4,18
love,3,15,18
better,2,16,18
thank,6,11,17
stone,1,16,17
maybe,5,12,17
make,6,11,17
light,14,3,17
king,2,15,17
keep,12,5,17
happened,12,5,17
today,14,2,16
rock,13,3,16
guys,14,2,16
youll,1,14,15
thought,3,12,15
doing,7,8,15
sure,7,7,14
sounds,12,2,14
fine,6,8,14
head,8,5,13
found,10,3,13
exactly,8,5,13
done,5,8,13
close,7,6,13
best,2,11,13
believe,8,5,13
went,8,4,12
wanted,4,8,12
understand,5,7,12
three,10,2,12
south,10,2,12
place,7,5,12
long,9,3,12
happy,9,3,12
getting,9,3,12
coming,6,6,12
bring,1,11,12
baby,11,1,12
work,5,6,11
wasnt,7,4,11
sound,10,1,11
small,6,5,11
sister,1,10,11
ready,8,3,11
meet,3,8,11
left,4,7,11
leave,7,4,11
knew,8,3,11
face,9,2,11
wish,1,9,10
walking,8,2,10
walk,7,3,10
try,6,4,10
told,2,8,10
story,8,2,10
shooting,9,1,10
set,5,5,10
seriously,8,2,10
name,2,8,10
morning,9,1,10
life,3,7,10
hold,3,7,10
hands,7,3,10
hair,7,3,10
cross,2,8,10
crew,7,3,10
cause,9,1,10
youve,5,4,9
watch,4,5,9
trying,4,5,9
stay,6,3,9
saying,5,4,9
nice,3,6,9
near,7,2,9
middle,6,3,9
men,7,2,9
hours,7,2,9
hello,6,3,9
five,6,3,9
fallen,1,8,9
dead,4,5,9
days,6,3,9
check,8,1,9
big,4,5,9
young,2,6,8
useless,7,1,8
use,2,6,8
true,2,6,8
tomorrow,6,2,8
things,3,5,8
theyre,2,6,8
sleep,2,6,8
sky,2,6,8
side,4,4,8
seen,3,5,8
rest,5,3,8
pretty,7,1,8
possible,7,1,8
outside,7,1,8
looks,7,1,8
kind,2,6,8
hey,4,4,8
hell,6,2,8
guess,7,1,8
funny,3,5,8
forever,1,7,8
crossing,7,1,8
came,3,5,8
bit,5,3,8
anymore,5,3,8
actually,3,5,8
used,3,4,7
town,4,3,7
tired,6,1,7
soon,2,5,7
sleeping,5,2,7
sitting,6,1,7
sir,3,4,7
remember,5,2,7
quite,2,5,7
ones,4,3,7
mind,3,4,7
means,2,5,7
market,1,6,7
human,2,5,7
having,3,4,7
hand,4,3,7
gone,2,5,7
friend,1,6,7
far,4,3,7
eyes,3,4,7
doesnt,4,3,7
course,1,6,7
birthday,1,6,7
bag,5,2,7
alive,3,4,7
ago,2,5,7
wheres,5,1,6
wet,5,1,6
twigs,5,1,6
trust,2,4,6
touch,2,4,6
took,3,3,6
throw,3,3,6
swear,2,4,6
shut,3,3,6
rain,5,1,6
open,5,1,6
making,4,2,6
made,3,3,6
leaving,5,1,6
later,5,1,6
late,1,5,6
job,1,5,6
hundred,3,3,6
hope,5,1,6
hit,5,1,6
havent,4,2,6
front,2,4,6
four,2,4,6
feet,5,1,6
feel,5,1,6
end,4,2,6
die,5,1,6
deal,2,4,6
damn,4,2,6
crazy,5,1,6
chest,3,3,6
called,3,3,6
call,5,1,6
business,2,4,6
bath,1,5,6
whispered,3,2,5
water,4,1,5
warm,1,4,5
thinking,1,4,5
telling,3,2,5
talking,1,4,5
strange,3,2,5
sit,2,3,5
share,1,4,5
safe,1,4,5
run,3,2,5
relax,4,1,5
prepare,2,3,5
pain,4,1,5
matter,3,2,5
knows,4,1,5
kill,2,3,5
hurt,3,2,5
hot,2,3,5
horse,3,2,5
ground,4,1,5
field,2,3,5
feeling,2,3,5
fear,3,2,5
dark,4,1,5
couple,3,2,5
cold,4,1,5
blood,2,3,5
asked,2,3,5
wrong,1,3,4
writing,3,1,4
wont,1,3,4
whos,2,2,4
west,2,2,4
walls,2,2,4
using,2,2,4
taking,3,1,4
straight,2,2,4
store,3,1,4
stopped,3,1,4
start,2,2,4
standing,3,1,4
son,1,3,4
smell,1,3,4
shirt,3,1,4
seven,3,1,4
seeing,1,3,4
seconds,2,2,4
second,3,1,4
room,2,2,4
road,2,2,4
return,1,3,4
potatoes,3,1,4
piece,2,2,4
notice,2,2,4
nope,3,1,4
nine,1,3,4
nights,2,2,4
move,3,1,4
mouse,2,2,4
mans,3,1,4
lift,1,3,4
learned,3,1,4
learn,2,2,4
kiss,3,1,4
killed,1,3,4
isnt,2,2,4
hurry,1,3,4
high,3,1,4
heads,1,3,4
hate,2,2,4
hang,2,2,4
free,1,3,4
fool,2,2,4
final,1,3,4
felt,2,2,4
feels,2,2,4
fall,3,1,4
fact,2,2,4
eat,1,3,4
drop,2,2,4
drink,2,2,4
death,2,2,4
careful,1,3,4
care,3,1,4
break,2,2,4
arent,1,3,4
anyway,1,3,4
absolutely,2,2,4
wow,2,1,3
wouldnt,2,1,3
witches,2,1,3
wine,1,2,3
whisper,2,1,3
weird,1,2,3
watching,1,2,3
truth,1,2,3
tonight,2,1,3
times,2,1,3
till,1,2,3
thick,2,1,3
taken,1,2,3
suppose,1,2,3
stand,1,2,3
souvenir,2,1,3
show,2,1,3
shouldnt,2,1,3
short,2,1,3
scientist,1,2,3
save,2,1,3
remain,2,1,3
reason,1,2,3
ran,2,1,3
positive,2,1,3
poor,1,2,3
planning,1,2,3
plan,2,1,3
passed,1,2,3
part,1,2,3
opened,2,1,3
moment,2,1,3
losing,2,1,3
