word,The Blair Witch Project,Twitches Too,total
im,109,63,172
know,71,84,155
okay,77,72,149
dont,68,76,144
oh,41,93,134
like,66,33,99
right,30,63,93
go,45,47,92
yeah,33,56,89
going,71,15,86
back,59,21,80
think,31,44,75
thats,35,36,71
man,64,5,69
really,27,36,63
come,33,23,56
uh,6,49,55
look,23,31,54
youre,10,42,52
sorry,15,35,50
please,33,17,50
lets,40,9,49
way,32,15,47
hes,14,32,46
gonna,15,30,45
good,17,26,43
ahead,41,1,42
want,24,15,39
see,20,18,38
cant,15,22,37
help,15,21,36
yes,11,24,35
time,10,25,35
little,14,21,35
night,24,9,33
theres,18,14,32
stop,17,15,32
didnt,14,18,32
two,13,18,31
sure,7,24,31
wait,7,21,28
ive,15,13,28
away,18,10,28
whispering,1,25,26
wanna,16,10,26
tell,12,13,25
guys,14,11,25
give,12,13,25
light,14,10,24
ill,8,16,24
car,21,3,24
um,4,18,22
thing,15,7,22
doing,7,15,22
day,17,5,22
woman,20,1,21
shes,7,14,21
need,10,11,21
gotta,14,7,21
whats,10,10,20
weve,15,5,20
laughs,13,7,20
hear,16,4,20
find,13,7,20
thought,3,16,19
screaming,1,18,19
mean,7,12,19
lost,16,3,19
looking,18,1,19
laughing,13,6,19
home,10,9,19
hmm,1,18,19
hi,2,17,19
cut,18,1,19
wasnt,7,11,18
turn,16,2,18
hey,4,14,18
getting,9,9,18
darkness,7,11,18
take,7,10,17
put,13,4,17
make,6,11,17
kind,2,15,17
inside,15,2,17
happened,12,5,17
dad,2,15,17
actually,3,14,17
voice,14,2,16
today,14,2,16
old,14,2,16
mom,6,10,16
love,3,13,16
keep,12,4,16
thank,6,9,15
scared,13,2,15
morning,9,6,15
long,9,6,15
heard,12,3,15
found,10,5,15
believe,8,7,15
alive,3,12,15
wouldnt,2,12,14
stay,6,8,14
ready,8,6,14
place,7,7,14
people,11,3,14
part,1,13,14
leave,7,7,14
later,5,9,14
knew,8,6,14
isnt,2,12,14
fine,6,8,14
doesnt,4,10,14
cool,11,3,14
walking,8,5,13
trying,4,9,13
sounds,12,1,13
sound,10,3,13
sister,1,12,13
shot,12,1,13
lot,5,8,13
looks,7,6,13
house,10,3,13
happy,9,4,13
hands,7,6,13
work,5,7,12
wanted,4,8,12
three,10,2,12
pretty,7,5,12
late,1,11,12
head,8,4,12
girl,7,5,12
cause,9,3,12
bad,2,10,12
theyre,2,9,11
sun,1,10,11
story,8,3,11
safe,1,10,11
hair,7,4,11
gave,6,5,11
face,9,2,11
exactly,8,3,11
best,2,9,11
ah,5,6,11
years,3,7,10
understand,5,5,10
try,6,4,10
thanks,1,9,10
probably,2,8,10
left,4,6,10
huh,1,9,10
hello,6,4,10
door,1,9,10
dead,4,6,10
