word,The Craft,Beautiful Creatures,total
dont,63,88,151
know,57,87,144
im,56,74,130
oh,31,64,95
go,44,51,95
like,36,47,83
yeah,42,39,81
youre,31,48,79
thats,26,36,62
right,23,38,61
think,30,30,60
want,34,25,59
okay,21,38,59
come,30,26,56
see,17,37,54
good,23,31,54
sorry,25,25,50
really,26,21,47
look,27,20,47
cant,18,26,44
love,11,32,43
gonna,15,26,41
late,3,37,40
ill,16,23,39
whats,24,12,36
going,22,14,36
didnt,19,17,36
stop,23,12,35
hes,17,18,35
away,8,27,35
shes,20,14,34
god,20,13,33
mean,16,16,32
back,17,14,31
way,11,19,30
please,20,9,29
wait,16,12,28
need,14,13,27
make,10,17,27
people,8,18,26
tell,9,16,25
little,14,11,25
uh,1,23,24
mother,5,19,24
dark,1,23,24
power,12,11,23
feel,8,15,23
thing,7,15,22
theres,4,18,22
nancy,21,1,22
maybe,15,7,22
man,6,16,22
ive,5,17,22
take,9,12,21
theyre,11,9,20
hi,9,11,20
girl,6,14,20
yes,8,11,19
time,5,14,19
powers,10,9,19
hear,8,11,19
sure,7,11,18
mind,4,14,18
light,9,9,18
home,9,9,18
call,6,12,18
true,3,14,17
things,6,11,17
doing,8,9,17
believe,6,11,17
wont,1,15,16
school,4,12,16
night,3,13,16
matter,5,11,16
hey,1,15,16
help,5,11,16
boy,1,15,16
wrong,5,10,15
understand,8,7,15
read,5,10,15
lets,9,6,15
head,12,3,15
happened,7,8,15
doesnt,6,9,15
dad,6,9,15
thought,9,5,14
stay,6,8,14
spell,5,9,14
place,4,10,14
ooh,1,13,14
nice,9,5,14
life,6,8,14
honey,8,6,14
great,5,9,14
give,6,8,14
cause,5,9,14
better,6,8,14
woman,1,12,13
two,1,12,13
three,8,5,13
saying,8,5,13
real,5,8,13
listen,6,7,13
keep,5,8,13
house,3,10,13
witch,8,4,12
turn,2,10,12
thank,3,9,12
remember,3,9,12
pretty,5,7,12
nature,3,9,12
mom,4,8,12
made,5,7,12
killed,6,6,12
kill,6,6,12
happen,5,7,12
girls,9,3,12
fine,8,4,12
find,3,9,12
end,4,8,12
watch,6,5,11
told,5,6,11
run,4,7,11
put,6,5,11
looking,7,4,11
kind,2,9,11
id,2,9,11
hell,4,7,11
harm,10,1,11
getting,4,7,11
day,3,8,11
book,4,7,11
youve,1,9,10
world,1,9,10
trying,6,4,10
thanks,2,8,10
talking,7,3,10
talk,4,6,10
shut,5,5,10
plays,1,9,10
pay,7,3,10
old,2,8,10
new,3,7,10
mrs,1,9,10
loved,2,8,10
leave,5,5,10
hurt,2,8,10
hold,6,4,10
heart,3,7,10
eyes,4,6,10
coming,4,6,10
came,3,7,10
big,6,4,10
bad,6,4,10
youll,2,7,9
working,7,2,9
wanted,4,5,9
used,2,7,9
times,7,2,9
scared,4,5,9
mr,2,7,9
move,4,5,9
money,5,4,9
magic,8,1,9
long,1,8,9
inside,5,4,9
hello,4,5,9
hate,6,3,9
fire,4,5,9
feeling,2,7,9
door,1,8,9
ask,4,5,9
actually,4,5,9
weird,6,2,8
voice,1,7,8
try,4,4,8
sweet,2,6,8
powerful,2,6,8
perfect,4,4,8
pathetic,6,2,8
kids,1,7,8
isnt,2,6,8
hit,6,2,8
gone,3,5,8
friends,4,4,8
excuse,1,7,8
earth,6,2,8
dead,5,3,8
damn,1,7,8
care,1,7,8
car,3,5,8
body,3,5,8
beautiful,6,2,8
aint,2,6,8
wind,1,6,7
wasnt,1,6,7
turns,1,6,7
tonight,2,5,7
thinking,4,3,7
start,1,6,7
special,2,5,7
sit,4,3,7
room,3,4,7
ready,3,4,7
makes,4,3,7
live,1,6,7
lie,1,6,7
hang,3,4,7
gotta,5,2,7
forget,4,3,7
five,4,3,7
different,1,6,7
crazy,3,4,7
couldnt,2,5,7
control,1,6,7
comes,3,4,7
breathing,1,6,7
afraid,3,4,7
work,3,3,6
use,3,3,6
touch,5,1,6
today,3,3,6
stuff,4,2,6
sisters,4,2,6
show,3,3,6
second,5,1,6
pray,1,5,6
playing,1,5,6
ones,1,5,6
miss,1,5,6
loving,1,5,6
lot,2,4,6
jesus,3,3,6
hmm,1,5,6
heard,2,4,6
guess,3,3,6
found,2,4,6
father,2,4,6
died,1,5,6
devil,3,3,6
cool,1,5,6
close,3,3,6
bye,4,2,6
arent,4,2,6
anybody,1,5,6
air,5,1,6
wouldnt,1,4,5
worked,2,3,5
wish,1,4,5
weak,4,1,5
wanna,2,3,5
trust,2,3,5
tomorrow,2,3,5
stupid,1,4,5
strong,1,4,5
spells,3,2,5
south,3,2,5
sort,1,4,5
somebody,3,2,5
shall,2,3,5
seen,2,3,5
reason,3,2,5
play,2,3,5
party,2,3,5
part,1,4,5
outside,2,3,5
minute,2,3,5
looks,3,2,5
later,2,3,5
jerk,2,3,5
huh,2,3,5
hows,3,2,5
hard,2,3,5
guy,3,2,5
fault,1,4,5
far,2,3,5
exist,3,2,5
everybody,3,2,5
enter,4,1,5
drink,4,1,5
deal,2,3,5
darling,2,3,5
course,3,2,5
class,1,4,5
called,3,2,5
bring,1,4,5
board,4,1,5
bind,4,1,5
youd,2,2,4
wow,1,3,4
wonder,1,3,4
window,1,3,4
white,3,1,4
ways,2,2,4
throat,1,3,4
telling,1,3,4
teach,1,3,4
takes,2,2,4
surprised,3,1,4
straight,2,2,4
stiff,3,1,4
started,2,2,4
st,1,3,4
spirit,3,1,4
speak,1,3,4
soon,1,3,4
sleep,2,2,4
side,1,3,4
set,1,3,4
scary,2,2,4
satan,1,3,4
reading,1,3,4
reach,2,2,4
ray,3,1,4
ran,2,2,4
probably,1,3,4
natural,3,1,4
moon,1,3,4
mine,2,2,4
middle,2,2,4
jock,1,3,4
hiding,1,3,4
having,3,1,4
goes,2,2,4
gives,1,3,4
gave,3,1,4
fall,2,2,4
face,1,3,4
east,3,1,4
dream,2,2,4
dinner,2,2,4
days,2,2,4
child,1,3,4
bet,1,3,4
bed,2,2,4
balance,3,1,4
baby,2,2,4
apartment,3,1,4
writing,1,2,3
wondering,1,2,3
