word,The Craft,Bewitched,total
im,56,132,188
dont,63,80,143
know,57,65,122
oh,31,86,117
like,36,57,93
go,44,47,91
youre,31,54,85
thats,26,54,80
come,30,43,73
yeah,42,28,70
want,34,36,70
think,30,38,68
okay,21,47,68
right,23,43,66
gonna,15,48,63
look,27,33,60
good,23,34,57
cant,18,38,56
witch,8,47,55
great,5,45,50
going,22,28,50
really,26,23,49
love,11,36,47
yes,8,37,45
whats,24,19,43
back,17,24,41
please,20,20,40
lets,9,31,40
shes,20,19,39
mean,16,23,39
show,3,34,37
hes,17,20,37
thank,3,33,36
stop,23,13,36
sorry,25,11,36
ill,16,20,36
hey,1,35,36
god,20,15,35
make,10,23,33
little,14,18,32
see,17,14,31
need,14,17,31
guys,18,11,29
doing,8,21,29
thing,7,21,28
didnt,19,9,28
wanna,2,24,26
wait,16,10,26
real,5,21,26
maybe,15,10,25
tell,9,15,24
way,11,12,23
hi,9,12,21
take,9,11,20
put,6,14,20
time,5,14,19
man,6,13,19
theres,4,14,18
sure,7,11,18
isnt,2,16,18
home,9,9,18
feel,8,10,18
big,6,12,18
theyre,11,6,17
happened,7,10,17
fine,8,9,17
things,6,10,16
ive,5,11,16
house,3,13,16
boy,1,15,16
better,6,10,16
people,8,7,15
hello,4,11,15
doesnt,6,9,15
work,3,11,14
thought,9,5,14
life,6,8,14
help,5,9,14
head,12,2,14
believe,6,8,14
wont,1,12,13
two,1,12,13
three,8,5,13
thinking,4,9,13
power,12,1,13
listen,6,7,13
leave,5,8,13
idea,1,12,13
away,8,5,13
youll,2,10,12
whos,4,8,12
watch,6,6,12
understand,8,4,12
talk,4,8,12
remember,3,9,12
read,5,7,12
night,3,9,12
nice,9,3,12
id,2,10,12
give,6,6,12
fun,1,11,12
call,6,6,12
amazing,2,10,12
trying,6,5,11
saying,8,3,11
mother,5,6,11
magic,8,3,11
made,5,6,11
looking,7,4,11
keep,5,6,11
honey,8,3,11
hit,6,5,11
hear,8,3,11
hate,6,5,11
happy,1,10,11
girl,6,5,11
getting,4,7,11
funny,3,8,11
deal,2,9,11
bad,6,5,11
working,7,3,10
undo,2,8,10
talking,7,3,10
spell,5,5,10
new,3,7,10
money,5,5,10
light,9,1,10
jerk,2,8,10
happening,3,7,10
crazy,3,7,10
course,3,7,10
completely,3,7,10
arent,4,6,10
weird,6,3,9
tv,3,6,9
told,5,4,9
second,5,4,9
pretty,5,4,9
play,2,7,9
