word,The Craft,Blair Witch Project,total
im,56,109,165
dont,63,68,131
know,57,71,128
like,36,66,102
okay,21,77,98
going,22,71,93
go,44,45,89
back,17,59,76
yeah,42,33,75
oh,31,41,72
man,6,64,70
shit,13,52,65
come,30,33,63
think,30,31,61
thats,26,35,61
want,34,24,58
right,23,30,53
really,26,27,53
please,20,33,53
look,27,23,50
lets,9,40,49
way,11,32,43
god,20,22,42
ahead,1,41,42
youre,31,10,41
stop,23,17,40
sorry,25,15,40
good,23,17,40
fuck,1,39,40
see,17,20,37
whats,24,10,34
didnt,19,14,33
cant,18,15,33
guys,18,14,32
hes,17,14,31
gonna,15,15,30
little,14,14,28
witch,8,19,27
shes,20,7,27
night,3,24,27
away,8,18,26
looking,7,18,25
need,14,10,24
ill,16,8,24
hear,8,16,24
car,3,21,24
wait,16,7,23
mean,16,7,23
light,9,14,23
thing,7,15,22
theres,4,18,22
woman,1,20,21
tell,9,12,21
maybe,15,5,20
ive,5,15,20
inside,5,15,20
help,5,15,20
head,12,8,20
day,3,17,20
yes,8,11,19
put,6,13,19
people,8,11,19
home,9,10,19
happened,7,12,19
gotta,5,14,19
wanna,2,16,18
turn,2,16,18
three,8,10,18
give,6,12,18
weve,2,15,17
today,3,14,17
scared,4,13,17
keep,5,12,17
take,9,7,16
old,2,14,16
make,10,6,16
find,3,13,16
ass,4,12,16
voice,1,14,15
time,5,10,15
doing,8,7,15
two,1,13,14
sure,7,7,14
rock,1,13,14
love,11,3,14
jesus,3,11,14
heard,2,12,14
fine,8,6,14
cause,5,9,14
believe,6,8,14
understand,8,5,13
theyre,11,2,13
south,3,10,13
saying,8,5,13
house,3,10,13
girl,6,7,13
getting,4,9,13
feel,8,5,13
baby,2,11,13
thought,9,3,12
stay,6,6,12
rocks,1,11,12
pretty,5,7,12
nice,9,3,12
leave,5,7,12
hair,5,7,12
found,2,10,12
cool,1,11,12
stuff,4,7,11
ready,3,8,11
place,4,7,11
hit,6,5,11
hi,9,2,11
finger,5,6,11
call,6,5,11
watch,6,4,10
trying,6,4,10
try,4,6,10
thee,9,1,10
morning,1,9,10
mom,4,6,10
looks,3,7,10
long,1,9,10
hello,4,6,10
hell,4,6,10
happy,1,9,10
guess,3,7,10
five,4,6,10
fire,4,6,10
face,1,9,10
doesnt,6,4,10
coming,4,6,10
close,3,7,10
big,6,4,10
walk,2,7,9
times,7,2,9
things,6,3,9
thank,3,6,9
supposed,4,5,9
story,1,8,9
seriously,1,8,9
outside,2,7,9
life,6,3,9
hold,6,3,9
gave,3,6,9
exactly,1,8,9
dead,5,4,9
check,1,8,9
working,7,1,8
work,3,5,8
water,4,4,8
wasnt,1,7,8
wanted,4,4,8
trail,1,7,8
tomorrow,2,6,8
talking,7,1,8
stairs,1,7,8
shut,5,3,8
second,5,3,8
remember,3,5,8
possible,1,7,8
middle,2,6,8
matter,5,3,8
made,5,3,8
listen,6,2,8
lights,4,4,8
kill,6,2,8
kids,1,7,8
hate,6,2,8
end,4,4,8
east,3,5,8
days,2,6,8
dad,6,2,8
crazy,3,5,8
christ,1,7,8
brown,1,7,8
book,4,4,8
bitch,5,3,8
better,6,2,8
bad,6,2,8
weird,6,1,7
uh,1,6,7
touch,5,2,7
told,5,2,7
run,4,3,7
relax,3,4,7
real,5,2,7
open,2,5,7
move,4,3,7
mind,4,3,7
makes,4,3,7
lot,2,5,7
later,2,5,7
killed,6,1,7
hard,2,5,7
eyes,4,3,7
earth,6,1,7
cry,3,4,7
actually,4,3,7
youve,1,5,6
wrong,5,1,6
whos,4,2,6
view,1,5,6
turns,1,5,6
trees,1,5,6
somebody,3,3,6
sleeping,1,5,6
sit,4,2,6
set,1,5,6
rest,1,5,6
rain,1,5,6
playing,1,5,6
leaving,1,5,6
id,2,4,6
having,3,3,6
havent,2,4,6
