word,The Craft,Book of Shadows Blair Witch Project 2,total
dont,63,50,113
know,57,51,108
im,56,49,105
yeah,42,59,101
like,36,39,75
youre,31,31,62
want,34,26,60
go,44,15,59
think,30,26,56
come,30,26,56
witch,8,45,53
thats,26,26,52
oh,31,18,49
see,17,30,47
look,27,20,47
right,23,21,44
back,17,26,43
really,26,16,42
little,14,28,42
going,22,19,41
shes,20,19,39
gonna,15,22,37
whats,24,10,34
stop,23,11,34
guys,18,15,33
didnt,19,14,33
sorry,25,7,32
shit,13,19,32
good,23,9,32
need,14,16,30
god,20,10,30
please,20,8,28
take,9,18,27
wait,16,10,26
theyre,11,15,26
ill,16,10,26
cant,18,6,24
mean,16,5,21
hes,17,4,21
hell,4,17,21
way,11,9,20
maybe,15,5,20
make,10,10,20
tell,9,10,19
people,8,11,19
lets,9,10,19
invoke,10,9,19
happened,7,12,19
found,2,17,19
understand,8,10,18
doing,8,10,18
thought,9,8,17
theres,4,13,17
sure,7,10,17
home,9,8,17
time,5,11,16
thing,7,9,16
man,6,10,16
earth,6,10,16
big,6,10,16
baby,2,14,16
weve,2,13,15
water,4,11,15
put,6,9,15
head,12,3,15
fuck,1,14,15
feel,8,7,15
believe,6,9,15
talking,7,7,14
rock,1,13,14
real,5,8,13
power,12,1,13
night,3,10,13
girl,6,7,13
fire,4,9,13
black,3,10,13
wrong,5,7,12
two,1,11,12
trying,6,6,12
three,8,4,12
saying,8,4,12
kill,6,6,12
keep,5,7,12
ive,5,7,12
hear,8,4,12
doesnt,6,6,12
talk,4,7,11
stuff,4,7,11
scared,4,7,11
place,4,7,11
nice,9,2,11
magic,8,3,11
looking,7,4,11
jesus,3,8,11
harm,10,1,11
great,5,6,11
goddamn,2,9,11
give,6,5,11
girls,9,2,11
call,6,5,11
bitch,5,6,11
away,8,3,11
youve,1,9,10
yes,8,2,10
watch,6,4,10
times,7,3,10
things,6,4,10
light,9,1,10
life,6,4,10
killed,6,4,10
hurt,2,8,10
help,5,5,10
crazy,3,7,10
arent,4,6,10
weird,6,3,9
wanted,4,5,9
try,4,5,9
stay,6,3,9
somebody,3,6,9
second,5,4,9
open,2,7,9
made,5,4,9
listen,6,3,9
leave,5,4,9
inside,5,4,9
house,3,6,9
honey,8,1,9
heard,2,7,9
happen,5,4,9
friends,4,5,9
bad,6,3,9
wanna,2,6,8
touch,5,3,8
told,5,3,8
thank,3,5,8
supposed,4,4,8
sleep,2,6,8
pretty,5,3,8
pay,7,1,8
pathetic,6,2,8
hold,6,2,8
hit,6,2,8
hey,1,7,8
gone,3,5,8
find,3,5,8
coming,4,4,8
came,3,5,8
better,6,2,8
bed,2,6,8
turn,2,5,7
shut,5,2,7
paranoid,5,2,7
nature,3,4,7
mind,4,3,7
makes,4,3,7
looks,3,4,7
having,3,4,7
hate,6,1,7
funny,3,4,7
five,4,3,7
everybody,3,4,7
end,4,3,7
days,2,5,7
dad,6,1,7
book,4,3,7
ass,4,3,7
work,3,3,6
woman,1,5,6
walk,2,4,6
truth,2,4,6
today,3,3,6
spell,5,1,6
run,4,2,6
remember,3,3,6
outside,2,4,6
money,5,1,6
lot,2,4,6
hand,2,4,6
fear,2,4,6
fall,2,4,6
face,1,5,6
eyes,4,2,6
door,1,5,6
dead,5,1,6
cool,1,5,6
comes,3,3,6
christ,1,5,6
cause,5,1,6
car,3,3,6
air,5,1,6
afraid,3,3,6
actually,4,2,6
accident,2,4,6
youll,2,3,5
world,1,4,5
whos,4,1,5
weak,4,1,5
watching,1,4,5
used,2,3,5
tv,3,2,5
true,3,2,5
started,2,3,5
soon,1,4,5
sit,4,1,5
shape,1,4,5
seen,2,3,5
saw,2,3,5
room,3,2,5
rest,1,4,5
ready,3,2,5
police,1,4,5
phone,2,3,5
perfect,4,1,5
peace,2,3,5
mom,4,1,5
kind,2,3,5
isnt,2,3,5
havent,2,3,5
happening,3,2,5
group,1,4,5
drink,4,1,5
dreams,2,3,5
devil,3,2,5
course,3,2,5
coffee,1,4,5
care,1,4,5
boy,1,4,5
body,3,2,5
wouldnt,1,3,4
witches,2,2,4
whoa,1,3,4
white,3,1,4
thanks,2,2,4
sweet,2,2,4
surprise,2,2,4
story,1,3,4
spells,3,1,4
show,3,1,4
set,1,3,4
sell,1,3,4
rocks,1,3,4
reason,3,1,4
new,3,1,4
middle,2,2,4
loved,2,2,4
later,2,2,4
kids,1,3,4
joke,2,2,4
hot,2,2,4
heavy,3,1,4
heads,3,1,4
hang,3,1,4
guy,3,1,4
guess,3,1,4
ground,1,3,4
girlfriend,1,3,4
gave,3,1,4
full,1,3,4
feeling,2,2,4
exist,3,1,4
dream,2,2,4
deep,3,1,4
day,3,1,4
daughter,1,3,4
damn,1,3,4
cry,3,1,4
control,1,3,4
check,1,3,4
calm,2,2,4
called,3,1,4
butt,3,1,4
bigger,3,1,4
anyway,2,2,4
aint,2,2,4
wasnt,1,2,3
warm,2,1,3
voice,1,2,3
undo,2,1,3
underneath,2,1,3
trust,2,1,3
threefold,1,2,3
theyd,1,2,3
telling,1,2,3
straight,2,1,3
steal,2,1,3
special,2,1,3
seeing,1,2,3
scary,2,1,3
reach,2,1,3
punk,1,2,3
powerful,2,1,3
play,2,1,3
plane,2,1,3
old,2,1,3
news,1,2,3
morning,1,2,3
minute,2,1,3
mine,2,1,3
leaving,1,2,3
learn,2,1,3
laid,2,1,3
idea,1,2,3
id,2,1,3
huh,2,1,3
howd,2,1,3
hole,1,2,3
hard,2,1,3
half,1,2,3
goes,2,1,3
form,2,1,3
father,2,1,3
far,2,1,3
excuse,1,2,3
eat,1,2,3
definitely,2,1,3
buy,1,2,3
built,1,2,3
box,2,1,3
blessed,2,1,3
bet,1,2,3
bedroom,1,2,3
asshole,1,2,3
anybody,1,2,3
ancient,1,2,3
ago,1,2,3
worship,1,1,2
wont,1,1,2
women,1,1,2
wish,1,1,2
wise,1,1,2
window,1,1,2
wind,1,1,2
whered,1,1,2
turned,1,1,2
trees,1,1,2
totally,1,1,2
tiny,1,1,2
throat,1,1,2
tells,1,1,2
teach,1,1,2
summon,1,1,2
stupid,1,1,2
strange,1,1,2
stairs,1,1,2
speak,1,1,2
sleeping,1,1,2
shell,1,1,2
send,1,1,2
safe,1,1,2
running,1,1,2
risk,1,1,2
ring,1,1,2
records,1,1,2
pray,1,1,2
personally,1,1,2
pension,1,1,2
pass,1,1,2
palms,1,1,2
ones,1,1,2
officials,1,1,2
nobodys,1,1,2
nightmare,1,1,2
needs,1,1,2
mrs,1,1,2
mood,1,1,2
missing,1,1,2
message,1,1,2
meeting,1,1,2
major,1,1,2
mad,1,1,2
long,1,1,2
live,1,1,2
listening,1,1,2
letting,1,1,2
leaves,1,1,2
lady,1,1,2
known,1,1,2
kitchen,1,1,2
itll,1,1,2
higher,1,1,2
happy,1,1,2
gross,1,1,2
gene,1,1,2
four,1,1,2
exactly,1,1,2
dick,1,1,2
dark,1,1,2
cute,1,1,2
clear,1,1,2
child,1,1,2
cast,1,1,2
candles,1,1,2
brush,1,1,2
bitches,1,1,2
belong,1,1,2
begging,1,1,2
assholes,1,1,2
arm,1,1,2
answer,1,1,2
ahead,1,1,2
sarah,29,0,29
okay,21,0,21
nancy,21,0,21
chris,17,0,17
love,11,0,11
powers,10,0,10
manon,10,0,10
thee,9,0,9
hi,9,0,9
watchtowers,8,0,8
laura,8,0,8
hail,8,0,8
guardians,8,0,8
fine,8,0,8
working,7,0,7
bonnie,7,0,7
north,6,0,6
fourth,6,0,6
circle,6,0,6
beautiful,6,0,6
rochelle,5,0,5
read,5,0,5
mother,5,0,5
matter,5,0,5
hair,5,0,5
gotta,5,0,5
francis,5,0,5
finger,5,0,5
connie,5,0,5
tricky,4,0,4
thinking,4,0,4
sisters,4,0,4
school,4,0,4
