word,The Craft,Dark Shadows,total
im,56,37,93
know,57,27,84
dont,63,19,82
like,36,28,64
go,44,16,60
yeah,42,13,55
youre,31,23,54
think,30,18,48
want,34,10,44
come,30,12,42
oh,31,8,39
love,11,28,39
please,20,18,38
good,23,15,38
look,27,9,36
going,22,14,36
really,26,9,35
thats,26,8,34
hes,17,16,33
yes,8,24,32
sorry,25,7,32
mean,16,13,29
see,17,11,28
right,23,5,28
god,20,8,28
didnt,19,8,27
back,17,10,27
shes,20,6,26
stop,23,1,24
okay,21,3,24
ill,16,8,24
people,8,15,23
make,10,13,23
little,14,9,23
need,14,8,22
cant,18,4,22
man,6,15,21
tell,9,11,20
take,9,11,20
time,5,14,19
feel,8,11,19
thing,7,11,18
way,11,6,17
wait,16,1,17
maybe,15,2,17
keep,5,11,16
gonna,15,1,16
nice,9,6,15
home,9,6,15
away,8,7,15
things,6,8,14
shit,13,1,14
power,12,2,14
place,4,10,14
life,6,8,14
kill,6,8,14
call,6,8,14
believe,6,8,14
witch,8,5,13
theyre,11,2,13
sure,7,6,13
shall,2,11,13
new,3,10,13
miss,1,12,13
help,5,8,13
harm,10,3,13
give,6,7,13
thought,9,3,12
put,6,6,12
mother,5,7,12
looking,7,5,12
killed,6,6,12
hi,9,3,12
hell,4,8,12
hear,8,4,12
woman,1,10,11
understand,8,3,11
told,5,6,11
money,5,6,11
magic,8,3,11
lets,9,2,11
earth,6,5,11
doesnt,6,5,11
better,6,5,11
beautiful,6,5,11
weird,6,4,10
true,3,7,10
saying,8,2,10
light,9,1,10
house,3,7,10
hello,4,6,10
fine,8,2,10
doing,8,2,10
day,3,7,10
work,3,6,9
watch,6,3,9
try,4,5,9
times,7,2,9
theres,4,5,9
talking,7,2,9
stay,6,3,9
show,3,6,9
real,5,4,9
mind,4,5,9
long,1,8,9
laura,8,1,9
hold,6,3,9
having,3,6,9
hate,6,3,9
found,2,7,9
father,2,7,9
big,6,3,9
working,7,1,8
wanted,4,4,8
talk,4,4,8
run,4,4,8
old,2,6,8
leave,5,3,8
kind,2,6,8
heart,3,5,8
happened,7,1,8
hair,5,3,8
great,5,3,8
fear,2,6,8
eyes,4,4,8
afraid,3,5,8
water,4,3,7
use,3,4,7
sweet,2,5,7
satan,1,6,7
room,3,4,7
remember,3,4,7
pretty,5,2,7
matter,5,2,7
made,5,2,7
loved,2,5,7
live,1,6,7
listen,6,1,7
ive,5,2,7
