word,The Craft,Death Becomes Her,total
im,56,58,114
oh,31,82,113
dont,63,48,111
know,57,47,104
youre,31,43,74
think,30,37,67
go,44,17,61
yeah,42,16,58
look,27,29,56
like,36,20,56
shes,20,31,51
come,30,19,49
thats,26,22,48
right,23,25,48
see,17,29,46
want,34,9,43
really,26,12,38
good,23,13,36
god,20,16,36
please,20,15,35
okay,21,14,35
going,22,13,35
sorry,25,9,34
gonna,15,18,33
cant,18,15,33
didnt,19,13,32
whats,24,7,31
stop,23,7,30
yes,8,21,29
need,14,14,28
little,14,14,28
ill,16,12,28
drink,4,22,26
hes,17,8,25
back,17,7,24
wait,16,7,23
take,9,14,23
dead,5,18,23
mean,16,5,21
tell,9,11,20
way,11,8,19
make,10,9,19
thought,9,9,18
thing,7,11,18
thank,3,15,18
life,6,12,18
help,5,13,18
uh,1,16,17
time,5,12,17
shit,13,4,17
maybe,15,2,17
ive,5,12,17
call,6,11,17
believe,6,10,16
away,8,8,16
understand,8,7,15
put,6,9,15
people,8,7,15
man,6,9,15
lets,9,6,15
doing,8,7,15
three,8,6,14
talking,7,7,14
talk,4,10,14
love,11,3,14
listen,6,8,14
long,1,12,13
head,12,1,13
gotta,5,8,13
give,6,7,13
theyre,11,1,12
sure,7,5,12
girls,9,3,12
fine,8,4,12
feel,8,4,12
work,3,8,11
watch,6,5,11
trying,6,5,11
told,5,6,11
saying,8,3,11
miss,1,10,11
made,5,6,11
hurt,2,9,11
hi,9,2,11
hell,4,7,11
hear,8,3,11
happened,7,4,11
completely,3,8,11
better,6,5,11
times,7,3,10
old,2,8,10
nice,9,1,10
matter,5,5,10
honey,8,2,10
home,9,1,10
happen,5,5,10
doesnt,6,4,10
day,3,7,10
ask,4,6,10
youve,1,8,9
youll,2,7,9
wrong,5,4,9
woman,1,8,9
witch,8,1,9
wanted,4,5,9
stay,6,3,9
sit,4,5,9
police,1,8,9
pay,7,2,9
mind,4,5,9
magic,8,1,9
leave,5,4,9
heard,2,7,9
darling,2,7,9
course,3,6,9
came,3,6,9
boy,1,8,9
body,3,6,9
big,6,3,9
bad,6,3,9
ago,1,8,9
working,7,1,8
touch,5,3,8
things,6,2,8
sweet,2,6,8
second,5,3,8
party,2,6,8
money,5,3,8
id,2,6,8
hold,6,2,8
hey,1,7,8
girl,6,2,8
gave,3,5,8
find,3,5,8
called,3,5,8
bitch,5,3,8
ass,4,4,8
youd,2,5,7
wont,1,6,7
wasnt,1,6,7
two,1,6,7
theres,4,3,7
stairs,1,6,7
seen,2,5,7
real,5,2,7
pretty,5,2,7
natural,3,4,7
leaving,1,6,7
keep,5,2,7
huh,2,5,7
hate,6,1,7
exactly,1,6,7
dinner,2,5,7
coming,4,3,7
car,3,4,7
calm,2,5,7
book,4,3,7
beautiful,6,1,7
use,3,3,6
true,3,3,6
thinking,4,2,6
stuff,4,2,6
speak,1,5,6
scared,4,2,6
room,3,3,6
read,5,1,6
phone,2,4,6
perfect,4,2,6
night,3,3,6
mother,5,1,6
minute,2,4,6
makes,4,2,6
looks,3,3,6
live,1,5,6
kind,2,4,6
inside,5,1,6
hows,3,3,6
house,3,3,6
havent,2,4,6
happy,1,5,6
hair,5,1,6
gone,3,3,6
friends,4,2,6
finger,5,1,6
fall,2,4,6
excuse,1,5,6
end,4,2,6
door,1,5,6
couldnt,2,4,6
check,1,5,6
cause,5,1,6
arent,4,2,6
afraid,3,3,6
actually,4,2,6
world,1,4,5
whos,4,1,5
weve,2,3,5
weak,4,1,5
water,4,1,5
wanna,2,3,5
try,4,1,5
tonight,2,3,5
today,3,2,5
supposed,4,1,5
somebody,3,2,5
scars,4,1,5
saw,2,3,5
run,4,1,5
remember,3,2,5
place,4,1,5
open,2,3,5
mr,2,3,5
move,4,1,5
mad,1,4,5
loved,2,3,5
joke,2,3,5
jesus,3,2,5
important,1,4,5
hard,2,3,5
hang,3,2,5
guy,3,2,5
guess,3,2,5
getting,4,1,5
funny,3,2,5
forget,4,1,5
five,4,1,5
eyes,4,1,5
everybody,3,2,5
dream,2,3,5
close,3,2,5
care,1,4,5
bye,4,1,5
brilliant,1,4,5
anymore,1,4,5
accident,2,3,5
wouldnt,1,3,4
worked,2,2,4
walk,2,2,4
upstairs,1,3,4
twenty,2,2,4
turned,1,3,4
tomorrow,2,2,4
stiff,3,1,4
start,1,3,4
sort,1,3,4
soon,1,3,4
show,3,1,4
shell,1,3,4
relax,3,1,4
ready,3,1,4
ray,3,1,4
powerful,2,2,4
policy,2,2,4
part,1,3,4
new,3,1,4
nature,3,1,4
morning,1,3,4
mine,2,2,4
lie,1,3,4
late,3,1,4
itll,1,3,4
isnt,2,2,4
heart,3,1,4
hand,2,2,4
group,1,3,4
glad,1,3,4
follow,1,3,4
far,2,2,4
devil,3,1,4
deal,2,2,4
damn,1,3,4
comes,3,1,4
carry,1,3,4
butt,3,1,4
bed,2,2,4
balance,3,1,4
baby,2,2,4
apologize,2,2,4
wow,1,2,3
wonderful,1,2,3
wonder,1,2,3
win,2,1,3
whatd,1,2,3
warm,2,1,3
waiting,2,1,3
used,2,1,3
turn,2,1,3
trust,2,1,3
throwing,2,1,3
straight,2,1,3
steal,2,1,3
started,2,1,3
special,2,1,3
sleep,2,1,3
sharp,1,2,3
shall,2,1,3
rush,2,1,3
records,1,2,3
played,1,2,3
play,2,1,3
personal,1,2,3
outside,2,1,3
neighbors,1,2,3
needle,2,1,3
mrs,1,2,3
lot,2,1,3
learn,2,1,3
lady,1,2,3
keeps,2,1,3
hot,2,1,3
hole,1,2,3
hmm,1,2,3
goes,2,1,3
genius,1,2,3
fun,1,2,3
four,1,2,3
found,2,1,3
feeling,2,1,3
fat,1,2,3
difficult,1,2,3
dick,1,2,3
days,2,1,3
cruel,1,2,3
chance,1,2,3
bleeding,2,1,3
beauty,1,2,3
bag,1,2,3
amazing,2,1,3
aint,2,1,3
writing,1,1,2
wondering,1,1,2
women,1,1,2
whoa,1,1,2
view,1,1,2
turns,1,1,2
trash,1,1,2
totally,1,1,2
tits,1,1,2
therapy,1,1,2
telling,1,1,2
suffering,1,1,2
stupid,1,1,2
strong,1,1,2
story,1,1,2
stare,1,1,2
sister,1,1,2
side,1,1,2
shouldve,1,1,2
shitty,1,1,2
seventy,1,1,2
set,1,1,2
send,1,1,2
sell,1,1,2
seeing,1,1,2
seat,1,1,2
rocks,1,1,2
rock,1,1,2
respect,1,1,2
probably,1,1,2
poor,1,1,2
plan,1,1,2
person,1,1,2
pass,1,1,2
paid,1,1,2
ooh,1,1,2
older,1,1,2
nightmare,1,1,2
needs,1,1,2
mood,1,1,2
message,1,1,2
meeting,1,1,2
loving,1,1,2
los,1,1,2
listening,1,1,2
leaves,1,1,2
lab,1,1,2
knows,1,1,2
judge,1,1,2
interesting,1,1,2
index,1,1,2
honestly,1,1,2
higher,1,1,2
grace,1,1,2
gotcha,1,1,2
gift,1,1,2
full,1,1,2
flight,1,1,2
fixed,1,1,2
felt,1,1,2
face,1,1,2
expect,1,1,2
doin,1,1,2
different,1,1,2
deserved,1,1,2
deserve,1,1,2
deaf,1,1,2
date,1,1,2
dark,1,1,2
cute,1,1,2
color,1,1,2
clear,1,1,2
careful,1,1,2
burn,1,1,2
breathing,1,1,2
blind,1,1,2
bet,1,1,2
belong,1,1,2
angeles,1,1,2
sarah,29,0,29
nancy,21,0,21
guys,18,0,18
chris,17,0,17
power,12,0,12
powers,10,0,10
manon,10,0,10
invoke,10,0,10
harm,10,0,10
thee,9,0,9
light,9,0,9
watchtowers,8,0,8
laura,8,0,8
hail,8,0,8
guardians,8,0,8
looking,7,0,7
bonnie,7,0,7
weird,6,0,6
pathetic,6,0,6
north,6,0,6
killed,6,0,6
