word,The Craft,Eve s Bayou,total
dont,63,53,116
know,57,44,101
im,56,36,92
go,44,35,79
like,36,27,63
youre,31,28,59
want,34,25,59
come,30,25,55
good,23,29,52
think,30,20,50
oh,31,19,50
yeah,42,4,46
thats,26,19,45
look,27,15,42
right,23,18,41
ill,16,24,40
night,3,35,38
whats,24,12,36
going,22,14,36
god,20,16,36
see,17,17,34
cant,18,16,34
tell,9,24,33
sorry,25,6,31
shes,20,11,31
really,26,5,31
eve,1,30,31
back,17,14,31
stop,23,7,30
didnt,19,11,30
love,11,18,29
hes,17,12,29
please,20,8,28
okay,21,6,27
home,9,17,26
wait,16,9,25
need,14,9,23
yes,8,14,22
dead,5,16,21
baby,2,19,21
time,5,15,20
mean,16,4,20
maybe,15,5,20
woman,1,18,19
take,9,10,19
man,6,13,19
little,14,5,19
kill,6,13,19
away,8,11,19
make,10,8,18
house,3,15,18
hey,1,17,18
gonna,15,3,18
way,11,6,17
lets,9,8,17
give,6,11,17
wrong,5,11,16
theyre,11,5,16
head,12,4,16
happened,7,9,16
fine,8,8,16
understand,8,7,15
thought,9,6,15
shit,13,2,15
put,6,9,15
looking,7,8,15
hit,6,9,15
hi,9,6,15
feel,8,7,15
youll,2,12,14
three,8,6,14
people,8,6,14
ive,5,9,14
hear,8,6,14
better,6,8,14
things,6,7,13
thing,7,6,13
red,4,9,13
power,12,1,13
help,5,8,13
hell,4,9,13
wanted,4,8,12
told,5,7,12
life,6,6,12
leave,5,7,12
harm,10,2,12
doing,8,4,12
damn,1,11,12
cause,5,7,12
thee,9,2,11
thank,3,8,11
sure,7,4,11
keep,5,6,11
day,3,8,11
bye,4,7,11
beautiful,6,5,11
bad,6,5,11
trying,6,4,10
talk,4,6,10
saying,8,2,10
saw,2,8,10
outside,2,8,10
old,2,8,10
nice,9,1,10
made,5,5,10
listen,6,4,10
hold,6,4,10
hair,5,5,10
girls,9,1,10
find,3,7,10
witch,8,1,9
true,3,6,9
theres,4,5,9
stay,6,3,9
scared,4,5,9
mrs,1,8,9
mother,5,4,9
money,5,4,9
late,3,6,9
kind,2,7,9
honey,8,1,9
girl,6,3,9
gave,3,6,9
finger,5,4,9
father,2,7,9
believe,6,3,9
bed,2,7,9
working,7,1,8
wont,1,7,8
two,1,7,8
talking,7,1,8
real,5,3,8
read,5,3,8
mind,4,4,8
loved,2,6,8
inside,5,3,8
id,2,6,8
hurt,2,6,8
five,4,4,8
earth,6,2,8
daughter,1,7,8
coming,4,4,8
work,3,4,7
watch,6,1,7
waiting,2,5,7
supposed,4,3,7
shut,5,2,7
second,5,2,7
run,4,3,7
mom,4,3,7
kissing,1,6,7
killed,6,1,7
kids,1,6,7
heart,3,4,7
heard,2,5,7
hate,6,1,7
guess,3,4,7
great,5,2,7
gone,3,4,7
eyes,4,3,7
doesnt,6,1,7
crazy,3,4,7
course,3,4,7
came,3,4,7
big,6,1,7
ask,4,3,7
afraid,3,4,7
whos,4,2,6
try,4,2,6
touch,5,1,6
tonight,2,4,6
thinking,4,2,6
stuff,4,2,6
remember,3,3,6
pretty,5,1,6
practice,4,2,6
place,4,2,6
party,2,4,6
mr,2,4,6
minute,2,4,6
matter,5,1,6
having,3,3,6
hard,2,4,6
happy,1,5,6
happen,5,1,6
goddamn,2,4,6
getting,4,2,6
feather,4,2,6
end,4,2,6
eat,1,5,6
drink,4,2,6
door,1,5,6
deep,3,3,6
darling,2,4,6
child,1,5,6
ass,4,2,6
anyway,2,4,6
air,5,1,6
aint,2,4,6
weak,4,1,5
water,4,1,5
use,3,2,5
thy,1,4,5
speak,1,4,5
sleep,2,3,5
sit,4,1,5
show,3,2,5
reason,3,2,5
ran,2,3,5
play,2,3,5
perfect,4,1,5
new,3,2,5
move,4,1,5
makes,4,1,5
mad,1,4,5
looked,1,4,5
long,1,4,5
lady,1,4,5
knows,1,4,5
hows,3,2,5
heavy,3,2,5
hand,2,3,5
friends,4,1,5
forget,4,1,5
flying,3,2,5
fire,4,1,5
feeling,2,3,5
everybody,3,2,5
comes,3,2,5
car,3,2,5
called,3,2,5
board,4,1,5
anymore,1,4,5
youve,1,3,4
world,1,3,4
weve,2,2,4
voice,1,3,4
used,2,2,4
upstairs,1,3,4
turn,2,2,4
today,3,1,4
thanks,2,2,4
taking,1,3,4
sweet,2,2,4
surprised,3,1,4
straight,2,2,4
storm,2,2,4
sister,1,3,4
shell,1,3,4
room,3,1,4
person,1,3,4
open,2,2,4
lying,1,3,4
live,1,3,4
later,2,2,4
hour,2,2,4
found,2,2,4
fault,1,3,4
excuse,1,3,4
devil,3,1,4
close,3,1,4
calm,2,2,4
butt,3,1,4
boy,1,3,4
body,3,1,4
black,3,1,4
youd,2,1,3
wouldnt,1,2,3
women,1,2,3
wish,1,2,3
week,1,2,3
wasnt,1,2,3
usually,2,1,3
turned,1,2,3
trust,2,1,3
tomorrow,2,1,3
telling,1,2,3
stupid,1,2,3
story,1,2,3
started,2,1,3
special,2,1,3
seen,2,1,3
rub,2,1,3
quiet,1,2,3
pray,1,2,3
phone,2,1,3
paid,1,2,3
miss,1,2,3
middle,2,1,3
lot,2,1,3
leaves,1,2,3
kitchen,1,2,3
keeps,2,1,3
joke,2,1,3
isnt,2,1,3
huh,2,1,3
holy,2,1,3
hanging,2,1,3
goes,2,1,3
glory,2,1,3
fuck,1,2,3
fall,2,1,3
dream,2,1,3
dinner,2,1,3
de,1,2,3
days,2,1,3
couldnt,2,1,3
conversation,1,2,3
clear,1,2,3
check,1,2,3
care,1,2,3
blind,1,2,3
bag,1,2,3
apologize,2,1,3
anderson,1,2,3
amazing,2,1,3
write,1,1,2
worst,1,1,2
wondering,1,1,2
window,1,1,2
uh,1,1,2
theyd,1,1,2
tells,1,1,2
starts,1,1,2
start,1,1,2
st,1,1,2
spent,1,1,2
soon,1,1,2
snake,1,1,2
set,1,1,2
send,1,1,2
seeing,1,1,2
saved,1,1,2
save,1,1,2
safe,1,1,2
sad,1,1,2
price,1,1,2
prayers,1,1,2
