word,The Craft,Evil Dead,total
know,57,19,76
door,1,69,70
back,17,53,70
like,36,27,63
im,56,1,57
yeah,42,11,53
go,44,8,52
right,23,22,45
want,34,7,41
come,30,10,40
turns,1,38,39
see,17,22,39
gonna,15,24,39
oh,31,7,38
room,3,34,37
okay,21,16,37
think,30,6,36
window,1,34,35
look,27,7,34
good,23,11,34
eyes,4,30,34
moves,1,32,33
looks,3,30,33
hand,2,31,33
really,26,6,32
going,22,10,32
please,20,11,31
head,12,17,29
dead,5,24,29
away,8,21,29
sorry,25,1,26
god,20,5,25
stop,23,1,24
book,4,20,24
outside,2,21,23
mean,16,6,22
way,11,10,21
wait,16,5,21
heard,2,19,21
body,3,18,21
voice,1,18,19
little,14,5,19
guys,18,1,19
car,3,16,19
open,2,16,18
old,2,16,18
inside,5,12,17
thing,7,9,16
take,9,7,16
seen,2,14,16
maybe,15,1,16
make,10,6,16
listen,6,10,16
light,9,7,16
white,3,12,15
shit,13,2,15
place,4,11,15
face,1,14,15
shut,5,9,14
leave,5,9,14
hear,8,6,14
find,3,11,14
trees,1,12,13
time,5,8,13
power,12,1,13
love,11,2,13
looking,7,6,13
box,2,11,13
water,4,8,12
uh,1,11,12
thought,9,3,12
things,6,6,12
tell,9,3,12
sure,7,5,12
help,5,7,12
bad,6,6,12
arm,1,11,12
view,1,10,11
stay,6,5,11
lets,9,2,11
home,9,2,11
hey,1,10,11
hell,4,7,11
doing,8,3,11
better,6,5,11
yes,8,2,10
turn,2,8,10
three,8,2,10
talking,7,3,10
put,6,4,10
people,8,2,10
nice,9,1,10
man,6,4,10
keep,5,5,10
jesus,3,7,10
happened,7,3,10
fine,8,2,10
feel,8,2,10
black,3,7,10
bedroom,1,9,10
wrong,5,4,9
work,3,6,9
watch,6,3,9
understand,8,1,9
trying,6,3,9
saying,8,1,9
move,4,5,9
kill,6,3,9
ground,1,8,9
give,6,3,9
feet,1,8,9
drink,4,5,9
deep,3,6,9
comes,3,6,9
close,3,6,9
believe,6,3,9
beautiful,6,3,9
wind,1,7,8
watching,1,7,8
two,1,7,8
scared,4,4,8
saw,2,6,8
real,5,3,8
pay,7,1,8
made,5,3,8
life,6,2,8
killed,6,2,8
hit,6,2,8
fire,4,4,8
finger,5,3,8
dark,1,7,8
call,6,2,8
big,6,2,8
ancient,1,7,8
try,4,3,7
tomorrow,2,5,7
takes,2,5,7
sleeping,1,6,7
pretty,5,2,7
hold,6,1,7
hate,6,1,7
hair,5,2,7
gone,3,4,7
girl,6,1,7
getting,4,3,7
end,4,3,7
earth,6,1,7
dad,6,1,7
touch,5,1,6
speak,1,5,6
sit,4,2,6
side,1,5,6
second,5,1,6
run,4,2,6
probably,1,5,6
passes,1,5,6
morning,1,5,6
lights,4,2,6
kitchen,1,5,6
house,3,3,6
heads,3,3,6
happen,5,1,6
guess,3,3,6
great,5,1,6
friends,4,2,6
five,4,2,6
fingers,2,4,6
fear,2,4,6
enter,4,2,6
deal,2,4,6
christ,1,5,6
cause,5,1,6
backs,1,5,6
baby,2,4,6
attention,1,5,6
answer,1,5,6
air,5,1,6
waiting,2,3,5
throat,1,4,5
thank,3,2,5
supposed,4,1,5
sister,1,4,5
school,4,1,5
ring,1,4,5
reason,3,2,5
perfect,4,1,5
night,3,2,5
natural,3,2,5
moving,1,4,5
mom,4,1,5
minute,2,3,5
mind,4,1,5
makes,4,1,5
long,1,4,5
leaves,1,4,5
late,3,2,5
knife,1,4,5
group,1,4,5
curtain,1,4,5
cry,3,2,5
crazy,3,2,5
couch,4,1,5
control,1,4,5
completely,3,2,5
coming,4,1,5
check,1,4,5
came,3,2,5
butt,3,2,5
breathing,1,4,5
board,4,1,5
blade,2,3,5
area,1,4,5
actually,4,1,5
strange,1,3,4
start,1,3,4
south,3,1,4
somewhat,1,3,4
show,3,1,4
set,1,3,4
relax,3,1,4
quiet,1,3,4
play,2,2,4
part,1,3,4
new,3,1,4
nailed,1,3,4
mirror,1,3,4
listening,1,3,4
leaving,1,3,4
joke,2,2,4
hot,2,2,4
hanging,2,2,4
hang,3,1,4
guy,3,1,4
gives,1,3,4
found,2,2,4
form,2,2,4
exist,3,1,4
east,3,1,4
dinner,2,2,4
damn,1,3,4
crash,1,3,4
corners,3,1,4
bed,2,2,4
balance,3,1,4
writing,1,2,3
worked,2,1,3
wanna,2,1,3
used,2,1,3
underneath,2,1,3
twenty,2,1,3
tried,2,1,3
trail,1,2,3
tonight,2,1,3
sweet,2,1,3
storm,2,1,3
starts,1,2,3
started,2,1,3
sort,1,2,3
soon,1,2,3
smaller,1,2,3
sleep,2,1,3
sharp,1,2,3
rest,1,2,3
reach,2,1,3
ran,2,1,3
powerful,2,1,3
position,1,2,3
pick,1,2,3
party,2,1,3
mine,2,1,3
low,1,2,3
later,2,1,3
kind,2,1,3
keeps,2,1,3
jerk,2,1,3
hour,2,1,3
hole,1,2,3
high,1,2,3
green,2,1,3
goes,2,1,3
four,1,2,3
fly,2,1,3
fixed,1,2,3
far,2,1,3
fall,2,1,3
dream,2,1,3
days,2,1,3
care,1,2,3
anyway,2,1,3
amazing,2,1,3
wrap,1,1,2
wonderful,1,1,2
wick,1,1,2
wear,1,1,2
upstairs,1,1,2
tremendous,1,1,2
totally,1,1,2
thoughts,1,1,2
taking,1,1,2
sun,1,1,2
strong,1,1,2
space,1,1,2
song,1,1,2
snake,1,1,2
shell,1,1,2
shape,1,1,2
seventy,1,1,2
seat,1,1,2
relieved,1,1,2
rain,1,1,2
rag,1,1,2
pulled,1,1,2
possible,1,1,2
plays,1,1,2
playing,1,1,2
pieces,1,1,2
mark,1,1,2
mammoth,1,1,2
mad,1,1,2
lying,1,1,2
live,1,1,2
lie,1,1,2
lays,1,1,2
intensely,1,1,2
important,1,1,2
hat,1,1,2
food,1,1,2
floors,1,1,2
fills,1,1,2
falling,1,1,2
expect,1,1,2
exactly,1,1,2
empty,1,1,2
eat,1,1,2
difficult,1,1,2
dangerous,1,1,2
curtains,1,1,2
concentrating,1,1,2
chance,1,1,2
cast,1,1,2
calls,1,1,2
burn,1,1,2
brush,1,1,2
bring,1,1,2
blind,1,1,2
bet,1,1,2
bathroom,1,1,2
anyways,1,1,2
anybody,1,1,2
ahead,1,1,2
ago,1,1,2
act,1,1,2
dont,63,0,63
youre,31,0,31
sarah,29,0,29
thats,26,0,26
whats,24,0,24
nancy,21,0,21
shes,20,0,20
didnt,19,0,19
cant,18,0,18
hes,17,0,17
