word,The Craft,Halloweentown High,total
oh,31,111,142
im,56,82,138
know,57,79,136
dont,63,56,119
go,44,45,89
yeah,42,41,83
like,36,40,76
youre,31,36,67
come,30,33,63
think,30,31,61
really,26,33,59
right,23,34,57
thats,26,27,53
want,34,16,50
sorry,25,25,50
good,23,26,49
see,17,31,48
mean,16,32,48
going,22,24,46
little,14,28,42
cant,18,24,42
whats,24,15,39
magic,8,31,39
look,27,11,38
gonna,15,23,38
yes,8,27,35
lets,9,25,34
shes,20,13,33
guys,18,15,33
back,17,16,33
wait,16,16,32
stop,23,9,32
hes,17,13,30
didnt,19,11,30
ill,16,11,27
please,20,6,26
people,8,18,26
hi,9,17,26
way,11,14,25
uh,1,24,25
fine,8,16,24
time,5,18,23
thought,9,14,23
school,4,19,23
maybe,15,8,23
theyre,11,11,22
nancy,21,1,22
hey,1,20,21
help,5,16,21
take,9,11,20
sure,7,13,20
need,14,6,20
theres,4,15,19
make,10,9,19
things,6,12,18
thing,7,11,18
talking,7,10,17
home,9,8,17
doing,8,9,17
trying,6,9,15
tell,9,6,15
power,12,3,15
keep,5,10,15
house,3,12,15
everybody,3,12,15
better,6,9,15
believe,6,9,15
try,4,10,14
somebody,3,11,14
love,11,3,14
head,12,2,14
witch,8,5,13
mother,5,8,13
looking,7,6,13
kind,2,11,13
happened,7,6,13
find,3,10,13
big,6,7,13
away,8,5,13
world,1,11,12
two,1,11,12
told,5,7,12
spell,5,7,12
show,3,9,12
put,6,6,12
ooh,1,11,12
mom,4,8,12
ive,5,7,12
feel,8,4,12
day,3,9,12
understand,8,3,11
talk,4,7,11
stay,6,5,11
powers,10,1,11
place,4,7,11
nice,9,2,11
life,6,5,11
idea,1,10,11
hit,6,5,11
give,6,5,11
girl,6,5,11
friends,4,7,11
doesnt,6,5,11
dad,6,5,11
wrong,5,5,10
wouldnt,1,9,10
wont,1,9,10
whoa,1,9,10
three,8,2,10
saying,8,2,10
pretty,5,5,10
matter,5,5,10
man,6,4,10
light,9,1,10
honey,8,2,10
great,5,5,10
girls,9,1,10
definitely,2,8,10
call,6,4,10
arent,4,6,10
whos,4,5,9
watch,6,3,9
thank,3,6,9
open,2,7,9
hello,4,5,9
hear,8,1,9
hail,8,1,9
gone,3,6,9
actually,4,5,9
youd,2,6,8
working,7,1,8
weve,2,6,8
wanted,4,4,8
times,7,1,8
thinking,4,4,8
supposed,4,4,8
second,5,3,8
scared,4,4,8
pay,7,1,8
night,3,5,8
new,3,5,8
move,4,4,8
listen,6,2,8
later,2,6,8
late,3,5,8
kids,1,7,8
inside,5,3,8
important,1,7,8
id,2,6,8
hold,6,2,8
hate,6,2,8
excuse,1,7,8
different,1,7,8
course,3,5,8
beautiful,6,2,8
bad,6,2,8
witches,2,5,7
use,3,4,7
thanks,2,5,7
sweet,2,5,7
shut,5,2,7
seen,2,5,7
saw,2,5,7
room,3,4,7
remember,3,4,7
perfect,4,3,7
pathetic,6,1,7
mr,2,5,7
leave,5,2,7
isnt,2,5,7
heard,2,5,7
guess,3,4,7
gotta,5,2,7
getting,4,3,7
flying,3,4,7
eyes,4,3,7
exist,3,4,7
end,4,3,7
earth,6,1,7
cause,5,2,7
car,3,4,7
came,3,4,7
called,3,4,7
bye,4,3,7
afraid,3,4,7
youve,1,5,6
work,3,3,6
true,3,3,6
stuff,4,2,6
sit,4,2,6
set,1,5,6
run,4,2,6
reason,3,3,6
real,5,1,6
probably,1,5,6
play,2,4,6
old,2,4,6
mind,4,2,6
made,5,1,6
luck,1,5,6
lot,2,4,6
huh,2,4,6
honestly,1,5,6
happy,1,5,6
happen,5,1,6
hair,5,1,6
found,2,4,6
football,4,2,6
fool,1,5,6
fault,1,5,6
cute,1,5,6
coming,4,2,6
bet,1,5,6
youll,2,3,5
wasnt,1,4,5
waiting,2,3,5
turn,2,3,5
trust,2,3,5
tried,2,3,5
tricky,4,1,5
today,3,2,5
stupid,1,4,5
started,2,3,5
start,1,4,5
spells,3,2,5
running,1,4,5
practice,4,1,5
part,1,4,5
mine,2,3,5
makes,4,1,5
looks,3,2,5
keeps,2,3,5
hows,3,2,5
happening,3,2,5
funny,3,2,5
forget,4,1,5
follow,1,4,5
fear,2,3,5
dream,2,3,5
crazy,3,2,5
comes,3,2,5
care,1,4,5
bring,1,4,5
boy,1,4,5
ask,4,1,5
anybody,1,4,5
wow,1,3,4
wondering,1,3,4
wish,1,3,4
window,1,3,4
used,2,2,4
tonight,2,2,4
surprised,3,1,4
scary,2,2,4
save,1,3,4
safe,1,3,4
ready,3,1,4
party,2,2,4
natural,3,1,4
known,1,3,4
hurt,2,2,4
hot,2,2,4
heavy,3,1,4
