word,The Craft,Halloweentown II,total
oh,31,99,130
im,56,49,105
dont,63,42,105
spell,5,94,99
know,57,40,97
like,36,46,82
go,44,35,79
right,23,47,70
yeah,42,26,68
thats,26,42,68
think,30,31,61
come,30,26,56
back,17,37,54
youre,31,22,53
want,34,15,49
look,27,19,46
cant,18,28,46
really,26,17,43
hes,17,25,42
good,23,19,42
going,22,17,39
mean,16,21,37
whats,24,12,36
see,17,18,35
stop,23,11,34
gonna,15,18,33
book,4,29,33
sorry,25,7,32
didnt,19,13,32
mom,4,27,31
maybe,15,16,31
ill,16,15,31
yes,8,22,30
little,14,16,30
time,5,24,29
wait,16,11,27
shes,20,7,27
guys,18,8,26
world,1,24,25
way,11,14,25
sure,7,18,25
please,20,5,25
magic,8,17,25
need,14,10,24
lets,9,15,24
head,12,9,21
take,9,11,20
party,2,18,20
make,10,10,20
uh,1,18,19
theyre,11,8,19
house,3,16,19
dad,6,13,19
thing,7,11,18
theres,4,13,17
tell,9,8,17
big,6,11,17
put,6,10,16
power,12,4,16
give,6,10,16
find,3,13,16
feel,8,8,16
witch,8,7,15
things,6,9,15
powers,10,5,15
nice,9,6,15
home,9,6,15
doing,8,7,15
doesnt,6,9,15
mother,5,9,14
hey,1,13,14
help,5,9,14
hear,8,6,14
believe,6,8,14
trying,6,7,13
thought,9,4,13
love,11,2,13
guess,3,10,13
great,5,8,13
gotta,5,8,13
talk,4,8,12
spells,3,9,12
people,8,4,12
ive,5,7,12
hi,9,3,12
coming,4,8,12
call,6,6,12
better,6,6,12
weve,2,9,11
use,3,8,11
try,4,7,11
talking,7,4,11
supposed,4,7,11
place,4,7,11
made,5,6,11
looking,7,4,11
leave,5,6,11
keep,5,6,11
hate,6,5,11
happened,7,4,11
black,3,8,11
away,8,3,11
work,3,7,10
witches,2,8,10
watch,6,4,10
stuff,4,6,10
saying,8,2,10
remember,3,7,10
read,5,5,10
open,2,8,10
honey,8,2,10
girls,9,1,10
girl,6,4,10
fine,8,2,10
working,7,2,9
wont,1,8,9
two,1,8,9
stay,6,3,9
show,3,6,9
school,4,5,9
room,3,6,9
night,3,6,9
man,6,3,9
inside,5,4,9
id,2,7,9
huh,2,7,9
hit,6,3,9
forget,4,5,9
bye,4,5,9
youd,2,6,8
wow,1,7,8
weird,6,2,8
voice,1,7,8
told,5,3,8
times,7,1,8
real,5,3,8
listen,6,2,8
kind,2,6,8
high,1,7,8
happening,3,5,8
gone,3,5,8
getting,4,4,8
end,4,4,8
earth,6,2,8
date,1,7,8
cause,5,3,8
came,3,5,8
called,3,5,8
beautiful,6,2,8
bad,6,2,8
afraid,3,5,8
actually,4,4,8
youve,1,6,7
wrong,5,2,7
whoa,1,6,7
wanna,2,5,7
thinking,4,3,7
thanks,2,5,7
thank,3,4,7
sweet,2,5,7
second,5,2,7
ready,3,4,7
reading,1,6,7
minute,2,5,7
matter,5,2,7
looked,1,6,7
life,6,1,7
later,2,5,7
hold,6,1,7
fun,1,6,7
friends,4,3,7
excuse,1,6,7
everybody,3,4,7
busy,2,5,7
wanted,4,2,6
undo,2,4,6
touch,5,1,6
teach,1,5,6
somebody,3,3,6
run,4,2,6
pretty,5,1,6
phone,2,4,6
perfect,4,2,6
ooh,1,5,6
money,5,1,6
isnt,2,4,6
hour,2,4,6
hello,4,2,6
happen,5,1,6
hair,5,1,6
found,2,4,6
fly,2,4,6
door,1,5,6
dead,5,1,6
day,3,3,6
course,3,3,6
bed,2,4,6
ask,4,2,6
arent,4,2,6
write,1,4,5
wonder,1,4,5
whos,4,1,5
water,4,1,5
used,2,3,5
turn,2,3,5
tried,2,3,5
travel,1,4,5
sit,4,1,5
saw,2,3,5
play,2,3,5
outside,2,3,5
old,2,3,5
new,3,2,5
move,4,1,5
looks,3,2,5
long,1,4,5
live,1,4,5
hell,4,1,5
