word,The Craft,Harry Potter and the Half-Blood Prince,total
know,57,76,133
dont,63,62,125
im,56,61,117
go,44,30,74
think,30,43,73
like,36,37,73
oh,31,35,66
youre,31,28,59
yeah,42,15,57
want,34,17,51
hes,17,33,50
come,30,19,49
really,26,21,47
thats,26,19,45
see,17,26,43
look,27,15,42
good,23,19,42
yes,8,33,41
going,22,17,39
cant,18,21,39
whats,24,14,38
sorry,25,13,38
right,23,15,38
didnt,19,17,36
okay,21,12,33
back,17,16,33
shes,20,11,31
mean,16,15,31
stop,23,7,30
need,14,16,30
make,10,20,30
ill,16,14,30
please,20,8,28
way,11,13,24
love,11,13,24
magic,8,15,23
tell,9,13,22
ive,5,17,22
god,20,2,22
time,5,16,21
thought,9,12,21
take,9,12,21
little,14,7,21
gonna,15,6,21
understand,8,12,20
dark,1,19,20
people,8,11,19
doing,8,11,19
theyre,11,7,18
maybe,15,2,17
find,3,14,17
sure,7,9,16
nice,9,7,16
boy,1,15,16
things,6,9,15
lets,9,6,15
isnt,2,13,15
id,2,13,15
happened,7,8,15
give,6,9,15
fine,8,7,15
ask,4,11,15
three,8,6,14
place,4,10,14
old,2,12,14
made,5,9,14
kill,6,8,14
feel,8,6,14
course,3,11,14
saying,8,5,13
put,6,7,13
power,12,1,13
mind,4,9,13
help,5,8,13
head,12,1,13
day,3,10,13
came,3,10,13
book,4,9,13
away,8,5,13
water,4,8,12
told,5,7,12
times,7,5,12
talking,7,5,12
remember,3,9,12
mr,2,10,12
mother,5,7,12
hi,9,3,12
actually,4,8,12
trying,6,5,11
looking,7,4,11
light,9,2,11
leave,5,6,11
hear,8,3,11
harm,10,1,11
girls,9,2,11
eyes,4,7,11
two,1,9,10
thing,7,3,10
stay,6,4,10
man,6,4,10
luck,1,9,10
killed,6,4,10
keep,5,5,10
home,9,1,10
five,4,6,10
end,4,6,10
doesnt,6,4,10
dead,5,5,10
brilliant,1,9,10
bad,6,4,10
youve,1,8,9
youll,2,7,9
trust,2,7,9
tonight,2,7,9
theres,4,5,9
school,4,5,9
powerful,2,7,9
night,3,6,9
life,6,3,9
known,1,8,9
half,1,8,9
girl,6,3,9
friends,4,5,9
exactly,1,8,9
drink,4,5,9
days,2,7,9
dad,6,3,9
coming,4,5,9
cause,5,4,9
bye,4,5,9
better,6,3,9
believe,6,3,9
beautiful,6,3,9
wrong,5,3,8
wouldnt,1,7,8
working,7,1,8
whos,4,4,8
use,3,5,8
try,4,4,8
true,3,5,8
touch,5,3,8
today,3,5,8
thank,3,5,8
saw,2,6,8
real,5,3,8
miss,1,7,8
mine,2,6,8
hello,4,4,8
havent,2,6,8
happen,5,3,8
great,5,3,8
bed,2,6,8
arent,4,4,8
ago,1,7,8
afraid,3,5,8
wondering,1,6,7
weird,6,1,7
watch,6,1,7
wasnt,1,6,7
tricky,4,3,7
talk,4,3,7
spell,5,2,7
speak,1,6,7
shut,5,2,7
run,4,3,7
room,3,4,7
read,5,2,7
pretty,5,2,7
perfect,4,3,7
pathetic,6,1,7
party,2,5,7
part,1,6,7
matter,5,2,7
makes,4,3,7
listen,6,1,7
hit,6,1,7
hell,4,3,7
hate,6,1,7
funny,3,4,7
francis,5,2,7
father,2,5,7
couldnt,2,5,7
called,3,4,7
black,3,4,7
big,6,1,7
world,1,5,6
wont,1,5,6
thinking,4,2,6
takes,2,4,6
supposed,4,2,6
sleep,2,4,6
sit,4,2,6
sister,1,5,6
second,5,1,6
probably,1,5,6
practice,4,2,6
person,1,5,6
move,4,2,6
mad,1,5,6
inside,5,1,6
house,3,3,6
heard,2,4,6
getting,4,2,6
gave,3,3,6
forget,4,2,6
different,1,5,6
dangerous,1,5,6
close,3,3,6
air,5,1,6
work,3,2,5
wish,1,4,5
weak,4,1,5
wanted,4,1,5
thanks,2,3,5
stuff,4,1,5
seen,2,3,5
new,3,2,5
natural,3,2,5
mom,4,1,5
minute,2,3,5
looks,3,2,5
late,3,2,5
kind,2,3,5
hour,2,3,5
having,3,2,5
hard,2,3,5
happy,1,4,5
hand,2,3,5
guess,3,2,5
found,2,3,5
expect,1,4,5
comes,3,2,5
clear,1,4,5
carry,1,4,5
body,3,2,5
youd,2,2,4
walk,2,2,4
waiting,2,2,4
usually,2,2,4
used,2,2,4
uh,1,3,4
surprised,3,1,4
surprise,2,2,4
straight,2,2,4
stiff,3,1,4
started,2,2,4
spirit,3,1,4
spells,3,1,4
sort,1,3,4
shall,2,2,4
relax,3,1,4
reason,3,1,4
open,2,2,4
nature,3,1,4
morning,1,3,4
message,1,3,4
long,1,3,4
leaves,1,3,4
important,1,3,4
idea,1,3,4
hurt,2,2,4
howd,2,2,4
heart,3,1,4
heads,3,1,4
happening,3,1,4
guy,3,1,4
gone,3,1,4
game,1,3,4
fear,2,2,4
face,1,3,4
exist,3,1,4
excuse,1,3,4
everybody,3,1,4
empty,1,3,4
devil,3,1,4
definitely,2,2,4
deep,3,1,4
deal,2,2,4
completely,3,1,4
class,1,3,4
care,1,3,4
bring,1,3,4
bigger,3,1,4
answer,1,3,4
worked,2,1,3
win,2,1,3
weve,2,1,3
week,1,2,3
wear,1,2,3
wanna,2,1,3
upstairs,1,2,3
twenty,2,1,3
turn,2,1,3
truth,2,1,3
tomorrow,2,1,3
tiny,1,2,3
throat,1,2,3
thoughts,1,2,3
teach,1,2,3
sweet,2,1,3
strong,1,2,3
soon,1,2,3
set,1,2,3
seriously,1,2,3
roof,2,1,3
risk,1,2,3
ring,1,2,3
reading,1,2,3
quiet,1,2,3
questions,1,2,3
plan,1,2,3
personally,1,2,3
personal,1,2,3
outside,2,1,3
older,1,2,3
news,1,2,3
nasty,1,2,3
lot,2,1,3
looked,1,2,3
later,2,1,3
laid,2,1,3
knows,1,2,3
joke,2,1,3
interesting,1,2,3
impressed,2,1,3
honestly,1,2,3
hey,1,2,3
hat,1,2,3
hanging,2,1,3
goes,2,1,3
given,1,2,3
gifts,1,2,3
gift,1,2,3
form,2,1,3
fly,2,1,3
feeling,2,1,3
fault,1,2,3
far,2,1,3
especially,2,1,3
dream,2,1,3
dinner,2,1,3
difficult,1,2,3
died,1,2,3
darling,2,1,3
coward,1,2,3
conversation,1,2,3
chance,1,2,3
busy,2,1,3
box,2,1,3
binding,1,2,3
arm,1,2,3
anyway,2,1,3
allow,1,2,3
worst,1,1,2
wonderful,1,1,2
towels,1,1,2
todays,1,1,2
telling,1,1,2
taking,1,1,2
suspect,1,1,2
survivors,1,1,2
subtle,1,1,2
sting,1,1,2
start,1,1,2
split,1,1,2
spent,1,1,2
sounded,1,1,2
snakes,1,1,2
slick,1,1,2
sharp,1,1,2
seeing,1,1,2
saved,1,1,2
save,1,1,2
sad,1,1,2
running,1,1,2
rude,1,1,2
rest,1,1,2
respect,1,1,2
possible,1,1,2
position,1,1,2
police,1,1,2
playing,1,1,2
played,1,1,2
pieces,1,1,2
pick,1,1,2
ones,1,1,2
oldest,1,1,2
obsession,1,1,2
noticed,1,1,2
mothers,1,1,2
moon,1,1,2
monster,1,1,2
missing,1,1,2
live,1,1,2
lie,1,1,2
leaving,1,1,2
kitchen,1,1,2
itll,1,1,2
invented,1,1,2
intuition,1,1,2
instructions,1,1,2
imagine,1,1,2
hole,1,1,2
hiding,1,1,2
girlfriend,1,1,2
genius,1,1,2
games,1,1,2
fun,1,1,2
full,1,1,2
four,1,1,2
fool,1,1,2
fixed,1,1,2
fill,1,1,2
effects,1,1,2
door,1,1,2
diary,1,1,2
defenses,1,1,2
date,1,1,2
cool,1,1,2
control,1,1,2
company,1,1,2
check,1,1,2
careful,1,1,2
breath,1,1,2
blind,1,1,2
attention,1,1,2
arrival,1,1,2
area,1,1,2
anyways,1,1,2
anymore,1,1,2
anybody,1,1,2
animals,1,1,2
ability,1,1,2
sarah,29,0,29
nancy,21,0,21
guys,18,0,18
chris,17,0,17
wait,16,0,16
shit,13,0,13
powers,10,0,10
manon,10,0,10
invoke,10,0,10
thee,9,0,9
witch,8,0,8
watchtowers,8,0,8
laura,8,0,8
honey,8,0,8
hail,8,0,8
guardians,8,0,8
pay,7,0,7
bonnie,7,0,7
north,6,0,6
hold,6,0,6
fourth,6,0,6
