word,The Craft,Harry Potter and the Order of the Phoenix,total
im,56,55,111
dont,63,41,104
know,57,40,97
like,36,29,65
go,44,20,64
youre,31,32,63
come,30,30,60
right,23,34,57
yeah,42,12,54
want,34,18,52
thats,26,25,51
hes,17,32,49
really,26,21,47
going,22,24,46
oh,31,14,45
good,23,22,45
think,30,14,44
see,17,27,44
whats,24,19,43
back,17,23,40
sorry,25,12,37
look,27,10,37
didnt,19,12,31
please,20,10,30
ill,16,14,30
cant,18,12,30
tell,9,20,29
ive,5,23,28
stop,23,4,27
need,14,13,27
yes,8,17,25
mean,16,9,25
time,5,19,24
shes,20,4,24
okay,21,3,24
make,10,14,24
little,14,10,24
gonna,15,8,23
dark,1,22,23
wait,16,6,22
guys,18,4,22
theyre,11,10,21
doing,8,13,21
take,9,11,20
sure,7,13,20
maybe,15,5,20
away,8,12,20
youve,1,18,19
way,11,8,19
magic,8,11,19
power,12,6,18
killed,6,11,17
understand,8,8,16
thank,3,13,16
people,8,8,16
help,5,11,16
feel,8,8,16
things,6,9,15
thing,7,8,15
theres,4,11,15
love,11,4,15
trying,6,8,14
lets,9,5,14
isnt,2,12,14
great,5,9,14
give,6,8,14
thought,9,4,13
stay,6,7,13
mr,2,11,13
leave,5,8,13
kill,6,7,13
keep,5,8,13
head,12,1,13
believe,6,7,13
bad,6,7,13
use,3,9,12
school,4,8,12
nice,9,3,12
mind,4,8,12
hi,9,3,12
gone,3,9,12
fine,8,4,12
doesnt,6,6,12
big,6,6,12
better,6,6,12
wanted,4,7,11
told,5,6,11
three,8,3,11
powers,10,1,11
man,6,5,11
home,9,2,11
hear,8,3,11
harm,10,1,11
black,3,8,11
youll,2,8,10
weve,2,8,10
times,7,3,10
saying,8,2,10
saw,2,8,10
remember,3,7,10
matter,5,5,10
light,9,1,10
life,6,4,10
hell,4,6,10
girls,9,1,10
find,3,7,10
dead,5,5,10
dad,6,4,10
boy,1,9,10
anyway,2,8,10
wrong,5,4,9
witch,8,1,9
whos,4,5,9
weak,4,5,9
used,2,7,9
thanks,2,7,9
talking,7,2,9
supposed,4,5,9
spells,3,6,9
put,6,3,9
place,4,5,9
looking,7,2,9
listen,6,3,9
inside,5,4,9
hold,6,3,9
happened,7,2,9
course,3,6,9
coming,4,5,9
afraid,3,6,9
working,7,1,8
wont,1,7,8
watch,6,2,8
two,1,7,8
try,4,4,8
talk,4,4,8
shall,2,6,8
reason,3,5,8
real,5,3,8
read,5,3,8
mother,5,3,8
made,5,3,8
lot,2,6,8
hate,6,2,8
happen,5,3,8
hand,2,6,8
getting,4,4,8
couldnt,2,6,8
call,6,2,8
actually,4,4,8
truth,2,5,7
thinking,4,3,7
stuff,4,3,7
sit,4,3,7
shut,5,2,7
seen,2,5,7
second,5,2,7
room,3,4,7
practice,4,3,7
old,2,5,7
house,3,4,7
hit,6,1,7
half,1,6,7
girl,6,1,7
gave,3,4,7
full,1,6,7
friends,4,3,7
five,4,3,7
father,2,5,7
exactly,1,6,7
everybody,3,4,7
end,4,3,7
earth,6,1,7
day,3,4,7
cause,5,2,7
bye,4,3,7
arent,4,3,7
air,5,2,7
work,3,3,6
true,3,3,6
touch,5,1,6
today,3,3,6
spell,5,1,6
ready,3,3,6
pretty,5,1,6
person,1,5,6
perfect,4,2,6
paranoid,5,1,6
night,3,3,6
new,3,3,6
move,4,2,6
morning,1,5,6
money,5,1,6
makes,4,2,6
known,1,5,6
idea,1,5,6
havent,2,4,6
hard,2,4,6
far,2,4,6
eyes,4,2,6
expect,1,5,6
control,1,5,6
connection,1,5,6
completely,3,3,6
ask,4,2,6
wouldnt,1,4,5
witches,2,3,5
wasnt,1,4,5
wanna,2,3,5
turn,2,3,5
tried,2,3,5
tonight,2,3,5
surprised,3,2,5
sort,1,4,5
show,3,2,5
run,4,1,5
minute,2,3,5
mad,1,4,5
learning,1,4,5
hows,3,2,5
hot,2,3,5
high,1,4,5
hey,1,4,5
hello,4,1,5
happy,1,4,5
happening,3,2,5
guess,3,2,5
found,2,3,5
forget,4,1,5
feeling,2,3,5
fear,2,3,5
fault,1,4,5
days,2,3,5
care,1,4,5
youd,2,2,4
write,1,3,4
world,1,3,4
win,2,2,4
watching,1,3,4
tomorrow,2,2,4
telling,1,3,4
taking,1,3,4
started,2,2,4
speak,1,3,4
soon,1,3,4
somebody,3,1,4
risk,1,3,4
poor,1,3,4
play,2,2,4
outside,2,2,4
mine,2,2,4
message,1,3,4
luck,1,3,4
looks,3,1,4
long,1,3,4
knows,1,3,4
kind,2,2,4
id,2,2,4
heard,2,2,4
having,3,1,4
focus,1,3,4
face,1,3,4
experience,2,2,4
door,1,3,4
dinner,2,2,4
deep,3,1,4
dangerous,1,3,4
comes,3,1,4
close,3,1,4
clear,1,3,4
chance,1,3,4
came,3,1,4
calm,2,2,4
called,3,1,4
brilliant,1,3,4
box,2,2,4
anymore,1,3,4
woman,1,2,3
wish,1,2,3
whatd,1,2,3
walk,2,1,3
trust,2,1,3
takes,2,1,3
suspect,1,2,3
stupid,1,2,3
straight,2,1,3
storm,2,1,3
special,2,1,3
sleep,2,1,3
sad,1,2,3
sack,1,2,3
ran,2,1,3
powerful,2,1,3
pass,1,2,3
part,1,2,3
open,2,1,3
ones,1,2,3
needs,1,2,3
mrs,1,2,3
miss,1,2,3
meeting,1,2,3
mass,1,2,3
live,1,2,3
lie,1,2,3
letting,1,2,3
learn,2,1,3
later,2,1,3
kissing,1,2,3
keeps,2,1,3
interesting,1,2,3
important,1,2,3
imagine,1,2,3
hurt,2,1,3
hundred,2,1,3
howd,2,1,3
fun,1,2,3
four,1,2,3
form,2,1,3
fly,2,1,3
dreams,2,1,3
dream,2,1,3
difficult,1,2,3
died,1,2,3
deserve,1,2,3
definitely,2,1,3
deal,2,1,3
darling,2,1,3
concentrate,2,1,3
company,1,2,3
class,1,2,3
busy,2,1,3
blessed,2,1,3
baby,2,1,3
apologize,2,1,3
ago,1,2,3
act,1,2,3
accident,2,1,3
wow,1,1,2
wonderful,1,1,2
wonder,1,1,2
wear,1,1,2
view,1,1,2
upstairs,1,1,2
thoughts,1,1,2
theyd,1,1,2
teach,1,1,2
story,1,1,2
split,1,1,2
sounded,1,1,2
snake,1,1,2
side,1,1,2
severe,1,1,2
seriously,1,1,2
saved,1,1,2
save,1,1,2
rude,1,1,2
retrieved,1,1,2
rest,1,1,2
responsible,1,1,2
probably,1,1,2
pray,1,1,2
pig,1,1,2
personal,1,1,2
news,1,1,2
nasty,1,1,2
mark,1,1,2
manners,1,1,2
magical,1,1,2
lying,1,1,2
looked,1,1,2
lazy,1,1,2
lay,1,1,2
kitchen,1,1,2
interrupt,1,1,2
hurting,1,1,2
honestly,1,1,2
higher,1,1,2
hiding,1,1,2
given,1,1,2
gathering,1,1,2
friendship,1,1,2
forms,1,1,2
fool,1,1,2
food,1,1,2
fixed,1,1,2
fill,1,1,2
felt,1,1,2
feet,1,1,2
fathers,1,1,2
falling,1,1,2
excuse,1,1,2
empty,1,1,2
different,1,1,2
deserved,1,1,2
dads,1,1,2
cool,1,1,2
clean,1,1,2
child,1,1,2
calls,1,1,2
bring,1,1,2
begging,1,1,2
anybody,1,1,2
allow,1,1,2
alert,1,1,2
ahead,1,1,2
sarah,29,0,29
nancy,21,0,21
god,20,0,20
chris,17,0,17
shit,13,0,13
manon,10,0,10
invoke,10,0,10
thee,9,0,9
watchtowers,8,0,8
laura,8,0,8
honey,8,0,8
hail,8,0,8
guardians,8,0,8
pay,7,0,7
bonnie,7,0,7
weird,6,0,6
pathetic,6,0,6
north,6,0,6
fourth,6,0,6
circle,6,0,6
beautiful,6,0,6
rochelle,5,0,5
hair,5,0,5
gotta,5,0,5
francis,5,0,5
finger,5,0,5
connie,5,0,5
bitch,5,0,5
water,4,0,4
tricky,4,0,4
sisters,4,0,4
scars,4,0,4
scared,4,0,4
san,4,0,4
red,4,0,4
mom,4,0,4
lights,4,0,4
francisco,4,0,4
football,4,0,4
fire,4,0,4
feather,4,0,4
enter,4,0,4
drink,4,0,4
couch,4,0,4
book,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
white,3,0,3
west,3,0,3
tv,3,0,3
stiff,3,0,3
spirit,3,0,3
south,3,0,3
serpent,3,0,3
relax,3,0,3
ray,3,0,3
nature,3,0,3
natural,3,0,3
late,3,0,3
jesus,3,0,3
jealous,3,0,3
heavy,3,0,3
heart,3,0,3
heads,3,0,3
hang,3,0,3
guy,3,0,3
glamour,3,0,3
funny,3,0,3
flying,3,0,3
exist,3,0,3
east,3,0,3
downs,3,0,3
devil,3,0,3
cry,3,0,3
crazy,3,0,3
corners,3,0,3
car,3,0,3
butt,3,0,3
body,3,0,3
blonde,3,0,3
bill,3,0,3
bigger,3,0,3
balance,3,0,3
apartment,3,0,3
worked,2,0,2
whyd,2,0,2
weirdos,2,0,2
ways,2,0,2
warm,2,0,2
waiting,2,0,2
usually,2,0,2
unto,2,0,2
uniform,2,0,2
undo,2,0,2
underneath,2,0,2
twenty,2,0,2
throwing,2,0,2
sweet,2,0,2
surprise,2,0,2
sucks,2,0,2
steal,2,0,2
slut,2,0,2
slit,2,0,2
size,2,0,2
scary,2,0,2
salon,2,0,2
rush,2,0,2
rub,2,0,2
roof,2,0,2
rochelles,2,0,2
results,2,0,2
relaxed,2,0,2
reach,2,0,2
procedure,2,0,2
policy,2,0,2
plane,2,0,2
phone,2,0,2
peace,2,0,2
party,2,0,2
noninvasive,2,0,2
needle,2,0,2
nah,2,0,2
middle,2,0,2
loved,2,0,2
laid,2,0,2
juke,2,0,2
joke,2,0,2
jerk,2,0,2
jenny,2,0,2
impressed,2,0,2
huh,2,0,2
hour,2,0,2
hooker,2,0,2
holy,2,0,2
hanging,2,0,2
green,2,0,2
goes,2,0,2
goddamn,2,0,2
glory,2,0,2
fingers,2,0,2
fall,2,0,2
especially,2,0,2
discount,2,0,2
bleeding,2,0,2
blade,2,0,2
bed,2,0,2
amazing,2,0,2
aint,2,0,2
writing,1,0,1
wrists,1,0,1
wreckage,1,0,1
wrap,1,0,1
worst,1,0,1
worship,1,0,1
wondering,1,0,1
women,1,0,1
wise,1,0,1
window,1,0,1
wind,1,0,1
wick,1,0,1
whores,1,0,1
whore,1,0,1
wholeness,1,0,1
whoa,1,0,1
whered,1,0,1
week,1,0,1
warranties,1,0,1
warming,1,0,1
waah,1,0,1
voice,1,0,1
veins,1,0,1
upright,1,0,1
unofficially,1,0,1
unleash,1,0,1
undoing,1,0,1
uh,1,0,1
turns,1,0,1
turned,1,0,1
trip,1,0,1
treys,1,0,1
tremendous,1,0,1
trees,1,0,1
treating,1,0,1
treat,1,0,1
travel,1,0,1
trash,1,0,1
trail,1,0,1
tragedy,1,0,1
towels,1,0,1
totally,1,0,1
todays,1,0,1
tits,1,0,1
tiny,1,0,1
thy,1,0,1
throat,1,0,1
threefold,1,0,1
therapy,1,0,1
theological,1,0,1
tempting,1,0,1
temple,1,0,1
tells,1,0,1
taxis,1,0,1
survivors,1,0,1
survival,1,0,1
surround,1,0,1
surrender,1,0,1
superb,1,0,1
sun,1,0,1
summon,1,0,1
suits,1,0,1
suffering,1,0,1
suffer,1,0,1
subtle,1,0,1
strong,1,0,1
strange,1,0,1
stir,1,0,1
sting,1,0,1
stepford,1,0,1
steals,1,0,1
starts,1,0,1
start,1,0,1
stare,1,0,1
standard,1,0,1
stairs,1,0,1
stadium,1,0,1
st,1,0,1
square,1,0,1
spreads,1,0,1
sprained,1,0,1
spiritual,1,0,1
spent,1,0,1
spending,1,0,1
spanish,1,0,1
space,1,0,1
song,1,0,1
somewhat,1,0,1
somethin,1,0,1
social,1,0,1
snakes,1,0,1
snail,1,0,1
smaller,1,0,1
slick,1,0,1
sleeping,1,0,1
sister,1,0,1
simpler,1,0,1
shy,1,0,1
shrunken,1,0,1
shouldve,1,0,1
shopping,1,0,1
shone,1,0,1
shitty,1,0,1
shell,1,0,1
shear,1,0,1
sharp,1,0,1
shark,1,0,1
shape,1,0,1
shampoo,1,0,1
seventy,1,0,1
set,1,0,1
send,1,0,1
sell,1,0,1
seeing,1,0,1
seat,1,0,1
sea,1,0,1
screwing,1,0,1
screwed,1,0,1
scattered,1,0,1
saunders,1,0,1
satan,1,0,1
sarahs,1,0,1
safe,1,0,1
rushed,1,0,1
running,1,0,1
ruler,1,0,1
rocks,1,0,1
rock,1,0,1
ring,1,0,1
restaurant,1,0,1
respect,1,0,1
relieved,1,0,1
relatively,1,0,1
regarding,1,0,1
