word,The Craft,Harry Potter and the Prisoner of Azkaban,total
dont,63,49,112
know,57,44,101
come,30,69,99
im,56,30,86
go,44,37,81
thats,26,42,68
like,36,30,66
think,30,35,65
yeah,42,19,61
oh,31,28,59
good,23,35,58
youre,31,23,54
see,17,37,54
right,23,28,51
want,34,16,50
look,27,20,47
really,26,18,44
hes,17,27,44
sorry,25,17,42
back,17,25,42
didnt,19,20,39
okay,21,15,36
yes,8,27,35
whats,24,11,35
going,22,12,34
wait,16,16,32
time,5,27,32
please,20,12,32
black,3,29,32
ill,16,15,31
cant,18,13,31
way,11,19,30
little,14,16,30
mean,16,11,27
take,9,17,26
stop,23,3,26
theyre,11,14,25
gonna,15,9,24
need,14,9,23
lets,9,14,23
guys,18,5,23
god,20,3,23
tell,9,13,22
shes,20,2,22
kill,6,16,22
away,8,14,22
nice,9,10,19
man,6,13,19
keep,5,14,19
maybe,15,3,18
make,10,8,18
ive,5,13,18
give,6,12,18
thought,9,8,17
thing,7,10,17
sure,7,10,17
doing,8,9,17
talking,7,9,16
shall,2,14,16
head,12,4,16
boy,1,15,16
better,6,10,16
three,8,7,15
power,12,3,15
night,3,12,15
magic,8,7,15
hear,8,7,15
feel,8,7,15
dad,6,9,15
turn,2,12,14
run,4,10,14
mind,4,10,14
great,5,9,14
fine,8,6,14
dead,5,9,14
coming,4,10,14
youll,2,11,13
witch,8,5,13
understand,8,5,13
trying,6,7,13
saw,2,11,13
put,6,7,13
mr,2,11,13
move,4,9,13
made,5,8,13
looking,7,6,13
listen,6,7,13
harm,10,3,13
happened,7,6,13
day,3,10,13
youve,1,11,12
wont,1,11,12
thank,3,9,12
stay,6,6,12
old,2,10,12
love,11,1,12
light,9,3,12
killed,6,6,12
home,9,3,12
father,2,10,12
two,1,10,11
things,6,5,11
theres,4,7,11
room,3,8,11
people,8,3,11
life,6,5,11
hell,4,7,11
find,3,8,11
brilliant,1,10,11
wrong,5,5,10
try,4,6,10
shut,5,5,10
mother,5,5,10
gone,3,7,10
doesnt,6,4,10
believe,6,4,10
arent,4,6,10
told,5,4,9
times,7,2,9
saying,8,1,9
read,5,4,9
looks,3,6,9
itll,1,8,9
isnt,2,7,9
id,2,7,9
hey,1,8,9
help,5,4,9
hello,4,5,9
heard,2,7,9
funny,3,6,9
friends,4,5,9
eyes,4,5,9
excuse,1,8,9
call,6,3,9
big,6,3,9
beautiful,6,3,9
bad,6,3,9
whos,4,4,8
watch,6,2,8
wanted,4,4,8
true,3,5,8
talk,4,4,8
supposed,4,4,8
show,3,5,8
school,4,4,8
real,5,3,8
ready,3,5,8
place,4,4,8
open,2,6,8
hold,6,2,8
form,2,6,8
forget,4,4,8
finger,5,3,8
expect,1,7,8
enter,4,4,8
course,3,5,8
actually,4,4,8
weird,6,1,7
tonight,2,5,7
today,3,4,7
somebody,3,4,7
sit,4,3,7
seen,2,5,7
remember,3,4,7
reason,3,4,7
quiet,1,6,7
minute,2,5,7
live,1,6,7
leave,5,2,7
later,2,5,7
inside,5,2,7
havent,2,5,7
hair,5,2,7
girl,6,1,7
gave,3,4,7
five,4,3,7
fear,2,5,7
earth,6,1,7
dark,1,6,7
came,3,4,7
ask,4,3,7
weve,2,4,6
wasnt,1,5,6
walk,2,4,6
use,3,3,6
truth,2,4,6
touch,5,1,6
thinking,4,2,6
stuff,4,2,6
spell,5,1,6
shape,1,5,6
set,1,5,6
second,5,1,6
scared,4,2,6
red,4,2,6
new,3,3,6
nature,3,3,6
money,5,1,6
matter,5,1,6
long,1,5,6
idea,1,5,6
heart,3,3,6
heads,3,3,6
having,3,3,6
happen,5,1,6
hang,3,3,6
gotta,5,1,6
getting,4,2,6
exactly,1,5,6
end,4,2,6
eat,1,5,6
bitch,5,1,6
worst,1,4,5
world,1,4,5
work,3,2,5
wonderful,1,4,5
whoa,1,4,5
weak,4,1,5
wanna,2,3,5
tomorrow,2,3,5
thanks,2,3,5
teach,1,4,5
sweet,2,3,5
sleep,2,3,5
seeing,1,4,5
practice,4,1,5
powerful,2,3,5
play,2,3,5
person,1,4,5
ones,1,4,5
makes,4,1,5
lot,2,3,5
late,3,2,5
lady,1,4,5
imagine,1,4,5
happy,1,4,5
hand,2,3,5
felt,1,4,5
drink,4,1,5
deep,3,2,5
dangerous,1,4,5
care,1,4,5
called,3,2,5
book,4,1,5
betrayed,1,4,5
youd,2,2,4
wouldnt,1,3,4
woman,1,3,4
waiting,2,2,4
used,2,2,4
upstairs,1,3,4
straight,2,2,4
start,1,3,4
spirit,3,1,4
south,3,1,4
sort,1,3,4
send,1,3,4
outside,2,2,4
miss,1,3,4
major,1,3,4
knows,1,3,4
kind,2,2,4
hurt,2,2,4
house,3,1,4
honestly,1,3,4
happening,3,1,4
guess,3,1,4
goes,2,2,4
given,1,3,4
full,1,3,4
found,2,2,4
follow,1,3,4
flying,3,1,4
feeling,2,2,4
fat,1,3,4
door,1,3,4
devil,3,1,4
concentrate,2,2,4
completely,3,1,4
comes,3,1,4
close,3,1,4
class,1,3,4
calm,2,2,4
bring,1,3,4
ancient,1,3,4
ago,1,3,4
wise,1,2,3
ways,2,1,3
voice,1,2,3
usually,2,1,3
turns,1,2,3
tried,2,1,3
telling,1,2,3
taking,1,2,3
steal,2,1,3
st,1,2,3
speak,1,2,3
shy,1,2,3
scary,2,1,3
saved,1,2,3
save,1,2,3
safe,1,2,3
rest,1,2,3
probably,1,2,3
possible,1,2,3
poor,1,2,3
pieces,1,2,3
painful,1,2,3
moving,1,2,3
morning,1,2,3
missing,1,2,3
mad,1,2,3
luck,1,2,3
leaving,1,2,3
joke,2,1,3
impressed,2,1,3
green,2,1,3
fool,1,2,3
fly,2,1,3
fill,1,2,3
far,2,1,3
fall,2,1,3
face,1,2,3
especially,2,1,3
dreams,2,1,3
dream,2,1,3
deserve,1,2,3
deal,2,1,3
damn,1,2,3
clear,1,2,3
bed,2,1,3
area,1,2,3
amazing,2,1,3
allow,1,2,3
worship,1,1,2
wonder,1,1,2
wind,1,1,2
turned,1,1,2
trees,1,1,2
treat,1,1,2
theyd,1,1,2
suspect,1,1,2
sun,1,1,2
suffering,1,1,2
suffer,1,1,2
strong,1,1,2
spent,1,1,2
soon,1,1,2
sister,1,1,2
shopping,1,1,2
seriously,1,1,2
running,1,1,2
rude,1,1,2
rocks,1,1,2
respect,1,1,2
reading,1,1,2
pipe,1,1,2
pig,1,1,2
pass,1,1,2
part,1,1,2
needs,1,1,2
nasty,1,1,2
mrs,1,1,2
mothers,1,1,2
moon,1,1,2
mark,1,1,2
magical,1,1,2
lying,1,1,2
low,1,1,2
looked,1,1,2
lie,1,1,2
leaves,1,1,2
known,1,1,2
half,1,1,2
guardian,1,1,2
group,1,1,2
four,1,1,2
focus,1,1,2
floors,1,1,2
fixed,1,1,2
feet,1,1,2
fathers,1,1,2
different,1,1,2
died,1,1,2
deserved,1,1,2
deaf,1,1,2
dads,1,1,2
cruel,1,1,2
coward,1,1,2
control,1,1,2
clean,1,1,2
chance,1,1,2
cast,1,1,2
brush,1,1,2
bitten,1,1,2
beauty,1,1,2
arm,1,1,2
anybody,1,1,2
sarah,29,0,29
nancy,21,0,21
chris,17,0,17
shit,13,0,13
powers,10,0,10
manon,10,0,10
invoke,10,0,10
thee,9,0,9
hi,9,0,9
girls,9,0,9
watchtowers,8,0,8
laura,8,0,8
honey,8,0,8
hail,8,0,8
guardians,8,0,8
working,7,0,7
pay,7,0,7
bonnie,7,0,7
pathetic,6,0,6
north,6,0,6
hit,6,0,6
hate,6,0,6
fourth,6,0,6
circle,6,0,6
rochelle,5,0,5
pretty,5,0,5
paranoid,5,0,5
francis,5,0,5
connie,5,0,5
cause,5,0,5
air,5,0,5
water,4,0,4
tricky,4,0,4
sisters,4,0,4
scars,4,0,4
san,4,0,4
perfect,4,0,4
mom,4,0,4
lights,4,0,4
francisco,4,0,4
football,4,0,4
fire,4,0,4
feather,4,0,4
couch,4,0,4
bye,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
white,3,0,3
west,3,0,3
tv,3,0,3
surprised,3,0,3
stiff,3,0,3
spells,3,0,3
serpent,3,0,3
relax,3,0,3
ray,3,0,3
natural,3,0,3
jesus,3,0,3
jealous,3,0,3
hows,3,0,3
heavy,3,0,3
guy,3,0,3
glamour,3,0,3
exist,3,0,3
everybody,3,0,3
east,3,0,3
downs,3,0,3
cry,3,0,3
crazy,3,0,3
corners,3,0,3
car,3,0,3
butt,3,0,3
body,3,0,3
blonde,3,0,3
bill,3,0,3
bigger,3,0,3
balance,3,0,3
apartment,3,0,3
afraid,3,0,3
worked,2,0,2
witches,2,0,2
win,2,0,2
whyd,2,0,2
weirdos,2,0,2
warm,2,0,2
unto,2,0,2
uniform,2,0,2
undo,2,0,2
underneath,2,0,2
twenty,2,0,2
trust,2,0,2
throwing,2,0,2
takes,2,0,2
surprise,2,0,2
sucks,2,0,2
storm,2,0,2
started,2,0,2
special,2,0,2
slut,2,0,2
slit,2,0,2
size,2,0,2
salon,2,0,2
rush,2,0,2
rub,2,0,2
roof,2,0,2
rochelles,2,0,2
results,2,0,2
relaxed,2,0,2
reach,2,0,2
ran,2,0,2
procedure,2,0,2
policy,2,0,2
plane,2,0,2
phone,2,0,2
peace,2,0,2
party,2,0,2
noninvasive,2,0,2
needle,2,0,2
nah,2,0,2
mine,2,0,2
middle,2,0,2
loved,2,0,2
learn,2,0,2
laid,2,0,2
keeps,2,0,2
juke,2,0,2
jerk,2,0,2
jenny,2,0,2
hundred,2,0,2
huh,2,0,2
howd,2,0,2
hour,2,0,2
hot,2,0,2
hooker,2,0,2
holy,2,0,2
hard,2,0,2
hanging,2,0,2
goddamn,2,0,2
glory,2,0,2
fingers,2,0,2
experience,2,0,2
discount,2,0,2
dinner,2,0,2
definitely,2,0,2
days,2,0,2
darling,2,0,2
couldnt,2,0,2
busy,2,0,2
box,2,0,2
blessed,2,0,2
bleeding,2,0,2
blade,2,0,2
baby,2,0,2
apologize,2,0,2
anyway,2,0,2
aint,2,0,2
accident,2,0,2
writing,1,0,1
write,1,0,1
wrists,1,0,1
wreckage,1,0,1
wrap,1,0,1
wow,1,0,1
wondering,1,0,1
women,1,0,1
wish,1,0,1
window,1,0,1
wick,1,0,1
whores,1,0,1
whore,1,0,1
wholeness,1,0,1
whered,1,0,1
whatd,1,0,1
week,1,0,1
wear,1,0,1
watching,1,0,1
warranties,1,0,1
warming,1,0,1
waah,1,0,1
view,1,0,1
veins,1,0,1
upright,1,0,1
unofficially,1,0,1
unleash,1,0,1
undoing,1,0,1
uh,1,0,1
trip,1,0,1
treys,1,0,1
tremendous,1,0,1
treating,1,0,1
travel,1,0,1
trash,1,0,1
trail,1,0,1
tragedy,1,0,1
towels,1,0,1
totally,1,0,1
todays,1,0,1
tits,1,0,1
tiny,1,0,1
thy,1,0,1
throat,1,0,1
threefold,1,0,1
thoughts,1,0,1
therapy,1,0,1
theological,1,0,1
tempting,1,0,1
temple,1,0,1
tells,1,0,1
taxis,1,0,1
survivors,1,0,1
survival,1,0,1
surround,1,0,1
surrender,1,0,1
superb,1,0,1
summon,1,0,1
