word,The Craft,Harry Potter and the Sorcerer s Stone,total
dont,63,21,84
im,56,27,83
go,44,36,80
know,57,22,79
oh,31,39,70
come,30,29,59
back,17,41,58
like,36,18,54
youre,31,19,50
see,17,31,48
thats,26,21,47
right,23,23,46
looks,3,43,46
think,30,15,45
good,23,22,45
want,34,10,44
look,27,17,44
yeah,42,1,43
head,12,30,42
going,22,17,39
stop,23,11,34
really,26,8,34
whats,24,9,33
sorry,25,8,33
please,20,13,33
hes,17,13,30
didnt,19,10,29
cant,18,10,28
way,11,16,27
man,6,19,25
make,10,15,25
comes,3,22,25
okay,21,3,24
door,1,23,24
boy,1,23,24
mr,2,21,23
mean,16,7,23
away,8,15,23
wait,16,5,21
tell,9,12,21
take,9,12,21
shes,20,1,21
need,14,7,21
maybe,15,6,21
little,14,7,21
later,2,19,21
great,5,16,21
yes,8,12,20
day,3,17,20
two,1,18,19
people,8,11,19
ill,16,3,19
gonna,15,4,19
goes,2,17,19
three,8,10,18
house,3,15,18
theyre,11,6,17
hat,1,16,17
hand,2,15,17
looking,7,9,16
girl,6,10,16
called,3,13,16
snake,1,14,15
put,6,9,15
outside,2,13,15
magic,8,7,15
lets,9,6,15
leave,5,10,15
help,5,10,15
doing,8,7,15
class,1,14,15
air,5,10,15
witch,8,6,14
whoa,1,13,14
turns,1,13,14
time,5,9,14
takes,2,12,14
run,4,10,14
room,3,11,14
nice,9,5,14
light,9,5,14
hair,5,9,14
give,6,8,14
walk,2,11,13
theres,4,9,13
ive,5,8,13
better,6,7,13
bad,6,7,13
understand,8,4,12
thought,9,3,12
thing,7,5,12
talking,7,5,12
sure,7,5,12
red,4,8,12
love,11,1,12
keep,5,7,12
girls,9,3,12
game,1,11,12
find,3,9,12
watch,6,5,11
saying,8,3,11
mrs,1,10,11
mind,4,7,11
inside,5,6,11
hey,1,10,11
hello,4,7,11
happened,7,4,11
fine,8,3,11
eyes,4,7,11
course,3,8,11
turn,2,8,10
try,4,6,10
times,7,3,10
things,6,4,10
spell,5,5,10
school,4,6,10
pay,7,3,10
move,4,6,10
leaves,1,9,10
ground,1,9,10
fire,4,6,10
feel,8,2,10
feather,4,6,10
doesnt,6,4,10
dad,6,4,10
wrong,5,4,9
working,7,2,9
work,3,6,9
window,1,8,9
