word,The Craft,Kikis Delivery Service,total
im,56,62,118
dont,63,35,98
go,44,42,86
like,36,47,83
know,57,19,76
right,23,48,71
thats,26,36,62
oh,31,31,62
youre,31,27,58
going,22,33,55
come,30,25,55
want,34,18,52
good,23,23,46
really,26,19,45
look,27,18,45
yeah,42,1,43
ill,16,27,43
sorry,25,16,41
think,30,10,40
witch,8,30,38
yes,8,28,36
please,20,16,36
cant,18,18,36
stop,23,12,35
whats,24,10,34
little,14,20,34
didnt,19,15,34
time,5,28,33
shes,20,12,32
see,17,14,31
okay,21,8,29
wait,16,11,27
thank,3,22,25
make,10,15,25
take,9,15,24
back,17,7,24
nice,9,14,23
lets,9,14,23
mother,5,17,22
girl,6,16,22
way,11,10,21
thought,9,12,21
wont,1,19,20
theyre,11,8,19
home,9,10,19
hes,17,2,19
flying,3,16,19
beautiful,6,13,19
mean,16,2,18
hey,1,17,18
fly,2,16,18
away,8,10,18
sure,7,10,17
house,3,14,17
day,3,14,17
big,6,11,17
arent,4,13,17
maybe,15,1,16
isnt,2,14,16
people,8,7,15
need,14,1,15
magic,8,7,15
hear,8,6,14
head,12,2,14
great,5,9,14
girls,9,5,14
tell,9,4,13
room,3,10,13
love,11,2,13
ive,5,8,13
help,5,8,13
happened,7,6,13
fine,8,5,13
witches,2,10,12
stay,6,6,12
powers,10,2,12
party,2,10,12
morning,1,11,12
minute,2,10,12
looking,7,5,12
leave,5,7,12
came,3,9,12
black,3,9,12
wonder,1,10,11
understand,8,3,11
times,7,4,11
theres,4,7,11
saying,8,3,11
mind,4,7,11
huh,2,9,11
better,6,5,11
work,3,7,10
wind,1,9,10
use,3,7,10
tv,3,7,10
told,5,5,10
talking,7,3,10
money,5,5,10
made,5,5,10
looks,3,7,10
keep,5,5,10
hold,6,4,10
hi,9,1,10
happen,5,5,10
give,6,4,10
find,3,7,10
feel,8,2,10
car,3,7,10
call,6,4,10
tonight,2,7,9
thing,7,2,9
soon,1,8,9
shall,2,7,9
put,6,3,9
pretty,5,4,9
phone,2,7,9
old,2,7,9
matter,5,4,9
lot,2,7,9
listen,6,3,9
late,3,6,9
inside,5,4,9
hello,4,5,9
friends,4,5,9
doing,8,1,9
doesnt,6,3,9
boy,1,8,9
air,5,4,9
wrong,5,3,8
working,7,1,8
waiting,2,6,8
turn,2,6,8
today,3,5,8
thinking,4,4,8
things,6,2,8
move,4,4,8
long,1,7,8
lady,1,7,8
id,2,6,8
high,1,7,8
hate,6,2,8
hard,2,6,8
eat,1,7,8
wonderful,1,6,7
weird,6,1,7
water,4,3,7
trying,6,1,7
sit,4,3,7
scared,4,3,7
person,1,6,7
open,2,5,7
mrs,1,6,7
man,6,1,7
life,6,1,7
itll,1,6,7
hit,6,1,7
havent,2,5,7
guess,3,4,7
dad,6,1,7
coming,4,3,7
clear,1,6,7
circle,6,1,7
bye,4,3,7
bad,6,1,7
ask,4,3,7
ago,1,6,7
weak,4,2,6
used,2,4,6
true,3,3,6
spirit,3,3,6
show,3,3,6
second,5,1,6
ready,3,3,6
place,4,2,6
part,1,5,6
live,1,5,6
later,2,4,6
hows,3,3,6
higher,1,5,6
getting,4,2,6
funny,3,3,6
father,2,4,6
excuse,1,5,6
dead,5,1,6
daughter,1,5,6
course,3,3,6
cause,5,1,6
youll,2,3,5
write,1,4,5
whos,4,1,5
white,3,2,5
wanted,4,1,5
try,4,1,5
tomorrow,2,3,5
thanks,2,3,5
talk,4,1,5
supposed,4,1,5
south,3,2,5
side,1,4,5
sea,1,4,5
run,4,1,5
roof,2,3,5
remember,3,2,5
rain,1,4,5
perfect,4,1,5
night,3,2,5
miss,1,4,5
idea,1,4,5
hot,2,3,5
hell,4,1,5
heavy,3,2,5
having,3,2,5
glad,1,4,5
full,1,4,5
found,2,3,5
forget,4,1,5
fire,4,1,5
fault,1,4,5
far,2,3,5
face,1,4,5
eyes,4,1,5
door,1,4,5
cute,1,4,5
cry,3,2,5
close,3,2,5
careful,1,4,5
called,3,2,5
bring,1,4,5
bedroom,1,4,5
bed,2,3,5
youd,2,2,4
worked,2,2,4
weve,2,2,4
west,3,1,4
wasnt,1,3,4
walk,2,2,4
voice,1,3,4
upstairs,1,3,4
uh,1,3,4
truth,2,2,4
takes,2,2,4
straight,2,2,4
stiff,3,1,4
start,1,3,4
spells,3,1,4
sleep,2,2,4
shopping,1,3,4
seen,2,2,4
saw,2,2,4
running,1,3,4
new,3,1,4
moon,1,3,4
mister,1,3,4
mad,1,3,4
leaving,1,3,4
leaves,1,3,4
kitchen,1,3,4
kind,2,2,4
jealous,3,1,4
heads,3,1,4
guy,3,1,4
gone,3,1,4
food,1,3,4
feeling,2,2,4
fall,2,2,4
