word,The Craft,Lords of Salem,total
know,57,41,98
im,56,40,96
dont,63,30,93
yeah,42,30,72
come,30,39,69
oh,31,30,61
go,44,16,60
like,36,19,55
think,30,22,52
really,26,24,50
right,23,21,44
good,23,20,43
look,27,15,42
youre,31,9,40
want,34,2,36
thats,26,10,36
going,22,10,32
sorry,25,6,31
see,17,14,31
little,14,16,30
gonna,15,15,30
god,20,9,29
back,17,12,29
mean,16,12,28
ill,16,12,28
please,20,7,27
whats,24,2,26
wait,16,10,26
stop,23,3,26
shes,20,5,25
make,10,12,22
didnt,19,3,22
cant,18,3,21
maybe,15,5,20
lets,9,11,20
hear,8,12,20
guys,18,2,20
man,6,13,19
head,12,7,19
way,11,7,18
thought,9,9,18
need,14,4,18
hi,9,9,18
hes,17,1,18
love,11,6,17
yes,8,8,16
take,9,7,16
shit,13,3,16
listen,6,10,16
tell,9,6,15
night,3,12,15
home,9,6,15
understand,8,6,14
sure,7,7,14
hey,1,13,14
book,4,10,14
witch,8,5,13
theyre,11,2,13
ready,3,10,13
give,6,7,13
girl,6,7,13
francis,5,8,13
earth,6,7,13
dead,5,8,13
satan,1,11,12
nice,9,3,12
mind,4,8,12
big,6,6,12
thank,3,8,11
hell,4,7,11
feel,8,3,11
doing,8,3,11
time,5,5,10
read,5,5,10
people,8,2,10
light,9,1,10
later,2,8,10
gotta,5,5,10
day,3,7,10
call,6,4,10
better,6,4,10
believe,6,4,10
actually,4,6,10
wrong,5,4,9
weve,2,7,9
things,6,3,9
saying,8,1,9
new,3,6,9
mr,2,7,9
life,6,3,9
inside,5,4,9
help,5,4,9
hello,4,5,9
hate,6,3,9
hail,8,1,9
five,4,5,9
fine,8,1,9
called,3,6,9
witches,2,6,8
watch,6,2,8
trying,6,2,8
today,3,5,8
thing,7,1,8
talk,4,4,8
sit,4,4,8
show,3,5,8
second,5,3,8
real,5,3,8
looking,7,1,8
hold,6,2,8
great,5,3,8
fuck,1,7,8
doesnt,6,2,8
darling,2,6,8
bye,4,4,8
beautiful,6,2,8
air,5,3,8
world,1,6,7
told,5,2,7
stuff,4,3,7
stay,6,1,7
sisters,4,3,7
shall,2,5,7
put,6,1,7
open,2,5,7
mother,5,2,7
matter,5,2,7
kind,2,5,7
killed,6,1,7
kill,6,1,7
jesus,3,4,7
ive,5,2,7
hand,2,5,7
door,1,6,7
couch,4,3,7
coming,4,3,7
came,3,4,7
whos,4,2,6
waiting,2,4,6
try,4,2,6
theres,4,2,6
spirit,3,3,6
saw,2,4,6
reason,3,3,6
pretty,5,1,6
place,4,2,6
move,4,2,6
learn,2,4,6
keep,5,1,6
hair,5,1,6
guy,3,3,6
guess,3,3,6
group,1,5,6
getting,4,2,6
eyes,4,2,6
end,4,2,6
drink,4,2,6
diary,1,5,6
coven,1,5,6
baby,2,4,6
apartment,3,3,6
whore,1,4,5
wanna,2,3,5
walk,2,3,5
use,3,2,5
uh,1,4,5
tomorrow,2,3,5
thinking,4,1,5
thanks,2,3,5
outside,2,3,5
mom,4,1,5
makes,4,1,5
known,1,4,5
hour,2,3,5
forget,4,1,5
find,3,2,5
father,2,3,5
course,3,2,5
comes,3,2,5
child,1,4,5
body,3,2,5
blessed,2,3,5
ask,4,1,5
arent,4,1,5
youve,1,3,4
work,3,1,4
wish,1,3,4
whores,1,3,4
turn,2,2,4
truth,2,2,4
true,3,1,4
trash,1,3,4
tonight,2,2,4
somebody,3,1,4
sleep,2,2,4
serpent,3,1,4
rush,2,2,4
restaurant,1,3,4
remember,3,1,4
police,1,3,4
play,2,2,4
pig,1,3,4
peace,2,2,4
part,1,3,4
old,2,2,4
morning,1,3,4
miss,1,3,4
minute,2,2,4
live,1,3,4
late,3,1,4
knows,1,3,4
isnt,2,2,4
hows,3,1,4
house,3,1,4
hot,2,2,4
holy,2,2,4
heard,2,2,4
having,3,1,4
hang,3,1,4
funny,3,1,4
found,2,2,4
exist,3,1,4
exactly,1,3,4
everybody,3,1,4
devil,3,1,4
definitely,2,2,4
deep,3,1,4
deal,2,2,4
cry,3,1,4
crazy,3,1,4
close,3,1,4
christ,1,3,4
check,1,3,4
care,1,3,4
car,3,1,4
boy,1,3,4
anyway,2,2,4
ago,1,3,4
youd,2,1,3
wont,1,2,3
wondering,1,2,3
woman,1,2,3
whoa,1,2,3
ways,2,1,3
wasnt,1,2,3
used,2,1,3
thoughts,1,2,3
suffering,1,2,3
stupid,1,2,3
story,1,2,3
start,1,2,3
special,2,1,3
save,1,2,3
probably,1,2,3
played,1,2,3
phone,2,1,3
party,2,1,3
news,1,2,3
needle,2,1,3
mass,1,2,3
long,1,2,3
la,1,2,3
kids,1,2,3
important,1,2,3
imagine,1,2,3
id,2,1,3
huh,2,1,3
howd,2,1,3
hard,2,1,3
glory,2,1,3
fill,1,2,3
felt,1,2,3
feeling,2,1,3
fear,2,1,3
excuse,1,2,3
especially,2,1,3
de,1,2,3
days,2,1,3
cool,1,2,3
city,1,2,3
chance,1,2,3
calm,2,1,3
busy,2,1,3
burn,1,2,3
box,2,1,3
blade,2,1,3
bathroom,1,2,3
write,1,1,2
worship,1,1,2
wonderful,1,1,2
women,1,1,2
wind,1,1,2
wear,1,1,2
watching,1,1,2
voice,1,1,2
upstairs,1,1,2
two,1,1,2
teach,1,1,2
strong,1,1,2
st,1,1,2
speak,1,1,2
soon,1,1,2
song,1,1,2
sister,1,1,2
shell,1,1,2
sell,1,1,2
saved,1,1,2
sad,1,1,2
ruler,1,1,2
rude,1,1,2
rocks,1,1,2
rest,1,1,2
questions,1,1,2
price,1,1,2
pray,1,1,2
poor,1,1,2
person,1,1,2
officials,1,1,2
mrs,1,1,2
moving,1,1,2
mothers,1,1,2
missing,1,1,2
mexican,1,1,2
message,1,1,2
mark,1,1,2
listening,1,1,2
leaves,1,1,2
lay,1,1,2
interesting,1,1,2
idea,1,1,2
hiding,1,1,2
happy,1,1,2
half,1,1,2
hairy,1,1,2
grace,1,1,2
gift,1,1,2
gathering,1,1,2
fun,1,1,2
food,1,1,2
face,1,1,2
eat,1,1,2
different,1,1,2
died,1,1,2
date,1,1,2
damn,1,1,2
cute,1,1,2
crash,1,1,2
company,1,1,2
clean,1,1,2
bring,1,1,2
bet,1,1,2
beaucoup,1,1,2
attention,1,1,2
anybody,1,1,2
sarah,29,0,29
okay,21,0,21
nancy,21,0,21
chris,17,0,17
power,12,0,12
powers,10,0,10
manon,10,0,10
invoke,10,0,10
harm,10,0,10
thee,9,0,9
girls,9,0,9
watchtowers,8,0,8
three,8,0,8
magic,8,0,8
laura,8,0,8
honey,8,0,8
guardians,8,0,8
away,8,0,8
working,7,0,7
times,7,0,7
talking,7,0,7
pay,7,0,7
happened,7,0,7
bonnie,7,0,7
weird,6,0,6
pathetic,6,0,6
north,6,0,6
hit,6,0,6
fourth,6,0,6
dad,6,0,6
circle,6,0,6
bad,6,0,6
touch,5,0,5
spell,5,0,5
shut,5,0,5
rochelle,5,0,5
paranoid,5,0,5
money,5,0,5
made,5,0,5
leave,5,0,5
happen,5,0,5
finger,5,0,5
connie,5,0,5
cause,5,0,5
bitch,5,0,5
weak,4,0,4
water,4,0,4
wanted,4,0,4
tricky,4,0,4
supposed,4,0,4
school,4,0,4
scars,4,0,4
scared,4,0,4
san,4,0,4
run,4,0,4
red,4,0,4
practice,4,0,4
perfect,4,0,4
lights,4,0,4
friends,4,0,4
francisco,4,0,4
football,4,0,4
fire,4,0,4
feather,4,0,4
enter,4,0,4
board,4,0,4
bind,4,0,4
ass,4,0,4
white,3,0,3
west,3,0,3
tv,3,0,3
surprised,3,0,3
stiff,3,0,3
spells,3,0,3
south,3,0,3
room,3,0,3
relax,3,0,3
ray,3,0,3
nature,3,0,3
natural,3,0,3
looks,3,0,3
jealous,3,0,3
heavy,3,0,3
heart,3,0,3
heads,3,0,3
happening,3,0,3
gone,3,0,3
glamour,3,0,3
gave,3,0,3
flying,3,0,3
east,3,0,3
downs,3,0,3
corners,3,0,3
completely,3,0,3
butt,3,0,3
blonde,3,0,3
black,3,0,3
bill,3,0,3
bigger,3,0,3
balance,3,0,3
afraid,3,0,3
youll,2,0,2
worked,2,0,2
win,2,0,2
whyd,2,0,2
weirdos,2,0,2
warm,2,0,2
usually,2,0,2
unto,2,0,2
uniform,2,0,2
undo,2,0,2
underneath,2,0,2
twenty,2,0,2
trust,2,0,2
tried,2,0,2
throwing,2,0,2
takes,2,0,2
sweet,2,0,2
surprise,2,0,2
sucks,2,0,2
straight,2,0,2
storm,2,0,2
steal,2,0,2
started,2,0,2
slut,2,0,2
slit,2,0,2
size,2,0,2
seen,2,0,2
scary,2,0,2
salon,2,0,2
rub,2,0,2
roof,2,0,2
rochelles,2,0,2
results,2,0,2
relaxed,2,0,2
reach,2,0,2
ran,2,0,2
procedure,2,0,2
powerful,2,0,2
policy,2,0,2
plane,2,0,2
noninvasive,2,0,2
nah,2,0,2
mine,2,0,2
middle,2,0,2
loved,2,0,2
lot,2,0,2
laid,2,0,2
keeps,2,0,2
juke,2,0,2
joke,2,0,2
jerk,2,0,2
jenny,2,0,2
impressed,2,0,2
hurt,2,0,2
hundred,2,0,2
hooker,2,0,2
havent,2,0,2
hanging,2,0,2
green,2,0,2
goes,2,0,2
goddamn,2,0,2
form,2,0,2
fly,2,0,2
fingers,2,0,2
far,2,0,2
fall,2,0,2
experience,2,0,2
dreams,2,0,2
dream,2,0,2
discount,2,0,2
dinner,2,0,2
couldnt,2,0,2
concentrate,2,0,2
bleeding,2,0,2
bed,2,0,2
apologize,2,0,2
amazing,2,0,2
aint,2,0,2
accident,2,0,2
writing,1,0,1
wrists,1,0,1
wreckage,1,0,1
wrap,1,0,1
wow,1,0,1
wouldnt,1,0,1
worst,1,0,1
wonder,1,0,1
wise,1,0,1
window,1,0,1
wick,1,0,1
wholeness,1,0,1
whered,1,0,1
whatd,1,0,1
week,1,0,1
warranties,1,0,1
warming,1,0,1
waah,1,0,1
view,1,0,1
veins,1,0,1
upright,1,0,1
unofficially,1,0,1
unleash,1,0,1
undoing,1,0,1
turns,1,0,1
turned,1,0,1
trip,1,0,1
treys,1,0,1
tremendous,1,0,1
trees,1,0,1
treating,1,0,1
treat,1,0,1
travel,1,0,1
trail,1,0,1
tragedy,1,0,1
towels,1,0,1
totally,1,0,1
todays,1,0,1
tits,1,0,1
tiny,1,0,1
thy,1,0,1
throat,1,0,1
threefold,1,0,1
theyd,1,0,1
therapy,1,0,1
theological,1,0,1
tempting,1,0,1
temple,1,0,1
tells,1,0,1
telling,1,0,1
taxis,1,0,1
taking,1,0,1
suspect,1,0,1
survivors,1,0,1
survival,1,0,1
surround,1,0,1
surrender,1,0,1
superb,1,0,1
sun,1,0,1
summon,1,0,1
suits,1,0,1
suffer,1,0,1
subtle,1,0,1
strange,1,0,1
stir,1,0,1
sting,1,0,1
stepford,1,0,1
steals,1,0,1
starts,1,0,1
stare,1,0,1
standard,1,0,1
stairs,1,0,1
stadium,1,0,1
square,1,0,1
spreads,1,0,1
sprained,1,0,1
split,1,0,1
