word,The Craft,Oz The Great and Powerful,total
girl,6,168,174
im,56,65,121
dont,63,37,100
oh,31,59,90
know,57,33,90
youre,31,55,86
looks,3,78,81
like,36,37,73
go,44,27,71
see,17,52,69
look,27,36,63
city,1,62,63
come,30,31,61
back,17,44,61
turns,1,59,60
good,23,35,58
think,30,26,56
yeah,42,13,55
want,34,17,51
thats,26,21,47
hand,2,44,46
gonna,15,29,44
going,22,22,44
yes,8,34,42
starts,1,40,41
witch,8,32,40
need,14,26,40
right,23,16,39
stop,23,15,38
shes,20,18,38
really,26,12,38
make,10,27,37
please,20,16,36
takes,2,33,35
people,8,26,34
head,12,22,34
away,8,25,33
cant,18,14,32
whats,24,7,31
okay,21,10,31
man,6,25,31
little,14,17,31
ill,16,15,31
hes,17,14,31
sorry,25,5,30
great,5,24,29
didnt,19,8,27
way,11,14,25
mean,16,9,25
tell,9,15,24
ive,5,19,24
hat,1,23,24
time,5,18,23
take,9,14,23
show,3,20,23
magic,8,15,23
lets,9,14,23
hear,8,15,23
sister,1,21,22
kill,6,16,22
watch,6,15,21
wait,16,5,21
thank,3,18,21
maybe,15,6,21
guys,18,3,21
walk,2,18,20
uh,1,19,20
thing,7,13,20
nice,9,11,20
inside,5,15,20
give,6,14,20
face,1,19,20
theyre,11,8,19
run,4,15,19
makes,4,15,19
box,2,17,19
put,6,12,18
hold,6,12,18
help,5,13,18
door,1,17,18
thought,9,8,17
love,11,6,17
believe,6,11,17
things,6,10,16
leave,5,11,16
ground,1,15,16
feel,8,8,16
theres,4,11,15
pretty,5,10,15
powerful,2,13,15
looking,7,8,15
long,1,14,15
girls,9,6,15
air,5,10,15
room,3,11,14
real,5,9,14
power,12,2,14
light,9,5,14
gone,3,11,14
doing,8,6,14
dark,1,13,14
course,3,11,14
comes,3,11,14
bag,1,13,14
wanted,4,9,13
told,5,8,13
start,1,12,13
plan,1,12,13
life,6,7,13
kind,2,11,13
hello,4,9,13
flying,3,10,13
fine,8,5,13
black,3,10,13
beautiful,6,7,13
ahead,1,12,13
water,4,8,12
turn,2,10,12
try,4,8,12
powers,10,2,12
listen,6,6,12
home,9,3,12
heart,3,9,12
hail,8,4,12
eyes,4,8,12
dead,5,7,12
youd,2,9,11
woman,1,10,11
wanna,2,9,11
two,1,10,11
three,8,3,11
sure,7,4,11
saying,8,3,11
save,1,10,11
made,5,6,11
knife,1,10,11
isnt,2,9,11
id,2,9,11
hi,9,2,11
harm,10,1,11
gotta,5,6,11
day,3,8,11
coming,4,7,11
body,3,8,11
big,6,5,11
youll,2,8,10
work,3,7,10
whos,4,6,10
trying,6,4,10
times,7,3,10
talking,7,3,10
shall,2,8,10
move,4,6,10
killed,6,4,10
happened,7,3,10
gives,1,9,10
father,2,8,10
close,3,7,10
better,6,4,10
youve,1,8,9
working,7,2,9
understand,8,1,9
running,1,8,9
remember,3,6,9
red,4,5,9
night,3,6,9
mind,4,5,9
hate,6,3,9
hard,2,7,9
getting,4,5,9
arent,4,5,9
wonderful,1,7,8
true,3,5,8
thinking,4,4,8
side,1,7,8
second,5,3,8
ready,3,5,8
poor,1,7,8
playing,1,7,8
outside,2,6,8
hit,6,2,8
havent,2,6,8
green,2,6,8
goes,2,6,8
fly,2,6,8
fire,4,4,8
find,3,5,8
fear,2,6,8
enter,4,4,8
cry,3,5,8
bad,6,2,8
wrong,5,2,7
weve,2,5,7
weird,6,1,7
use,3,4,7
supposed,4,3,7
spell,5,2,7
somebody,3,4,7
seen,2,5,7
scared,4,3,7
mine,2,5,7
mays,1,6,7
matter,5,2,7
later,2,5,7
keep,5,2,7
jacket,1,6,7
heard,2,5,7
happen,5,2,7
end,4,3,7
earth,6,1,7
doesnt,6,1,7
cause,5,2,7
actually,4,3,7
wont,1,5,6
witches,2,4,6
window,1,5,6
weak,4,2,6
truth,2,4,6
talk,4,2,6
sleep,2,4,6
sit,4,2,6
shut,5,1,6
shell,1,5,6
rock,1,5,6
place,4,2,6
pass,1,5,6
new,3,3,6
moving,1,5,6
moves,1,5,6
mother,5,1,6
hot,2,4,6
hey,1,5,6
heavy,3,3,6
happening,3,3,6
half,1,5,6
hair,5,1,6
group,1,5,6
five,4,2,6
finger,5,1,6
falling,1,5,6
curtains,1,5,6
curtain,1,5,6
clear,1,5,6
book,4,2,6
ask,4,2,6
afraid,3,3,6
world,1,4,5
wish,1,4,5
white,3,2,5
west,3,2,5
wasnt,1,4,5
waiting,2,3,5
voice,1,4,5
stuff,4,1,5
strong,1,4,5
spirit,3,2,5
sisters,4,1,5
set,1,4,5
seat,1,4,5
relax,3,2,5
perfect,4,1,5
open,2,3,5
ooh,1,4,5
old,2,3,5
mirror,1,4,5
middle,2,3,5
live,1,4,5
lights,4,1,5
huh,2,3,5
hows,3,2,5
honestly,1,4,5
hell,4,1,5
guess,3,2,5
given,1,4,5
gifts,1,4,5
gave,3,2,5
forget,4,1,5
follow,1,4,5
field,1,4,5
fall,2,3,5
eat,1,4,5
deep,3,2,5
couldnt,2,3,5
calm,2,3,5
allow,1,4,5
wow,1,3,4
worked,2,2,4
wonder,1,3,4
used,2,2,4
tonight,2,2,4
today,3,1,4
throwing,2,2,4
sharp,1,3,4
seeing,1,3,4
saved,1,3,4
rest,1,3,4
reason,3,1,4
reach,2,2,4
person,1,3,4
peace,2,2,4
ones,1,3,4
lying,1,3,4
leaves,1,3,4
late,3,1,4
lady,1,3,4
knows,1,3,4
itll,1,3,4
hurt,2,2,4
house,3,1,4
hiding,1,3,4
happy,1,3,4
far,2,2,4
expect,1,3,4
