word,The Craft,Pumpkinhead,total
know,57,28,85
dont,63,20,83
come,30,51,81
im,56,22,78
go,44,28,72
yeah,42,13,55
oh,31,23,54
okay,21,29,50
like,36,12,48
gonna,15,32,47
youre,31,11,42
want,34,7,41
right,23,18,41
stop,23,17,40
look,27,10,37
help,5,32,37
whats,24,11,35
think,30,5,35
please,20,15,35
cant,18,15,33
thats,26,6,32
man,6,26,32
god,20,12,32
sorry,25,5,30
really,26,4,30
hes,17,13,30
good,23,7,30
ill,16,12,28
back,17,11,28
gotta,5,21,26
going,22,4,26
chris,17,9,26
shes,20,4,24
didnt,19,5,24
mean,16,6,22
wait,16,5,21
stay,6,15,21
see,17,4,21
little,14,7,21
guys,18,3,21
away,8,13,21
thing,7,11,18
boy,1,16,17
way,11,5,16
tell,9,7,16
take,9,7,16
need,14,2,16
mr,2,14,16
theyre,11,4,15
hey,1,14,15
give,6,9,15
yes,8,6,14
shit,13,1,14
hear,8,6,14
power,12,1,13
honey,8,5,13
head,12,1,13
fine,8,5,13
dead,5,8,13
sure,7,5,12
love,11,1,12
lets,9,3,12
home,9,3,12
find,3,9,12
bad,6,6,12
thought,9,2,11
powers,10,1,11
old,2,9,11
make,10,1,11
kill,6,5,11
keep,5,6,11
aint,2,9,11
uh,1,9,10
told,5,5,10
things,6,4,10
thee,9,1,10
somethin,1,9,10
real,5,5,10
people,8,2,10
open,2,8,10
nice,9,1,10
killed,6,4,10
girls,9,1,10
doing,8,2,10
call,6,4,10
saw,2,7,9
pay,7,2,9
house,3,6,9
hit,6,3,9
happened,7,2,9
hail,8,1,9
big,6,3,9
wrong,5,3,8
time,5,3,8
theres,4,4,8
shut,5,3,8
put,6,2,8
pretty,5,3,8
move,4,4,8
made,5,3,8
listen,6,2,8
hold,6,2,8
guy,3,5,8
girl,6,2,8
door,1,7,8
doesnt,6,2,8
cause,5,3,8
believe,6,2,8
accident,2,6,8
youll,2,5,7
weird,6,1,7
watch,6,1,7
wanted,4,3,7
talk,4,3,7
run,4,3,7
life,6,1,7
leave,5,2,7
jesus,3,4,7
inside,5,2,7
hell,4,3,7
heard,2,5,7
great,5,2,7
goddamn,2,5,7
better,6,1,7
use,3,3,6
special,2,4,6
somebody,3,3,6
ready,3,3,6
place,4,2,6
phone,2,4,6
mind,4,2,6
jerk,2,4,6
ive,5,1,6
gone,3,3,6
friends,4,2,6
forget,4,2,6
day,3,3,6
called,3,3,6
wont,1,4,5
wanna,2,3,5
used,2,3,5
thank,3,2,5
sit,4,1,5
show,3,2,5
scared,4,1,5
mom,4,1,5
kind,2,3,5
hurt,2,3,5
huh,2,3,5
hello,4,1,5
guess,3,2,5
fuck,1,4,5
doin,1,4,5
damn,1,4,5
course,3,2,5
car,3,2,5
bring,1,4,5
work,3,1,4
woman,1,3,4
window,1,3,4
whoa,1,3,4
warm,2,2,4
tonight,2,2,4
today,3,1,4
straight,2,2,4
story,1,3,4
sleep,2,2,4
outside,2,2,4
looked,1,3,4
late,3,1,4
kids,1,3,4
heart,3,1,4
happening,3,1,4
found,2,2,4
