word,The Craft,Return to Halloweentown,total
im,56,63,119
dont,63,40,103
know,57,42,99
like,36,34,70
yeah,42,27,69
magic,8,61,69
oh,31,37,68
youre,31,33,64
want,34,28,62
go,44,18,62
thats,26,27,53
come,30,20,50
think,30,19,49
cant,18,28,46
right,23,22,45
really,26,19,45
sorry,25,17,42
power,12,30,42
good,23,19,42
whats,24,17,41
going,22,19,41
use,3,36,39
look,27,12,39
witch,8,28,36
shes,20,14,34
stop,23,10,33
need,14,19,33
mom,4,27,31
didnt,19,11,30
mean,16,13,29
see,17,11,28
ill,16,12,28
make,10,17,27
hey,1,26,27
gonna,15,12,27
back,17,10,27
little,14,12,26
maybe,15,10,25
hes,17,8,25
wait,16,8,24
please,20,4,24
man,6,18,24
guys,18,6,24
box,2,22,24
yes,8,15,23
time,5,18,23
gift,1,22,23
help,5,17,22
great,5,17,22
fine,8,14,22
three,8,13,21
theyre,11,9,20
tell,9,11,20
powers,10,10,20
love,11,9,20
way,11,8,19
away,8,11,19
thing,7,10,17
talk,4,13,17
hi,9,8,17
find,3,14,17
doing,8,9,17
thought,9,7,16
take,9,7,16
room,3,13,16
open,2,14,16
keep,5,11,16
home,9,7,16
call,6,10,16
witches,2,13,15
people,8,7,15
ive,5,10,15
believe,6,9,15
woman,1,13,14
give,6,8,14
girls,9,5,14
uh,1,12,13
things,6,7,13
theres,4,9,13
sure,7,6,13
stay,6,7,13
spell,5,8,13
school,4,9,13
nice,9,4,13
head,12,1,13
world,1,11,12
understand,8,4,12
thank,3,9,12
read,5,7,12
mother,5,7,12
lets,9,3,12
hello,4,8,12
gotta,5,7,12
girl,6,6,12
beautiful,6,6,12
wrong,5,6,11
wanted,4,7,11
two,1,10,11
sisters,4,7,11
saying,8,3,11
night,3,8,11
looking,7,4,11
kind,2,9,11
isnt,2,9,11
big,6,5,11
bad,6,5,11
work,3,7,10
wont,1,9,10
tonight,2,8,10
talking,7,3,10
ready,3,7,10
light,9,1,10
honey,8,2,10
doesnt,6,4,10
dad,6,4,10
boy,1,9,10
try,4,5,9
trust,2,7,9
times,7,2,9
real,5,4,9
miss,1,8,9
leave,5,4,9
inside,5,4,9
id,2,7,9
feel,8,1,9
class,1,8,9
actually,4,5,9
youll,2,6,8
working,7,1,8
wish,1,7,8
weird,6,2,8
watch,6,2,8
remember,3,5,8
put,6,2,8
place,4,4,8
perfect,4,4,8
pay,7,1,8
magical,1,7,8
made,5,3,8
listen,6,2,8
life,6,2,8
hold,6,2,8
happened,7,1,8
door,1,7,8
control,1,7,8
cause,5,3,8
bye,4,4,8
book,4,4,8
wow,1,6,7
whoa,1,6,7
trying,6,1,7
told,5,2,7
supposed,4,3,7
special,2,5,7
soon,1,6,7
somebody,3,4,7
sit,4,3,7
second,5,2,7
run,4,3,7
pretty,5,2,7
peace,2,5,7
learn,2,5,7
kill,6,1,7
kids,1,6,7
having,3,4,7
hair,5,2,7
gone,3,4,7
friends,4,3,7
found,2,5,7
earth,6,1,7
dead,5,2,7
came,3,4,7
better,6,1,7
youd,2,4,6
wonder,1,5,6
whos,4,2,6
weve,2,4,6
weak,4,2,6
used,2,4,6
touch,5,1,6
thanks,2,4,6
spells,3,3,6
shut,5,1,6
show,3,3,6
shall,2,4,6
relax,3,3,6
old,2,4,6
needs,1,5,6
jealous,3,3,6
high,1,5,6
heard,2,4,6
happen,5,1,6
hang,3,3,6
getting,4,2,6
gave,3,3,6
funny,3,3,6
father,2,4,6
everybody,3,3,6
course,3,3,6
close,3,3,6
bring,1,5,6
ask,4,2,6
arent,4,2,6
ancient,1,5,6
youve,1,4,5
wouldnt,1,4,5
water,4,1,5
turn,2,3,5
truth,2,3,5
travel,1,4,5
totally,1,4,5
thinking,4,1,5
stupid,1,4,5
stuff,4,1,5
speak,1,4,5
seen,2,3,5
save,1,4,5
powerful,2,3,5
part,1,4,5
new,3,2,5
move,4,1,5
minute,2,3,5
mine,2,3,5
mind,4,1,5
