word,The Craft,Sabrina the Teenage Witch,total
know,57,55,112
dont,63,44,107
im,56,38,94
yeah,42,48,90
oh,31,51,82
go,44,29,73
like,36,28,64
okay,21,41,62
youre,31,30,61
come,30,31,61
want,34,19,53
right,23,29,52
think,30,21,51
really,26,20,46
thats,26,19,45
whats,24,19,43
going,22,21,43
good,23,19,42
look,27,14,41
mean,16,24,40
shes,20,19,39
gonna,15,22,37
cant,18,19,37
didnt,19,16,35
back,17,18,35
great,5,28,33
sorry,25,6,31
maybe,15,16,31
love,11,20,31
hey,1,30,31
hes,17,14,31
see,17,13,30
sure,7,21,28
please,20,7,27
wait,16,10,26
time,5,21,26
stop,23,3,26
witch,8,17,25
ill,16,9,25
yes,8,16,24
tell,9,15,24
hi,9,15,24
make,10,13,23
little,14,9,23
guys,18,5,23
god,20,2,22
magic,8,13,21
way,11,9,20
thought,9,11,20
take,9,11,20
thing,7,12,19
thanks,2,17,19
lets,9,10,19
theres,4,14,18
nice,9,9,18
need,14,4,18
theyre,11,6,17
power,12,5,17
powers,10,5,15
fine,8,7,15
ask,4,11,15
witches,2,12,14
spell,5,9,14
ive,5,9,14
huh,2,12,14
hear,8,6,14
fun,1,13,14
feel,8,6,14
doing,8,6,14
uh,1,12,13
talking,7,6,13
home,9,4,13
give,6,7,13
doesnt,6,7,13
day,3,10,13
wrong,5,7,12
real,5,7,12
party,2,10,12
man,6,6,12
listen,6,6,12
help,5,7,12
girls,9,3,12
better,6,6,12
believe,6,6,12
try,4,7,11
school,4,7,11
put,6,5,11
happened,7,4,11
car,3,8,11
big,6,5,11
bad,6,5,11
away,8,3,11
three,8,2,10
people,8,2,10
miss,1,9,10
matter,5,5,10
guess,3,7,10
girl,6,4,10
everybody,3,7,10
course,3,7,10
beautiful,6,4,10
working,7,2,9
win,2,7,9
watch,6,3,9
use,3,6,9
understand,8,1,9
two,1,8,9
today,3,6,9
times,7,2,9
stay,6,3,9
run,4,5,9
looking,7,2,9
keep,5,4,9
honey,8,1,9
friends,4,5,9
actually,4,5,9
youve,1,7,8
trying,6,2,8
true,3,5,8
things,6,2,8
special,2,6,8
pretty,5,3,8
night,3,5,8
move,4,4,8
isnt,2,6,8
heart,3,5,8
having,3,5,8
happen,5,3,8
guy,3,5,8
different,1,7,8
call,6,2,8
book,4,4,8
wow,1,6,7
weird,6,1,7
told,5,2,7
thinking,4,3,7
talk,4,3,7
supposed,4,3,7
somebody,3,4,7
seen,2,5,7
perfect,4,3,7
mind,4,3,7
made,5,2,7
lot,2,5,7
life,6,1,7
kind,2,5,7
idea,1,6,7
hold,6,1,7
hit,6,1,7
havent,2,5,7
gotta,5,2,7
face,1,6,7
dream,2,5,7
coming,4,3,7
close,3,4,7
city,1,6,7
circle,6,1,7
came,3,4,7
whos,4,2,6
wanted,4,2,6
stuff,4,2,6
show,3,3,6
room,3,3,6
reason,3,3,6
ready,3,3,6
read,5,1,6
place,4,2,6
new,3,3,6
mr,2,4,6
money,5,1,6
makes,4,2,6
looks,3,3,6
leave,5,1,6
jealous,3,3,6
hows,3,3,6
hello,4,2,6
hair,5,1,6
cool,1,5,6
comes,3,3,6
cast,1,5,6
bye,4,2,6
anyway,2,4,6
air,5,1,6
youll,2,3,5
work,3,2,5
white,3,2,5
weve,2,3,5
water,4,1,5
used,2,3,5
turn,2,3,5
strange,1,4,5
sort,1,4,5
shell,1,4,5
set,1,4,5
remember,3,2,5
probably,1,4,5
practice,4,1,5
mom,4,1,5
learn,2,3,5
late,3,2,5
itll,1,4,5
house,3,2,5
hmm,1,4,5
high,1,4,5
hell,4,1,5
happening,3,2,5
goes,2,3,5
getting,4,1,5
full,1,4,5
found,2,3,5
forget,4,1,5
football,4,1,5
flying,3,2,5
five,4,1,5
feather,4,1,5
eyes,4,1,5
end,4,1,5
cute,1,4,5
boy,1,4,5
arent,4,1,5
wouldnt,1,3,4
world,1,3,4
worked,2,2,4
wish,1,3,4
waiting,2,2,4
trust,2,2,4
surprise,2,2,4
start,1,3,4
spells,3,1,4
south,3,1,4
sister,1,3,4
shall,2,2,4
saw,2,2,4
safe,1,3,4
relax,3,1,4
play,2,2,4
personal,1,3,4
open,2,2,4
ones,1,3,4
natural,3,1,4
morning,1,3,4
moon,1,3,4
luck,1,3,4
live,1,3,4
later,2,2,4
id,2,2,4
heard,2,2,4
happy,1,3,4
gone,3,1,4
genius,1,3,4
funny,3,1,4
find,3,1,4
feeling,2,2,4
excuse,1,3,4
definitely,2,2,4
deep,3,1,4
crazy,3,1,4
clear,1,3,4
check,1,3,4
called,3,1,4
butt,3,1,4
bed,2,2,4
anymore,1,3,4
youd,2,1,3
wont,1,2,3
wind,1,2,3
whyd,2,1,3
whoa,1,2,3
watching,1,2,3
walk,2,1,3
usually,2,1,3
turned,1,2,3
truth,2,1,3
tonight,2,1,3
tomorrow,2,1,3
throwing,2,1,3
sweet,2,1,3
stupid,1,2,3
storm,2,1,3
steal,2,1,3
started,2,1,3
space,1,2,3
shark,1,2,3
send,1,2,3
save,1,2,3
running,1,2,3
roof,2,1,3
relaxed,2,1,3
reach,2,1,3
questions,1,2,3
pool,1,2,3
plan,1,2,3
pig,1,2,3
old,2,1,3
noticed,1,2,3
needs,1,2,3
minute,2,1,3
looked,1,2,3
knows,1,2,3
kids,1,2,3
jerk,2,1,3
impressed,2,1,3
